"","C9.1","C9.2","C9.3","C9.4","C15.1","C15.2","C15.3","C15.4","C12.3","C12.4","D9.1","D9.2","D9.3","D9.4","D12.1","D12.2","D12.3","D12.4","D15.2","F9.1","F9.2","F9.3","F12.1","F12.2","F12.4","F15.2","F15.4","QC.1","QC.2","QC.3","X9.1","X9.2","X9.3","X9.4","X15.1","X15.2","X15.3","X15.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas","Xanthomonas"
"M697.459T1191.472","-0.56147085","-0.93768779","-0.81612375","-0.37292789"," 0.12562392"," 0.51455117"," 0.46002401","-0.25589475","-0.03499987"," 0.24986414","-0.02552435","-0.64174814"," 1.33788403","-0.62853419"," 0.63354958"," 0.66680975"," 0.21815970"," 0.14097918"," 0.07648264","-0.96941831","-0.52816168","-1.15580449"," 0.06583407","-0.11499197"," 0.14191176","-0.50034405","-0.66430961"," 0.16003369","-0.09584274"," 0.12021445","-0.07607536","-0.40208486","-0.37961271"," 0.07785949"," 1.17630895"," 1.40103361"," 0.43308597"," 0.19357674"," 0.46881083"," 0.10520430"," 0.39375539"
"M695.447T1189.727","-0.448219028","-0.367624071","-0.190807371","-0.243903870","-0.054863287"," 0.362972277"," 0.212711482","-0.082436063"," 0.163286730"," 0.146149438","-0.155093768","-0.358572502"," 0.120263292","-0.343589898"," 0.422968491"," 0.607766158"," 0.018996690","-0.032818510","-0.169053569","-0.263189124","-0.174340402","-0.417892980"," 0.014627394","-0.138371545","-0.035600411","-0.739355608","-0.369247081"," 0.008797683"," 0.127276956"," 0.005122343","-0.257943657","-0.304738450","-0.389417962","-0.019736548"," 0.979420377"," 1.440599481"," 0.250760551","-0.262835169"," 0.339735974"," 0.361778593"," 0.236416965"
"M917.581T1308.231","-0.44272224","-0.25013523"," 0.26699210","-0.25029883"," 0.54265841"," 0.20075354","-0.02023893"," 0.27659213","-0.32191444"," 0.04265093","-0.11101892","-0.17587679"," 0.32740477","-0.49970436","-0.09073355"," 0.55097810"," 0.58543434","-0.05344844","-0.13491955","-0.29669707","-0.91445795","-1.29086262","-0.22093579"," 0.06523783","-0.21094616","-0.19603044","-0.44459743"," 0.12129171"," 0.26231699","-0.16094673","-0.15427337"," 0.24913254","-0.58849260","-0.06557877"," 1.14478971"," 0.70103071"," 0.30060692"," 0.18042117"," 0.32334269"," 0.71683402"," 0.03636161"
"M810.529T1306.211"," 0.10479936","-0.58145847"," 0.15837562"," 0.19826194","-0.16288421","-0.26272564","-0.02733478","-0.07900975","-0.04906760"," 0.11334786"," 0.07998060"," 0.02414612","-0.52560574"," 0.07804974"," 0.19107383"," 0.34806817"," 0.39064001"," 0.26452149"," 0.10547503","-0.04442002"," 0.04515457","-0.65898687","-0.06699720"," 0.04399331"," 0.29035883","-0.87961799","-0.47494730"," 0.20332918"," 0.20515362","-0.01747628"," 0.55788538"," 0.15548455"," 0.09562688"," 0.19899947","-0.09099511"," 0.05223173"," 0.06550888","-1.05001588"," 0.19201884"," 0.35503649"," 0.45402137"
"M385.182T1540.093"," 0.411162471"," 0.845174925"," 0.046234332"," 0.470103686","-0.360481995","-0.293050810","-0.129296637","-0.415881308"," 0.090715067"," 0.311942290"," 0.112222457"," 0.002257816"," 0.054978660","-0.404489092","-0.099452252"," 0.209149325","-0.402346456","-0.294769230","-0.202322724","-0.181574732"," 0.493634459","-0.201315462"," 0.412564890"," 0.217109754"," 0.064085391","-0.387115107","-0.465713762","-0.209981053"," 0.003371151","-0.064645973"," 0.281919424"," 0.123256415"," 1.155868467"," 0.035765153","-0.282674851","-0.461608263","-0.219981840","-0.667803590"," 0.356642294","-0.193093504"," 0.239440215"
"M441.228T1306.216"," 2.046516e-01"," 2.198139e-01"," 5.001079e-01"," 4.198728e-01"," 6.391792e-02"," 9.777697e-02"," 1.476813e-01"," 1.173521e-01"," 1.939370e-01"," 4.485865e-01","-1.898590e-02"," 2.821392e-01"," 1.544000e-02","-1.777164e-01","-2.036138e-01"," 1.565859e-02"," 4.023086e-02","-1.068195e-01","-8.343416e-01"," 9.650487e-02"," 3.458327e-01","-4.513025e-01"," 4.964266e-02"," 5.749276e-05"," 2.692155e-01","-7.286231e-01","-4.174500e-01","-1.017439e-01"," 2.342517e-01"," 1.303261e-01"," 3.269162e-01"," 1.881968e-01"," 1.837048e-01"," 1.612059e-02","-5.428880e-01","-2.589768e-01","-8.132494e-01","-4.303671e-01"," 1.696505e-02"," 2.611477e-01"," 2.000291e-01"
"M711.445T1221.644","-0.39740316","-0.44562049","-0.47159704","-0.05573742"," 0.18415153"," 0.24251752"," 0.32004742","-0.19477029","-0.07285467"," 0.22450241"," 0.04282379","-0.46373216"," 0.25135400","-0.45537166"," 0.58511558"," 0.62408055"," 0.15131067","-0.04480467"," 0.46907362","-0.67145837","-0.41822160","-0.65477784"," 0.44256885","-0.12581668","-0.11767427","-0.81790629","-0.47507086","-0.11780621"," 0.03714164"," 0.10249403","-0.27214214","-0.29477306","-0.50533294","-0.09769311"," 0.57729647"," 1.00342590"," 0.45056458","-0.18051313"," 0.87061350"," 0.47815381"," 0.29384219"
"M557.468T1423.166","-0.41092393"," 0.65706611","-0.12334018"," 0.09452658","-0.23917616","-0.18110741","-0.04406243"," 0.09366062","-0.34772329"," 0.21591187","-0.36190784","-0.69466944","-0.51797409","-0.38741266"," 0.35817922"," 0.85509267"," 0.48159993"," 0.14917116"," 0.02211153","-0.29805209","-0.69095047","-1.31472452"," 0.32367692"," 0.39583431"," 0.15064494","-0.99469508","-0.16590286","-0.03263574"," 0.34535594"," 0.09852107"," 0.42585860"," 0.17766070","-0.08786910"," 0.40772405"," 0.13818365","-0.03682062"," 0.36229298"," 0.12017249"," 0.63266380"," 0.33294481"," 0.09109399"
"M679.436T1338.726","-0.453758505","-0.575111768","-0.364772682","-0.208864878"," 0.017734018"," 0.026547193"," 0.189221375","-0.061336477","-0.159203393"," 0.220635242","-0.190253103","-0.419483562","-0.180108118","-0.643882874"," 0.608425009"," 0.642191670"," 0.185850959"," 0.077019951"," 0.550627158","-0.491415954","-0.865787900","-0.796296543"," 0.672870030"," 0.315762949"," 0.347660323","-0.906306806","-0.274944310"," 0.019509170"," 0.285333813"," 0.065168658"," 0.043623130","-0.272864191","-0.426652050","-0.057830614"," 0.440402453"," 0.823637475"," 0.251329154"," 0.000950747"," 0.977479211"," 0.286027735"," 0.300866306"
"M589.459T1372.544","-1.17409272"," 0.22728375","-0.49030797","-0.01985504","-0.22562550"," 0.25660174"," 0.36724330","-0.02254439","-0.01870097"," 0.15650515","-0.16813825","-0.60397659","-0.11342208","-0.92650804"," 0.69432940"," 0.73692379"," 0.30185534"," 0.25329684"," 0.33340453","-0.63918018","-0.82906222","-1.59599401"," 0.51234597"," 0.50633561"," 0.30546008","-1.35900637"," 0.07405385"," 0.11795048"," 0.24324792","-0.04136970"," 0.15349427","-0.18736225","-0.76620145"," 0.43833194"," 0.83936502"," 0.68228010"," 0.26922458"," 0.03708382"," 0.81755014"," 0.47195007"," 0.38523005"
