"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"M697.459T1191.472",0.025244,-0.00082055,-0.039374,0.040584,-0.0091458,-0.026357,-0.00067834,-0.060248,-0.013374,0.0092296,0.022199,0.0092052,-0.0080444,0.0013311,-0.015097,-0.053121,-0.011872,0.025105,0.04348,0.003923,0.032651,0.025819,0.0014122,-0.011443,0.0030388,0.011696,0.026077,0.028798,-0.0022418,-0.026345,-0.0023451,0.015361,-0.0058783,-0.031739,0.022601,0.0030336,-0.00086065,-0.0045523,-0.019165,-0.020493,0.56635
"M695.447T1189.727",0.018331,0.0018532,-0.02238,0.022131,0.00075696,-0.0059718,-0.0012774,-0.034545,-0.032724,-0.012177,0.014837,0.020576,-0.035821,0.005165,0.024352,0.023284,0.013321,0.025535,0.035592,-0.018869,0.02622,0.028252,-0.0027235,-0.015559,0.017429,0.0062924,0.012291,0.0093219,0.00062898,-0.020272,-0.0011137,-0.0058076,0.0072899,0.0022638,-0.00079157,-0.0089583,-0.033594,0.015008,-0.01231,0.028983,0.21112
"M917.581T1308.231",0.0089742,-0.011609,-0.025607,0.031216,0.0074186,0.029519,-0.0018147,-0.051029,-0.024313,0.01508,-0.015769,0.001298,-0.0049354,-0.020244,0.024092,-0.021064,-0.015068,0.026659,0.0038149,-0.026077,-0.0078647,0.015248,-0.022498,0.0066576,0.046219,0.032136,0.045407,0.047655,0.015489,0.01576,0.0054209,0.029082,-9.0519e-05,0.013262,0.0070054,-0.046012,-0.016073,0.02017,-0.016134,-0.017591,0.15653
"M810.529T1306.211",0.019432,-0.0046727,0.013307,0.0067798,0.033364,3.1319e-05,0.0073302,-0.0035478,-0.017283,-0.01666,-0.0078035,-0.01457,0.017231,0.0078097,0.0011629,0.0021738,0.016336,0.047586,0.002581,-0.017766,-0.00092265,-0.0043884,-0.0036353,0.013189,0.017903,0.0059692,0.0032125,-0.0042182,-0.013302,0.016139,-0.011698,0.0034552,-0.043307,0.044118,0.011626,-0.0052819,0.014507,0.016701,0.0062195,-0.023605,-0.028987
"M385.182T1540.093",0.0010361,0.0023964,0.0099068,0.015073,0.029074,-0.014999,-0.0010268,0.046121,-0.011203,-0.026791,-0.016027,0.01286,0.016803,0.03533,-0.048917,-0.0042203,0.020124,-0.027963,-0.036904,-0.0048098,-0.034793,0.0053425,0.023128,0.013651,0.027422,-0.01678,-0.0070062,-0.035799,0.0050645,-0.027538,-0.013588,-0.0099327,0.027666,-0.006774,-0.030716,0.047297,0.076213,-0.0082955,-0.059437,0.029446,0.10949
"M441.228T1306.216",-0.0027195,0.0091396,0.015791,0.018393,0.051651,-0.0033337,0.016183,0.0080204,-0.0017452,0.0073094,0.00088966,0.003899,0.0023425,0.0033727,-0.0053444,0.016891,0.012513,0.0069751,-0.0075712,-0.01632,-0.0039373,-0.0071656,-0.00024867,-0.0038911,0.018581,-0.00095133,0.0087361,0.025166,0.016664,-0.011653,-0.014613,0.011999,0.0047773,0.0097455,0.0055743,0.003431,0.01732,-0.0010043,-0.010033,0.023817,-0.0067339
"M711.445T1221.644",0.022518,-0.0023885,-0.014061,0.033197,-0.011101,-0.0049606,-0.012283,-0.038811,-0.036603,0.0031416,0.023,-0.0010081,-0.014907,0.030874,0.010836,-0.031658,-0.010209,0.023318,0.014127,0.00026478,0.027925,0.028703,0.021566,-0.02205,0.029968,-0.00057399,0.0031776,0.0032377,0.0035972,-0.019358,-0.002905,-0.011804,0.0066789,0.0055085,-0.022505,-0.017203,-0.023831,-0.014852,-0.0065784,0.025669,0.029771
"M557.468T1423.166",0.014839,-0.016299,0.0098168,0.037052,0.012047,0.031285,-0.010389,-0.035066,-0.027527,-0.017291,-0.023124,0.02587,-0.0082959,0.036964,-0.029353,-0.020432,0.026785,-0.018924,-0.011519,0.0081919,-0.023856,-7.9709e-05,0.0076058,0.013727,-0.038966,0.022241,0.043835,0.0076784,0.0034611,-0.0020777,-0.015697,0.0075964,0.0041371,-0.014832,0.010302,0.015284,-0.0034896,0.036989,-0.016689,0.0074798,-0.096209
"M679.436T1338.726",0.025148,-0.0087643,-0.001893,0.040965,-0.014105,0.0056365,-0.022434,-0.046002,-0.017648,-0.0016776,0.022027,0.004988,-0.0034797,0.0058458,0.0055216,-0.0055408,0.011401,0.0099057,0.0085752,-0.011015,0.023925,0.020602,0.02491,0.0057158,0.01805,0.011621,-0.0027092,-0.0043769,0.0041187,-0.010917,0.0025149,0.0030891,0.0055411,0.0067565,0.0032837,0.00035071,-0.019071,-0.017147,-0.0025308,0.011319,-0.03989
"M589.459T1372.544",0.026772,-0.012067,-0.0039586,0.057323,-0.0022451,0.014559,-0.016563,-0.064222,-0.033097,-0.010117,-0.013447,0.019973,-0.005559,0.031108,0.0025227,0.0017279,0.0032589,-0.049105,0.048616,0.016936,0.024749,0.009032,-0.022341,0.0042582,-0.029229,-0.0037596,0.056496,0.0058816,-0.0092444,-0.015066,-0.0060953,-0.015242,0.020371,-0.0039434,0.0064912,-0.02967,-0.013356,0.0184,-0.0062041,-0.0035952,-0.16166
