"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"C9.1",-11.783,11.557,3.5937,-3.8652,0.057592,-3.6124,1.0234,-2.8099,2.2947,-0.44388,0.37763,-0.98177,1.8349,3.3223,-0.47166,-0.76257,-0.11638,4.6825,-2.024,-3.6059,-5.2742,1.0602,2.0053,1.7226,-0.36576,-0.47632,-0.92526,-2.2058,0.27987,0.44598,0.072366,0.018917,0.38085,0.9017,1.3415,-0.028604,-0.16535,-0.21049,-1.7663,0.20103,-6.72e-15
"C9.2",-29.496,-2.5691,1.2689,7.8928,-1.7154,4.3851,1.9451,2.8976,-5.1087,-2.9297,-3.1076,0.21222,-3.473,6.7585,-3.8561,2.5821,-0.10867,-4.0817,-0.080805,0.98654,-1.4835,-0.10626,-0.66804,-0.26521,0.58971,0.20268,0.6326,-0.6052,0.041715,-0.64673,0.084189,0.36021,0.075433,0.21568,0.35531,0.063389,-0.013154,0.59173,-0.24885,0.030329,6.7833e-15
"C9.3",-4.7245,-1.57,4.9769,0.90822,2.9983,6.6591,7.1397,3.3007,-1.8619,1.6735,-0.26727,-0.26952,2.8571,-2.066,1.0075,1.7515,2.2663,0.94362,-1.1915,-2.2793,-1.0142,0.59402,-0.96542,0.66496,3.0629,-2.1024,-0.62647,2.4537,-1.2773,0.077571,2.6651,-0.054987,1.5901,-2.3473,0.10401,-0.47332,-1.2737,1.6374,1.106,0.53281,5.6431e-15
"C9.4",-5.5396,3.0954,6.2189,6.1332,2.6357,1.93,0.11518,5.346,-0.24052,-0.92247,-0.56526,1.7491,1.5567,1.5962,-0.15166,0.088814,-2.4046,3.7944,2.3007,2.095,1.5206,-1.9096,2.408,1.93,-1.2416,-0.73298,1.3029,2.1,-0.81658,1.5735,0.2472,-2.2367,-0.56689,-0.41155,-2.1822,-1.5671,1.713,-0.54109,-1.2778,1.5591,4.4013e-15
"C15.1",-9.2467,5.9216,1.4091,-0.4475,-0.1608,3.7523,-0.88128,-6.576,-0.85924,2.1404,0.42626,-3.448,-2.149,0.048648,2.6965,-0.29156,-3.7687,0.93274,-1.3972,0.6956,-0.14913,1.7722,-0.0395,-0.76565,3.1742,1.4118,-0.17581,0.7554,1.8947,0.012005,-0.034037,-0.55117,-1.1488,-1.745,-0.072127,0.97179,3.9385,0.07745,1.0735,-0.38252,-2.0199e-16
"C15.2",-7.2138,7.2619,1.0862,0.84905,-0.19244,-7.2925,-1.5581,-3.0774,-3.8263,1.3941,-2.8797,-1.2375,-0.28947,-1.6914,1.4651,0.20204,-1.2152,-0.47928,0.52167,-0.69624,1.5909,0.4153,0.42869,0.86452,-0.52625,1.1553,0.039465,1.5378,0.47395,-4.2965,-1.495,-0.70414,-0.70145,-2.3716,0.623,-2.2433,-2.1999,0.68861,-2.1457,-0.49847,-8.889e-16
"C15.3",-3.8949,-6.0432,0.67314,2.7863,4.0812,-6.1694,-4.583,-1.7612,-3.7102,2.1584,1.1329,-2.2181,-1.9479,1.4881,-0.33947,-0.51518,-1.6752,0.037503,1.4766,-2.9438,2.6364,-1.2063,-0.53846,-2.7951,-3.1151,-3.0354,-1.942,1.0752,0.36179,1.045,2.5552,0.86739,1.8711,-0.021588,1.6413,-0.021968,1.0901,-0.11973,-0.11614,-0.26152,4.0817e-15
"C15.4",-14.835,-2.8615,-0.53223,0.39688,0.45646,6.5839,3.8723,-4.9386,0.2997,-0.75892,2.648,-0.86176,1.679,-0.55842,1.0915,-0.57983,1.4801,0.68603,-1.3298,-3.1232,3.7067,-5.3463,-1.2086,-0.71443,-0.32795,1.756,2.5005,-2.7333,-0.070886,-1.1143,-0.185,-0.58778,-0.25256,0.3124,0.30065,0.41764,-0.10098,-0.51645,-0.074731,1.3385,3.9566e-15
"C12.3",-12.22,1.6207,-1.2289,3.2528,2.9773,-6.171,6.0255,-2.5415,-0.60825,-7.9847,4.7937,-1.6298,1.5359,-0.37574,5.1803,-0.1723,1.6275,-3.6389,1.1939,-0.13561,-0.71962,2.039,-0.41899,0.73428,-1.3832,-0.42812,-1.369,1.1913,-0.34988,0.24851,-0.017134,-1.1332,-0.82366,0.97835,-1.6819,0.79204,0.07457,-0.60569,0.1792,-0.070433,1.837e-15
"C12.4",6.852,4.5174,-3.0629,6.2516,6.874,-1.0368,-1.0166,3.6482,-2.1851,2.0462,4.3317,-0.34742,-2.9043,-1.4515,1.2706,-0.65223,1.5796,-1.9009,0.30771,1.5706,-3.7801,-4.0911,4.3667,-0.10768,0.44963,-0.3464,0.89715,-0.91617,1.7554,0.21587,-0.33046,0.44439,-0.17474,-1.4367,0.916,-0.95515,-0.60143,-0.76667,1.369,-0.8318,1.8106e-15
"D9.1",-3.2281,-5.6731,0.3448,-3.6267,3.6889,-5.3815,0.97788,0.096721,0.89287,-3.2752,-1.0084,0.60313,3.4114,1.5449,1.4035,-0.87197,-1.6296,0.46879,-1.452,3.0864,2.7834,2.4028,0.21053,-1.5679,2.6117,-2.0981,2.8334,-2.7046,0.8158,1.153,0.84313,1.7254,0.48574,-0.67396,0.48224,-1.7638,-1.1833,-1.6493,0.027922,-0.71638,2.0459e-15
"D9.2",-7.0229,10.416,3.8936,0.14732,0.11932,-6.0003,0.03679,0.76817,-1.8425,2.9583,-5.8803,0.076035,1.2782,-2.2167,1.5911,1.5897,-1.2465,-2.0455,0.10833,-1.057,0.98319,-2.8664,0.4272,0.58714,2.9088,1.2787,-1.5079,0.84873,-0.57053,3.3601,-1.1395,0.090035,0.20063,2.5646,0.21473,1.2979,-1.0201,-1.3353,0.093445,-0.34916,1.0881e-14
"D9.3",2.3521,21.909,-22.137,9.3967,-1.1203,0.0032035,8.1864,2.7419,6.4396,2.1614,-0.074134,-2.8327,0.58864,-1.0836,-4.6241,-4.108,-1.7526,-1.5816,-0.77867,-0.059289,0.9837,0.95899,-0.67926,-0.59419,-0.60995,-0.4494,0.32764,0.43758,-0.18681,0.24504,0.23738,-0.065401,-0.033507,-0.027352,-0.13053,0.0073792,-0.20421,-0.074027,-0.092287,0.021782,-1.0419e-14
"D9.4",-0.61913,-3.5666,-0.22815,-10.602,-1.3116,3.3588,6.7043,0.63913,-1.1093,0.20952,-1.2248,1.5294,0.63643,-0.050131,-0.32269,0.097969,0.23607,1.1849,-1.0476,2.2856,0.087772,-0.97924,0.65762,-3.3605,-1.2531,-1.9849,-3.3217,0.64225,1.2476,0.03416,-0.9728,0.034974,-4.6022,0.46001,1.403,-0.13412,-0.68668,0.46426,0.20421,1.1089,3.7581e-15
"D12.1",13.776,5.6212,2.2266,-4.5249,-1.6435,1.5062,-3.02,-6.323,-0.39917,0.26057,-0.015127,-1.1178,0.064685,1.6668,-2.6785,0.59763,2.6817,-0.10427,1.6248,1.1895,0.15643,0.52546,1.9719,-1.4952,1.3047,-1.8049,2.1178,1.3988,-1.7998,-1.2172,1.1997,-3.4251,-0.33199,0.19706,0.74584,2.866,-0.95991,-1.8069,-0.50573,-0.85023,3.0314e-16
"D12.2",7.7939,-8.3004,-0.016503,4.1772,-0.92039,0.65451,2.7204,0.36688,-7.064,-0.30141,-0.91499,-1.317,0.35994,-1.879,-1.2531,-1.3088,3.0269,0.94118,1.939,-0.5162,0.99105,3.3388,1.9588,-1.1658,-0.74934,2.0265,1.1112,-0.85719,2.3315,3.0538,-1.9809,-0.013034,1.1455,-1.1116,0.31216,1.7071,-0.27525,1.6388,-1.3024,1.1752,8.0864e-15
