"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"C9.1",-15.133,-4.4066,0.87615,-2.5809,-0.3513,1.8685,-0.90742,1.1598
"C9.2",-24.069,3.5754,-4.5405,1.8715,-0.26585,-1.182,3.8466,-3.5669
"C9.3",-5.8651,-3.6379,-5.2601,3.9431,1.9582,0.16867,-2.5281,-4.242
"C9.4",-7.6209,-3.2849,-0.61783,2.2835,-2.4436,-5.3369,-2.144,-2.2692
"C15.1",-10.742,-2.862,-2.0261,-3.6744,-2.5953,0.31082,1.0068,0.79581
"C15.2",-9.2479,-2.7902,0.073041,-2.2361,-0.61739,-1.4789,-1.6141,-2.3987
"C15.3",-2.1685,-0.14779,-6.2809,-0.31389,-3.5754,-4.1151,-1.0071,2.1715
"C15.4",-12.031,0.73821,-6.0298,-0.34017,0.32209,0.87459,0.28444,-1.7403
"C12.3",-12.724,-4.0248,-8.433,0.43589,5.7885,1.9947,3.6368,0.80735
"C12.4",3.1141,-5.1662,-3.1348,-2.3114,1.5678,-7.4433,-3.2881,-0.33863
"D9.1",-1.3851,0.48028,-4.7553,1.4963,0.52499,0.14364,-3.1667,1.6212
"D9.2",-10.517,-3.771,2.9316,-0.31786,0.43184,-0.77238,-1.6147,-0.88122
"D9.3",-2.8838,-5.1633,0.78027,-12.977,13.861,-2.743,4.1452,-3.7051
"D9.4",0.5379,0.42002,-3.0953,-0.34426,0.80654,4.3505,-7.0072,-4.9157
"D12.1",8.6571,-5.0531,1.1575,-5.0872,-5.637,0.062711,-2.4125,0.095868
"D12.2",8.226,-1.2121,-6.309,1.5956,-0.16984,-0.47864,0.43238,-5.6995
"D12.3",6.5976,3.8697,-11.013,0.03373,1.0696,-2.9941,-2.2616,9.0285
"D12.4",4.194,-7.3378,2.4098,-4.3717,-3.6983,1.9087,-3.0364,0.54072
"D15.2",17.64,-1.0462,-7.8597,-5.7809,-15.677,3.0488,9.2672,-3.0027
"F9.1",-1.8146,0.72401,4.6293,1.3687,-3.9654,-2.6628,-5.1593,3.6149
"F9.2",2.651,-5.4539,2.6866,0.75728,3.7407,2.7586,-5.7065,4.457
"F9.3",-7.1126,0.79372,7.0489,-6.9382,-4.3551,6.2665,-4.0346,0.76917
"F12.1",3.0837,-0.47051,4.8938,1.6487,-7.0239,-6.3076,1.8158,-1.6032
"F12.2",8.8203,-2.1482,5.3649,-0.40008,-5.2501,-3.0087,-2.1212,-0.54519
"F12.4",10.605,-1.6997,-6.749,8.5675,-1.7509,-0.30981,1.1957,-1.7975
"F15.2",-18.792,16.455,-0.19139,-7.3466,-6.0411,1.712,1.7459,4.2786
"F15.4",-6.7436,-2.1124,4.6314,-2.7653,-2.6651,3.4938,2.5857,2.0732
"QC.1",4.7508,0.77846,-1.4715,3.5841,1.2058,4.5125,-0.43264,-1.0002
"QC.2",3.8223,0.053363,5.8089,3.7362,-2.6625,-2.3341,1.8037,1.0487
"QC.3",0.23243,-3.0187,3.483,-0.84554,-0.15512,4.4051,2.6629,4.937
"X9.1",-0.41055,-2.1161,5.0933,7.6804,1.4189,-2.3491,5.0508,5.5758
"X9.2",0.69791,1.8487,-1.11,5.8483,7.3694,5.0329,3.101,0.92452
"X9.3",6.6684,5.7897,-0.59793,2.6893,4.5856,-0.1697,-1.9278,7.8819
"X9.4",1.1149,0.36099,8.8537,3.361,2.4343,0.73796,0.12974,-0.68102
"X15.1",22.021,11.74,-2.3926,-12.359,6.6358,-3.5222,-1.9775,1.2311
"X15.2",6.5038,1.5725,7.3654,-6.3724,9.5442,-1.4821,4.9492,-5.7711
"X15.3",19.483,2.7526,0.29583,0.79913,0.54326,7.0141,-2.7824,-5.7204
"X15.4",-7.9217,13.763,5.5095,7.7495,-1.3182,-1.9859,-2.6737,-8.7576
"X12.1",6.5404,0.53331,7.2073,3.6367,-2.0957,-2.4955,4.9678,0.016362
"X12.2",4.0994,-0.65785,1.9568,3.6078,3.3309,1.2698,4.2565,7.1381
"X12.3",7.1209,1.3323,-1.1896,10.67,5.1742,1.2369,0.9192,-1.5307
