"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M1100.695T1308.231",2.8782,2.99,2.5839,2.4975,2.4049,2.3716,2.3462,2.3376
"M798.336T1042.058",2.5945,1.9349,1.5144,1.4332,1.3761,1.3525,1.3352,1.3271
"M973.671T1456.538",2.5635,3.3087,2.728,2.657,2.6493,2.8025,2.7676,2.745
"M1070.408T957.42",2.5257,1.9555,1.6153,1.5475,1.4845,1.4735,1.4432,1.4335
"M1018.708T1492.083",2.4967,2.6454,2.6025,2.4728,2.3882,2.3418,2.2952,2.2779
"M1070.417T942.609",2.4147,1.846,1.5678,1.4998,1.4506,1.4401,1.4133,1.4028
"M1051.398T857.905",2.3874,1.8524,1.5343,1.4594,1.4001,1.3721,1.3429,1.3309
"M791.348T1042.058",2.3797,1.7904,1.4283,1.3612,1.3126,1.2873,1.2627,1.2581
"M798.839T1023.188",2.321,1.7617,1.372,1.3051,1.3069,1.3135,1.2886,1.2782
"M790.331T974.804",2.3151,1.7265,1.4101,1.3349,1.2809,1.2553,1.2643,1.2537
"M1095.412T857.905",2.3027,1.7665,1.539,1.5047,1.5096,1.503,1.4837,1.4737
"M798.333T1001.921",2.282,1.7011,1.3314,1.2651,1.2141,1.2069,1.1875,1.1783
"M367.15T410.425",2.281,1.7099,1.3498,1.2925,1.3349,1.3476,1.357,1.3545
"M1076.413T957.42",2.2735,1.7079,1.501,1.4477,1.3911,1.3643,1.3352,1.3233
"M1001.706T1624.867",2.2342,2.3798,2.0524,2.0186,1.9821,1.9653,1.9613,1.962
"M970.4T881.272",2.2037,1.7106,1.373,1.301,1.2592,1.2377,1.2342,1.2234
"M1085.421T973.898",2.1969,1.6627,1.4012,1.3452,1.292,1.2694,1.2475,1.2368
"M984.375T812.644",2.1911,1.6338,1.351,1.279,1.2916,1.2661,1.2422,1.2311
"M969.398T948.9",2.182,1.6946,1.3951,1.3193,1.2658,1.2546,1.2487,1.2375
"M790.34T953.298",2.1812,1.6333,1.3638,1.2919,1.2477,1.2246,1.2268,1.22
"M781.432T903.94",2.1736,2.7626,2.9352,3.2091,3.2624,3.3459,3.3391,3.3172
"M983.38T881.272",2.1634,1.6281,1.2899,1.2222,1.198,1.1857,1.1789,1.1687
"M625.472T1308.231",2.1634,1.9018,1.483,1.405,1.348,1.3261,1.3527,1.3454
"M879.863T1006.792",2.157,1.6078,1.2877,1.2181,1.1691,1.1511,1.1303,1.1209
"M817.32T1025.439",2.1515,1.6147,1.3034,1.2326,1.199,1.1794,1.1784,1.1699
"M1059.429T828.514",2.1369,1.6133,1.3899,1.3514,1.2977,1.3008,1.2802,1.2688
"M700.272T813.875",2.1069,1.5757,1.3032,1.2583,1.2146,1.2151,1.1906,1.1802
"M1075.422T902.377",2.1053,1.5735,1.4192,1.3577,1.3034,1.2778,1.2532,1.2431
"M985.395T851.401",2.1021,1.5818,1.3584,1.2876,1.2556,1.2484,1.2612,1.253
"M576.484T1418.277",2.0928,1.685,1.355,1.2942,1.2444,1.2613,1.2442,1.2342
"M972.391T940.951",2.0912,1.5781,1.2908,1.2228,1.1788,1.1576,1.1379,1.1283
"M1080.395T940.951",2.0906,1.6098,1.3639,1.2946,1.2419,1.2169,1.1929,1.1868
"M576.483T1456.027",2.0901,1.8361,1.5005,1.4224,1.3756,1.3897,1.3659,1.3543
"M1059.43T783.656",2.0745,1.5547,1.3854,1.3623,1.3251,1.3465,1.3265,1.3151
"M577.494T1463.866",2.0718,1.7781,1.403,1.355,1.3035,1.2815,1.2717,1.2604
"M1071.408T843.183",2.0515,1.598,1.3617,1.2997,1.253,1.2499,1.2609,1.2535
"M805.331T872.624",2.0484,1.6316,1.3165,1.2607,1.2225,1.1991,1.1746,1.1662
"M683.472T1406.703",2.0401,1.7999,1.5015,1.4511,1.4072,1.3845,1.3877,1.3831
"M1063.401T857.905",2.0376,1.543,1.2505,1.1862,1.1703,1.1525,1.1278,1.1191
"M850.319T858.821",2.0354,1.5174,1.3295,1.264,1.2596,1.2343,1.2112,1.2015
"M683.47T1371.844",2.0272,1.7521,1.4378,1.3967,1.3583,1.3376,1.342,1.3348
"M985.395T812.644",2.0112,1.5476,1.2914,1.2221,1.1989,1.2039,1.213,1.2072
"M952.38T957.42",2.0051,1.5489,1.302,1.2386,1.1952,1.1753,1.1504,1.1402
"M824.341T924.482",2.0041,1.7502,1.3823,1.3587,1.3218,1.3112,1.3238,1.3137
"M984.394T881.272",1.9988,1.5642,1.2447,1.1771,1.1378,1.1171,1.0972,1.0875
"M806.336T927.31",1.9869,1.6061,1.2737,1.2148,1.1654,1.1428,1.1202,1.111
"M828.315T926.75",1.9842,1.5568,1.2977,1.2331,1.1872,1.1642,1.1561,1.1514
"M806.333T872.624",1.9808,1.5364,1.2718,1.2096,1.1793,1.156,1.1313,1.124
"M837.33T941.332",1.972,1.5519,1.2411,1.1761,1.1316,1.1089,1.0931,1.0859
"M1005.378T843.183",1.9634,1.5143,1.2543,1.1879,1.1561,1.134,1.1101,1.1029
"M753.276T940.951",1.9582,1.5173,1.2327,1.1669,1.1194,1.1016,1.0782,1.0757
"M955.384T902.791",1.9572,1.5126,1.2062,1.1468,1.1004,1.0783,1.0583,1.0489
"M672.565T1621.712",1.956,2.433,2.0631,1.9956,1.9742,1.9412,1.8997,1.8862
"M806.333T896.321",1.955,1.5719,1.2579,1.2007,1.1556,1.1324,1.1101,1.1003
"M1019.703T1376.163",1.9545,1.6553,1.7786,1.7794,1.7499,1.7193,1.7003,1.6851
"M1038.388T940.951",1.9468,1.4517,1.2478,1.181,1.1442,1.1286,1.1081,1.1012
"M984.382T940.951",1.9455,1.5388,1.2847,1.218,1.1694,1.1488,1.1376,1.1276
"M798.337T946.991",1.9443,1.4907,1.1594,1.1177,1.0759,1.077,1.0566,1.0484
"M795.328T924.482",1.9387,1.4835,1.2084,1.1428,1.0976,1.0827,1.0618,1.0588
"M988.382T919.58",1.9319,1.4625,1.2275,1.171,1.1267,1.1049,1.1195,1.1108
"M991.383T954.894",1.9286,1.5059,1.3438,1.2709,1.2192,1.1974,1.2518,1.2418
"M683.47T1389.183",1.9278,1.6584,1.3755,1.3451,1.3436,1.3254,1.3219,1.3165
"M617.506T1594.034",1.9276,1.5931,1.2739,1.2082,1.1678,1.1452,1.1702,1.1619
"M846.32T843.183",1.9228,1.6133,1.3211,1.2649,1.2383,1.2146,1.1955,1.1916
"M851.325T943.327",1.9212,1.4332,1.2508,1.1828,1.1353,1.1125,1.0998,1.0918
"M851.322T857.905",1.9187,1.4311,1.1828,1.1219,1.0854,1.0667,1.051,1.0428
"M960.389T959.199",1.9148,1.5378,1.2506,1.1872,1.139,1.1233,1.1003,1.0907
"M1009.698T1619.342",1.9145,1.964,1.8074,1.824,1.7521,1.7168,1.6845,1.6695
"M1121.44T843.183",1.9056,1.4231,1.2758,1.24,1.2295,1.2102,1.2009,1.1909
"M966.708T1619.342",1.9042,1.8513,1.7355,1.6471,1.6237,1.5929,1.5753,1.587
"M955.379T843.183",1.8944,1.5158,1.1861,1.1332,1.0885,1.0666,1.0457,1.0364
"M851.323T925.442",1.8918,1.4103,1.2177,1.1518,1.1057,1.0837,1.0718,1.0641
"M519.185T891.73",1.8909,1.4133,1.1644,1.1048,1.0772,1.0619,1.0392,1.0342
"M618.492T1624.789",1.8886,1.5917,1.2946,1.2753,1.2322,1.2095,1.2303,1.2215
"M787.311T955.77",1.8874,1.4068,1.1915,1.1276,1.0861,1.0665,1.0523,1.043
"M870.334T843.183",1.8856,1.4611,1.2878,1.2325,1.2391,1.2154,1.1907,1.1837
"M837.332T895.326",1.8826,1.5082,1.1988,1.1388,1.0971,1.0762,1.059,1.0528
"M1018.702T1376.163",1.8819,1.5626,2.4076,2.294,2.2008,2.1934,2.1814,2.1633
"M789.329T927.31",1.8779,1.4498,1.2408,1.1734,1.1331,1.1142,1.1321,1.1244
"M875.33T866.333",1.8771,1.423,1.1747,1.1109,1.0922,1.0753,1.069,1.0595
"M850.318T843.183",1.8766,1.4357,1.2182,1.1549,1.1359,1.1133,1.0933,1.0841
"M814.33T1025.439",1.8718,1.4744,1.1869,1.1244,1.0883,1.0716,1.0511,1.0417
"M1023.385T959.199",1.8698,1.4056,1.1739,1.1237,1.0863,1.0654,1.0427,1.0336
"M999.386T843.183",1.8538,1.4697,1.1639,1.1108,1.0657,1.0652,1.0535,1.0442
"M943.383T973.898",1.852,1.583,1.2829,1.2361,1.2448,1.2259,1.2257,1.2195
"M806.333T841.952",1.841,1.4497,1.1823,1.1216,1.1287,1.1059,1.0825,1.0755
"M1132.44T940.951",1.8337,1.3672,1.1209,1.0617,1.0186,1.0318,1.0368,1.0299
"M827.321T940.951",1.833,1.5394,1.2321,1.2267,1.1896,1.1669,1.2196,1.2172
"M700.27T900.968",1.8269,1.3623,1.2318,1.1649,1.1284,1.106,1.0925,1.0831
"M803.314T959.886",1.8231,1.4212,1.1735,1.1106,1.0718,1.0507,1.0431,1.0354
"M1023.387T857.905",1.8219,1.3865,1.1394,1.0822,1.0542,1.0337,1.016,1.0071
"M1059.694T1439.78",1.8212,2.075,1.7833,1.8829,1.8063,1.7882,1.7505,1.7364
"M825.34T905.493",1.8212,1.4534,1.1487,1.0986,1.0561,1.0351,1.0211,1.0142
"M487.304T1423.366",1.817,1.445,1.2475,1.2518,1.201,1.2384,1.3125,1.3167
"M533.202T872.624",1.8084,1.3635,1.4198,1.4179,1.3933,1.3887,1.3609,1.3553
"M985.385T959.199",1.8078,1.3978,1.1795,1.1294,1.0989,1.0776,1.0738,1.0671
"M1005.382T812.644",1.803,1.3449,1.1632,1.1113,1.1677,1.1443,1.12,1.1148
"M706.585T1658.237",1.7978,2.074,1.616,1.6627,1.6141,1.5988,1.5738,1.5777
"M848.316T959.199",1.7959,1.3963,1.2018,1.1368,1.0905,1.0713,1.0513,1.0425
"M672.592T1624.962",1.7911,2.2972,1.9735,1.9048,1.876,1.8467,1.8074,1.7953
"M803.31T992.353",1.7897,1.4181,1.1601,1.0979,1.0542,1.0347,1.0264,1.0177
"M809.345T941.458",1.7849,1.5192,1.2118,1.2062,1.1571,1.1459,1.2021,1.2131
"M862.322T959.199",1.7753,1.4229,1.1134,1.0579,1.0185,0.99831,0.97969,0.97363
"M933.598T1473.64",1.7749,1.6928,1.5408,1.5465,1.4866,1.4783,1.4554,1.4488
"M1093.415T940.951",1.7739,1.4496,1.1497,1.1095,1.0911,1.0701,1.0799,1.0736
"M519.184T799.156",1.772,1.3341,1.1362,1.0752,1.0969,1.0825,1.0613,1.0543
"M879.359T902.335",1.772,1.4255,1.147,1.0894,1.0551,1.0365,1.0455,1.037
"M850.324T910.27",1.7675,1.3893,1.144,1.0883,1.045,1.0239,1.0173,1.0108
