"","sample","condition","sodium_formate","M697.459T1191.472","M695.447T1189.727","M917.581T1308.231","M810.529T1306.211","M385.182T1540.093","M441.228T1306.216","M711.445T1221.644"
"1","C9.1","Control",4070413.164,55684.876,83081.174,34368.139,213262.994,294599.375,261605.726,58457.913
"2","C9.2","Control",3874278.07,31896.562,85123.951,39887.509,118128.393,406658.816,251885.263,53010.795
"3","C9.3","Control",3824225.78,37098.796,98764.798,67059.285,209014.243,202483.247,307642.299,50978.457
"4","C9.4","Control",4055654.438,71562.789,99779.163,41747.83,228748.6,308730.483,306964.215,82090.413
"5","X9.1","Xanthomonas",3999488.086,105354.099,97142.53,45448.735,299577.864,259132.135,282070.504,65139.613
"6","X9.2","Xanthomonas",3978044.09,67484.42,92575.631,68485.376,216925.928,224991.554,252492.58,63334.344
"7","X9.3","Xanthomonas",3825767.55,66900,82400,27800,199000,524000,242000,49300
"8","X9.4","Xanthomonas",4040030.701,131000,122000,50300,228000,212000,225000,78400
"9","D9.1","Drought",3969364.476,111944.303,105915.184,47160.955,203936.529,222388.915,215245.706,88703.875
"10","D9.2","Drought",3963523.235,48654.17,87808.375,44049.13,194861.675,202100.962,270183.793,53254.345
"11","D9.3","Drought",3748519.024,665881.902,128651.828,69950.821,119442.394,199966.87,208657.016,103285.031
"12","D9.4","Drought",4093395.228,51152.706,91936.174,32592.502,209988.837,147321.776,196752.29,55463.079
"13","F9.1","Fusarium",3922085.165,30936.349,94806.809,38489.281,182671.64,170852.391,232188.034,42774.535
"14","F9.2","Fusarium",4081197.404,58400,107000,21200,204000,317000,292000,57400
"15","F9.3","Fusarium",3906272.338,23958.044,81972.152,13771.314,112037.812,167310.542,152518.141,43321.796
"16","F9.4","Fusarium",4398137.214,3987.1729,11746.8246,7160.4891,38500.1179,155254.9021,47892.0152,10203.841
"17","D12.1","Drought",4036645.716,277117.269,182706.209,48972.723,226389.079,188657.032,190244.102,155516.821
"18","D12.2","Drought",3843867.149,276000,206000,90300,244000,234000,214000,154000
"19","D12.3","Drought",3845185.216,150678.262,120301.167,93593.596,252420.099,138642.876,218107.676,95820.48
"20","D12.4","Drought",4021607.908,142000,120000,50700,239000,159000,204000,82300
"21","F12.1","Fusarium",4043455.006,129000,126000,42900,185000,293000,231000,135000
"22","F12.2","Fusarium",3773975.074,94326.21,102252.782,53763.315,188470.657,231317.066,207633.023,71197.308
"23","F12.3","Fusarium",3345590.809,9214.0867,18034.6893,2184.1877,54354.6267,162434.2483,39304.6436,11876.8173
"24","F12.4","Fusarium",3565069.568,126038.528,106107.258,38215.561,216231.079,191669.895,240647.507,67808.492
"25","C15.1","Control",3977822.446,137572.763,116325.508,92649.707,168738.195,148661.543,229728.706,102449.748
"26","C15.2","Control",3907525.327,228447.064,167423.142,64002.073,153201.814,154717.139,231549.784,106714.933
"27","C15.3","Control",3448104.282,187283.4,128777.301,44982.186,162775.089,157083.69,212221.924,101793.614
"28","C15.4","Control",4002205.676,82705.2,114125.41,70877.455,181385.677,142641.185,240713.979,70451.133
"29","F15.1","Fusarium",4242375.803,0,15014.7187,5330.5988,54014.4857,132661.5534,42640.4636,7110.4351
"30","F15.2","Fusarium",4078872.611,60600,63800,44400,98300,149000,129000,38400
"31","F15.3","Fusarium",4313777.511,6515.7847,16365.9382,7895.4014,39610.2627,128531.9685,45873.2816,6448.2785
"32","F15.4","Fusarium",3963971.025,47200.126,86965.522,33404.838,131457.373,135375.192,158803.481,52657.281
"33","D15.1","Drought",4056292.061,4625.0849,17284.9886,0,68697.0775,190291.4128,41218.2465,3004.0937
"34","D15.2","Drought",3963080.543,128266.249,104406.609,45941.555,207750.172,169597.326,115663.891,135886.033
"35","D15.3","Drought",4082962.694,3362.4878,12174.7889,2228.3874,17253.1205,143601.4708,51320.4367,8924.035
"36","D15.4","Drought",4193593.668,2588.3252,17581.6724,9019.9182,75497.2714,123110.3952,40626.782,6290.6093
"37","X15.1","Xanthomonas",3742875.92,534594.482,281743.583,162064.821,168036.183,149520.849,136314.897,143071.013
"38","X15.2","Xanthomonas",3939108.748,762000,452000,108000,198000,135000,178000,231000
"39","X15.3","Xanthomonas",3533825.768,185085.512,136650.0674,64149.5654,179498.6279,148957.478,104802.0996,118936.1393
"40","X15.4","Xanthomonas",4923007.142,186617.685,119040.159,78964.098,103720.628,141404.984,195297.935,87909.88
"41","BLANK.2","Other",3680698.477,0,13450.2944,2115.8657,48631.3265,148508.3789,43358.4547,5467.3746
"42","QC.1","Other",4066641.635,147331.1733,126048.9958,61374.9686,230287.0154,172891.3326,207081.4396,77338.2661
"43","QC.2","Other",3879395.65,99500,134000,67700,220000,198000,255000,86200
"44","QC.3","Other",4076296.312,139952.827,125924.459,46004.327,193932.61,196275.241,247598.952,96719.521
"45","C12.1","Control",3985225.417,4925.6499,19392.7322,9064.5645,55297.2129,154762.1655,54151.5059,11971.5114
"46","C12.3","Control",3922751.054,109223.737,140032.114,37509.03,182034.03,215765.737,250071.336,78046.979
"47","C12.4","Control",3861917.098,157950.877,135717.609,53751.262,203708.284,256736.647,298747.713,103578.25
"48","X12.1","Xanthomonas",3815932.471,209734.842,160062.415,70911.576,214170.319,263580.529,212655.777,195832.604
"49","X12.2","Xanthomonas",3878102.735,130477.612,165981.274,108071.863,247530.165,167277.89,260177.934,134190.509
"50","X12.3","Xanthomonas",3825451.14,190000,146000,52900,264000,239000,245000,110000
