"",F.stat,p.value,-log10(p),FDR
M996.14T12.55,11.984,0.00010765,3.968,0.085912
M922.81T11.54,11.295,0.00015112,3.8207,0.085912
M1322.48T13.55,8.0522,0.00093405,3.0296,0.27025
M1183.77T11.73,8.0241,0.00095073,3.0219,0.27025
M1199.75T17.56,6.8224,0.0021046,2.6768,0.40469
M694.85T18.56,6.6232,0.0024194,2.6163,0.40469
M1296.07T17.56,6.4175,0.0028008,2.5527,0.40469
M1036.13T12.55,6.2779,0.0030981,2.5089,0.40469
M1394.72T17.56,6.0791,0.0035844,2.4456,0.40469
M1031.79T17.56,6.003,0.0037925,2.4211,0.40469
M1121.45T12.55,5.7571,0.0045638,2.3407,0.40469
M1289.74T12.55,5.7256,0.0046749,2.3302,0.40469
M990.29T17.56,5.6374,0.0050016,2.3009,0.40469
M680.86T11.54,5.5058,0.0055382,2.2566,0.40469
M1343.06T12.55,5.4978,0.0055725,2.254,0.40469
M1889.14T13.55,5.29,0.0065625,2.1829,0.40469
M1206.44T13.04,5.257,0.0067371,2.1715,0.40469
M1199.76T12.55,5.248,0.0067854,2.1684,0.40469
M854.18T12.55,5.1937,0.0070867,2.1496,0.40469
M906.16T14.49,5.1617,0.0072712,2.1384,0.40469
M1265.76T12.55,5.0838,0.0077431,2.1111,0.40469
M1031.8T12.47,4.9613,0.0085556,2.0678,0.40469
M1137.11T17.55,4.9472,0.0086552,2.0627,0.40469
M1282.25T13.55,4.8437,0.0094257,2.0257,0.40469
M1108.78T17.55,4.8349,0.0094945,2.0225,0.40469
M917.15T16.56,4.7818,0.009923,2.0034,0.40469
M1041.47T12.55,4.7647,0.010066,1.9971,0.40469
M953.15T13.55,4.7491,0.010198,1.9915,0.40469
M1334.74T12.55,4.7098,0.01054,1.9772,0.40469
M1520.03T13.55,4.6943,0.010678,1.9715,0.40469
M1141.78T12.55,4.6171,0.011396,1.9433,0.4119
M1212.43T14.57,4.5969,0.011593,1.9358,0.4119
M1398.72T17.56,4.4736,0.012879,1.8901,0.44376
M903.48T13.45,4.4197,0.013491,1.8699,0.44761
M802.84T12.55,4.3953,0.013779,1.8608,0.44761
M1028.47T13.54,4.353,0.014294,1.8449,0.45144
M1207.09T13.54,4.2811,0.015219,1.8176,0.4541
M1083.29T13.55,4.2529,0.0156,1.8069,0.4541
M943.31T17.56,4.2349,0.015848,1.8,0.4541
M1090.11T16.95,4.2258,0.015975,1.7966,0.4541
M1146.77T17.56,4.1507,0.017071,1.7677,0.46837
M896.82T11.73,4.1304,0.017381,1.7599,0.46837
M1045.29T17.55,4.0713,0.018322,1.737,0.46837
M989.8T12.54,4.0305,0.019004,1.7212,0.46837
M1024.13T17.48,4.0298,0.019016,1.7209,0.46837
M834.82T18.56,3.9942,0.019634,1.707,0.46837
M392.9T19.57,3.9933,0.019649,1.7067,0.46837
M1361.41T13.55,3.9863,0.019773,1.7039,0.46837
M1177.1T13.54,3.9631,0.020191,1.6948,0.46852
M702.37T13.55,3.8942,0.021494,1.6677,0.47949
M1442.72T13.1,3.8807,0.021759,1.6624,0.47949
M1312.74T17.56,3.8624,0.022125,1.6551,0.47949
M1068.29T16.56,3.8316,0.022757,1.6429,0.47949
M938.31T16.56,3.8308,0.022772,1.6426,0.47949
M1206.09T17.56,3.7742,0.023988,1.62,0.4959
M1458.71T13.55,3.6869,0.026004,1.585,0.51031
M1034.29T16.62,3.6828,0.026105,1.5833,0.51031
M1344.23T13.55,3.6775,0.026233,1.5811,0.51031
M1429.4T13.55,3.6674,0.026481,1.5771,0.51031
M1084.11T17.55,3.614,0.027833,1.5554,0.52744
M1034.8T17.55,3.5738,0.028904,1.539,0.53872
M536.9T12.55,3.5565,0.029376,1.532,0.53872
M1424.72T12.6,3.5288,0.030153,1.5207,0.53934
M842.82T11.54,3.5216,0.030359,1.5177,0.53934
M989.8T17.56,3.4811,0.031544,1.5011,0.5433
M1510.46T13.05,3.4717,0.031828,1.4972,0.5433
M780.84T11.73,3.4594,0.032202,1.4921,0.5433
M1446.44T13.6,3.4054,0.033903,1.4698,0.5433
M1008.13T17.48,3.3985,0.034126,1.4669,0.5433
M1814.39T13.55,3.3888,0.034445,1.4629,0.5433
M673.87T17.56,3.386,0.034538,1.4617,0.5433
M1125.78T12.55,3.3751,0.0349,1.4572,0.5433
M360.93T17.56,3.3616,0.035354,1.4516,0.5433
M1087.79T12.55,3.3579,0.03548,1.45,0.5433
M1429.22T13.55,3.3422,0.036021,1.4434,0.5433
M831.83T17.56,3.3336,0.036319,1.4399,0.5433
M936.81T11.55,3.3039,0.037373,1.4274,0.5433
M1002.47T16.93,3.2771,0.038354,1.4162,0.5433
M854.82T11.54,3.2715,0.038565,1.4138,0.5433
M956.3T17.56,3.2704,0.038603,1.4134,0.5433
M1295.25T13.55,3.2677,0.038705,1.4122,0.5433
M1048.79T12.55,3.2374,0.03986,1.3995,0.55269
M177.03T19.56,3.199,0.041379,1.3832,0.55586
M1207.43T13.55,3.1966,0.041478,1.3822,0.55586
M1434.47T13.55,3.1561,0.043151,1.365,0.55586
M631.86T17.56,3.1559,0.043161,1.3649,0.55586
M1463.45T13.55,3.152,0.043325,1.3633,0.55586
M1274.07T17.56,3.1439,0.043671,1.3598,0.55586
M380.92T18.56,3.1417,0.043766,1.3589,0.55586
M745.85T17.56,3.1363,0.043999,1.3566,0.55586
M1363.73T17.55,3.1128,0.045026,1.3465,0.55747
M1136.78T16.56,3.111,0.045107,1.3458,0.55747
M1481.21T13.55,3.0752,0.046726,1.3304,0.56278
M733.85T17.56,3.0476,0.04802,1.3186,0.56278
M1033.8T17.55,3.0432,0.048231,1.3167,0.56278
M1092.78T17.56,3.0424,0.048268,1.3163,0.56278
M1159.77T17.56,3.0372,0.048518,1.3141,0.56278
M1837.64T13.55,3.0354,0.048607,1.3133,0.56278
M1074.28T13.55,3.0272,0.049002,1.3098,0.56278
M1610.96T13.55,3.015,0.049597,1.3045,0.56392
M1094.04T13.55,3.002,0.050247,1.2989,0.56565
M1185.52T13.55,2.99,0.050851,1.2937,0.56684
M1364.73T12.54,2.9658,0.052093,1.2832,0.57434
M1208.09T12.61,2.9528,0.052774,1.2776,0.57434
M1440.47T13.55,2.9426,0.053313,1.2732,0.57434
M1537.7T13.55,2.9134,0.0549,1.2604,0.57434
M1034.8T12.55,2.9119,0.054981,1.2598,0.57434
M1004.8T12.55,2.9037,0.055434,1.2562,0.57434
M1318.74T12.55,2.8927,0.05605,1.2514,0.57434
M1107.44T17.56,2.8899,0.056212,1.2502,0.57434
M1024.79T17.56,2.8839,0.056554,1.2475,0.57434
M1025.8T13.55,2.8835,0.056575,1.2474,0.57434
M666.48T1403.51,2.8736,0.05714,1.2431,0.57494
M1026.79T12.54,2.8516,0.058423,1.2334,0.58269
M957.8T18.56,2.8385,0.059204,1.2277,0.58534
M816.51T13.55,2.8224,0.060176,1.2206,0.58862
M1427.4T13.43,2.8159,0.060571,1.2177,0.58862
M243.89T1588.97,2.78,0.062824,1.2019,0.5976
M1497.42T13.54,2.7777,0.062967,1.2009,0.5976
M940.15T17.55,2.7738,0.063217,1.1992,0.5976
M1101.78T16.56,2.7547,0.064463,1.1907,0.5976
M1190.77T11.72,2.7433,0.065215,1.1857,0.5976
M1058.13T12.55,2.742,0.065303,1.1851,0.5976
M1431.72T17.4,2.7356,0.065728,1.1823,0.5976
M1113.1T17.55,2.7287,0.066198,1.1792,0.5976
M772.84T17.56,2.7236,0.066539,1.1769,0.5976
M309.13T18.56,2.7131,0.067259,1.1723,0.5976
M1611.69T13.54,2.7129,0.067276,1.1721,0.5976
M1189.76T17.56,2.7046,0.067849,1.1685,0.59802
M1848.4T13.55,2.6953,0.068502,1.1643,0.59913
M1616.44T13.55,2.6845,0.069265,1.1595,0.60118
M1091.45T17.56,2.6741,0.07001,1.1548,0.60304
M1912.63T13.54,2.6636,0.070763,1.1502,0.60481
M593.89T12.55,2.65,0.071763,1.1441,0.60481
M1587.38T13.99,2.6407,0.072454,1.1399,0.60481
M1627.95T13.58,2.6401,0.072498,1.1397,0.60481
M888.82T18.56,2.6351,0.072875,1.1374,0.60481
M1141.03T13.55,2.6221,0.073862,1.1316,0.60856
M633.48T1420.61,2.5984,0.075689,1.121,0.61561
M633.48T1454.22,2.5755,0.077513,1.1106,0.61561
