"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M177.03T19.56","-0.016796377"," 0.187547007"," 0.147415197","-0.116056766"," 0.454617006"," 0.095965494","-0.107869446"," 0.144632563","-0.043164662"," 0.201222287","-0.057212008"," 0.229148586"," 0.025570688"," 0.109110983"," 0.073716847","-0.039223389","-0.444010598","-0.449513588","-0.449513588","-0.006625992"," 0.061039757"
"M186.96T7.54","-0.164489727"," 0.868111637","-0.060958588"," 0.001537345"," 0.029677963"," 0.057492120","-0.005030934","-0.239825369","-0.173189671","-0.006006186","-0.144859427","-0.190096569","-0.270240084","-0.189995631"," 0.674073406"," 0.009231889","-0.067023590"," 0.097111209"," 0.097111209","-0.100818418","-0.221812584"
"M205.07T813.54","-0.24183502","-0.03943720"," 0.42318219"," 0.40010448"," 0.10700634","-0.10541956","-0.23883361"," 0.16718195","-0.09835273"," 0.56733984"," 0.21125238","-1.16521119"," 0.30491171"," 0.19513959"," 0.07574133"," 0.09027476","-0.55657526","-0.19345158","-0.19345158"," 0.12603875"," 0.16439441"
"M217.03T22.06"," 0.209293445","-0.150109536"," 0.142257232","-0.223761302","-0.258998302"," 0.298307759"," 0.128299109","-0.029992353"," 0.155606009"," 0.308768208"," 0.185536055","-0.273798972","-0.144535834","-0.309530217"," 0.249275293","-0.004549062"," 0.105982013","-0.419849543","-0.419849543"," 0.356169530"," 0.095480011"
"M222.96T20.57"," 0.02160524"," 0.04821891"," 0.12613501","-0.14265431"," 0.24240177"," 0.20687937","-0.14539081"," 0.27425933","-0.01010412","-0.03272072"," 0.13395876"," 0.20479941"," 0.18250782"," 0.09355589"," 0.06483976"," 0.05276950","-0.50670305","-0.57247395","-0.57247395"," 0.20317635"," 0.12741378"
"M224.13T58.72"," 0.60923850"," 0.58617090","-0.21616979","-0.40916151"," 0.48300758","-0.37235036","-0.50869565","-0.15187946","-0.01778857"," 0.18251861","-0.20009766"," 1.32817258","-0.22030450","-0.49303522","-0.11331263"," 0.78234231","-0.44517522","-0.25900595","-0.25900595","-0.06922829","-0.23623973"
"M236.94T4.52"," 0.0126812248"," 0.1501370061"," 0.1362206960","-0.0855902197"," 0.0501578737"," 0.4542133783"," 0.0596262432","-0.6565074059"," 0.0625976967","-0.6116591004"," 0.0340747608"," 0.0460829147","-0.0134080814","-0.1679574111"," 0.1461050587"," 0.0001961735"," 0.1528790159","-0.0765309519","-0.0765309519"," 0.1278172722"," 0.2553948076"
"M243.89T1588.97","-0.11940910"," 0.29694387"," 0.24174562"," 0.16915264"," 0.08591989"," 0.13281144"," 0.21233567","-0.08396574"," 0.01777086","-0.07483526","-0.33495256","-0.13426552","-0.12292367"," 0.17697297","-0.07009283","-0.03350733"," 0.06953245","-0.15712549","-0.15712549","-0.08901431","-0.02596812"
"M245.03T22.3","-0.42312350"," 0.41766111"," 0.09749924","-0.50753839"," 0.07823103"," 0.08891422"," 0.19733565","-0.04802460","-0.15491684","-0.28491237"," 0.04815383","-0.36777387"," 0.31462537","-0.07842953"," 0.18102440","-0.07956485"," 0.17846938","-0.02964162","-0.02964162"," 0.16442701"," 0.23722594"
