"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"sodium_formate","4034768","3834774","3778849","4038728","3927945","3923776","3741009","4053882","3890744","4045781","3879945","4104744","3959808","3945214","3800063","4006431","3667732","4024050","4024050","3845071","4035455"
"M177.03T19.56","18351.68","19419.40","18736.83","17436.00","22888.46","18936.42","16220.33","20071.16","17453.06","20635.72","17276.61","21246.00","18416.25","19171.88","18126.19","18009.28","13327.47","14580.00","14580.00","17582.59","19121.19"
"M186.96T7.54"," 6980.777","12943.284"," 6991.086"," 7780.283"," 7705.939"," 7837.580"," 7176.182"," 6680.070"," 6693.797"," 7755.913"," 6798.739"," 6985.118"," 6397.864"," 6714.082","11312.587"," 7756.596"," 6758.931"," 8246.635"," 8246.635"," 6932.437"," 6727.683"
"M205.07T813.54"," 60902.89"," 68939.30","101295.09","106125.15"," 80133.66"," 66632.34"," 56615.30"," 87114.23"," 66475.87","122827.71"," 86610.76"," 27912.52"," 95839.95"," 86850.81"," 75459.63"," 80562.37"," 42186.74"," 63332.79"," 63332.79"," 79742.88"," 86509.76"
"M217.03T22.06","8187.210","6344.026","7381.325","6407.573","6108.270","8375.050","7249.684","7180.240","7657.757","8686.942","7767.483","6329.746","6571.656","5961.460","7888.136","7199.534","7018.118","5711.091","5711.091","8481.368","7675.806"
"M222.96T20.57","12284.744","11860.869","12238.549","11159.429","13626.056","13328.885","10320.101","14330.147","11626.351","11929.151","12624.191","13926.501","13258.976","12533.750","11869.502","12425.164"," 8172.888"," 8625.084"," 8625.084","13032.982","13079.498"
"M224.13T58.72","115012.74","106524.43"," 42745.00"," 36805.85"," 97208.86"," 37263.02"," 30496.97"," 49278.98"," 54958.22"," 71517.63"," 44685.57","261719.11"," 44585.04"," 32730.63"," 48232.16","138632.96"," 32103.78"," 43386.80"," 43386.80"," 51273.01"," 44633.21"
"M236.94T4.52","17568.04","18066.21","17661.28","16621.97","17474.34","22005.82","16733.29","12027.19","17432.72","12315.77","17102.38","18218.26","16985.69","15488.21","17861.35","17320.24","17306.44","16647.79","16647.79","17884.41","20194.17"
"M243.89T1588.97","361739.4","401168.1","387313.2","402961.9","380004.7","386255.5","379278.5","368258.5","367018.7","368768.2","321153.4","365992.6","354556.7","394774.1","346980.6","370817.5","352682.4","355770.9","355770.9","348637.0","374548.9"
"M245.03T22.3","4838.472","7360.014","6063.552","4619.818","6235.227","6265.940","6347.582","5996.357","5421.028","5241.678","6056.282","5077.186","7174.387","5737.210","6389.223","5822.534","6157.923","6013.752","6013.752","6405.158","7001.676"
