"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"sodium_formate","4034768.1","3834773.912","3778849.129","4038727.883","3927944.588","3923775.51","3741009.216","4053881.971","3890744.446","4045781.04","3879945.02","4104743.934","3959808.028","3945214.242","3800062.662","4006431.121","3667732.211","4024050.372","4024050.372","3845070.71","4035455.455"
"M177.03T19.56","18351.68","19419.402","18736.828","17435.998","22888.46","18936.422","16220.329","20071.162","17453.065","20635.722","17276.606","21246","18416.248","19171.878","18126.191","18009.275","13327.47","14579.999","14579.999","17582.59","19121.192"
"M186.96T7.54","6980.777","12943.284","6991.086","7780.283","7705.939","7837.58","7176.182","6680.07","6693.797","7755.913","6798.739","6985.118","6397.864","6714.082","11312.587","7756.596","6758.931","8246.635","8246.635","6932.437","6727.683"
"M205.07T813.54","60902.895","68939.3","101295.086","106125.148","80133.656","66632.343","56615.297","87114.227","66475.865","122827.71","86610.755","27912.524","95839.947","86850.81","75459.629","80562.371","42186.738","63332.788","63332.788","79742.875","86509.759"
"M217.03T22.06","8187.21","6344.026","7381.325","6407.573","6108.27","8375.05","7249.684","7180.24","7657.757","8686.942","7767.483","6329.746","6571.656","5961.46","7888.136","7199.534","7018.118","5711.091","5711.091","8481.368","7675.806"
"M222.96T20.57","12284.744","11860.869","12238.549","11159.429","13626.056","13328.885","10320.101","14330.147","11626.351","11929.151","12624.191","13926.501","13258.976","12533.75","11869.502","12425.164","8172.888","8625.084","8625.084","13032.982","13079.498"
"M224.13T58.72","115012.738","106524.429","42744.997","36805.852","97208.856","37263.017","30496.971","49278.981","54958.225","71517.632","44685.571","261719.115","44585.037","32730.628","48232.16","138632.96","32103.776","43386.797","43386.797","51273.011","44633.211"
"M236.94T4.52","17568.038","18066.211","17661.277","16621.965","17474.336","22005.82","16733.295","12027.19","17432.722","12315.775","17102.384","18218.258","16985.694","15488.206","17861.348","17320.241","17306.435","16647.794","16647.794","17884.412","20194.171"
"M243.89T1588.97","361739.409","401168.08","387313.248","402961.927","380004.722","386255.511","379278.507","368258.457","367018.701","368768.229","321153.36","365992.571","354556.728","394774.095","346980.561","370817.542","352682.415","355770.916","355770.916","348636.96","374548.908"
"M245.03T22.3","4838.472","7360.014","6063.552","4619.818","6235.227","6265.94","6347.582","5996.357","5421.028","5241.678","6056.282","5077.186","7174.387","5737.21","6389.223","5822.534","6157.923","6013.752","6013.752","6405.158","7001.676"
"M247.08T831.65","80185.008","93590.505","150929.22","123135.538","97808.481","101018.816","100767.98","129573.387","77404.907","166652.626","132346.87","42243.935","156968.298","133271.825","112318.79","106559.91","33687.275","86295.606","86295.606","113814.467","110407.011"
