"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"M177.03T19.56",-0.04044,0.023637,-0.031542,-0.00034252,0.00048986,0.010856,0.0070679,-0.0079922,-0.021565,0.021935,-0.013472,0.0090344,-0.037284,0.020843,-0.023488,-0.026249,-0.0030272,0.0077812,0.0042148,-0.031345,0.094665
"M186.96T7.54",0.00022623,0.011947,0.010311,0.02132,0.063262,0.034549,0.0021514,-0.054012,-0.0010979,0.017795,-0.0025901,0.020615,0.03495,0.01039,0.042512,-0.072903,0.033662,-0.074739,-0.01098,-0.1692,0.17041
"M205.07T813.54",0.030415,0.07044,-0.047479,0.052552,-0.012526,-0.022131,0.027506,0.025091,-0.038079,0.032341,0.0061732,-0.010981,0.0022432,-0.044184,0.0029898,-0.00523,0.039744,0.026233,0.0093739,0.049596,-0.043583
"M217.03T22.06",-0.0033235,0.0059318,-0.047774,-0.015211,0.028182,-0.0058385,0.062687,-0.0019836,0.031169,-0.0026692,0.0019558,-0.015738,0.052108,-0.009089,-0.027119,0.014938,-0.015927,0.011047,-0.047472,0.065111,-0.041807
"M222.96T20.57",-0.044964,0.029653,-0.043321,-0.0066828,-0.00043158,-0.0081211,0.010442,-0.00024074,0.014062,-0.0064741,0.0036699,0.015355,-0.044805,0.0033729,-0.019165,0.0026231,-0.0096764,0.012069,-0.0011736,0.055351,-0.061808
"M224.13T58.72",-0.096075,-0.0076128,0.023977,-0.0014432,-0.00062414,0.099444,-0.028892,-0.064614,-0.012011,0.030722,-0.0066698,0.0014103,-0.001061,0.077489,0.039687,0.059617,0.021683,0.051032,-0.055116,0.015042,0.0092386
"M236.94T4.52",-0.0056587,-0.0017436,0.00056261,-0.027358,0.074936,0.037924,-0.014543,0.036256,0.040019,-0.039551,-0.0041465,0.020857,0.023983,-0.0077032,-0.025542,0.0075977,-0.011894,-0.036392,0.041961,0.2178,-0.1544
"M243.89T1588.97",0.0042479,0.0048877,-0.018887,-0.009255,0.024196,-0.0041797,-0.040134,-0.0018773,-0.039777,0.0032825,-0.014688,0.022587,0.016098,0.0097987,-0.015026,-0.027365,-0.01204,-0.026141,0.0065483,-0.049741,0.063697
"M245.03T22.3",0.017985,0.0079336,-0.010413,-0.0049575,0.078578,-0.0084401,0.00062975,0.0031417,0.03834,0.034561,0.045857,0.031705,-0.042169,0.0097396,-0.0053738,-0.020462,-0.00084592,-0.021002,0.013886,-0.087454,0.024379
"M247.08T831.65",0.014974,0.091102,-0.034788,0.016212,-0.0093541,-0.056942,0.041974,0.010006,-0.029078,0.040654,-0.00096733,-0.020338,-0.027291,-0.046851,0.018752,0.00061604,0.029961,0.0048958,0.018857,0.089389,-0.1672
