"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"C9.1",-1.5168,0.1196,-0.81755,0.82608,0.46754,0.64598,-0.20947,-1.8813,0.59691,-3.1896,-2.176,-4.557,1.2458,2.7517,0.47759,1.7898,-0.9332,1.4989,0.05579,-1.3869e-15,-2.4289e-16
"C9.2",-2.7705,0.84286,-0.39511,2.7007,5.1091,0.78549,-3.4519,-3.3217,-0.41657,1.8077,0.060664,0.25579,-0.1182,-0.8551,1.8644,-1.7297,-0.34595,-0.77538,-0.58662,-3.5505e-15,1.7141e-15
"C9.3",-1.6753,2.5271,-0.67472,0.68446,2.8811,-4.059,-0.26045,1.7851,-2.2524,0.93026,-1.2927,0.8396,1.7567,1.1977,-2.6684,1.9648,2.6444,-0.24879,0.72082,-1.4826e-15,4.1628e-16
"C9.4",1.0333,0.92131,-1.5475,0.3396,-2.8684,1.0446,-2.4494,0.35207,-3.1464,-3.4183,0.17601,-0.68389,1.6174,-3.5458,0.36464,-1.2652,2.1225,-0.62793,0.47426,-7.2511e-16,-1.2981e-16
"D9.1",0.22397,1.3937,-1.055,0.46335,-0.16524,4.9849,0.16637,0.52291,-1.5347,0.31797,-1.957,0.80402,-4.153,1.951,-2.2992,-0.86281,1.3545,0.40774,0.39177,-2.6539e-15,2.9606e-16
"D9.2",-1.388,2.1559,-0.17051,-0.060291,1.5063,0.7444,2.2593,-0.01332,-0.68164,-2.1918,0.092227,1.1127,0.25642,-1.5708,-2.3612,0.75111,-4.264,-3.1143,0.24419,-1.7094e-15,4.6382e-16
"D9.3",5.3246,-0.77204,-1.5458,-8.1665,0.96624,-1.2377,-0.20483,-2.4146,-0.8104,0.8993,-1.0902,-0.49035,-0.55623,-0.20241,0.23867,-0.44672,-0.10377,-0.26473,0.21613,-4.7321e-15,3.6838e-15
"D9.4",0.18514,-0.11911,-1.6674,2.3101,-2.9805,-4.1572,0.52745,-4.2488,-0.07644,-1.2751,1.4643,1.7483,-2.4281,0.58608,-1.1853,-0.3087,-0.086198,1.1073,-1.2509,-1.8514e-15,-4.887e-16
"F9.1",0.44259,-0.44414,-1.371,0.26706,-2.8185,0.91647,-2.844,-0.23044,4.3,2.3646,-2.2458,0.58562,2.3017,-1.0815,-2.8513,0.051097,-0.59166,0.07303,-0.60448,-4.4463e-16,-7.0788e-16
"F9.2",-0.65799,0.827,-1.3143,1.203,-1.9387,0.65823,3.5164,-0.024784,-3.2829,4.3089,0.4339,-2.3343,1.6354,-0.60322,0.27052,-0.77915,-1.0136,0.93491,-1.5425,-1.6132e-15,7.0885e-16
"F9.3",-0.88553,-2.3475,-1.8678,1.2585,0.92226,-0.40665,3.2549,0.0091136,2.2618,0.32213,-2.2457,-0.064148,-1.9797,-3.9438,1.9715,2.0517,1.464,0.54978,1.3658,-8.846e-16,-2.0494e-15
"F9.4",-12.31,-6.6721,4.1358,-2.9115,-1.4067,-0.13057,-0.52081,0.35086,-0.41374,0.10859,0.49262,0.21708,-0.42469,0.22094,0.052429,-0.1248,0.20941,-0.19061,0.023335,3.3152e-15,-5.5455e-15
"X9.1",0.34791,3.2666,-1.1451,-0.14099,-0.80658,-0.39897,-1.9211,1.3309,1.4235,1.5375,4.4117,-3.2739,-2.363,0.026249,-0.27821,1.7418,0.19949,-1.7227,1.3596,-1.1124e-16,-2.0072e-15
"X9.2",0.43051,1.1745,-1.7254,0.85781,-1.9658,-2.7305,-1.5338,3.4523,-0.49975,0.33391,-2.5857,0.90825,-1.1298,1.6774,3.1416,-1.5677,-2.4726,-0.56806,1.1912,-1.5699e-15,-3.4781e-16
"X9.3",-0.84826,2.4362,-0.74827,-0.11252,-0.26886,0.41948,3.3543,-0.74015,2.8229,-0.66869,0.85401,0.3634,2.0068,2.2845,0.95503,-3.0878,2.422,-2.5163,0.80677,1.4743e-15,-2.9385e-15
"X9.4",0.098582,3.4323,-0.55458,-0.96801,-1.2461,2.718,-0.36371,-0.74672,-0.49902,0.23331,1.438,3.6908,1.6231,1.31,2.755,3.8774,0.035543,0.62545,-0.33146,-1.6836e-15,-2.215e-16
"BLANK_2",5.338,-12.624,-3.3453,1.5636,1.3157,0.69234,-0.067441,1.4057,-0.31529,-0.35716,1.7525,0.49839,0.7822,1.2625,-0.19825,0.2844,-0.10885,-0.5586,-0.32373,-8.3825e-16,9.2835e-17
"QC.1_Dup",4.5729,-0.24076,8.0875,0.99476,-0.15333,-0.1901,0.114,-0.02718,0.035349,0.10956,-0.27721,-0.15904,-0.085242,-0.093556,0.14498,0.098346,0.12971,-0.13239,-0.023298,-3.8896e-17,-5.0597e-15
"QC.1",4.5729,-0.24076,8.0875,0.99476,-0.15333,-0.1901,0.114,-0.02718,0.035349,0.10956,-0.27721,-0.15904,-0.085242,-0.093556,0.14498,0.098346,0.12971,-0.13239,-0.023298,-3.8896e-17,-5.0597e-15
"QC.2",-0.30737,2.7701,-0.47909,-1.4382,1.8473,-0.36445,0.14852,3.3808,1.6305,-1.6632,0.59388,-0.1576,-0.8578,-0.63067,0.39725,-0.56118,0.48247,1.0093,-4.9064,5.0671e-15,5.4375e-15
"QC.3",-0.21055,1.5928,0.11351,-0.66577,1.7566,0.25526,0.37151,1.0862,0.82301,-0.61935,2.3777,0.8553,0.95557,-0.64754,-0.93677,-1.975,-1.274,4.6458,2.7429,1.6768e-14,1.0851e-14
