"","sample","condition","sodium_formate","M177.03T19.56","M186.96T7.54","M205.07T813.54","M217.03T22.06","M222.96T20.57","M224.13T58.72","M236.94T4.52"
"1","C9.1","First_Time-Point_Control",4034768.1,18351.68,6980.777,60902.895,8187.21,12284.744,115012.738,17568.038
"2","C9.2","First_Time-Point_Control",3834773.912,19419.402,12943.284,68939.3,6344.026,11860.869,106524.429,18066.211
"3","C9.3","First_Time-Point_Control",3778849.129,18736.828,6991.086,101295.086,7381.325,12238.549,42744.997,17661.277
"4","C9.4","First_Time-Point_Control",4038727.883,17435.998,7780.283,106125.148,6407.573,11159.429,36805.852,16621.965
"5","D9.1","First_Time-Point_Drought",3927944.588,22888.46,7705.939,80133.656,6108.27,13626.056,97208.856,17474.336
"6","D9.2","First_Time-Point_Drought",3923775.51,18936.422,7837.58,66632.343,8375.05,13328.885,37263.017,22005.82
"7","D9.3","First_Time-Point_Drought",3741009.216,16220.329,7176.182,56615.297,7249.684,10320.101,30496.971,16733.295
"8","D9.4","First_Time-Point_Drought",4053881.971,20071.162,6680.07,87114.227,7180.24,14330.147,49278.981,12027.19
"9","F9.1","First_Time-Point_Fusarium",3890744.446,17453.065,6693.797,66475.865,7657.757,11626.351,54958.225,17432.722
"10","F9.2","First_Time-Point_Fusarium",4045781.04,20635.722,7755.913,122827.71,8686.942,11929.151,71517.632,12315.775
"11","F9.3","First_Time-Point_Fusarium",3879945.02,17276.606,6798.739,86610.755,7767.483,12624.191,44685.571,17102.384
"12","F9.4","First_Time-Point_Fusarium",4104743.934,21246,6985.118,27912.524,6329.746,13926.501,261719.115,18218.258
"13","X9.1","First_Time-Point_Xanthomonas",3959808.028,18416.248,6397.864,95839.947,6571.656,13258.976,44585.037,16985.694
"14","X9.2","First_Time-Point_Xanthomonas",3945214.242,19171.878,6714.082,86850.81,5961.46,12533.75,32730.628,15488.206
"15","X9.3","First_Time-Point_Xanthomonas",3800062.662,18126.191,11312.587,75459.629,7888.136,11869.502,48232.16,17861.348
"16","X9.4","First_Time-Point_Xanthomonas",4006431.121,18009.275,7756.596,80562.371,7199.534,12425.164,138632.96,17320.241
"17","BLANK_2","Other",3667732.211,13327.47,6758.931,42186.738,7018.118,8172.888,32103.776,17306.435
"18","QC.1_Dup","Other",4024050.372,14579.999,8246.635,63332.788,5711.091,8625.084,43386.797,16647.794
"19","QC.1","Other",4024050.372,14579.999,8246.635,63332.788,5711.091,8625.084,43386.797,16647.794
"20","QC.2","Other",3845070.71,17582.59,6932.437,79742.875,8481.368,13032.982,51273.011,17884.412
"21","QC.3","Other",4035455.455,19121.192,6727.683,86509.759,7675.806,13079.498,44633.211,20194.171
