"",F.stat,p.value,-log10(p),FDR
M996.14T12.55,4.6782,0.000125,3.9031,0.14212
M1092.78T17.56,3.5518,0.0013803,2.86,0.26144
M1206.76T17.55,3.5222,0.0014748,2.8313,0.26144
M854.18T12.55,3.5091,0.0015186,2.8185,0.26144
M834.82T18.56,3.3612,0.0021198,2.6737,0.26144
M1194.27T17.56,3.2984,0.0024453,2.6117,0.26144
M694.85T18.56,3.2628,0.002652,2.5764,0.26144
M1603.36T13.55,3.213,0.0029721,2.5269,0.26144
M1189.76T17.56,3.1821,0.0031901,2.4962,0.26144
M1310.08T13.55,3.1796,0.0032086,2.4937,0.26144
M1814.39T13.55,3.1568,0.0033813,2.4709,0.26144
M1108.78T17.55,3.1553,0.0033928,2.4694,0.26144
M978.14T17.55,3.1439,0.0034835,2.458,0.26144
M1199.76T12.55,3.1165,0.00371,2.4306,0.26144
M1316.25T13.55,3.1078,0.0037855,2.4219,0.26144
M665.47T1386.55,3.038,0.0044486,2.3518,0.26144
M612.87T18.56,3.0236,0.0046003,2.3372,0.26144
M910.8T18.56,3.0087,0.0047627,2.3221,0.26144
M906.16T14.49,3.0011,0.0048467,2.3146,0.26144
M1361.41T13.55,2.9856,0.005025,2.2989,0.26144
M666.48T1403.51,2.984,0.0050435,2.2973,0.26144
M1146.77T17.56,2.9365,0.005634,2.2492,0.26144
M1239.75T17.55,2.9152,0.0059213,2.2276,0.26144
M589.43T1437.43,2.8957,0.0061976,2.2078,0.26144
M1240.27T13.49,2.8797,0.006434,2.1915,0.26144
M1068.29T16.56,2.867,0.0066289,2.1786,0.26144
M1023.79T17.56,2.8642,0.006672,2.1757,0.26144
M1181.76T17.56,2.8596,0.0067441,2.1711,0.26144
M1627.95T13.58,2.8525,0.0068581,2.1638,0.26144
M633.48T1420.61,2.8336,0.0071694,2.1445,0.26144
M831.83T17.56,2.8238,0.0073356,2.1346,0.26144
M1889.14T13.55,2.8157,0.0074766,2.1263,0.26144
M573.47T1437.42,2.8001,0.0077551,2.1104,0.26144
M1446.44T13.6,2.7841,0.0080535,2.094,0.26144
M579.89T13.55,2.7495,0.0087363,2.0587,0.26144
M922.32T11.54,2.7483,0.0087621,2.0574,0.26144
M1422.39T13.55,2.7376,0.0089864,2.0464,0.26144
M1797.41T13.55,2.7235,0.0092898,2.032,0.26144
M634.48T1420.61,2.7199,0.009369,2.0283,0.26144
M631.47T1471.08,2.7181,0.0094082,2.0265,0.26144
M922.81T11.54,2.7036,0.009738,2.0115,0.26144
M938.31T16.56,2.7021,0.0097717,2.01,0.26144
