"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M996.14T12.55,4.6782,0.000125,3.9031,0.14212,Other - First_Time-Point_Control; Other - First_Time-Point_Drought; Third_Time-Point_Xanthomonas - First_Time-Point_Drought; Other - First_Time-Point_Fusarium; Third_Time-Point_Xanthomonas - First_Time-Point_Fusarium; Other - First_Time-Point_Xanthomonas; Third_Time-Point_Xanthomonas - First_Time-Point_Xanthomonas; Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas; Other - Third_Time-Point_Control; Other - Third_Time-Point_Drought; Other - Third_Time-Point_Fusarium; Other - Third_Time-Point_Xanthomonas; Third_Time-Point_Xanthomonas - Second_Time-Point_Control; Second_Time-Point_Fusarium - Third_Time-Point_Drought; Third_Time-Point_Xanthomonas - Third_Time-Point_Control; Third_Time-Point_Xanthomonas - Third_Time-Point_Drought
M1092.78T17.56,3.5518,0.0013803,2.86,0.26144,First_Time-Point_Control - Other; Third_Time-Point_Drought - First_Time-Point_Control; Second_Time-Point_Control - First_Time-Point_Drought; Third_Time-Point_Drought - First_Time-Point_Drought; Third_Time-Point_Fusarium - First_Time-Point_Drought; First_Time-Point_Fusarium - Other; First_Time-Point_Fusarium - Second_Time-Point_Fusarium; Third_Time-Point_Drought - First_Time-Point_Xanthomonas; Third_Time-Point_Fusarium - First_Time-Point_Xanthomonas; Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Xanthomonas - Other; Third_Time-Point_Control - Other; Third_Time-Point_Drought - Other; Third_Time-Point_Fusarium - Other; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Control - Third_Time-Point_Xanthomonas; Third_Time-Point_Drought - Second_Time-Point_Fusarium; Third_Time-Point_Fusarium - Second_Time-Point_Fusarium; Third_Time-Point_Drought - Third_Time-Point_Xanthomonas; Third_Time-Point_Fusarium - Third_Time-Point_Xanthomonas
M1206.76T17.55,3.5222,0.0014748,2.8313,0.26144,First_Time-Point_Fusarium - First_Time-Point_Control; Third_Time-Point_Drought - First_Time-Point_Control; Third_Time-Point_Fusarium - First_Time-Point_Control; First_Time-Point_Fusarium - First_Time-Point_Drought; Third_Time-Point_Drought - First_Time-Point_Drought; Third_Time-Point_Fusarium - First_Time-Point_Drought; First_Time-Point_Fusarium - Other; First_Time-Point_Fusarium - Second_Time-Point_Fusarium; First_Time-Point_Fusarium - Third_Time-Point_Xanthomonas; Third_Time-Point_Drought - First_Time-Point_Xanthomonas; Third_Time-Point_Fusarium - First_Time-Point_Xanthomonas; Third_Time-Point_Drought - Other; Third_Time-Point_Fusarium - Other; Third_Time-Point_Drought - Second_Time-Point_Control; Third_Time-Point_Fusarium - Second_Time-Point_Control; Third_Time-Point_Fusarium - Second_Time-Point_Drought; Second_Time-Point_Drought - Third_Time-Point_Xanthomonas; Third_Time-Point_Drought - Second_Time-Point_Fusarium; Third_Time-Point_Fusarium - Second_Time-Point_Fusarium; Third_Time-Point_Fusarium - Second_Time-Point_Xanthomonas; Third_Time-Point_Drought - Third_Time-Point_Control; Third_Time-Point_Fusarium - Third_Time-Point_Control; Third_Time-Point_Drought - Third_Time-Point_Xanthomonas; Third_Time-Point_Fusarium - Third_Time-Point_Xanthomonas
M854.18T12.55,3.5091,0.0015186,2.8185,0.26144,Other - First_Time-Point_Control; Other - First_Time-Point_Drought; Other - First_Time-Point_Fusarium; Other - First_Time-Point_Xanthomonas; First_Time-Point_Xanthomonas - Second_Time-Point_Drought; Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas; Other - Third_Time-Point_Control; Other - Third_Time-Point_Drought; Other - Third_Time-Point_Fusarium; Other - Third_Time-Point_Xanthomonas; Third_Time-Point_Xanthomonas - Second_Time-Point_Drought
M834.82T18.56,3.3612,0.0021198,2.6737,0.26144,First_Time-Point_Control - Other; Third_Time-Point_Drought - First_Time-Point_Control; First_Time-Point_Fusarium - First_Time-Point_Drought; Third_Time-Point_Drought - First_Time-Point_Drought; First_Time-Point_Fusarium - Other; First_Time-Point_Fusarium - Third_Time-Point_Xanthomonas; First_Time-Point_Xanthomonas - Other; First_Time-Point_Xanthomonas - Third_Time-Point_Xanthomonas; Second_Time-Point_Drought - Other; Second_Time-Point_Fusarium - Other; Third_Time-Point_Control - Other; Third_Time-Point_Drought - Other; Third_Time-Point_Fusarium - Other; Third_Time-Point_Drought - Second_Time-Point_Control; Third_Time-Point_Drought - Second_Time-Point_Drought; Third_Time-Point_Drought - Second_Time-Point_Fusarium; Third_Time-Point_Drought - Second_Time-Point_Xanthomonas; Third_Time-Point_Drought - Third_Time-Point_Control; Third_Time-Point_Control - Third_Time-Point_Xanthomonas; Third_Time-Point_Drought - Third_Time-Point_Fusarium; Third_Time-Point_Drought - Third_Time-Point_Xanthomonas
M1194.27T17.56,3.2984,0.0024453,2.6117,0.26144,Third_Time-Point_Drought - First_Time-Point_Control; Third_Time-Point_Drought - First_Time-Point_Drought; Third_Time-Point_Drought - First_Time-Point_Fusarium; Third_Time-Point_Drought - First_Time-Point_Xanthomonas; Third_Time-Point_Control - Other; Third_Time-Point_Drought - Other; Third_Time-Point_Drought - Second_Time-Point_Control; Third_Time-Point_Drought - Second_Time-Point_Drought; Third_Time-Point_Drought - Second_Time-Point_Fusarium; Third_Time-Point_Drought - Second_Time-Point_Xanthomonas; Third_Time-Point_Drought - Third_Time-Point_Control; Third_Time-Point_Drought - Third_Time-Point_Fusarium; Third_Time-Point_Drought - Third_Time-Point_Xanthomonas
M694.85T18.56,3.2628,0.002652,2.5764,0.26144,First_Time-Point_Control - Other; Third_Time-Point_Drought - First_Time-Point_Drought; Third_Time-Point_Fusarium - First_Time-Point_Drought; First_Time-Point_Fusarium - Other; Third_Time-Point_Drought - First_Time-Point_Xanthomonas; Third_Time-Point_Fusarium - First_Time-Point_Xanthomonas; Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Third_Time-Point_Control - Other; Third_Time-Point_Drought - Other; Third_Time-Point_Fusarium - Other; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Control - Third_Time-Point_Xanthomonas; Third_Time-Point_Drought - Second_Time-Point_Fusarium; Third_Time-Point_Fusarium - Second_Time-Point_Fusarium; Third_Time-Point_Drought - Second_Time-Point_Xanthomonas; Third_Time-Point_Drought - Third_Time-Point_Control; Third_Time-Point_Drought - Third_Time-Point_Xanthomonas; Third_Time-Point_Fusarium - Third_Time-Point_Xanthomonas
M1603.36T13.55,3.213,0.0029721,2.5269,0.26144,Second_Time-Point_Control - First_Time-Point_Control; Second_Time-Point_Drought - First_Time-Point_Control; First_Time-Point_Drought - Third_Time-Point_Xanthomonas; Second_Time-Point_Drought - First_Time-Point_Fusarium; First_Time-Point_Fusarium - Third_Time-Point_Xanthomonas; First_Time-Point_Xanthomonas - Third_Time-Point_Xanthomonas; Second_Time-Point_Drought - Other; Other - Third_Time-Point_Xanthomonas; Second_Time-Point_Control - Third_Time-Point_Xanthomonas; Second_Time-Point_Drought - Second_Time-Point_Fusarium; Second_Time-Point_Drought - Third_Time-Point_Xanthomonas; Second_Time-Point_Fusarium - Third_Time-Point_Xanthomonas; Second_Time-Point_Xanthomonas - Third_Time-Point_Xanthomonas; Third_Time-Point_Control - Third_Time-Point_Xanthomonas; Third_Time-Point_Drought - Third_Time-Point_Xanthomonas; Third_Time-Point_Fusarium - Third_Time-Point_Xanthomonas
M1189.76T17.56,3.1821,0.0031901,2.4962,0.26144,First_Time-Point_Control - First_Time-Point_Drought; First_Time-Point_Control - First_Time-Point_Fusarium; First_Time-Point_Control - Other; First_Time-Point_Control - Second_Time-Point_Control; First_Time-Point_Control - Second_Time-Point_Fusarium; First_Time-Point_Control - Third_Time-Point_Xanthomonas; Second_Time-Point_Xanthomonas - First_Time-Point_Drought; Second_Time-Point_Xanthomonas - First_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - First_Time-Point_Xanthomonas; First_Time-Point_Xanthomonas - Third_Time-Point_Xanthomonas; Second_Time-Point_Xanthomonas - Other; Third_Time-Point_Control - Other; Second_Time-Point_Xanthomonas - Second_Time-Point_Control; Second_Time-Point_Drought - Third_Time-Point_Xanthomonas; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Third_Time-Point_Drought; Second_Time-Point_Xanthomonas - Third_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Third_Time-Point_Xanthomonas; Third_Time-Point_Control - Third_Time-Point_Xanthomonas
M1310.08T13.55,3.1796,0.0032086,2.4937,0.26144,First_Time-Point_Drought - First_Time-Point_Control; First_Time-Point_Fusarium - First_Time-Point_Control; First_Time-Point_Xanthomonas - First_Time-Point_Control; Other - First_Time-Point_Control; Second_Time-Point_Control - First_Time-Point_Control; Second_Time-Point_Fusarium - First_Time-Point_Control; Second_Time-Point_Xanthomonas - First_Time-Point_Control; Third_Time-Point_Control - First_Time-Point_Control; Third_Time-Point_Drought - First_Time-Point_Control; Third_Time-Point_Fusarium - First_Time-Point_Control; First_Time-Point_Drought - Second_Time-Point_Drought; First_Time-Point_Drought - Third_Time-Point_Xanthomonas; First_Time-Point_Fusarium - Second_Time-Point_Drought; First_Time-Point_Fusarium - Third_Time-Point_Xanthomonas; First_Time-Point_Xanthomonas - Second_Time-Point_Drought; First_Time-Point_Xanthomonas - Third_Time-Point_Xanthomonas; Other - Second_Time-Point_Drought; Other - Third_Time-Point_Xanthomonas; Second_Time-Point_Control - Second_Time-Point_Drought; Second_Time-Point_Fusarium - Second_Time-Point_Drought; Second_Time-Point_Xanthomonas - Second_Time-Point_Drought; Third_Time-Point_Control - Second_Time-Point_Drought; Third_Time-Point_Drought - Second_Time-Point_Drought; Third_Time-Point_Fusarium - Second_Time-Point_Drought; Second_Time-Point_Fusarium - Third_Time-Point_Xanthomonas; Second_Time-Point_Xanthomonas - Third_Time-Point_Xanthomonas; Third_Time-Point_Control - Third_Time-Point_Xanthomonas; Third_Time-Point_Drought - Third_Time-Point_Xanthomonas; Third_Time-Point_Fusarium - Third_Time-Point_Xanthomonas
