"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M177.03T19.56","-0.03359321"," 0.17343974"," 0.13277979","-0.13416041"," 0.44402371"," 0.08065295","-0.12586529"," 0.12996053","-0.06030862"," 0.18729499","-0.07454090"," 0.21558878"," 0.00933157"," 0.09397145"," 0.05811146","-0.05631546","-0.46643399","-0.47200949","-0.47200949","-0.02328894"," 0.04526751"," 0.03642636"," 0.07793433","-0.09456751"," 0.13308882","-0.30956830"," 0.21103895"," 0.27542110"," 0.24644524","-0.29457742","-0.25562500","-0.38020471","-0.10054229"," 0.14754244"," 0.26656381"," 0.18949917"," 0.28835482","-0.14200673","-0.25151413"," 0.24854117"," 0.14034922"," 0.10093408","-0.07446256"," 0.36351503"," 0.22454813","-0.00656464","-0.06236676","-0.11596676"," 0.10559236","-0.46599681","-0.15372810"
"M186.96T7.54","-0.159292064"," 0.901212914","-0.052956818"," 0.011230832"," 0.040132975"," 0.068699698"," 0.004484786","-0.236669540","-0.168227742"," 0.003483139","-0.139129920","-0.185592794","-0.267908953","-0.185489120"," 0.701939181"," 0.019133614","-0.059186032"," 0.109390549"," 0.109390549","-0.093895992","-0.218168438","-0.327152533","-0.011489009","-0.249997958"," 0.140300815","-0.058343947","-0.359473479"," 0.525954214","-0.086643221"," 0.204283627"," 0.470778510"," 0.673279016","-0.183476935"," 0.253285379","-0.061773150","-0.068957541","-0.114141826"," 0.305115677","-0.260122608"," 0.060980457","-0.132472238"," 0.004960465"," 0.052575294","-0.125265489","-0.178762852"," 0.059033705","-0.053981411","-0.051326702"," 0.126051135","-0.164297317","-0.591500903"
"M205.07T813.54","-0.040864649"," 0.123202517"," 0.498209510"," 0.479502340"," 0.241912127"," 0.069716086","-0.038431660"," 0.290691478"," 0.075444577"," 0.615066056"," 0.326415707","-0.789371831"," 0.402337509"," 0.313354414"," 0.216568179"," 0.228349228","-0.295998786","-0.001644193","-0.001644193"," 0.257340116"," 0.288431855","-1.289205402"," 0.094478086"," 0.304542272"," 0.444307621"," 0.607604829"," 0.171317852"," 0.310592277","-0.531153915"," 0.274810004","-0.640999469","-0.066695598"," 0.369828102"," 0.417942643"," 0.333892298","-0.375489624"," 0.353777601","-0.029324213"," 0.277788284","-0.274024339","-0.348143674","-0.899793927","-1.415419696","-0.582817299","-0.432070508","-0.474496635"," 0.367386850"," 0.158171338","-0.077643980"," 0.281013027","-0.588761195"
"M217.03T22.06"," 0.193828413","-0.192835861"," 0.121709011","-0.272077257","-0.309988921"," 0.289591498"," 0.106692395","-0.063605069"," 0.136070045"," 0.300844956"," 0.168269634","-0.325913122","-0.186839205","-0.364356976"," 0.236841682","-0.036231681"," 0.082682853","-0.483053505","-0.483053505"," 0.351839613"," 0.071384391","-0.208639383","-0.270021319","-0.042527638"," 0.121178303"," 0.060358479","-0.156196016"," 0.071946544","-0.230798902","-0.314238513"," 0.047615148","-0.142370933","-0.004911592"," 0.298338282"," 0.093850135"," 0.002465709"," 0.265500837"," 0.450809004"," 0.204169420"," 0.218655525"," 0.057782272","-0.288247647"," 0.150116043","-0.110663847"," 0.236332703","-0.047299173"," 0.169021843","-0.142650337"," 0.346557318","-0.220827690"," 0.042896037"
"M222.96T20.57","-0.037221921","-0.009945716"," 0.069909821","-0.205571641"," 0.189070023"," 0.152663676","-0.208376305"," 0.221720288","-0.069720724","-0.092900432"," 0.077928301"," 0.150531957"," 0.127685630"," 0.036519807"," 0.007088879","-0.005281850","-0.578693276","-0.646104782","-0.646104782"," 0.148868514"," 0.071220428"," 0.336545537","-0.323454264","-0.071190814","-0.038796727","-0.103024725"," 0.193493187"," 0.262250171"," 0.047519048","-0.154223541","-0.153942364","-0.482966300","-0.215192175"," 0.182368798"," 0.199760816"," 0.157078808"," 0.069661458","-0.180397656"," 0.153891091"," 0.157278744"," 0.499697889"," 0.138539381"," 0.356703034"," 0.123502666"," 0.272361111","-0.016989751"," 0.400210630","-0.118864521","-0.066445130","-0.397402586"," 0.018742291"
"M224.13T58.72"," 0.460051769"," 0.439965401","-0.258682678","-0.426733089"," 0.350134753","-0.394679205","-0.513404074","-0.202700976","-0.085939562"," 0.088480430","-0.244687643"," 1.086071623","-0.262283030","-0.499767483","-0.169118390"," 0.610783869","-0.458092604","-0.295982868","-0.295982868","-0.130731362","-0.276158855","-0.565747416"," 1.370139708","-0.261459750"," 0.482275654","-0.373682669","-0.166101237","-0.541501486","-0.552840415"," 1.415995024","-0.089476190","-0.113254440"," 0.075479146"," 1.210749353","-0.002489579"," 0.290174721","-0.527086490","-0.021825139","-0.563023102","-0.429483508","-0.483755927","-0.558396464"," 0.664739216","-0.090101732"," 0.505750582","-0.268649593"," 0.878285924","-0.527377755","-0.456729196"," 1.297274706","-0.118425103"
"M236.94T4.52"," 0.055368820"," 0.181281808"," 0.168534134","-0.034650618"," 0.089698428"," 0.459822079"," 0.098371701","-0.557633772"," 0.101093630","-0.516550387"," 0.074965873"," 0.085965659"," 0.031470299","-0.110101523"," 0.177588448"," 0.043932173"," 0.183793554","-0.026352059","-0.026352059"," 0.160836395"," 0.277700340","-0.209627355","-0.033088032","-0.387174404","-0.609036089","-0.102816894","-0.576654988","-0.494835594"," 0.068789020"," 0.048180751"," 0.451375476"," 0.212998292"," 0.232093399"," 0.002517355","-0.380949686","-0.015847922"," 0.286656205"," 0.374429414"," 0.110477223"," 0.028914656","-0.565671159"," 0.002411029"," 0.227970312"," 0.152819609"," 0.154253270","-0.121911874"," 0.106475105"," 0.202498205"," 0.063427803"," 0.291888512","-0.439344560"
"M243.89T1588.97","-0.111000510"," 0.244072756"," 0.196998702"," 0.135090113"," 0.064107733"," 0.104097684"," 0.171917368","-0.080773779"," 0.005989017","-0.072987137","-0.294819832","-0.123670329","-0.113997795"," 0.141759431","-0.068942707","-0.037741938"," 0.050132231","-0.143165722","-0.143165722","-0.085079283","-0.031312367","-0.005088316"," 0.041907111"," 0.369626395"," 0.018502386"," 0.169212510"," 0.077796323","-0.163834630"," 0.197544478","-0.008475032"," 0.248550770","-0.330424876"," 0.040008033"," 0.025464483","-0.012513441"," 0.097919821","-0.081140931"," 0.275225827"," 0.047754924","-0.092948436","-0.414697421"," 0.019256531","-0.116234123"," 0.224182104"," 0.103932401"," 0.106148669","-0.042968444"," 0.013216382"," 0.025153679"," 0.138306176","-0.778891266"
"M245.03T22.3","-0.42074062"," 0.36865763"," 0.06808071","-0.50000670"," 0.04999061"," 0.06002060"," 0.16181173","-0.06854728","-0.16890822","-0.29096475"," 0.02175226","-0.36876834"," 0.27192655","-0.09709414"," 0.14649809","-0.09816008"," 0.14409934","-0.05128780","-0.05128780"," 0.13091578"," 0.19926208","-0.07725057","-0.08856752"," 0.05315738","-0.02183920","-0.18953331"," 0.11224194"," 0.39783378","-0.25215409","-0.27657019"," 0.10911065"," 0.27732806","-0.25723855"," 0.15613781"," 0.09604942"," 0.30927095","-0.02466251"," 0.32843881","-0.04750646","-0.10373263"," 0.24607152"," 0.02664051"," 0.42857687"," 0.08803381","-0.02238254"," 0.12253881"," 0.08718250","-0.12237529"," 0.04579507"," 0.18680797","-1.09465264"
