"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"sodium_formate","4034768.1","3834773.912","3778849.129","4038727.883","3927944.588","3923775.51","3741009.216","4053881.971","3890744.446","4045781.04","3879945.02","4104743.934","3959808.028","3945214.242","3800062.662","4006431.121","3667732.211","4024050.372","4024050.372","3845070.71","4035455.455","3963239.209","3909794.3","3819856.076","3998858.02","3805401.884","3801631.212","3974273.447","3999727.821","3766924.043","3340263.449","3555482.54","3798359.722","3837317.869","3790177.391","3934423.297","3867787.496","3442128.325","3960498.029","4037491.87","3920796.465","4069492.77","3868513.993","3964439.746","4037001.94","4030308.581","3922005.864","3735044.78","3901010.182","3528207.642","4862691.729"
"M177.03T19.56","18351.68","19419.402","18736.828","17435.998","22888.46","18936.422","16220.329","20071.162","17453.065","20635.722","17276.606","21246","18416.248","19171.878","18126.191","18009.275","13327.47","14579.999","14579.999","17582.59","19121.192","18693.0867","18842.358","16833.267","19830.886","14999.893","19630.716","21219.123","21036.46","14964.132","13540.051","13510.572","16686.742","19172.993","20143.453","20090.693","20789.589","14800","16088.496","21258.1779","19517.132","19847.364","17226.406","22156.27","20992.703","18590.212","17574.525","16277.832","19071.683","12823.386","20781.213"
"M186.96T7.54","6980.777","12943.284","6991.086","7780.283","7705.939","7837.58","7176.182","6680.07","6693.797","7755.913","6798.739","6985.118","6397.864","6714.082","11312.587","7756.596","6758.931","8246.635","8246.635","6932.437","6727.683","6168.768","7424.841","6241.794","8356.19","7016.352","5797.932","10589.333","7244.307","8195.375","8595.915","10395.049","6472.362","8610.327","6973.197","7205.886","6884.996","7980","6430.452","8025.5912","6899.205","7808.635","7649.083","7007.753","6899.47","8001.491","7251.251","6917.147","8078.855","6085.126","6407.413"
"M205.07T813.54","60902.895","68939.3","101295.086","106125.148","80133.656","66632.343","56615.297","87114.227","66475.865","122827.71","86610.755","27912.524","95839.947","86850.81","75459.629","80562.371","42186.738","63332.788","63332.788","79742.875","86509.759","15823.7332","68169.686","83305.415","101210.698","114615.269","71937.983","87233.458","35810.573","79589.74","26603.582","52211.587","88803","94432.203","85283.483","41579.759","88893.127","52600","83945.605","47539.7335","42660.617","24601.701","13502.313","33593.862","40168.164","38329.428","91455.601","69695.01","56621.324","75040.249","40945.373"
"M217.03T22.06","8187.21","6344.026","7381.325","6407.573","6108.27","8375.05","7249.684","7180.24","7657.757","8686.942","7767.483","6329.746","6571.656","5961.46","7888.136","7199.534","7018.118","5711.091","5711.091","8481.368","7675.806","6502.0529","6209.755","6841.472","7808.885","7196.194","6412.089","7561.677","6485.564","5844.737","6274.224","6040.867","6939.48","8228.437","7295.316","7216.126","8151.171","8000","8080.517","8300.8735","7404.329","6401.476","7670.698","6849.446","8377.72","7200.23","7854.807","6345.012","8580.785","5751.202","9111.158"
"M222.96T20.57","12284.744","11860.869","12238.549","11159.429","13626.056","13328.885","10320.101","14330.147","11626.351","11929.151","12624.191","13926.501","13258.976","12533.75","11869.502","12425.164","8172.888","8625.084","8625.084","13032.982","13079.498","14968.5218","10093.382","11404.852","12164.359","11155.084","13221.546","14380.86","12787.769","10721.126","9508.339","8372.283","10437.218","13260.344","13229.427","13399.117","12524.8","9650","13463.153","13751.7135","16268.66","13711.773","14781.54","13242.512","14693.24","12415.134","15366.567","10849.314","11679.061","8728.152","15291.01"
"M224.13T58.72","115012.738","106524.429","42744.997","36805.852","97208.856","37263.017","30496.971","49278.981","54958.225","71517.632","44685.571","261719.115","44585.037","32730.628","48232.16","138632.96","32103.776","43386.797","43386.797","51273.011","44633.211","30205.4491","359211.915","43054.821","117293.793","37127.92","48439.647","31248.827","30993.727","367107.404","46968.378","48489.044","66030.69","287215.355","59602.572","90143.59","30980.55","52800","30290.49","36664.6783","33204.752","31309.828","143478.286","55700.271","122041.735","45008.825","191431.166","29906.092","34205.585","295159.68","65877.04"
"M236.94T4.52","17568.038","18066.211","17661.277","16621.965","17474.336","22005.82","16733.295","12027.19","17432.722","12315.775","17102.384","18218.258","16985.694","15488.206","17861.348","17320.241","17306.435","16647.794","16647.794","17884.412","20194.171","14619.4184","16107.064","12608.698","11488.362","15007.591","11145.336","12263.632","17562.352","16328.183","18634.527","17086.231","18472.845","16164.7","12559.566","16384.355","19463.917","18300","17849.774","17291.2429","11573.983","17141.596","18765.547","18347.345","18699.932","15705.755","17632.074","17831.573","17071.519","17813.28","15535.325"
"M243.89T1588.97","361739.409","401168.08","387313.248","402961.927","380004.722","386255.511","379278.507","368258.457","367018.701","368768.229","321153.36","365992.571","354556.728","394774.095","346980.561","370817.542","352682.415","355770.916","355770.916","348636.96","374548.908","372061.9529","374617.32","422015.172","379273.931","385353.691","369978.88","348228.367","410049.453","353112.18","350116.37","289778.441","363639.994","365055.31","354669.011","386265.335","351297.408","365000","380441.025","364834.3245","308061.851","386099.831","346045.919","411163.607","397372.952","397096.352","362180.016","353439.633","371064.428","352517.347","326144.281"
