"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"M177.03T19.56",-0.02121,-0.034602,0.012767,-0.049834,0.00026662,-0.016346,0.0036045,0.022754,-0.017587,0.0058217,0.022826,0.0054728,0.0098641,-0.011264,0.034706,-0.00038288,2.2205e-05,0.026518,0.0086792,-0.01295,0.0063496,-0.020319,0.0090794,-0.010685,0.042508,-0.019954,-0.019548,-0.0083115,0.0041118,-0.020131,0.027866,-0.013641,0.024508,-0.019601,0.045841,-0.0074656,-0.035804,-0.0032008,-0.01655,-0.0027892,-0.019045,-0.0070328,0.052094,-0.006437,0.028437,0.01459,-0.0020986,0.0010474,-0.015593,-0.10325,-0.055416
"M186.96T7.54",0.0014076,-0.010583,-0.023434,-0.0068113,-0.040409,0.024097,0.033987,-0.053986,0.051566,0.012801,-0.013561,-0.046808,-0.015811,-0.0090801,-0.015047,-0.028694,0.053883,0.014323,0.021726,-0.0337,0.010707,0.022422,0.00081699,0.0033501,-0.06577,0.049198,0.0073497,0.030011,-0.0083455,-0.015246,-0.044858,0.0046317,-0.021765,-0.037117,0.05576,-0.038111,0.0011935,-0.0027765,-0.030974,-0.034911,-0.068416,0.0018099,0.06137,-0.044129,0.015536,-0.022621,0.0049508,0.01303,0.04261,-0.069152,-0.00052736
"M205.07T813.54",0.071742,-0.048944,0.02004,-0.029599,-0.11089,0.010293,-0.027522,0.0031001,-0.071873,-0.039817,0.083443,-0.037728,-0.0347,-0.0051109,0.018969,-0.00061949,-0.010151,-0.032119,0.0021139,-0.033583,-0.024833,0.021413,0.015039,0.0065468,-0.035548,0.024542,0.00066346,-0.0085123,-0.031552,-0.0027629,0.027375,-0.011067,-0.036177,0.054915,-0.0050097,0.03004,-0.033109,-0.032931,0.0022135,0.0085277,-0.0025431,-0.016283,0.0031289,-0.016551,0.0060548,-0.016364,-0.0077756,-0.015787,-0.0082533,-0.024774,-0.0088694
"M217.03T22.06",0.00019355,-0.013924,0.033063,-0.041105,-0.010161,-0.0010673,0.0082485,-0.04856,0.012836,0.0091298,0.010829,0.019627,-0.001616,-0.026367,0.021556,0.0087672,-0.0081095,-0.0041628,0.010782,-0.039963,-0.033357,0.034877,-0.026794,0.025128,0.014789,-0.0094077,-0.038354,0.042032,0.034095,0.064148,-0.030537,-0.012704,0.030973,-0.0010405,-0.021013,0.020171,-0.032126,-0.026005,0.031492,0.04007,-0.0074827,0.036994,-0.016331,0.015675,-0.02004,-0.0151,-0.021942,0.04943,0.013244,0.23311,0.0034972
"M222.96T20.57",-0.024265,-0.03186,0.019025,-0.05697,0.040295,-0.010379,0.018068,0.012786,-0.021926,-0.0024582,0.014625,0.021485,-0.012709,0.0010691,0.015223,0.028352,-0.003802,0.019737,-0.0052137,-0.0047216,0.0052027,-0.019157,-0.0094062,-0.01994,0.046081,-0.0055576,-0.023018,0.026812,0.0070091,0.021526,0.018459,-0.002505,-0.011893,0.0023557,0.021726,-0.004328,-0.015365,-0.01861,0.020915,0.0047451,0.050184,0.064642,0.023424,-0.021551,0.017795,-0.037009,-0.020637,-0.0088865,-0.038681,0.12138,0.020647
"M224.13T58.72",0.014913,0.019894,-0.03762,-0.052627,0.0063351,-0.077603,-0.0042729,-0.038773,-0.061509,0.058139,-0.087778,-0.11811,-0.010876,-0.014274,0.12862,0.048944,0.097411,0.070439,-0.047786,0.060194,0.20727,0.0028115,0.034886,0.052604,-0.12336,0.064832,0.011284,-0.015523,0.049882,0.035069,0.051061,-0.057717,-0.044433,0.051564,0.10212,0.047894,-0.0068978,-0.05503,0.043461,-0.014389,0.07042,0.0067624,0.0070949,0.11209,-0.043413,0.025228,0.035051,-0.028948,0.011814,0.012241,-0.019827
"M236.94T4.52",-0.0020302,0.024379,-0.023733,-0.016211,-0.021735,0.016594,0.008474,-0.06125,0.029883,0.034609,-0.0027601,-0.028601,-0.0022521,-0.013443,0.011766,0.0083217,0.0090078,0.021882,0.057456,0.042906,-0.018589,0.016816,0.0065747,0.027601,-0.0052712,0.075809,-0.014321,-0.055663,-0.0087769,0.013392,-0.033925,0.05279,0.054402,0.0010945,-0.043368,-0.00093789,0.027048,0.073164,0.040476,0.046209,-0.024839,0.024324,-0.014764,0.029288,0.023411,-0.029419,-0.0020876,-0.048302,-0.019056,0.20978,-0.0092824
"M243.89T1588.97",-0.0023637,0.00015306,-0.014494,-0.023989,-0.021599,0.020085,-0.028139,-0.022386,0.0041813,0.0040969,0.044302,-0.014646,-0.018194,-0.013292,-0.01471,0.023818,0.0045007,0.04147,-0.0065789,0.055147,-0.004696,0.053625,-0.01147,0.0058832,-0.0051072,-0.034074,0.028491,-0.04017,-0.0069913,-0.025731,-0.0033503,-0.0023377,0.00029732,-0.024105,0.013373,0.0010746,-0.010655,0.033093,-0.011097,0.0026774,-0.020656,-0.0004074,-3.9738e-05,-0.0052383,-0.011055,0.00581,0.012942,-0.014207,0.019428,8.2459e-05,-0.0010081
"M245.03T22.3",-0.0020496,-0.0078199,-0.053797,-0.032235,-0.012643,0.040395,0.01605,-0.05656,0.049508,0.024795,0.02376,-0.014468,-0.045482,-0.0092235,-0.010389,0.01566,0.0064028,0.022808,-0.025907,0.003688,0.00028397,0.019651,0.020414,-0.047473,0.041339,-0.018501,-0.033351,0.050425,-0.014294,-0.0011966,-0.02437,-0.015269,-0.014049,0.028847,0.019134,-0.024024,-0.0075117,0.0071294,0.044462,-0.029589,-0.012099,-0.0016778,0.042479,-0.038064,0.027064,0.014567,-0.0038566,0.021291,-0.0032626,-0.054916,0.040548
"M247.08T831.65",0.070788,-0.066047,0.013722,-0.040249,-0.11621,0.028182,-0.019227,0.017704,-0.075087,-0.012285,0.070222,-0.017198,-0.018965,-0.00082831,-0.0088048,0.0081692,-0.024359,0.0041614,0.011358,-0.02055,-0.017955,0.035014,-0.01787,-0.015449,0.0018988,0.018193,-0.0085529,0.0046565,-0.016308,0.0023014,0.0042651,0.026423,-0.014419,0.01169,0.031716,0.021308,-0.0099826,-0.023998,0.00052063,-0.028283,0.030169,-0.0047394,0.024231,0.018798,0.0038487,-0.014687,-0.0066158,-0.023625,0.0021414,0.10245,0.061308
"M250.96T20.39",-0.0066308,-0.017028,0.01163,-0.011641,0.035732,-0.005143,0.047032,-0.017326,-0.0094673,0.0047934,0.01817,0.0026971,-0.023392,0.0059687,0.024382,-0.0064154,-0.011809,-0.035038,-0.046931,0.0098288,-0.0010365,0.010378,0.022846,-0.011306,0.0028427,-0.0083042,-0.015196,0.011433,0.0084204,0.025299,-0.0052915,0.0038034,-0.0012815,0.0078647,-0.031859,-0.021111,-0.022582,0.031147,0.0038738,0.027521,0.024231,0.0081935,0.017072,-0.019104,0.00013465,-0.02613,-0.015279,0.020508,0.023341,0.34854,-0.010403
"M256.93T20.56",-0.0028726,-0.038303,-0.015765,-0.024161,-0.020329,0.0074513,0.013502,-0.0022953,-0.019068,-0.0084243,-0.0029013,-0.00075144,-0.03231,0.023098,0.051715,-0.00026406,-0.040039,-0.054476,-0.027654,0.021483,0.0061731,0.016772,0.02865,-0.017614,-0.020714,0.019415,-0.052164,0.018902,0.015414,-0.029435,0.0019596,0.018088,-0.016328,-0.032576,0.033143,-0.043054,-0.036978,0.048675,-0.022587,-0.00023363,-0.035404,0.01199,0.013367,0.0085853,-0.0054364,0.0031231,-0.020591,-0.035062,-0.034342,0.42649,0.021313
"M274.94T20.57",-0.011593,-0.029514,-0.014452,-0.011582,0.008761,-0.042153,0.01679,0.010816,-0.014299,0.0021072,-0.0067726,-0.016783,-0.055457,0.023905,0.016328,-0.010627,0.007316,0.010049,-0.0046116,-0.0073225,-0.017018,0.0011829,-0.030932,-0.021529,0.017353,0.0053912,0.009241,0.080508,-0.0050658,-0.024644,-0.0011432,0.044012,-0.0090176,-0.031869,0.0096313,0.030869,-0.02615,-0.0076793,-0.010222,0.043728,-0.012412,-0.0068955,-0.011328,0.021495,-0.0014319,0.035572,0.02408,0.013304,-0.023541,0.040797,0.0052313
"M277T22.59",-0.0065757,-0.00065846,-0.026011,-0.015955,-0.02307,-0.0014917,0.016526,-0.061775,0.027994,0.027393,-0.0077012,-0.023176,0.005578,0.017018,-0.030969,0.0084169,-0.0077425,-0.01287,-0.0004328,0.045204,-0.018577,0.014654,-0.037467,-0.0026215,0.009401,-0.034023,0.0047404,-0.0024586,0.010784,0.037516,-0.015742,-0.009381,-0.014856,-0.034748,-0.019023,-0.0062402,0.017659,-0.0029382,-0.04264,0.0066682,0.043762,0.0010674,0.014095,-0.048686,-0.049512,-0.030422,0.017326,0.040768,-0.057635,-0.013101,0.034273
"M302.93T20.57",-0.019019,-0.046631,0.00064295,-0.019405,0.014919,-0.012654,0.011569,0.044434,-0.012974,-0.032911,0.035588,0.032916,-0.036497,-0.016647,0.030461,-0.028282,-0.041884,-0.016041,-0.0057726,0.029072,-0.0067003,0.012932,0.0089309,-0.0013736,-0.0016095,-0.0064678,-0.023352,0.0079958,0.026418,0.010146,0.0097682,-0.0069721,-0.010041,-0.010398,-0.00085409,0.010582,-0.0031787,0.014698,-0.022514,-0.030476,-0.0011123,0.0034381,0.016775,0.024264,-0.027917,0.0022699,-0.005913,-0.0013729,-0.0070232,-0.17642,-0.017685
"M309.13T18.56",-0.021348,0.0045771,-0.036039,0.050465,0.025603,0.023233,-0.019349,0.0091056,0.032816,0.036308,0.013938,-0.025286,-0.0099924,-0.013356,-0.01835,0.036782,-0.10681,0.047291,0.0054948,-0.0099629,0.011006,0.03189,-0.0064784,-0.035295,-0.032066,0.0018821,0.0042887,-0.018661,-0.012934,-0.033523,-0.051197,0.032694,-0.036129,-0.01737,0.021123,0.012597,-0.0065243,-0.013,-0.041215,0.032965,0.029444,0.01115,0.0061808,0.0051262,-0.025534,0.0020666,-0.01401,-0.020591,-0.006833,-0.07878,0.021742
"M322.92T21.56",-0.0027439,-0.014415,-0.0037671,-0.029654,-0.0057079,0.024527,0.038902,-0.018342,0.004585,0.0078237,0.051526,0.00041294,-0.024641,-0.024737,0.0078461,0.025581,0.015831,-0.069675,-0.045996,0.013764,-0.018503,-0.0083349,-0.023905,-0.054735,-0.010601,0.0060527,-0.0075824,0.020167,-0.01861,-0.015007,-0.037524,-0.019211,-0.0089277,-0.0013834,0.010777,-0.051036,-0.039454,-0.045315,-0.01319,0.02429,-0.015769,0.037193,0.056684,-0.014746,-0.015046,-0.014201,0.027855,-0.059394,-0.003143,0.058122,0.016437
"M324.92T20.56",-0.016846,-0.041244,-0.011521,-0.01555,-0.012581,-0.031786,0.028205,0.0031731,0.00020682,-0.037087,0.045975,-0.015498,0.0055726,0.00708,0.02353,-0.020462,0.01523,-0.016806,0.036226,0.028334,-0.005321,-0.0058692,-0.046173,-0.0046527,0.033709,-0.012338,-0.027634,-0.053375,0.005767,0.026152,-0.038892,0.003579,-0.025618,-0.024412,-0.0060547,0.0081971,-0.00059304,-0.021921,-0.017041,0.027894,0.043551,-0.030018,0.019285,-0.036768,-0.018669,0.021012,0.029754,0.013909,-0.019122,0.066812,-0.9364
"M326.38T1622.84",0.0032777,-0.004755,-0.011566,0.0054541,-0.063067,0.019709,-0.0038437,-0.061271,0.0074196,0.023828,-0.027949,0.017178,-0.033101,-0.014628,0.0013514,0.0021642,-0.033149,-0.030308,0.0049597,0.0054068,0.020109,-0.0014169,-0.012487,-0.015581,0.02716,-0.01483,-0.0022049,-0.011511,-0.00042121,0.00016888,-0.0075878,0.032169,-0.025358,-0.0081182,0.011439,0.0038319,-0.028695,0.024246,-0.046881,-0.022532,0.0069188,-0.0001537,-0.0091753,0.0043587,-0.043925,-0.021995,0.039451,-0.006391,0.044617,0.085121,0.012816
"M337.06T22.56",-0.0080544,-0.03661,-0.0077836,-0.034323,-0.011156,0.010959,0.0079786,-0.048028,-0.0046124,-0.024097,-0.0010241,-0.029678,-0.026929,0.014717,0.0013145,0.0073574,0.0053304,0.012164,0.030249,0.017863,-0.0035451,0.008481,0.002772,-0.0013767,0.023236,-0.016445,-0.0020235,0.0078255,-0.018393,-0.0061363,0.015044,-0.0071385,-0.010977,-0.078268,0.018576,0.03456,-0.0098285,0.0088967,0.030946,0.010478,-0.028761,0.034678,0.039859,0.050329,0.036893,-0.031111,-0.033988,-0.0089383,-0.027554,0.15335,0.014246
"M338.34T1639.2",0.02369,-0.050554,0.073054,0.030126,-0.058413,-0.0078869,-0.0099278,-0.042151,0.14163,0.011561,-0.036405,-0.12435,0.047483,-0.15204,0.19468,-0.076927,0.00064475,0.059666,0.0586,-0.082995,0.063243,0.015234,-0.003657,0.020511,0.09505,-0.0046677,-0.0042985,-0.062269,0.023058,-0.030191,0.036798,0.01921,0.012372,-1.6693e-05,0.016727,-0.0091038,0.00061838,0.057673,-0.055318,0.068678,-0.0074216,-0.029331,-0.013603,-0.02848,0.045221,0.080952,-0.032259,0.0010605,-0.034831,0.099838,0.023738
"M341.27T1369.82",-0.026899,-0.015376,0.0694,-0.011101,-0.055783,0.0089624,-0.039774,0.0064725,0.11382,0.016629,0.0001121,-0.10132,0.014891,-0.09821,0.12464,-0.07325,0.0085472,-0.0019215,0.069341,-0.091781,0.0046934,-0.089769,0.00089033,0.010465,0.05303,-0.017615,-0.0027395,-0.033613,0.030893,0.0086541,0.04008,-0.015699,0.010281,-0.035399,-0.01577,-0.039066,0.055988,0.016607,-0.02055,0.011603,-0.0053981,-0.00045767,-0.014264,0.042367,-0.0056012,0.028839,0.0013149,0.019548,0.029785,0.10301,0.01707
"M349.25T12.55",0.0044248,0.0093723,0.025508,-0.080253,0.005639,0.012967,-0.011072,-0.016406,0.0042262,0.024266,-0.015859,0.022099,0.039543,0.035311,0.026734,0.044609,0.011413,0.0069044,-0.037524,0.023374,0.011556,0.018496,0.00040978,-0.022739,0.00018027,0.043366,0.011901,-0.026186,0.060216,0.0056994,-0.041898,0.010764,0.031588,-0.018301,0.004884,0.047184,0.032595,-0.0073843,0.032275,-0.0022347,0.042168,-0.035405,-0.0111,0.019085,-0.045667,0.00024524,-0.0087654,-0.025786,-0.054566,-0.043844,-0.043959
"M352.92T20.57",-0.01671,-0.032926,-0.00048427,-0.021526,0.010291,-0.040322,0.035782,0.007217,-0.0031802,-0.012456,0.0038463,0.026858,0.0063053,-0.017734,0.025533,-0.039629,0.016897,-0.0022866,-0.049449,-0.006729,-0.019437,0.046241,-0.017555,-0.011363,0.013175,-0.0060316,-0.010626,0.022594,-0.039906,-0.020113,-0.0021907,0.011138,-0.01013,-0.005689,-0.016979,0.012484,-0.028917,0.026247,0.0076163,-0.047708,0.020866,0.0088674,-0.04349,0.0054874,-0.021205,0.01517,0.04511,-0.018771,0.037427,-0.062965,-0.0027278
"M360.93T17.56",-0.049981,-0.047811,-0.00081542,-0.00055254,0.028932,-0.07228,-0.044652,-0.029819,-0.024186,-0.013574,-0.039005,-0.0020193,-0.021402,-0.012182,0.024581,0.0099798,-0.01675,0.043381,0.002935,-0.02289,-0.016689,-0.069855,0.0096255,0.024753,-0.003948,-0.013537,-0.015043,0.030415,0.014272,-0.011983,0.0085556,-0.021485,0.0053518,-0.024848,-0.012511,0.00676,-0.022803,0.00014621,-0.018927,0.030156,0.0038597,-0.018386,0.012512,-0.025632,-0.0081115,-0.054203,0.010627,-0.018975,0.031989,0.12413,0.0093113
"M372.36T1639.49",-0.0026835,-0.0020177,0.020964,0.030363,0.057101,-0.010411,-0.013735,-0.035158,0.037253,0.0073189,-0.031375,-0.049532,-0.058308,0.0010925,-0.06212,-0.046893,-0.026932,0.06742,0.033292,0.0080442,-0.020116,-0.0037799,0.053818,-0.017552,0.018417,-0.034004,0.0015409,0.012927,-0.031213,-0.036996,0.047325,0.040841,-0.03757,0.035812,0.0036549,-0.072311,0.028048,-0.035637,0.0034873,-0.031305,0.025397,-0.0033315,0.0087458,0.010236,-0.025131,-0.018748,0.016515,0.017357,-0.016489,-0.0049729,-0.010679
"M372.36T1624.16",-0.0031592,-0.0023391,0.018538,0.023393,0.033097,-0.0030286,0.0091023,-0.036538,0.040654,-0.019337,-0.016203,-0.044614,-0.047428,0.033826,-0.091867,-0.028194,-0.028495,0.090155,0.051276,-0.0044501,0.011225,-0.011403,0.072196,0.017813,0.037921,-0.037263,0.0049995,0.0086666,-0.06874,0.015025,0.048741,-0.02805,-0.016913,0.013909,-0.017169,-0.051977,0.01057,-0.042674,-0.0091305,-0.044401,-0.0049076,0.017791,-0.016813,0.038689,-0.010196,-0.019104,-0.024955,-0.012959,0.010152,0.075785,-0.0065477
"M380.92T18.56",-0.038351,-0.036417,0.019609,-0.036963,0.060845,0.0095136,0.021445,0.034409,-0.0050247,0.026281,-0.00018159,-0.032872,0.014497,-0.019301,0.0097061,0.015278,-0.0097029,-0.0034832,-0.017409,-0.0094496,-0.0086984,-0.0042739,0.0019409,0.0033221,-0.00095342,0.011609,-0.011307,-0.011362,0.0017934,-0.0067676,-0.023919,0.018512,0.01019,-0.0051263,-0.0065187,0.016272,-0.036639,-0.03587,0.0039661,0.0069115,0.00757,-0.01672,-0.0093333,0.020388,-0.0097685,0.0198,-0.021703,0.0023076,0.0086628,-0.061921,-0.0053202
"M382.31T1622.76",0.0084056,-0.0036664,-0.013786,-0.014496,-0.086324,0.026254,-0.015079,-0.038424,-0.049416,0.021696,0.01012,0.006159,-0.0072061,-0.025551,0.025988,0.0023699,0.025374,0.0072844,0.001644,0.04734,-0.023326,0.023735,0.0062525,0.045705,-0.0099317,0.045083,0.062244,-0.045636,0.033823,-0.032844,0.028601,0.034644,0.012584,-0.034615,-0.019111,0.018144,-0.067851,0.0010877,-0.046291,-0.00065171,-0.037056,0.016346,0.022579,-0.0060306,0.038056,0.02238,0.061986,0.0097853,-0.028754,-0.023608,0.0005585
"M385.29T1369.89",-0.029157,0.0007452,0.054179,0.007048,-0.083846,-0.003741,-0.045603,0.018173,0.081073,-0.013137,-0.007815,-0.11444,-0.0075077,-0.092144,0.14648,-0.057417,0.042912,-0.047188,0.034475,-0.14225,0.035955,-0.044476,-0.057617,-0.014891,0.053536,-0.0098214,-0.0076647,0.0064419,0.0054907,-0.020336,0.013783,0.022129,0.011441,-0.009735,-0.046336,-0.0048463,0.020357,0.026226,-0.010525,0.01414,0.021937,-0.037397,0.010673,-0.0028762,-0.002802,0.070192,-0.04016,0.021033,-0.023607,0.032929,0.012197
"M392.9T19.57",-0.017277,-0.041672,0.020735,-0.04166,0.018877,-0.026973,0.011621,0.017257,-0.016046,-0.028959,0.003715,0.004582,0.001665,0.0070438,0.0089099,0.0031466,-0.0044714,-0.002576,0.0063774,-0.017201,-0.0021157,-0.01929,0.036607,-0.018753,0.0013069,-0.012438,-0.023172,0.0065344,-0.011647,-0.025934,0.039666,-0.0056645,0.01503,-0.0081787,-0.017864,0.0028159,0.0045138,0.0011917,-0.02626,0.011482,-0.051936,-0.0010392,0.016693,0.012772,-0.017351,0.010494,0.021271,0.0070457,0.037796,-0.065316,-0.0031057
"M400.92T17.56",-0.030121,-0.02263,0.02366,0.031256,0.035041,0.014368,0.029133,-0.067091,-0.017762,0.0069383,0.034884,0.031932,0.0028734,0.053037,0.012012,0.0089868,0.009931,0.0054731,0.0091181,-0.021174,-0.016337,-0.011809,-0.0088316,-0.021827,-0.00031375,-0.0084028,-0.051547,-0.0024227,0.0094997,-0.0046169,-0.010398,-0.010793,0.015665,-0.00052914,-0.031571,0.0014455,0.0056086,0.0075475,0.019519,0.0069543,-0.005162,0.014996,0.0015003,0.033447,-0.045671,0.014236,-0.0091656,0.00078373,-0.0047984,-0.10013,-0.016529
"M408.91T18.56",-0.029846,-0.035498,-0.0042447,-0.048898,0.023322,-0.016574,0.02904,0.021965,0.015634,0.0021995,0.00042415,0.020385,-0.015244,-0.0096992,0.013074,0.020629,-0.015631,-0.0066484,0.016032,-0.010763,0.014085,-0.013873,0.0028557,-0.011651,-0.018722,-0.00043106,0.01949,0.016735,-0.032704,0.016432,-0.014158,0.033988,0.018324,-0.020588,0.0080199,-0.012754,-0.05884,0.013923,-0.0081888,0.001052,0.032457,0.0092454,-0.0072026,0.0053223,-0.0044698,0.0088899,0.018243,-0.0054461,-0.010767,0.035435,0.010509
"M408.91T11.54",0.0052411,-0.0036901,-0.020461,-0.043352,0.065072,-0.0043176,0.0141,0.013335,-0.030114,0.030264,0.0038815,0.015973,-0.033319,0.0022663,0.049375,-0.0048287,0.022476,0.003167,0.015107,-0.013205,-0.085832,0.013533,-0.05431,-0.010319,0.011001,-0.0175,0.013645,0.061448,-0.022775,0.024874,-0.00051326,-0.052703,0.023771,0.0080137,-0.009866,0.046217,-0.0085139,-0.033326,-0.001272,-0.0022231,0.03166,0.019973,-0.011012,-0.040342,0.026423,-0.030473,0.0086074,-0.0050704,-0.041091,0.14965,0.0013935
"M409.18T18.56",-0.0017402,-0.032111,-0.0038292,-0.012458,-0.0056963,-0.028144,0.054674,-0.039915,0.006529,0.021942,-0.034724,0.02176,0.035787,-0.0050272,0.0096331,-0.0027312,-0.018281,0.016986,0.0051663,-0.03829,-0.034703,-0.023831,-0.0087983,0.0094439,0.0079991,0.062872,0.041445,0.039902,0.048745,-0.0052784,0.018278,0.036567,0.0011687,-0.0060917,0.012523,0.052926,-0.016982,-0.045795,-0.031584,-0.014222,0.029545,0.041661,-0.00876,-0.011367,0.0018296,-0.0030381,-0.016376,0.031637,0.012337,0.17889,0.011264
"M411.2T18.56",-0.018926,-0.026079,-0.0054402,-0.01237,-0.031147,-0.046752,-0.012082,-0.051466,0.030936,0.079724,0.0087249,0.033994,0.022547,-0.0035006,0.014545,0.023862,-0.039617,0.02196,0.037947,-0.037742,0.040509,-0.014494,0.016892,-0.018189,-0.031549,0.037911,0.026913,-0.011431,-0.005132,0.015425,-0.012604,0.023551,-0.011711,-0.048744,-0.0050605,0.0060999,-0.035256,0.0063276,-0.014232,0.0002378,0.042894,0.0050501,0.039114,-0.0064441,-0.0089134,-0.011789,0.031298,-0.02269,-0.039301,-0.18715,-0.0074102
"M420.91T18.56",-0.035788,-0.026105,-0.040379,0.0039104,-0.024513,-0.055709,-0.037827,-0.0022865,-0.0066233,0.0118,-0.042553,0.035645,-0.022464,0.0266,0.023833,0.016991,0.028937,0.0030021,-0.032754,0.0074988,0.0030471,0.024698,0.029332,0.029881,0.012954,-0.0016855,-0.0023599,-0.000946,-0.024547,0.023759,0.006685,0.0062191,-0.035638,0.0055303,0.011983,-0.0023088,-0.002918,0.024697,0.021883,0.010087,-0.013723,-0.028506,-0.0015582,-0.044523,-0.021823,-0.036831,-0.002545,-0.015292,0.001671,0.005184,0.0044102
