"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"C9.1",-0.13387,0.18532,0.69922,-0.83954,0.019493,-1.2024,0.94232,-0.52972,0.38021,-0.65768,0.55912,-0.94249,0.92245,-0.1916,0.047906,0.029885,1.28,-1.0392,-0.46471,-1.4568,0.8258,0.085209,0.57359,1.316,-0.97234,-0.5736,-1.9264,-0.73632,0.54514,1.4757,1.6617,1.0373,-0.19993,-3.8214,-0.10425,1.8953,1.0974,0.53292,0.077006,1.0498,1.7197,-1.5319,-2.0075,-0.15709,0.26601,0.438,-0.34967,0.030617,-0.16833,-2.9065e-15,4.3406e-16
"C9.2",-1.0032,-0.40017,-0.26096,-1.5416,0.15416,-0.54312,2.7587,0.66291,1.1836,-0.082188,1.5332,-2.35,-0.75557,1.3606,0.034632,0.093297,3.2451,2.9318,0.23569,-0.15426,-1.0548,1.822,0.84893,-0.61496,-0.95431,1.8777,1.977,1.5392,-0.95503,-0.47025,0.63499,1.0524,-0.072824,0.19821,0.94756,0.57702,0.98085,0.3484,-0.77929,0.70873,-0.88553,-1.2981,1.5851,-1.0498,-0.17712,0.30523,-0.60002,0.57076,0.31582,-6.0195e-16,2.5533e-16
"C9.3",0.3911,-1.5187,-0.23082,-1.5453,-0.95054,0.16631,1.2772,-0.14647,-1.1969,-0.68436,1.7419,-0.87908,0.79522,2.4237,-1.8206,-1.2078,-1.355,2.4042,1.8328,-0.32031,0.38426,1.6676,1.8906,1.1976,0.56514,-0.61033,-0.13621,-1.0046,-1.434,1.5757,0.12993,-2.3204,0.50637,-0.041614,-1.2785,-0.55123,-0.94415,0.013446,0.4715,-1.7541,-0.41492,-0.066229,-0.99429,1.0298,0.47855,-0.75107,-1.6436,-0.7597,0.0048927,-7.5894e-16,1.1955e-15
"C9.4",1.9665,0.21987,2.3587,0.34859,-0.16668,-0.037457,-0.24324,1.2784,-0.43472,-0.47076,0.26434,0.15208,0.3427,0.031871,0.78514,0.046836,0.37312,-1.7171,0.68068,1.6762,-1.2873,0.18341,-1.1812,2.6343,-1.4555,-1.0185,0.063192,-0.95935,-2.6474,-0.71396,0.70744,1.6311,-1.9915,-0.79616,-0.97707,-1.9429,-0.67235,-0.18051,0.40802,-0.51878,-0.29795,-1.2611,1.4138,-0.36026,-1.5271,-1.5774,0.44457,-1.0486,0.021482,-1.6966e-15,8.1098e-17
"D9.1",1.375,-0.28512,0.80103,-0.48919,0.436,-0.30577,0.17924,0.85907,0.9926,-1.1594,0.32017,-0.38779,-0.77585,-2.114,3.2228,-0.70825,0.0045821,-0.9779,1.3578,0.491,0.52499,0.3829,1.9021,-1.5793,1.3219,0.99043,0.16892,-1.8485,-1.085,-2.8821,0.94445,-1.4433,0.38311,-1.3581,2.5157,0.09079,0.1906,-0.20865,1.3658,-0.51819,-0.38818,0.7516,-0.36588,-0.35364,0.66032,-0.53733,-0.23891,-0.66489,-1.1223,-1.4578e-15,7.7626e-16
"D9.2",0.33405,-1.2311,-0.69102,-1.0354,-0.39963,-0.08741,0.77647,-0.00071504,-0.3174,-0.47842,1.0571,-0.59161,-0.0072341,-0.75667,1.4052,-1.3239,-1.1426,0.40917,-0.22901,-0.40014,0.7937,1.2789,-1.472,0.65481,0.46129,0.20037,0.49575,-0.44653,-0.81391,0.91924,0.6926,1.443,1.4578,-0.94709,-2.1717,-1.7638,1.6133,0.086917,1.119,1.2693,-0.73419,3.1303,0.57122,-0.71351,1.5493,0.95823,1.1876,0.58935,0.86862,-1.4446e-15,1.6734e-15
"D9.3",4.6384,2.4102,-0.93895,-0.17671,0.43827,3.03,-2.9048,0.050667,0.15969,1.6845,1.6147,4.3655,3.4682,-3.3037,-1.8557,-1.4075,2.3722,0.87511,0.9269,0.11314,0.53546,1.0601,1.056,0.267,0.37015,-0.52383,-0.022582,0.92526,0.31472,0.58164,0.10011,0.20702,-0.52182,-0.064431,0.10953,0.66124,0.84471,-0.064394,0.79129,-0.063842,-0.71492,0.24626,0.97591,-0.022692,-0.16779,0.21697,-0.14732,-0.22495,-0.55523,-4.0766e-16,4.2067e-16
"D9.4",1.2775,1.02,2.258,-0.30416,-1.2405,-0.84578,0.86021,0.49538,-0.60816,-0.98051,1.049,-0.60709,-0.10715,0.87347,-3.1986,-1.7949,0.75438,-0.034394,-2.3077,0.27775,1.8057,-1.5922,-3.2275,0.96225,2.9113,-0.43067,0.52675,0.32795,-1.1802,-0.92667,0.68873,-0.11933,-0.38872,0.49378,1.4794,0.87898,-0.60284,-1.7027,0.70906,0.91242,-0.074717,0.049018,-0.054812,-0.023061,0.53101,-0.089064,-0.59392,0.51452,-0.87783,-4.597e-16,-8.64e-16
"F9.1",1.5076,1.2344,1.0309,-0.34879,-0.22112,-0.31699,-0.24518,-0.23957,-1.1274,-0.843,0.38274,-0.82009,-0.62597,-1.3239,-0.57404,2.1991,0.60821,-0.46643,-0.58549,1.271,-1.5711,-3.2508,2.6179,1.7912,0.72096,0.46144,1.6052,2.1988,-0.39397,0.16697,-0.4397,0.17588,1.166,-1.5488,-0.46637,-0.35031,-0.75542,0.070509,-0.084795,0.10693,-1.6653,1.4069,-1.3075,0.85519,-1.3222,1.2554,-0.38284,0.10808,-0.064979,-1.2663e-16,-2.2161e-16
"F9.2",1.05,0.21677,1.6479,-0.59216,-2.0622,-0.97237,0.089862,0.52731,-1.65,-1.0627,1.0034,-1.6266,0.57223,-0.97359,1.6065,-2.2917,-0.2927,0.65433,0.63414,-0.068555,-2.2226,-0.21662,-0.33121,-1.2361,-0.40434,-1.3884,-0.21458,-0.71829,2.4119,0.87938,-0.9758,-0.78895,-0.30757,-0.41169,0.0059789,-0.21057,0.97404,-3.9524,-0.99965,-0.374,-0.23132,-0.43169,0.54875,0.28274,-1.4061,0.90673,0.37822,0.5427,-0.19953,1.0755e-16,-1.0052e-15
"F9.3",-0.31609,2.5883,0.57925,-1.8216,-1.4007,0.0027804,0.90865,0.051681,-0.10209,-0.76275,1.3813,-0.14855,0.22663,-1.0052,-0.41853,-0.68392,-1.2226,-1.7009,-0.8267,-2.0369,-1.5831,0.21894,-0.15983,0.68696,0.39387,2.0407,-0.24955,2.446,1.2188,-1.3664,1.401,-0.094098,1.4343,1.4227,-0.32138,-0.80263,1.3946,0.55509,0.74558,-1.1215,2.4372,-0.52809,0.72406,1.7509,-0.32608,-0.65861,-0.035705,-1.2174,0.4305,7.3986e-16,-4.4859e-16
"F9.4",-9.1394,2.3914,-3.1315,-1.2183,-1.0208,-3.6178,0.62522,0.91804,-5.9205,0.40654,-4.867,-0.8225,2.1546,-1.5929,-0.89927,0.016815,1.2437,0.041805,0.40412,0.30381,-0.31044,0.42787,-0.05302,-0.49893,-0.0048908,-0.29206,0.061848,-0.32885,-0.66728,-0.56044,0.028909,-0.2605,0.078419,0.34917,0.083949,0.21314,0.34301,0.89636,0.24566,0.11531,0.07148,0.088981,0.17508,-0.027859,0.2595,-0.26083,0.064191,0.067268,0.044017,-2.3214e-15,3.0883e-16
"X9.1",2.2715,-1.7342,0.9349,-0.58182,-0.10863,0.26333,0.237,-0.023481,-1.0721,-0.2887,0.5476,-0.18802,-0.14249,1.1485,-0.22502,1.4153,0.24022,0.58541,0.40934,0.27424,-0.27698,-1.9098,-0.08364,-3.256,0.51603,0.21052,-0.58975,-0.20244,0.60053,-0.34922,0.21283,2.4348,-1.464,0.50968,-1.9226,1.0939,0.10036,0.085696,3.0957,-2.2993,-0.83243,-1.0423,-0.35457,0.15302,1.1708,0.82689,0.53943,-0.24859,0.12632,7.0386e-16,-3.3014e-16
"X9.2",1.6888,0.07608,1.5193,-0.66166,-0.96235,-0.22326,0.11829,0.066638,-0.5927,-0.52974,0.52521,-0.35499,-0.014014,1.3977,-1.6272,0.04664,-2.1986,-1.4873,1.6793,2.9674,0.045049,-0.021385,1.3566,0.4229,1.2843,-0.4001,-0.49238,0.24562,0.77655,0.30288,1.5157,0.16222,-0.99302,0.55308,0.70348,1.5461,1.2871,1.3745,-2.8991,-0.80755,0.19916,0.84558,1.1282,-1.4501,0.79302,0.77838,1.5098,-0.3665,-0.20813,1.0755e-16,-6.824e-16
"X9.3",0.97468,-1.2878,0.14216,-1.0863,-1.1624,-0.076877,0.91352,-1.0043,-0.23716,-0.45254,0.49049,-0.57909,-0.27726,-1.3628,0.48193,-1.0608,-0.38904,-0.37347,0.58538,-1.555,1.1933,-1.9071,-1.3173,0.85385,-0.50558,-0.094678,0.22195,0.28303,1.4962,1.5517,-2.2455,0.60567,0.51012,0.36681,1.9015,-0.54119,0.93171,2.0701,0.042655,-1.5829,-1.8613,-0.40058,-0.61035,-2.2261,-0.23633,-2.1725,-0.55236,-0.025586,0.28978,6.1062e-16,-4.9743e-16
"X9.4",1.897,-2.042,0.54068,-0.39347,-0.1783,0.10467,0.066097,0.33742,-0.099553,-0.44936,0.20965,-0.40197,0.46453,-1.171,2.1818,-0.18593,0.23241,0.66741,0.98537,1.5842,1.7384,-0.48564,-0.81543,0.84021,-0.067189,0.80286,1.0252,1.9059,0.4841,-1.1477,-2.3875,-1.4206,-2.6994,-0.064832,-1.8739,-0.60333,0.57217,0.72249,-1.1635,0.92622,1.0924,-1.0022,-0.86812,1.3108,2.1753,-0.083971,-0.21385,0.47614,-0.648,-1.6653e-15,1.2101e-15
