sample,condition,sodium_formate,M236.94T4.52,M392.9T19.57,M536.9T12.55,M680.86T11.54,M694.85T18.56,M788.84T18.56,M800.83T18.56,M801.83T17.56,M817.18T13.55,M831.83T17.56,M834.82T18.56,M842.82T11.54,M848.83T17.56,M854.18T12.55,M854.82T11.54,M910.15T17.55,M922.81T11.54,M949.48T13.55,M953.15T13.55,M968.81T12.55,M989.8T17.56,M996.14T12.55,M1001.81T17.56,M1003.47T13.55,M1004.8T12.55,M1008.13T17.48,M1031.8T12.47,M1033.8T17.55,M1064.79T12.55,M1068.29T16.56,M1069.79T17.56,M1092.78T17.56,M1121.45T12.55,M1137.11T17.55,M1155.78T12.55,M1158.1T13.08,M1171.77T12.55,M1175.76T17.47,M1189.76T17.56,M1199.76T12.55,M1206.09T17.56,M1206.76T17.55,M1220.5T13.6,M1228.76T12.55,M1235.75T17.56,M1282.25T13.55,M1288.74T16.98,M1307.75T12.55,M1310.08T13.55,M1322.74T13.55,M1333.74T16.56,M1334.74T12.55,M1343.06T12.55,M1361.41T13.55,M1363.73T17.55,M1367.73T12.55,M1394.72T17.56,M1401.05T13.55,M1402.73T12.55,M1422.39T13.55,M1440.47T13.55,M1468.4T13.55,M1504.04T13.55,M1505.38T13.55,M1592.69T13.55,M1603.36T13.55,M1627.95T13.58,M1634.68T13.55,M1660.67T13.55,M1814.39T13.55,M1889.14T13.55
C12.1,Control,3963239.209,14619.4184,11573.9625,13221.9922,10198.1194,40292.396,42270.823,18440.8259,23008.3723,11860.8508,14638.5884,12433.9313,9908.8772,39480.4118,6521.0749,7053.777,7531.8673,8007.3431,7559.5043,26826.6938,21965.5677,44500.1554,6569.841,27012.2274,14658.6193,9683.0817,16178.9653,10731.8178,36583.0003,13486.1498,17585.8002,26415.7588,27621.6652,7608.0023,14296.0598,21765.1023,12475.6874,8751.9085,10832.2634,8743.0218,7752.1131,5303.6223,11820.1113,11121.1607,7973.7537,17482.1949,16323.1878,11859.8524,8124.3792,18394.5316,22897.3322,14476.338,8715.5152,8373.4028,20920.2815,9819.8139,8517.2227,16047.8817,11796.8195,15432.396,12538.8289,14996.5926,20332.453,8888.821,18528.7251,9064.3025,10169.672,11005.4227,12358.5485,7780.9181,8149.3403,6779.5135
C12.3,Control,3909794.3,16107.064,10762.555,11271.714,9658.89,24591.554,27935.556,16362.942,20988.778,13109.21,11506.416,10100.715,8104.24,22465.194,7341.744,6746.178,7012.976,9040.714,8256.742,26160.246,22527.195,29949.58,5445.959,15159.342,14088.138,9452.272,9248.517,12970.796,36079.916,19261.612,10583.656,14413.11,14096.162,8469.332,7873.55,12731.281,12092.168,9417.494,10080.15,8270.039,6617.698,4650.17,13016.934,9741.687,8551.578,15943.688,15137.276,13662.866,7928.411,17405.425,21025.375,8022.095,9589.536,8101.317,18102.083,10591.68,7412.17,9562.881,11366.686,13263.268,10015.958,18477.266,22733.998,8758.508,18960.712,9683.528,10808.328,9738.869,12330.053,6865.812,6798.334,6093.31
C12.4,Control,3819856.076,12608.698,10946.929,13630.77,11133.951,26628.275,28914.377,18286.617,16841.983,12473.436,9193.976,11831.337,9063.638,26112.394,7850.202,7010.97,8567.589,9292.336,8789.394,30086.667,19608.65,30206.057,6831.06,18217.903,15769.6,12260.672,11494.476,14318.828,23627.314,15550.512,10991.053,17483.396,17480.111,8371.528,9071.329,17584.654,13211.907,8548.066,10290.736,11213.492,6913.08,6337.907,10772.174,10439.424,6917.093,10824.84,14371.398,11359.929,7226.035,19923.792,22832.968,13792.006,10208.534,9839.531,18668.15,12585.558,10247.725,12854.623,9890.49,12938.833,12991.241,16830.512,17974.137,8405.301,18280.659,9279.851,9801.606,9904.64,10943.744,6401.868,6809.521,5665.002
D12.1,Drought,3998858.02,11488.362,11540.518,11781.238,10872.52,27532.35,28122.114,18239.96,17295.732,11453.681,11480.338,13870.005,9582.662,26593.542,5544.584,7293.964,8088.834,8813.706,7738.863,32201.224,24832.274,28411.686,6416.686,14047.234,14712.004,10070.802,10505.161,13915.622,18654.976,20336.828,9662.902,16237.256,17149.294,7483.804,7223.032,14072.207,14590.418,10979.039,13492.592,12152.348,8220.588,8418.575,13614.722,10838.562,10360.648,8734.124,17451.776,10503.504,6551.586,18926.051,13799.274,7372.05,10376.63,8988.369,18318.702,10161.147,8964.517,9542.542,11599.773,12979.413,13730.433,18280.95,18039.75,9944.536,18668.305,6828.424,12047.231,11997.076,11601.749,6456.371,10871.598,7120.135
D12.2,Drought,3805401.884,15007.591,9608.645,12794.027,9681.031,24788.054,27296.13,16607.923,15712.065,11214.357,9107.201,12273.735,7954.506,23984.106,6352.331,6656.255,7723.308,7960.12,6970.326,27462.485,20294.086,25840.153,6714.665,12595.08,12817.778,9060.39,6931.954,10534.902,22468.304,14552.634,9830.885,13561.57,12753.805,8223.96,5982.71,11421.619,11747.27,8325.005,12098.163,9998.45,7215.591,5374.869,12543.199,8969.494,10501.931,8935.394,14917.2,7063.213,6358.365,17438.524,10141.814,7269.568,8483.855,7268.288,17392.411,9258.458,6312.37,9177.307,8707.157,11054.463,11377.744,16513.234,18114.171,8408.428,16445.01,7273.943,11406.962,13279.115,10371.29,5488.597,7547.761,6001.702
D12.3,Drought,3801631.212,11145.336,12235.54,14872.018,10264.661,27839.268,29901.436,19277.66,15872.587,12687.537,9923.682,10621.77,10863.358,26435.068,7159.828,8285.409,8649.872,7787.745,5052.6,30204.336,24221.566,26708.815,7400.91,16411.086,15019.938,11446.612,10808.328,13374.758,20483.266,19914.264,8917.641,14856.436,17875.466,8190.87,7893.155,11074.923,15385.82,9863.208,12794.268,9406.828,7145.364,5324.602,12327.917,9787.242,10748.368,11163.39,16377.73,11036.783,7365.838,11788.917,14922.16,8588.88,8934.364,8053.479,17725.493,11319.469,8007.702,10118.264,7371.115,13826.008,12809.767,16242.544,19609.104,8308.032,17015.133,8160.606,10650.895,11894.502,10695.51,4852.916,8342.105,7101.413
D12.4,Drought,3974273.447,12263.632,12100.857,12239.304,11339.149,29355.804,28293.266,20601.62,17572.619,12951.013,11783.244,14613.71,9486.714,26525.338,6845.353,7459.768,8307.816,9532.824,7177.9,28627.3,24547.215,30380.87,7643.822,13536.488,15261.984,10434.984,10345.242,12371.621,38481.447,16185.193,9806.866,16774.172,17995.826,8965.74,8363.014,15489.729,14461.251,9704.707,11225.859,13438.194,9124.755,7429.062,13981.82,10886.397,9450.374,9550.686,18132.614,7024.918,7886.883,13043.826,22969.511,5962.174,6906.536,8612.209,19091.927,11460.023,6746.275,10844.436,10513.122,14416.757,14190.21,19302.536,19943.244,9756.036,18149.518,8860.741,11132.2,11210.272,11966.248,6466.125,9722.008,7993.524
F12.1,Fusarium,3999727.821,17562.352,11431.932,14330.864,9339.792,27640.822,29808.69,17517.35,12968.491,13420.298,9192.948,11616.051,10734.24,20295.494,7842.463,8494.523,8179.979,8669.109,7494.368,29316.448,19192.444,28765.867,7704.031,15098.155,14658.207,10142.055,10159.782,12333.341,24669.611,14666.784,8298.325,13654.579,12180.009,8633.539,7493.171,12448.831,8166.048,9546.451,12364.885,10815.705,9370.026,5515.4,10837.77,9906.399,8253.714,9136.783,15254.109,9941.141,8663.635,19143.484,23034.607,9631.001,8793.429,8708.149,22655.511,12314.752,5381.165,12233.114,12193.369,12415.28,11338.662,18495.538,18349.338,7940.677,17821.533,7788.521,9502.658,10778.365,6510.768,6910.447,8896.715,7269.83
F12.2,Fusarium,3766924.043,16328.183,10312.182,14187.79,10178.42,24957.103,23672.312,14662.435,15873.223,14073.295,7335.227,12938.863,10148.336,19784.464,7419.763,7804.979,7838.409,9164.633,8440.222,27623.572,19118.344,26954.794,7263.346,14134.269,14167.457,9995.91,8137.11,13680.198,16833.534,15569.473,7647.961,11589.218,12543.459,8306.326,7157.986,12200.497,11332.362,10301.689,9341.94,8780.621,7734.79,4874.403,10889.574,9359.996,9250.865,10710.26,14036.433,9592.528,7267.534,19895.552,15110.693,6893.247,8960.715,8309.937,18407.023,9095.361,5037.417,13113.775,11059.859,11998.696,13603.985,16814.292,21036.597,8889.309,17645.269,7240.216,9084.737,8764.983,10258.9,6796.859,8280.768,7138.719
F12.3,Fusarium,3340263.449,18634.527,7485.376,10032.172,8587.539,19440.778,20490.36,13295.655,16870.784,12464.92,5864.136,9765.533,9532.57,17359.609,5971.599,5832.705,5763.792,7016.501,8090.155,25517.77,15862.871,35414.405,6270.58,10885.378,12431.315,9147.335,7234.418,10202.719,14557.989,12941.502,6845.506,10634.517,10174.939,8097.969,5663.447,11423.492,10320.299,7197.08,8201.683,7919.193,6073.477,4119.977,10152.863,9010.702,7616.425,7871.027,14143.004,8322.578,6454.7,17481.388,19887.286,6634.669,8082.527,6976.555,15264.732,7800.328,5189.031,7760.841,9589.872,12183.998,12013.928,12661.566,15774.426,7052.464,17495.434,7825.69,7623.336,9107.9,9071.781,7079.609,6785.939,6427.099
