"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M1889.14T13.55,8.7958,0.00090965,3.0411,0.32138,Second_Time-Point_Drought - Other; Second_Time-Point_Fusarium - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Drought - Second_Time-Point_Control; Second_Time-Point_Fusarium - Second_Time-Point_Control
M922.81T11.54,8.3171,0.001185,2.9263,0.32138,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas
M1367.73T12.55,8.3033,0.0011942,2.9229,0.32138,Other - Second_Time-Point_Fusarium; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Drought - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium
M996.14T12.55,8.2337,0.0012421,2.9058,0.32138,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas
M1627.95T13.58,8.0079,0.0014133,2.8498,0.32138,Second_Time-Point_Drought - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Drought - Second_Time-Point_Control; Second_Time-Point_Xanthomonas - Second_Time-Point_Control; Second_Time-Point_Drought - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium
M1004.8T12.55,7.3054,0.0021446,2.6687,0.37982,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas
M1634.68T13.55,6.5839,0.0033803,2.4711,0.37982,Other - Second_Time-Point_Xanthomonas; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Control - Second_Time-Point_Xanthomonas; Second_Time-Point_Drought - Second_Time-Point_Xanthomonas; Second_Time-Point_Fusarium - Second_Time-Point_Xanthomonas
M831.83T17.56,6.5157,0.0035342,2.4517,0.37982,Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Drought - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium
M236.94T4.52,6.3225,0.0040154,2.3963,0.37982,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Second_Time-Point_Fusarium - Second_Time-Point_Control; Second_Time-Point_Fusarium - Second_Time-Point_Drought; Second_Time-Point_Xanthomonas - Second_Time-Point_Drought
M1361.41T13.55,6.1588,0.0044822,2.3485,0.37982,Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Fusarium - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Xanthomonas - Second_Time-Point_Drought
M1334.74T12.55,6.098,0.0046709,2.3306,0.37982,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas
M1121.45T12.55,6.0902,0.0046959,2.3283,0.37982,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas
M800.83T18.56,5.9775,0.0050723,2.2948,0.37982,Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Drought - Second_Time-Point_Fusarium
M1155.78T12.55,5.9388,0.0052095,2.2832,0.37982,Second_Time-Point_Control - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Control - Second_Time-Point_Drought; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Second_Time-Point_Drought; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium
M1394.72T17.56,5.9144,0.0052983,2.2759,0.37982,Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Fusarium - Other; Second_Time-Point_Control - Second_Time-Point_Drought; Second_Time-Point_Control - Second_Time-Point_Xanthomonas
M1199.76T12.55,5.9017,0.0053449,2.2721,0.37982,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas
M1228.76T12.55,5.6738,0.0062706,2.2027,0.39939,Other - Second_Time-Point_Control; Second_Time-Point_Drought - Second_Time-Point_Control; Second_Time-Point_Xanthomonas - Second_Time-Point_Control; Second_Time-Point_Drought - Second_Time-Point_Fusarium
M1033.8T17.55,5.5995,0.0066109,2.1797,0.39939,Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium
M1603.36T13.55,5.5626,0.0067871,2.1683,0.39939,Second_Time-Point_Drought - Other; Second_Time-Point_Drought - Second_Time-Point_Fusarium; Second_Time-Point_Drought - Second_Time-Point_Xanthomonas
M1092.78T17.56,5.5146,0.0070253,2.1533,0.39939,Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Drought - Second_Time-Point_Fusarium
M854.82T11.54,5.1982,0.0088526,2.0529,0.43621,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Xanthomonas
M1235.75T17.56,5.1812,0.0089656,2.0474,0.43621,Second_Time-Point_Control - Other; Second_Time-Point_Control - Second_Time-Point_Drought; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Control - Second_Time-Point_Xanthomonas
M854.18T12.55,5.0901,0.0095967,2.0179,0.43621,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas
M1068.29T16.56,5.0679,0.0097579,2.0106,0.43621,Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Control - Second_Time-Point_Fusarium
M1171.77T12.55,5.0469,0.0099138,2.0038,0.43621,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Other - Second_Time-Point_Xanthomonas
M968.81T12.55,4.9585,0.010599,1.9747,0.43621,Other - Second_Time-Point_Fusarium; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Drought - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium
M801.83T17.56,4.8991,0.011091,1.955,0.43621,Second_Time-Point_Control - Other; Second_Time-Point_Xanthomonas - Other; Second_Time-Point_Control - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Second_Time-Point_Drought; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium
M1158.1T13.08,4.8444,0.011566,1.9368,0.43621,Other - Second_Time-Point_Fusarium; Second_Time-Point_Drought - Second_Time-Point_Fusarium; Second_Time-Point_Xanthomonas - Second_Time-Point_Fusarium
M1137.11T17.55,4.8442,0.011568,1.9367,0.43621,Second_Time-Point_Control - Other; Second_Time-Point_Control - Second_Time-Point_Drought; Second_Time-Point_Control - Second_Time-Point_Fusarium
M680.86T11.54,4.8394,0.011611,1.9351,0.43621,Other - Second_Time-Point_Control; Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium
M1592.69T13.55,4.8082,0.011893,1.9247,0.43621,Other - Second_Time-Point_Drought; Other - Second_Time-Point_Fusarium; Second_Time-Point_Control - Second_Time-Point_Drought
M989.8T17.56,4.7194,0.012742,1.8948,0.45274,Second_Time-Point_Control - Other; Second_Time-Point_Drought - Other; Second_Time-Point_Fusarium - Other; Second_Time-Point_Xanthomonas - Other
M1003.47T13.55,4.6379,0.013582,1.867,0.46795,Other - Second_Time-Point_Xanthomonas; Second_Time-Point_Control - Second_Time-Point_Xanthomonas; Second_Time-Point_Drought - Second_Time-Point_Xanthomonas; Second_Time-Point_Fusarium - Second_Time-Point_Xanthomonas
M1422.39T13.55,4.5968,0.014028,1.853,0.46911,Other - Second_Time-Point_Xanthomonas; Second_Time-Point_Control - Second_Time-Point_Xanthomonas; Second_Time-Point_Drought - Second_Time-Point_Xanthomonas; Second_Time-Point_Fusarium - Second_Time-Point_Xanthomonas
M817.18T13.55,4.3862,0.016596,1.78,0.53913,Second_Time-Point_Fusarium - Other; Second_Time-Point_Fusarium - Second_Time-Point_Control; Second_Time-Point_Fusarium - Second_Time-Point_Drought; Second_Time-Point_Fusarium - Second_Time-Point_Xanthomonas
