"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"M177.03T19.56","-0.36035990","-0.36549562","-0.36549562"," 0.04783090"," 0.11097979"," 0.10283600"," 0.14106993","-0.01782539"," 0.19187397","-0.21586743"," 0.26367559"," 0.32297944"," 0.29628912","-0.20205899","-0.16617905","-0.28093220","-0.02332889"," 0.20518753"," 0.31482080"
"M186.96T7.54","-0.09783244"," 0.06695149"," 0.06695149","-0.13176147","-0.25323794","-0.35976998","-0.05120851","-0.28435133"," 0.09716635","-0.09700930","-0.39136371"," 0.47414359","-0.12467188"," 0.15970969"," 0.42020917"," 0.61815406","-0.21932696"," 0.20760903","-0.10036135"
"M205.07T813.54","-0.35163999","-0.05686908","-0.05686908"," 0.20248153"," 0.23361724","-1.34625113"," 0.03938915"," 0.24975045"," 0.38971348"," 0.55324165"," 0.11633760"," 0.25580901","-0.58712769"," 0.21997613","-0.69712860","-0.12201249"," 0.31512862"," 0.36331121"," 0.27914199"
"M217.03T22.06"," 0.14154659","-0.42038551","-0.42038551"," 0.40889378"," 0.13032409","-0.14781682","-0.20878600"," 0.01717797"," 0.17978322"," 0.11937231","-0.09572610"," 0.13088246","-0.16982733","-0.25270584"," 0.10671466","-0.08199398"," 0.05454109"," 0.35575213"," 0.15263879"
"M222.96T20.57","-0.42641677","-0.48694338","-0.48694338"," 0.22683789"," 0.15712010"," 0.39534723","-0.19724584"," 0.02925353"," 0.05833916"," 0.00067086"," 0.26690499"," 0.32863974"," 0.13583938","-0.04529894","-0.04504648","-0.34046660","-0.10004075"," 0.25691675"," 0.27253250"
"M224.13T58.72","-0.45131650","-0.29914257","-0.29914257","-0.14401943","-0.28053358","-0.55237307"," 1.26486242","-0.26673540"," 0.43141604","-0.37208010","-0.17722146","-0.52961319","-0.54025715"," 1.30790723","-0.10529281","-0.12761368"," 0.04955232"," 1.11524118","-0.02363766"
"M236.94T4.52"," 0.23369538"," 0.03519405"," 0.03519405"," 0.21201028"," 0.32239874","-0.13792584"," 0.02883132","-0.30563486","-0.51520295","-0.03703382","-0.48461613","-0.40733044"," 0.12506330"," 0.10559695"," 0.48645047"," 0.26128187"," 0.27931890"," 0.06246379","-0.29975506"
"M243.89T1588.97"," 0.036432663","-0.173679050","-0.173679050","-0.110540041","-0.052096283","-0.023591168"," 0.027492092"," 0.383717593"," 0.002051539"," 0.165870978"," 0.066503078","-0.196145815"," 0.196667364","-0.027272474"," 0.252110369","-0.377226687"," 0.025427825"," 0.009619225","-0.031662158"
"M245.03T22.3"," 0.14425712","-0.08583463","-0.08583463"," 0.12873189"," 0.20921788","-0.11640887","-0.12973593"," 0.03716205","-0.05115539","-0.24863513"," 0.10674120"," 0.44306008","-0.32237847","-0.35113131"," 0.10305373"," 0.30115000","-0.32836603"," 0.15843387"," 0.08767256"
"M247.08T831.65","-0.82609349","-0.05488409","-0.05488409"," 0.23823875"," 0.16663953","-1.44793101"," 0.07101154"," 0.28691864"," 0.39530824"," 0.42766304"," 0.10735161"," 0.36337593","-0.04527151"," 0.09534102","-0.41399617","-0.34198481"," 0.34039129"," 0.41455466"," 0.27825093"
"M250.96T20.39"," 0.06392217","-0.21307295","-0.21307295"," 0.11154495"," 0.01042090"," 0.34275127","-0.16693019"," 0.13968487"," 0.04381448","-0.01388160"," 0.33387052"," 0.09515907","-0.02780447","-0.21834072","-0.25904475"," 0.22910786","-0.24660198"," 0.02636418","-0.03789068"
"M256.93T20.56","-0.4479286020","-0.0935946850","-0.0935946850"," 0.2739287474"," 0.1773507545","-0.1736935358","-0.1764941887","-0.0005500331"," 0.6177685456","-0.2873931158"," 0.1188226002"," 0.3442123708"," 0.2035448835","-0.0682802247","-0.2313278448"," 0.0880323257","-0.2064699256"," 0.0309120360","-0.0752454232"
"M274.94T20.57","-0.53338317","-0.03794502","-0.03794502"," 0.13413634"," 0.18603728"," 0.07678177","-0.41330608"," 0.18126887"," 0.34213417","-0.09254559"," 0.04452195"," 0.04220126"," 0.12260003","-0.28313093"," 0.09846631","-0.05672002","-0.04066685"," 0.25538469"," 0.01211003"
