"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"sodium_formate","3667732","4024050","4024050","3845071","4035455","3963239","3909794","3819856","3998858","3805402","3801631","3974273","3999728","3766924","3340263","3555483","3798360","3837318","3790177"
"M177.03T19.56","13327.47","14580.00","14580.00","17582.59","19121.19","18693.09","18842.36","16833.27","19830.89","14999.89","19630.72","21219.12","21036.46","14964.13","13540.05","13510.57","16686.74","19172.99","20143.45"
"M186.96T7.54"," 6758.931"," 8246.635"," 8246.635"," 6932.437"," 6727.683"," 6168.768"," 7424.841"," 6241.794"," 8356.190"," 7016.352"," 5797.932","10589.333"," 7244.307"," 8195.375"," 8595.915","10395.049"," 6472.362"," 8610.327"," 6973.197"
"M205.07T813.54"," 42186.74"," 63332.79"," 63332.79"," 79742.88"," 86509.76"," 15823.73"," 68169.69"," 83305.41","101210.70","114615.27"," 71937.98"," 87233.46"," 35810.57"," 79589.74"," 26603.58"," 52211.59"," 88803.00"," 94432.20"," 85283.48"
"M217.03T22.06","7018.118","5711.091","5711.091","8481.368","7675.806","6502.053","6209.755","6841.472","7808.885","7196.194","6412.089","7561.677","6485.564","5844.737","6274.224","6040.867","6939.480","8228.437","7295.316"
"M222.96T20.57"," 8172.888"," 8625.084"," 8625.084","13032.982","13079.498","14968.522","10093.382","11404.852","12164.359","11155.084","13221.546","14380.860","12787.769","10721.126"," 9508.339"," 8372.283","10437.218","13260.344","13229.427"
"M224.13T58.72"," 32103.78"," 43386.80"," 43386.80"," 51273.01"," 44633.21"," 30205.45","359211.91"," 43054.82","117293.79"," 37127.92"," 48439.65"," 31248.83"," 30993.73","367107.40"," 46968.38"," 48489.04"," 66030.69","287215.35"," 59602.57"
"M236.94T4.52","17306.44","16647.79","16647.79","17884.41","20194.17","14619.42","16107.06","12608.70","11488.36","15007.59","11145.34","12263.63","17562.35","16328.18","18634.53","17086.23","18472.85","16164.70","12559.57"
"M243.89T1588.97","352682.4","355770.9","355770.9","348637.0","374548.9","372062.0","374617.3","422015.2","379273.9","385353.7","369978.9","348228.4","410049.5","353112.2","350116.4","289778.4","363640.0","365055.3","354669.0"
