"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Other","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Control","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Drought","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Fusarium","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas","Second_Time-Point_Xanthomonas"
"sodium_formate","3667732.211","4024050.372","4024050.372","3845070.71","4035455.455","3963239.209","3909794.3","3819856.076","3998858.02","3805401.884","3801631.212","3974273.447","3999727.821","3766924.043","3340263.449","3555482.54","3798359.722","3837317.869","3790177.391"
"M177.03T19.56","13327.47","14579.999","14579.999","17582.59","19121.192","18693.0867","18842.358","16833.267","19830.886","14999.893","19630.716","21219.123","21036.46","14964.132","13540.051","13510.572","16686.742","19172.993","20143.453"
"M186.96T7.54","6758.931","8246.635","8246.635","6932.437","6727.683","6168.768","7424.841","6241.794","8356.19","7016.352","5797.932","10589.333","7244.307","8195.375","8595.915","10395.049","6472.362","8610.327","6973.197"
"M205.07T813.54","42186.738","63332.788","63332.788","79742.875","86509.759","15823.7332","68169.686","83305.415","101210.698","114615.269","71937.983","87233.458","35810.573","79589.74","26603.582","52211.587","88803","94432.203","85283.483"
"M217.03T22.06","7018.118","5711.091","5711.091","8481.368","7675.806","6502.0529","6209.755","6841.472","7808.885","7196.194","6412.089","7561.677","6485.564","5844.737","6274.224","6040.867","6939.48","8228.437","7295.316"
"M222.96T20.57","8172.888","8625.084","8625.084","13032.982","13079.498","14968.5218","10093.382","11404.852","12164.359","11155.084","13221.546","14380.86","12787.769","10721.126","9508.339","8372.283","10437.218","13260.344","13229.427"
"M224.13T58.72","32103.776","43386.797","43386.797","51273.011","44633.211","30205.4491","359211.915","43054.821","117293.793","37127.92","48439.647","31248.827","30993.727","367107.404","46968.378","48489.044","66030.69","287215.355","59602.572"
"M236.94T4.52","17306.435","16647.794","16647.794","17884.412","20194.171","14619.4184","16107.064","12608.698","11488.362","15007.591","11145.336","12263.632","17562.352","16328.183","18634.527","17086.231","18472.845","16164.7","12559.566"
"M243.89T1588.97","352682.415","355770.916","355770.916","348636.96","374548.908","372061.9529","374617.32","422015.172","379273.931","385353.691","369978.88","348228.367","410049.453","353112.18","350116.37","289778.441","363639.994","365055.31","354669.011"
"M245.03T22.3","6157.923","6013.752","6013.752","6405.158","7001.676","5831.9632","5714.658","6075.098","6081.877","5237.366","6262.732","7761.5","5303.228","4922.427","5492.428","6462.593","5021.002","6489.022","6183.918"
"M247.08T831.65","33687.275","86295.606","86295.606","113814.467","110407.011","18373.309","96293.08","119284.789","140679.468","138721.849","97445.94","134990.938","86685.363","95289.6","48264.507","55607.267","125796.241","137883.655","117235.387"
"M250.96T20.39","16840.894","16405.073","16405.073","18019.898","18108.539","20512.2148","16258.226","18119.341","18203.459","16898.944","19600.909","18494.823","17656.036","15322.136","13351.279","17525.448","15263.654","17337.707","16658.714"
"M256.93T20.56","4383.145","5904.748","5904.748","6980.88","6927.869","5551.8223","5468.076","5915.545","8860.348","4990.904","6308.87","7515.307","6971.527","5609.109","4525.487","5796.067","5220.774","6051.894","5621.007"
"M274.94T20.57","9951.659","13998.478","13998.478","14581.614","15707.216","14603.5424","11266.986","14832.521","16832.346","12880.256","13783.226","14392.397","15080.606","11587.675","12442.628","12252.544","13195.341","15464.651","13520.111"
"M277T22.59","6276.339","6670.868","6670.868","8074.15","7411.853","6312.6","5518.677","6688.004","5495.527","6036.615","6956.592","6917.117","6628.882","6522.43","7149.323","6554.674","5947.79","6064.138","5811.382"
"M302.93T20.57","12462.755","17969.818","17969.818","20625.692","19458.2","22550.9698","16334.828","21391.62","22651.799","19280.189","20375.018","18764.051","21274.135","15491.242","12736.094","15022.537","18126.216","18790.202","19789.19"
"M309.13T18.56","14532.181","24267.977","24267.977","17821.304","17974.626","28619.9975","16470.971","18422.106","18500.411","15561.805","17395.992","17953.32","18612.739","17095.007","24162.67","16367.783","18099.599","16206.795","25574.844"
"M322.92T21.56","6396.367","6244.203","6244.203","6230.636","8778.042","7091.1797","6002.691","6703.141","7328.198","6901.896","7731.819","9239.241","6133.295","7445.585","6357.413","6503.745","5586.71","7301.495","5794.178"
"M324.92T20.56","4951.827","7290.901","7290.901","7468.338","9447.301","8095.0034","6998.658","7610.572","5685.004","6592.507","7388.098","8041.539","7326.419","5653.212","5583.576","5843.425","6752.196","7439.998","6082.192"
"M326.38T1622.84","209904.197","253874.575","253874.575","238278.226","219486.489","188412.0958","253328.297","264380.404","230693.645","223024.599","227080.75","243244.204","224482.324","219691.217","270155.778","230249.771","224760.685","227955.193","237473.098"
"M337.06T22.56","6911.705","9280.022","9280.022","11831.388","9885.533","11147.1394","8784.274","8894.604","11510.794","9966.98","10013.923","11314.135","10432.307","9617.172","9846.051","9882.76","9913.543","11617.678","9940.464"
"M338.34T1639.2","586486.443","1532441.336","1532441.336","963209.568","1752235.383","616139.2094","5854805.716","1421115.051","1278141.435","1111346.328","727001.211","1279043.926","1406196.865","666929.412","990406.542","3585895.467","1955543.012","626577.878","6936254.17"
