"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19"
"M177.03T19.56",0.02892,-0.022647,-0.033089,0.015441,0.035791,0.021099,-0.029827,-0.011046,-0.02303,-0.0017555,0.030585,-0.0051853,-0.04934,-0.0016591,-0.00022048,0.011187,0.0047437,0.07297,-0.13294
"M186.96T7.54",-0.0016862,0.01734,-0.0032737,0.0021442,-0.082985,0.00080706,0.035702,-0.035354,0.0039862,0.016857,0.022217,0.046222,-0.045119,-0.056522,0.0044404,-0.038323,0.012009,0.83643,0.52066
"M205.07T813.54",0.063463,0.070836,-0.02687,-0.002055,0.045857,0.016416,0.035231,-0.047174,0.074592,-0.034568,-0.012157,0.014144,0.0077025,0.031409,-0.017483,-0.020396,-8.0926e-05,0.17753,-0.27738
"M217.03T22.06",0.0045349,-0.0037206,-0.051755,0.0080805,0.0079965,0.02312,0.0071917,0.0064514,0.061838,0.0018548,-0.0052685,0.017429,-0.035838,0.011923,-0.031087,0.005036,-0.035837,-0.035015,0.054223
"M222.96T20.57",0.026654,-0.042249,-0.037786,0.01729,0.040471,0.018596,-0.01402,-0.011465,-0.00075523,0.0074364,0.014592,0.024939,-0.017628,-0.0079818,-0.045767,0.0084388,-0.0097164,-0.043623,0.084591
"M224.13T58.72",0.020151,0.034606,-0.046003,0.03306,0.0033602,-0.050895,-0.051182,-0.13674,-0.058868,-0.05755,-0.14475,0.057135,-0.05088,0.046933,0.06034,-0.17364,0.038207,0.093428,-0.16315
"M236.94T4.52",-0.029769,0.013664,-0.0060354,0.00083031,-0.054591,-0.023876,-0.0060308,0.0028125,0.0055639,0.083179,-0.069862,-0.021853,-0.0047555,0.023038,-0.03109,0.020829,0.0051631,-0.019831,0.027481
"M243.89T1588.97",-0.0046154,-0.0037484,-0.023428,-0.0065781,0.034915,0.023761,-0.0085576,0.036952,-0.014004,0.023948,-0.0096497,-0.0010649,0.033456,0.0032743,0.012201,-0.035755,0.006897,-0.043626,0.076326
"M245.03T22.3",-0.0027651,-0.0013681,-0.011626,0.028329,-0.03326,0.030332,0.029967,-0.013508,0.023581,-0.015032,0.066815,0.010976,-0.035166,0.030398,-0.03356,0.0091678,-0.013464,-0.14185,0.21056
"M247.08T831.65",0.080322,0.06571,-0.029043,0.0069131,0.051167,0.048154,0.012732,-0.02689,0.031294,0.027942,-0.015023,0.022013,-0.013873,-0.001455,0.0014242,-0.021137,0.00094829,-0.19184,0.29726
"M250.96T20.39",0.0073714,-0.02567,-0.0096045,0.006188,-0.0019544,-0.011848,0.020719,0.026247,-0.0015862,-0.043269,0.038246,0.0010171,-0.003398,0.025281,-0.023056,0.010778,-0.030277,0.068878,-0.10341
"M256.93T20.56",0.036702,-0.0017629,-0.0083381,0.036783,-0.0015195,0.001452,0.0028494,0.020601,-0.001408,-0.014733,0.027152,0.061173,-0.047356,-0.0087213,0.024806,0.045935,0.0078646,0.08077,-0.1335
"M274.94T20.57",0.027965,-0.018196,0.0035839,0.024191,0.0013497,0.037693,1.863e-06,0.044687,0.024456,0.017234,-0.0061441,0.0369,-0.029448,-0.0018637,-0.008327,0.0009603,0.015181,0.1646,-0.26102
"M277T22.59",-0.010753,0.0003484,-0.0085315,0.034363,-0.038804,0.022446,0.020542,0.013915,-0.012561,0.037308,0.0003643,0.022263,0.039796,0.0059501,-0.057602,0.036102,-0.03457,0.16945,-0.26705
"M302.93T20.57",0.041216,-0.02984,0.0055751,-0.00077165,0.038665,0.015375,-0.012765,0.034956,0.013414,-0.0090623,0.0013517,0.0158,-0.0010311,0.0092117,0.0086361,0.015535,-0.019318,0.1224,-0.1817
"M309.13T18.56",-0.014692,-0.033913,0.042702,-0.0050422,-0.028826,0.070729,-0.045709,-0.011886,0.0025866,0.012378,-0.0096318,0.014041,0.022388,-0.033935,0.002973,0.0063467,0.022551,0.15229,-0.24801
"M322.92T21.56",0.0018752,-0.0089329,-0.022186,0.033382,0.004654,-0.0070807,0.061178,-0.014563,-0.002691,-0.0082472,0.039348,0.046917,-0.0017318,-0.0016001,-0.055337,-0.0060697,0.051186,-0.050952,0.073819
"M324.92T20.56",0.020845,-0.023097,0.017153,0.031976,0.02019,0.011889,0.023297,-0.0054756,-0.0087304,0.063149,0.016356,-0.022021,-0.0055042,0.055194,-0.030106,0.015497,-0.0017597,-0.15911,0.25623
"M326.38T1622.84",-0.0034781,0.021544,-0.0085352,0.0056904,-0.040966,0.064769,0.01158,-0.0064975,-0.014583,0.02396,-0.00033511,0.008187,0.025122,-0.0026094,0.022984,-0.033292,-0.013976,-0.0066387,0.00035545
"M337.06T22.56",0.026134,-0.025103,-0.015253,0.014087,-0.022825,0.023842,0.013994,-0.005964,0.0068979,0.012716,-0.035785,0.042091,-0.035457,-0.038279,-0.022496,0.0022893,-0.021466,0.00043517,-0.014315
"M338.34T1639.2",0.041301,0.025121,-0.0050201,-0.093087,-0.094177,0.071077,-0.069804,-0.093149,-0.010121,0.0089819,0.041692,-0.087213,-0.018768,0.081326,0.10622,0.050768,0.055475,0.013215,-0.023658
"M341.27T1369.82",0.011918,-0.0034313,-0.030766,-0.074581,-0.085662,0.026427,-0.0055662,-0.096498,-0.042154,0.014906,0.025387,-0.043755,0.016906,0.059318,0.069989,-0.0031035,-0.0018906,-0.016933,0.021964
"M349.25T12.55",0.0022978,0.0055221,-0.074494,0.053703,0.02116,-0.0047114,-0.012673,0.011209,-0.02611,0.034159,-0.030724,-0.010856,0.018575,0.00011424,-0.015989,0.020924,0.010795,0.0066014,0.022229
"M352.92T20.57",0.023478,-0.016075,-0.007059,0.0175,0.0081159,0.017332,-0.0069659,0.049375,0.035843,0.023485,0.060553,0.00053027,0.028784,0.015558,0.021222,-0.052279,0.017084,-0.0024934,0.0056772
"M360.93T17.56",0.035499,-0.063063,-0.0032418,-0.021543,-0.00015581,0.026216,-0.060607,-0.014652,-0.014065,-0.019522,0.013917,-0.00068285,-0.015008,-0.018917,-0.060605,-0.02615,0.0096625,-0.016188,0.024229
"M372.36T1639.49",0.0031503,-0.036332,0.003383,-0.071973,-0.082791,0.013929,-0.020045,0.0077688,-0.033061,0.0015551,0.0030503,-0.0091018,0.0024958,0.0009687,0.0096599,-0.0066606,-0.051509,-0.0097419,0.01234
"M372.36T1624.16",-0.0029008,-0.026239,0.010756,-0.069883,-0.077873,0.019445,-0.013675,-0.031918,-0.039446,-0.0027401,-0.0042508,-0.0075246,0.0078335,-0.0087945,0.00047244,-0.023721,-0.031064,-0.001068,-0.0098757
"M380.92T18.56",0.02503,-0.059183,-0.033519,0.0079773,0.0016941,-0.0057217,-0.0098204,-0.0021655,0.015004,-0.0060696,0.0093024,-0.021188,-0.017937,-0.0077114,0.0032726,0.0020311,0.012663,0.0045452,-0.018573
"M382.31T1622.76",0.0054887,0.036767,-0.023064,0.011834,0.011792,0.02965,-0.0058975,0.028688,0.022333,0.04621,-0.045814,0.0025792,-0.013072,-0.043935,-0.0029363,-0.028124,-0.0057264,0.0025043,-0.0089723
"M385.29T1369.89",-0.00061247,0.0073022,-0.012787,-0.053449,-0.041509,0.05883,0.053329,-0.11566,0.0066251,0.004971,0.054769,-0.058007,0.0074513,0.049868,0.068729,0.078163,0.053084,-0.0092057,0.0080278
"M392.9T19.57",0.035765,-0.024598,-0.030949,0.0093023,0.013565,-0.0036129,-0.014985,-0.012808,-0.021052,-0.034902,0.024723,-0.0025426,-0.0030953,-0.0055765,-0.0020286,-0.0032091,-0.016942,-0.0023388,0.0013991
"M400.92T17.56",0.0045045,-0.054553,0.01053,0.030088,-0.010736,-0.040253,-0.012371,-0.0034484,-0.0079205,0.017267,0.015149,0.010812,0.0067481,0.005502,-0.0096948,0.020823,-0.020746,-0.00043619,0.0042905
"M408.91T18.56",0.021711,-0.030825,-0.03493,0.029556,0.0053679,0.053682,0.0011766,0.0080229,-0.0087324,0.025855,-0.0096028,4.8522e-05,-0.024176,0.0098883,-0.015286,0.0002987,0.01599,0.0054136,-0.0081281
"M408.91T11.54",0.0025311,-0.020111,-0.026755,0.03508,0.0427,-0.021416,0.00028212,0.040595,0.09122,0.0088219,-0.0062163,0.0056787,0.017732,-0.0018805,-0.074219,0.0049405,0.027545,0.0102,-0.0050963
"M409.18T18.56",0.01937,-0.0023961,-0.0016709,0.038129,-0.048823,0.041597,-0.045991,0.0023944,0.032659,0.017314,-0.01578,0.01303,0.0061452,-0.064626,-0.0027497,-0.013056,-0.014849,-0.018338,0.016047
"M411.2T18.56",0.011439,-0.00084494,-0.022562,0.037318,-0.04718,0.08662,-0.022817,-0.037,-0.035897,0.03721,-0.022204,0.030155,-0.0042339,-0.016428,-0.034995,-0.0075405,0.017676,-0.0044452,-0.0071742
"M420.91T18.56",0.037209,-0.007537,0.023861,0.020991,0.027913,0.04075,0.011236,0.010209,0.013967,-0.011682,0.017965,0.0061597,0.002731,0.026063,-0.0013741,-0.013869,0.002484,0.0019824,0.0017018
"M428.92T12.55",-0.015359,0.005854,-0.017709,0.068169,0.010165,0.0034228,-0.018823,-0.023271,-0.0031448,0.021531,-0.0045744,-0.017631,-0.013672,0.00033844,-0.00086303,0.030365,-0.016915,0.006009,-0.0067541
"M428.92T17.56",0.04398,-0.0036684,-0.026523,0.0019587,-0.027156,-0.023517,0.03019,0.073264,0.0096871,-0.032252,-0.0096453,0.0011396,-0.046287,-0.006339,0.016295,-0.012821,0.047685,-0.01681,0.01587
"M468.42T1623.34",0.0029187,-0.0038186,0.0016094,0.023359,-0.018576,0.042286,0.028056,0.0098603,-0.074819,-0.076701,0.0052165,-0.015259,0.050739,-0.045515,-0.03587,0.000473,-0.0073772,-0.0074919,0.012278
"M468.91T17.56",0.023923,-0.060154,-0.011769,0.022232,0.018507,-0.020034,-0.023133,-0.017703,-0.0058944,-0.00089278,0.012233,-0.020475,0.0020861,0.0029413,-0.026796,0.010984,0.0013772,-0.0094139,0.023585
"M480.89T18.57",0.036219,-0.048437,0.0071996,-0.0012664,0.019944,0.0040507,-0.0024435,0.00076216,0.0084282,-0.0062213,0.0020488,0.011423,0.0069553,0.017526,-0.037861,0.026137,7.3505e-05,-0.0073213,0.016699
