"","sample","condition","sodium_formate","M177.03T19.56","M186.96T7.54","M205.07T813.54","M217.03T22.06","M222.96T20.57","M224.13T58.72","M236.94T4.52"
"1","C12.1","Second_Time-Point_Control",3963239.209,18693.0867,6168.768,15823.7332,6502.0529,14968.5218,30205.4491,14619.4184
"2","C12.3","Second_Time-Point_Control",3909794.3,18842.358,7424.841,68169.686,6209.755,10093.382,359211.915,16107.064
"3","C12.4","Second_Time-Point_Control",3819856.076,16833.267,6241.794,83305.415,6841.472,11404.852,43054.821,12608.698
"4","D12.1","Second_Time-Point_Drought",3998858.02,19830.886,8356.19,101210.698,7808.885,12164.359,117293.793,11488.362
"5","D12.2","Second_Time-Point_Drought",3805401.884,14999.893,7016.352,114615.269,7196.194,11155.084,37127.92,15007.591
"6","D12.3","Second_Time-Point_Drought",3801631.212,19630.716,5797.932,71937.983,6412.089,13221.546,48439.647,11145.336
"7","D12.4","Second_Time-Point_Drought",3974273.447,21219.123,10589.333,87233.458,7561.677,14380.86,31248.827,12263.632
"8","F12.1","Second_Time-Point_Fusarium",3999727.821,21036.46,7244.307,35810.573,6485.564,12787.769,30993.727,17562.352
"9","F12.2","Second_Time-Point_Fusarium",3766924.043,14964.132,8195.375,79589.74,5844.737,10721.126,367107.404,16328.183
"10","F12.3","Second_Time-Point_Fusarium",3340263.449,13540.051,8595.915,26603.582,6274.224,9508.339,46968.378,18634.527
"11","F12.4","Second_Time-Point_Fusarium",3555482.54,13510.572,10395.049,52211.587,6040.867,8372.283,48489.044,17086.231
"12","X12.1","Second_Time-Point_Xanthomonas",3798359.722,16686.742,6472.362,88803,6939.48,10437.218,66030.69,18472.845
"13","X12.2","Second_Time-Point_Xanthomonas",3837317.869,19172.993,8610.327,94432.203,8228.437,13260.344,287215.355,16164.7
"14","X12.3","Second_Time-Point_Xanthomonas",3790177.391,20143.453,6973.197,85283.483,7295.316,13229.427,59602.572,12559.566
"15","BLANK_2","Other",3667732.211,13327.47,6758.931,42186.738,7018.118,8172.888,32103.776,17306.435
"16","QC.1_Dup","Other",4024050.372,14579.999,8246.635,63332.788,5711.091,8625.084,43386.797,16647.794
"17","QC.1","Other",4024050.372,14579.999,8246.635,63332.788,5711.091,8625.084,43386.797,16647.794
"18","QC.2","Other",3845070.71,17582.59,6932.437,79742.875,8481.368,13032.982,51273.011,17884.412
"19","QC.3","Other",4035455.455,19121.192,6727.683,86509.759,7675.806,13079.498,44633.211,20194.171
