"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M177.03T19.56","-0.38858760","-0.39376055","-0.39376055"," 0.02256228"," 0.08616895"," 0.21998705"," 0.31170532","-0.08758406","-0.18918501"," 0.27476622"," 0.17438574"," 0.13781638","-0.02491659"," 0.38143895"," 0.25250548"," 0.03807908","-0.01369411","-0.06342418"," 0.14213833","-0.38818199","-0.09845915"
"M186.96T7.54"," 0.002438214"," 0.209556866"," 0.209556866","-0.040207563","-0.192892682","-0.009567377","-0.065082247"," 0.450031150","-0.244438917"," 0.150078654","-0.087603582"," 0.081250675"," 0.139751797","-0.078749138","-0.144477717"," 0.147686812"," 0.008832779"," 0.012094440"," 0.230026605","-0.126704897","-0.651580739"
"M205.07T813.54","-0.11467829"," 0.18036638"," 0.18036638"," 0.43995784"," 0.47112246","-0.19435548"," 0.53662140"," 0.15262146"," 0.46045394","-0.09265232","-0.16694542","-0.71988891","-1.23672341","-0.40216920","-0.25106901","-0.29359459"," 0.55026256"," 0.34055657"," 0.10418842"," 0.46368624","-0.40812703"
"M217.03T22.06"," 0.038723089","-0.495024132","-0.495024132"," 0.292660705"," 0.028063487","-0.036958260"," 0.211203844"," 0.386034004"," 0.153340337"," 0.167007343"," 0.015230485","-0.311233473"," 0.102343345","-0.143691012"," 0.183684986","-0.083909235"," 0.120180139","-0.173868854"," 0.287677090","-0.247625730"," 0.001185976"
"M222.96T20.57","-0.50340515","-0.56245086","-0.56245086"," 0.13386607"," 0.06585411"," 0.14105746"," 0.06448861","-0.15453813"," 0.13826534"," 0.14123259"," 0.44115751"," 0.12481878"," 0.31590832"," 0.11164812"," 0.24203323","-0.01140917"," 0.35401662","-0.10064127","-0.05472713","-0.34461270"," 0.01988852"
"M224.13T58.72","-0.381840343","-0.214205679","-0.214205679","-0.043322166","-0.193706035"," 0.391929001","-0.453185637"," 0.069295737","-0.490347018","-0.352256209","-0.408378308","-0.485562698"," 0.779259195","-0.001307819"," 0.614851998","-0.185940847"," 1.000083884","-0.453486828","-0.380430468"," 1.433352411","-0.030596492"
"M236.94T4.52"," 0.126205885","-0.102937368","-0.102937368"," 0.101173347"," 0.228602061","-0.091483632"," 0.238367557"," 0.334075667"," 0.046261591","-0.042674417","-0.691012069","-0.071574031"," 0.174376324"," 0.092431825"," 0.093995092","-0.207136002"," 0.041897672"," 0.146601479","-0.005041204"," 0.244072877","-0.553265286"
"M243.89T1588.97"," 0.082120014","-0.095083251","-0.095083251","-0.041833299"," 0.007456789"," 0.125928637","-0.038222868"," 0.288471502"," 0.079940650","-0.049047238","-0.344006236"," 0.053815137","-0.070394074"," 0.241677865"," 0.131440587"," 0.133472321","-0.003228761"," 0.048277913"," 0.059221267"," 0.162952277","-0.677875981"
"M245.03T22.3"," 0.097393115","-0.084222909","-0.084222909"," 0.085138742"," 0.148667927"," 0.250923275","-0.059474205"," 0.268740171","-0.080708080","-0.132971353"," 0.192178190","-0.011787085"," 0.361820422"," 0.045279144","-0.057354935"," 0.077352190"," 0.044487829","-0.150300058"," 0.006017435"," 0.137091591","-1.054048495"
"M247.08T831.65","-0.62444745"," 0.15654148"," 0.15654148"," 0.45338133"," 0.38087418"," 0.08399711"," 0.36106001"," 0.36136260"," 0.56104059","-0.17434739"," 0.08865941","-0.43854108","-1.17038023","-0.40072800","-0.41767550","-0.49144600"," 0.49818719"," 0.32193273"," 0.35941757"," 0.42244298","-0.48787302"
"M250.96T20.39"," 0.03652784","-0.24006664","-0.24006664"," 0.08408174","-0.01689605"," 0.38220079"," 0.13044692","-0.08504578"," 0.08120626"," 0.14455468"," 0.07214049","-0.10417105"," 0.14256917","-0.19684366"," 0.13347113","-0.29527407"," 0.35822584","-0.18120242","-0.02417037","-0.18391872"," 0.00223056"
