"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"sodium_formate","3667732","4024050","4024050","3845071","4035455","3934423","3867787","3442128","3960498","4037492","3920796","4069493","3868514","3964440","4037002","4030309","3922006","3735045","3901010","3528208","4862692"
"M177.03T19.56","13327.47","14580.00","14580.00","17582.59","19121.19","20090.69","20789.59","14800.00","16088.50","21258.18","19517.13","19847.36","17226.41","22156.27","20992.70","18590.21","17574.53","16277.83","19071.68","12823.39","20781.21"
"M186.96T7.54","6758.931","8246.635","8246.635","6932.437","6727.683","7205.886","6884.996","7980.000","6430.452","8025.591","6899.205","7808.635","7649.083","7007.753","6899.470","8001.491","7251.251","6917.147","8078.855","6085.126","6407.413"
"M205.07T813.54","42186.74","63332.79","63332.79","79742.88","86509.76","41579.76","88893.13","52600.00","83945.60","47539.73","42660.62","24601.70","13502.31","33593.86","40168.16","38329.43","91455.60","69695.01","56621.32","75040.25","40945.37"
"M217.03T22.06","7018.118","5711.091","5711.091","8481.368","7675.806","7216.126","8151.171","8000.000","8080.517","8300.873","7404.329","6401.476","7670.698","6849.446","8377.720","7200.230","7854.807","6345.012","8580.785","5751.202","9111.158"
"M222.96T20.57"," 8172.888"," 8625.084"," 8625.084","13032.982","13079.498","13399.117","12524.800"," 9650.000","13463.153","13751.713","16268.660","13711.773","14781.540","13242.512","14693.240","12415.134","15366.567","10849.314","11679.061"," 8728.152","15291.010"
"M224.13T58.72"," 32103.78"," 43386.80"," 43386.80"," 51273.01"," 44633.21"," 90143.59"," 30980.55"," 52800.00"," 30290.49"," 36664.68"," 33204.75"," 31309.83","143478.29"," 55700.27","122041.74"," 45008.82","191431.17"," 29906.09"," 34205.58","295159.68"," 65877.04"
"M236.94T4.52","17306.44","16647.79","16647.79","17884.41","20194.17","16384.35","19463.92","18300.00","17849.77","17291.24","11573.98","17141.60","18765.55","18347.35","18699.93","15705.75","17632.07","17831.57","17071.52","17813.28","15535.33"
"M243.89T1588.97","352682.4","355770.9","355770.9","348637.0","374548.9","386265.3","351297.4","365000.0","380441.0","364834.3","308061.9","386099.8","346045.9","411163.6","397373.0","397096.4","362180.0","353439.6","371064.4","352517.3","326144.3"
"M245.03T22.3","6157.923","6013.752","6013.752","6405.158","7001.676","7288.770","5872.645","6450.000","5932.125","5848.226","6995.121","6370.677","7694.609","6437.423","6137.903","6680.306","6365.290","5350.381","6177.012","6076.328","3902.989"
"M247.08T831.65"," 33687.28"," 86295.61"," 86295.61","113814.47","110407.01"," 77982.97","103567.57"," 92200.00","131767.14"," 60452.47"," 78107.26"," 45737.07"," 19642.22"," 46423.70"," 46411.51"," 42768.13","121878.90"," 95853.38","104271.07","100985.50"," 51801.64"
"M250.96T20.39","16840.89","16405.07","16405.07","18019.90","18108.54","20960.49","18491.37","15000.00","18537.91","19420.16","18280.68","17588.67","18591.50","16465.25","19325.48","16045.13","20680.04","15617.20","17450.56","14735.14","22000.85"
"M256.93T20.56","4383.145","5904.748","5904.748","6980.880","6927.869","7401.812","7042.188","5070.000","6471.383","6885.617","5452.769","6379.868","5584.136","5818.353","5456.320","6479.921","6918.485","5118.918","6127.485","5233.888","5899.363"
"M274.94T20.57"," 9951.659","13998.478","13998.478","14581.614","15707.216","14328.597","15580.168","10800.000","13816.761","15337.876","15644.794","12846.424","14434.565","15510.392","13181.426","14784.120","12963.552","11210.286","15695.495","12347.989","16798.533"
"M277T22.59","6276.339","6670.868","6670.868","8074.150","7411.853","7316.954","5886.397","7840.000","6248.690","6791.295","7075.070","6494.804","7539.719","7139.354","7167.900","6904.652","7007.727","6300.850","6544.530","6110.260","6180.437"
"M302.93T20.57","12462.75","17969.82","17969.82","20625.69","19458.20","23986.74","19884.88","12800.00","18667.65","21293.57","19300.41","21301.64","19257.34","21241.55","18682.02","21991.78","21550.90","14013.92","21544.92","12550.64","22648.74"
"M309.13T18.56","14532.18","24267.98","24267.98","17821.30","17974.63","19178.76","16467.91","17200.00","25544.91","17306.60","16471.75","26752.12","18108.78","30092.01","16551.86","17069.05","17821.37","17694.73","17543.09","18254.60","20905.61"
"M322.92T21.56","6396.367","6244.203","6244.203","6230.636","8778.042","8860.450","7518.318","6140.000","7733.255","7378.854","6855.940","7515.393","6856.541","6650.436","7113.276","5863.780","7796.728","6050.304","6789.428","4813.013","6056.620"
"M324.92T20.56","4951.827","7290.901","7290.901","7468.338","9447.301","7532.055","7439.407","6260.000","6871.019","7726.986","7041.402","6852.252","7118.019","8326.906","7655.026","7903.221","8397.029","6252.221","8325.911","4392.942","7469.015"
"M326.38T1622.84","209904.2","253874.6","253874.6","238278.2","219486.5","242273.2","267770.0","252000.0","226416.2","298333.5","228201.3","234718.6","223046.8","215881.6","214785.5","242359.2","248260.4","207534.0","265520.6","234139.1","219861.4"
"M337.06T22.56"," 6911.705"," 9280.022"," 9280.022","11831.388"," 9885.533","11799.829","10763.633","10600.000","10962.341","11652.854","10688.384","10060.842"," 9992.231"," 9759.190","11868.023","12298.786","10076.138","10137.180","12860.466"," 9027.506"," 9221.757"
"M338.34T1639.2","  586486.4"," 1532441.3"," 1532441.3","  963209.6"," 1752235.4","  790726.9"," 5883860.1","10400000.0","  646319.7"," 1393708.0"," 1352384.6","  898509.7","  828335.0"," 1589245.2"," 4159809.5"," 1378633.4","  996668.8","  760625.3"," 1729934.5"," 1728580.4"," 3474917.9"
"M341.27T1369.82","207023.5","246041.2","246041.2","267799.0","269622.4","221447.7","657515.6","582000.0","210256.9","573260.6","465856.6","704252.7","283826.5","895970.2","772582.6","614121.8","185437.3","248313.8","436158.1","290514.5","575034.5"
"M349.25T12.55"," 7220.087"," 5095.324"," 5095.324"," 8585.680"," 9119.501","10074.490"," 6588.615"," 7920.000"," 8115.649"," 7142.858"," 5858.026"," 8473.318"," 8598.605"," 7097.985"," 8321.958"," 7935.852"," 9179.901"," 8745.468"," 7412.106"," 7783.340","11112.080"
"M352.92T20.57","13557.76","15807.94","15807.94","14597.66","17538.37","20457.64","17484.83","14100.00","15201.28","18481.35","17632.17","15181.25","17798.21","16461.78","16596.28","18409.88","17373.25","11458.27","16805.25","10924.68","21534.41"
"M360.93T17.56","18205.67","27367.32","27367.32","30164.22","32695.15","34497.75","41381.90","29800.00","30390.26","64954.13","43417.26","26236.57","42673.58","65744.64","40100.96","65586.74","34615.70","35564.27","42501.05","23475.99","44648.86"
