"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"sodium_formate","3667732.211","4024050.372","4024050.372","3845070.71","4035455.455","3934423.297","3867787.496","3442128.325","3960498.029","4037491.87","3920796.465","4069492.77","3868513.993","3964439.746","4037001.94","4030308.581","3922005.864","3735044.78","3901010.182","3528207.642","4862691.729"
"M177.03T19.56","13327.47","14579.999","14579.999","17582.59","19121.192","20090.693","20789.589","14800","16088.496","21258.1779","19517.132","19847.364","17226.406","22156.27","20992.703","18590.212","17574.525","16277.832","19071.683","12823.386","20781.213"
"M186.96T7.54","6758.931","8246.635","8246.635","6932.437","6727.683","7205.886","6884.996","7980","6430.452","8025.5912","6899.205","7808.635","7649.083","7007.753","6899.47","8001.491","7251.251","6917.147","8078.855","6085.126","6407.413"
"M205.07T813.54","42186.738","63332.788","63332.788","79742.875","86509.759","41579.759","88893.127","52600","83945.605","47539.7335","42660.617","24601.701","13502.313","33593.862","40168.164","38329.428","91455.601","69695.01","56621.324","75040.249","40945.373"
"M217.03T22.06","7018.118","5711.091","5711.091","8481.368","7675.806","7216.126","8151.171","8000","8080.517","8300.8735","7404.329","6401.476","7670.698","6849.446","8377.72","7200.23","7854.807","6345.012","8580.785","5751.202","9111.158"
"M222.96T20.57","8172.888","8625.084","8625.084","13032.982","13079.498","13399.117","12524.8","9650","13463.153","13751.7135","16268.66","13711.773","14781.54","13242.512","14693.24","12415.134","15366.567","10849.314","11679.061","8728.152","15291.01"
"M224.13T58.72","32103.776","43386.797","43386.797","51273.011","44633.211","90143.59","30980.55","52800","30290.49","36664.6783","33204.752","31309.828","143478.286","55700.271","122041.735","45008.825","191431.166","29906.092","34205.585","295159.68","65877.04"
"M236.94T4.52","17306.435","16647.794","16647.794","17884.412","20194.171","16384.355","19463.917","18300","17849.774","17291.2429","11573.983","17141.596","18765.547","18347.345","18699.932","15705.755","17632.074","17831.573","17071.519","17813.28","15535.325"
"M243.89T1588.97","352682.415","355770.916","355770.916","348636.96","374548.908","386265.335","351297.408","365000","380441.025","364834.3245","308061.851","386099.831","346045.919","411163.607","397372.952","397096.352","362180.016","353439.633","371064.428","352517.347","326144.281"
"M245.03T22.3","6157.923","6013.752","6013.752","6405.158","7001.676","7288.77","5872.645","6450","5932.125","5848.2263","6995.121","6370.677","7694.609","6437.423","6137.903","6680.306","6365.29","5350.381","6177.012","6076.328","3902.989"
"M247.08T831.65","33687.275","86295.606","86295.606","113814.467","110407.011","77982.969","103567.571","92200","131767.145","60452.4708","78107.255","45737.07","19642.221","46423.7","46411.509","42768.132","121878.901","95853.384","104271.067","100985.5","51801.636"
"M250.96T20.39","16840.894","16405.073","16405.073","18019.898","18108.539","20960.491","18491.37","15000","18537.912","19420.1556","18280.679","17588.667","18591.5","16465.248","19325.476","16045.133","20680.041","15617.201","17450.565","14735.14","22000.847"
"M256.93T20.56","4383.145","5904.748","5904.748","6980.88","6927.869","7401.812","7042.188","5070","6471.383","6885.6171","5452.769","6379.868","5584.136","5818.353","5456.32","6479.921","6918.485","5118.918","6127.485","5233.888","5899.363"
"M274.94T20.57","9951.659","13998.478","13998.478","14581.614","15707.216","14328.597","15580.168","10800","13816.761","15337.876","15644.794","12846.424","14434.565","15510.392","13181.426","14784.12","12963.552","11210.286","15695.495","12347.989","16798.533"
"M277T22.59","6276.339","6670.868","6670.868","8074.15","7411.853","7316.954","5886.397","7840","6248.69","6791.2951","7075.07","6494.804","7539.719","7139.354","7167.9","6904.652","7007.727","6300.85","6544.53","6110.26","6180.437"
"M302.93T20.57","12462.755","17969.818","17969.818","20625.692","19458.2","23986.739","19884.885","12800","18667.65","21293.5728","19300.414","21301.639","19257.344","21241.551","18682.021","21991.778","21550.901","14013.916","21544.923","12550.636","22648.739"
"M309.13T18.56","14532.181","24267.977","24267.977","17821.304","17974.626","19178.755","16467.914","17200","25544.912","17306.602","16471.746","26752.117","18108.783","30092.006","16551.862","17069.054","17821.367","17694.727","17543.094","18254.6","20905.613"
"M322.92T21.56","6396.367","6244.203","6244.203","6230.636","8778.042","8860.45","7518.318","6140","7733.255","7378.8543","6855.94","7515.393","6856.541","6650.436","7113.276","5863.78","7796.728","6050.304","6789.428","4813.013","6056.62"
"M324.92T20.56","4951.827","7290.901","7290.901","7468.338","9447.301","7532.055","7439.407","6260","6871.019","7726.9863","7041.402","6852.252","7118.019","8326.906","7655.026","7903.221","8397.029","6252.221","8325.911","4392.942","7469.015"
"M326.38T1622.84","209904.197","253874.575","253874.575","238278.226","219486.489","242273.172","267770.046","252000","226416.16","298333.4636","228201.333","234718.62","223046.771","215881.64","214785.482","242359.229","248260.419","207534.047","265520.574","234139.111","219861.413"
"M337.06T22.56","6911.705","9280.022","9280.022","11831.388","9885.533","11799.829","10763.633","10600","10962.341","11652.854","10688.384","10060.842","9992.231","9759.19","11868.023","12298.786","10076.138","10137.18","12860.466","9027.506","9221.757"
"M338.34T1639.2","586486.443","1532441.336","1532441.336","963209.568","1752235.383","790726.86","5883860.081","10400000","646319.662","1393707.984","1352384.625","898509.68","828335.049","1589245.219","4159809.547","1378633.366","996668.848","760625.344","1729934.508","1728580.384","3474917.924"
"M341.27T1369.82","207023.495","246041.238","246041.238","267798.96","269622.395","221447.662","657515.648","582000","210256.914","573260.5782","465856.619","704252.667","283826.467","895970.154","772582.582","614121.771","185437.278","248313.792","436158.107","290514.485","575034.485"
"M349.25T12.55","7220.087","5095.324","5095.324","8585.68","9119.501","10074.49","6588.615","7920","8115.649","7142.8578","5858.026","8473.318","8598.605","7097.985","8321.958","7935.852","9179.901","8745.468","7412.106","7783.34","11112.08"
"M352.92T20.57","13557.76","15807.942","15807.942","14597.662","17538.37","20457.642","17484.832","14100","15201.283","18481.3474","17632.172","15181.246","17798.208","16461.777","16596.275","18409.881","17373.253","11458.272","16805.252","10924.676","21534.406"
"M360.93T17.56","18205.666","27367.322","27367.322","30164.222","32695.149","34497.749","41381.897","29800","30390.261","64954.134","43417.256","26236.572","42673.577","65744.644","40100.96","65586.738","34615.703","35564.27","42501.048","23475.986","44648.862"
"M372.36T1639.49","168833.055","208986.386","208986.386","223256.756","159417.609","162215.024","194280.008","190000","230492.572","196162.2321","292757.638","179937.686","320269.373","232629.961","198287.469","226008.672","172865.792","194129.162","169502.529","245989.28","271892.486"
"M372.36T1624.16","192652.142","253304.486","253304.486","226110.413","182836.974","189496.751","222511.284","216000","263869.128","239647.9068","334875.162","223144.444","373083.284","234957.811","233060.235","286215.62","187648.537","226014.279","221031.971","239665.813","305677.969"
"M380.92T18.56","15621.098","15907.889","15907.889","21438.122","23308.977","26941.887","24965.57","20400","21794.48","22100.8711","22922.749","35186.553","25431.746","32431.002","23701.948","20487.955","25373.586","18630.431","24070.016","13834.554","32327.55"
"M382.31T1622.76","146575.14","160580.215","160580.215","164090.101","152704.279","147039.804","190745.277","167000","95127.858","219912.916","98013.711","157436.139","103369.794","139328.83","152580.462","140909.882","193330.664","168327.878","140513.599","157482.938","119953.239"
"M385.29T1369.89","423460.908","510284.331","510284.331","412582.216","720462.475","292675.609","997860.141","916000","339653.452","1085636.039","572620.204","1063310.868","313377.467","1278989.987","1195801.246","1245584.508","330964.728","228326.687","687298.552","686150.219","942176.544"
"M392.9T19.57","8035.007","8724.857","8724.857","10744.136","10122.84","11202.877","12608.094","8070","10906.821","11747.9458","10820.793","10503.658","10786.163","11375.407","10850.357","12289.53","9498.632","9190.545","12013.453","6732.916","13944.937"
