"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"M177.03T19.56",0.031082,-0.023377,0.036543,-0.014406,-0.0051799,0.0057272,0.002655,0.023416,0.008182,0.010991,-0.020472,0.024992,-0.044607,-0.0025808,-0.00046252,0.012527,-0.021097,0.0077744,-0.0052635,0.20881,-0.19676
"M186.96T7.54",0.0095519,-0.013754,-0.042119,-0.017365,0.023149,-0.018157,-0.041672,0.0039229,-0.030904,-0.034415,0.0010505,-0.015377,0.015177,-0.0015587,0.026631,0.014345,-0.0060969,-0.017103,-0.035841,0.68984,0.7025
"M205.07T813.54",-0.047639,-0.048776,-0.026118,-0.0047166,0.037841,-0.091958,0.011768,0.0095765,0.025717,0.10794,-0.026008,0.026097,-0.016829,0.051071,-0.015393,-0.022673,0.01115,0.0080872,0.0028753,-0.62549,0.61957
"M217.03T22.06",0.0062655,-0.019526,0.060644,0.015134,0.0097654,-0.030043,-0.037294,0.0059804,-0.020027,0.0038659,-0.022856,0.028253,0.018182,0.028622,0.010882,0.0030766,-0.0021884,-0.024623,-0.00060461,-0.065197,0.070099
"M222.96T20.57",0.025674,-0.024233,0.067465,-0.01269,0.0012335,0.01992,-0.012018,0.014046,0.0246,0.0012281,-0.0020871,0.018632,-0.0082321,-0.013569,-0.051745,-0.014324,0.046211,-0.0018766,0.0050827,-0.06054,0.069301
"M224.13T58.72",-0.021883,0.018121,0.028651,-0.03346,-0.044948,-0.035697,-0.024523,0.068514,-0.014479,-0.092592,0.1631,0.018709,-0.019951,0.072369,-0.13454,0.077534,0.091664,-0.0045481,0.052661,-0.10095,0.10566
"M236.94T4.52",-0.0030691,0.0065284,-0.0032197,-0.022601,0.016933,-0.045325,-0.032758,0.04228,-0.042203,0.013842,-0.00755,-0.030093,0.022154,0.056958,-0.015571,0.01795,-0.03497,0.048232,0.022186,0.045161,-0.045301
"M243.89T1588.97",0.0073674,0.004667,-0.011923,-0.035725,0.011605,-0.045235,-0.014307,0.023532,-0.044173,0.014652,2.8804e-06,-0.0089036,0.014643,-0.0052888,-0.01492,0.035742,-0.015341,0.0077242,-0.019077,-0.071707,0.062848
"M245.03T22.3",0.0044587,-0.0065578,-0.010682,-0.064827,0.016313,-0.024198,-0.056765,0.037031,-0.034345,-0.023047,0.0059742,0.022509,0.032771,-0.043789,0.0028172,-0.00080272,0.015917,0.0065143,0.0040991,0.047361,-0.054973
"M247.08T831.65",-0.04167,-0.078406,-0.022234,-0.0070056,0.063991,-0.06637,0.027971,0.031457,0.024488,0.088026,-0.0055244,0.02169,0.014534,0.0096078,-0.029522,0.00070489,0.0060534,-0.0052183,-0.012539,0.022797,-0.020165
"M250.96T20.39",0.0013716,-0.0070501,0.036708,0.0065712,0.0053557,0.013466,-0.044583,0.020294,0.011871,0.027637,0.031472,0.024773,-0.015336,0.0023616,-0.015294,-0.0019915,0.0077948,-0.014613,-0.0058855,-0.038087,0.034298
"M256.93T20.56",0.011714,-0.032826,-0.0038129,-0.02886,0.024621,-0.016302,-0.021865,0.0095158,0.029356,0.042408,0.03472,0.029601,0.013107,0.015816,-0.024521,0.0022172,-0.032254,0.0027373,0.032374,0.06015,-0.056518
"M274.94T20.57",0.0097756,-0.033003,0.0038522,-0.013409,-0.024985,0.006104,0.007987,0.012475,0.043849,-0.014763,-0.011598,0.054556,0.022676,0.0036212,-0.0013874,-0.00092775,-0.031048,0.0095681,0.025186,0.047929,-0.043007
"M277T22.59",0.003446,-0.018606,-0.00022056,-0.027678,0.0071085,-0.028294,-0.041342,0.028236,-0.048803,-0.02193,0.0050876,-0.0096854,0.019027,-0.02475,0.012516,0.012601,0.033487,-0.023461,0.049871,-0.02667,0.016545
"M302.93T20.57",0.028364,-0.030865,0.012373,-0.022593,-0.011874,0.036107,-0.0070581,-0.0093252,0.043033,0.030189,0.025386,0.037074,0.0052152,0.0098365,-0.013333,0.027668,-0.016254,-0.027381,0.0064476,0.025623,-0.021129
"M309.13T18.56",0.0099325,0.0011369,-0.04894,-0.0095212,-0.0036623,0.022613,0.052666,0.044276,-0.022455,0.0326,0.0086461,-0.037615,0.067896,-0.016597,-0.046026,0.0011133,-0.013373,-0.0062642,-0.0080439,-0.02036,0.030528
"M322.92T21.56",0.010431,-0.016045,0.014989,-0.021034,0.027108,0.011103,-0.054291,0.034546,-0.01353,0.062054,0.0070597,0.028057,0.0032535,-0.024598,-0.00038957,0.0034466,0.0011366,0.052406,-0.017738,0.035063,-0.033054
"M324.92T20.56",0.021423,-0.047377,-0.00051877,-0.02119,-0.015774,0.013593,-0.023423,-0.0041857,0.00055903,0.035085,-0.019364,0.014813,0.0047146,0.025179,0.0099231,0.03407,0.021039,0.033533,0.010266,0.10132,-0.098688
"M326.38T1622.84",0.0033984,-0.020477,-0.031114,-0.0030066,0.031995,-0.044177,-0.035366,0.022934,0.0029879,-0.020916,0.014721,0.027635,0.00887,0.016529,0.0088666,-0.0065596,-0.030894,-0.02517,-0.030844,-0.0069457,-0.0037479
"M337.06T22.56",0.012831,-0.042003,0.014485,-0.02634,0.022522,-0.03799,-0.023012,-0.00136,-0.0026404,-0.01844,-0.015215,0.01156,0.0057038,-0.019813,-0.039282,0.045529,-0.034083,-0.02973,-0.011419,0.014417,-0.018126
"M338.34T1639.2",-0.0003396,-0.056285,0.002375,0.065203,0.0025589,-0.048021,0.048327,0.012453,-0.14676,-0.089944,-0.030713,0.10674,-0.092364,0.11484,-0.010447,-0.0083242,-0.055742,0.057138,0.011856,0.0066316,-0.0081839
"M341.27T1369.82",0.05492,-0.0042095,0.017574,0.01475,-0.0026369,-0.01969,0.08053,0.014322,-0.063045,-0.078076,-0.076754,0.062183,-0.076299,0.030092,-0.003772,0.0048878,-0.05104,-0.01198,-0.022722,-0.00019918,0.0022801
"M349.25T12.55",0.0018769,0.0061593,0.077428,-0.0085348,0.024885,-0.027557,-0.0018598,0.002564,-0.017219,0.013562,0.063037,-0.045954,0.0077872,0.0098373,-0.0083653,0.039129,0.0083457,0.025636,0.038008,0.018648,0.0082984
"M352.92T20.57",0.020372,-0.023166,0.016844,0.0072575,-0.027139,0.027818,-0.032724,-0.017646,0.0010922,0.0073999,0.039242,0.0648,-0.0046413,-0.0030076,0.020701,0.00015094,-0.0088926,0.010022,-0.0069934,-0.0033644,0.0042167
"M360.93T17.56",0.046773,-0.038441,0.024566,-0.0048705,-0.066272,-0.038202,0.0072869,-0.011129,0.036837,-0.039133,-0.02226,0.0049383,-0.023235,-0.0026601,-0.0095087,-0.0014774,-0.015874,0.01416,-0.038818,-0.0021845,-0.0034254
"M372.36T1639.49",-0.0042053,0.0034448,0.010439,-0.0019294,-0.036662,-0.0030158,0.0098144,0.011267,0.0049519,-0.096699,-0.015522,-0.010583,0.050132,-0.030945,-0.054935,-0.078794,0.0099865,-0.040122,0.022634,-0.0055915,0.0055861
"M372.36T1624.16",0.0016384,0.0011664,0.0019776,0.003329,-0.027148,0.010752,-0.0035399,-0.015575,0.0082641,-0.10494,-0.026651,-0.0078148,0.050148,-0.040227,-0.046332,-0.061866,-0.003192,-0.025048,-0.0092388,-0.00032266,-0.0029617
"M380.92T18.56",0.037574,-0.015895,0.056962,-0.0095636,0.010937,0.047735,0.026482,0.033052,-0.017949,0.019341,0.018919,0.00057736,0.00053817,0.019317,-0.00095285,0.0027175,-0.0023131,0.0054083,-0.012778,-0.0076249,-0.00068685
"M382.31T1622.76",0.0035512,-0.0080298,-0.041189,-0.0092761,0.042881,-0.067638,-0.030624,0.035721,-0.0061839,0.01637,0.02005,-0.021249,-0.083801,0.070955,0.027242,0.01258,-0.014807,-0.0028588,0.009775,0.0079685,-0.013148
"M385.29T1369.89",0.04645,0.011606,-0.019568,0.0227,-0.00069887,-0.047919,0.087186,-0.0022754,-0.053591,-0.053108,-0.061751,0.13045,-0.057604,0.064018,0.014893,0.030904,-0.021536,0.019568,0.020388,0.001667,0.0055164
"M392.9T19.57",0.026135,-0.023296,0.043348,-0.0031949,-0.015164,0.014773,-0.0032919,-0.022428,0.022137,0.01246,-0.025006,0.022064,-0.00088786,0.0085443,0.003834,-0.0057175,-0.056724,-0.013273,-0.016327,-0.0028422,-0.0014071
"M400.92T17.56",0.027534,-0.017604,0.012542,0.051883,0.0095149,-0.016902,-0.054018,0.01213,0.028184,-0.003661,-0.035988,0.0081917,0.023348,-0.0032033,-0.014689,0.029352,-0.020643,0.00022177,0.027146,-0.0033493,0.00055433
"M408.91T18.56",0.033921,-0.026978,0.037543,-0.020423,-0.0082272,0.044514,-0.0011794,0.0032417,0.016979,0.02481,-0.0042348,0.032324,-0.013079,-0.0070414,0.0017662,-0.0028592,0.023128,0.0012679,0.017792,-0.0018709,0.0051243
"M408.91T11.54",-0.017782,-0.0038349,0.057651,-0.026786,-0.001467,0.018458,-0.0042959,0.033465,0.031071,-0.024954,-0.034175,0.053963,-0.024996,-0.047815,0.036232,-0.0052924,0.043049,0.025227,0.014698,-0.01025,-0.0023317
"M409.18T18.56",0.0031629,-0.050437,0.01744,0.02935,-0.0045172,0.020852,-0.028246,0.0013769,0.0030375,-0.020094,0.0062965,-0.023086,-0.047887,0.038629,0.010449,-0.028197,0.031664,-0.047073,-0.022329,0.0030198,-0.003943
"M411.2T18.56",0.030133,-0.040224,0.0055525,0.022983,-0.048811,-0.023399,-0.001897,0.055597,0.013732,0.012216,0.0028655,-0.02138,-0.033586,0.0078175,0.0050186,0.014606,0.016571,-0.0044909,0.031581,0.0048672,-0.0008657
"M420.91T18.56",0.035715,-0.025519,-0.018107,-0.01927,-0.049556,-0.038553,-0.0076626,-0.009456,0.035572,-0.03099,0.042201,-0.010748,-0.0024307,0.00018637,-0.007528,-0.020533,0.0023663,0.023398,0.00211,0.00094318,-0.0024092
"M428.92T12.55",-0.025353,0.0083711,0.035354,-0.027408,-0.0047425,0.039938,0.012235,-0.0075066,0.0043278,-0.0038513,-0.035454,0.01437,-0.0020219,-0.01548,0.004166,-0.0048951,-0.019208,-0.011565,0.036981,-0.0030416,0.0099169
"M428.92T17.56",0.041591,-0.014837,0.017806,-0.020186,0.037071,0.028666,0.016209,-0.040651,0.0028664,-0.014194,-0.011734,0.0089279,0.019256,-0.012564,0.022203,-0.017226,-0.0048082,0.034529,-0.029087,-0.0030122,0.0015158
"M468.42T1623.34",-0.016718,-5.5182e-05,0.01021,0.0016278,-0.0086432,-0.016803,-0.013477,0.016566,-0.016941,-0.041232,-0.041304,-0.10959,-0.064044,-0.021081,-0.056154,0.01752,-0.0031708,0.011724,-0.041887,-0.0040969,-0.0011275
"M468.91T17.56",0.053752,-0.0050726,0.015426,-0.022276,0.014171,-0.024954,0.035427,0.0055082,0.036083,-0.013592,0.0047812,-0.0037462,-0.0064278,-0.0085757,-0.010082,0.0048163,0.0081609,0.011942,-0.00060574,0.0028038,-0.0040065
"M480.89T18.57",0.050862,-0.015648,-0.0007559,-0.035835,-0.0068314,-0.003777,0.026913,0.005112,0.030174,-0.019701,-0.0020414,-0.0049196,0.021012,-0.023015,-0.011934,0.0027802,0.014061,0.012799,0.024443,-0.0012898,0.0011559
"M496.91T17.56",0.052646,-0.009149,-0.0087582,-0.013194,0.011439,-0.031353,0.04059,0.0040628,0.016149,0.0083854,0.010769,0.04283,-0.0051682,-0.0011603,-0.01129,0.012063,-0.004181,-0.0097005,0.0072976,-0.0035667,-0.00096563
"M501.91T13.55",-0.0049946,0.01096,0.0084678,-0.037137,-0.022933,-0.0093258,-0.017447,0.0089673,0.023051,-0.0088035,0.059019,-0.026003,-0.022719,-0.035545,-0.037193,0.021874,-0.022288,-0.030993,0.020561,0.001336,-0.00065349
"M502.87T19.22",0.038936,-0.0029207,-0.0055415,0.0013418,0.031212,0.048058,-0.023959,-0.0017637,0.085402,0.02578,-0.0059863,0.025011,-0.01198,0.0012313,-0.017126,0.010843,0.02355,-0.023212,0.027338,0.0014581,0.0070467
"M516.89T18.56",0.053474,-0.011051,0.015801,0.00018739,0.015277,0.031689,0.004448,0.027883,0.01369,0.024254,-0.0066727,0.021315,-0.0022261,0.011102,0.019855,0.0018382,-0.018869,0.0021944,0.010539,-0.0044172,0.0040294
"M534.88T17.56",0.056264,-0.0023822,0.01187,-0.0162,0.0001988,-0.019501,0.030759,0.001899,0.012308,-0.0067665,-0.014302,-0.016483,0.018621,0.0027584,-0.034269,0.01563,-0.007515,-0.0010313,0.0082072,0.0032366,0.0061078
"M536.9T12.55",-0.0032053,0.011277,-0.063204,-0.061135,0.029129,0.037154,0.023178,-0.057659,0.0011512,-0.0086961,0.0069608,-0.017394,0.018755,0.016371,0.0076327,0.008345,-0.056171,-0.00070931,0.0025927,-0.00091961,0.0090905
"M536.9T17.56",0.034754,-0.05456,0.0070302,0.042392,-0.046308,-0.0447,-0.011791,0.053001,-0.031577,0.0069167,-0.00024675,0.020621,-0.0066373,0.036026,-0.016627,0.0049537,0.024632,-0.015179,-0.0016216,0.0075269,-0.0071463
"M544.89T18.56",0.039273,-0.024977,0.025508,0.00094557,-0.022128,0.045532,0.011744,0.042065,-0.00334,0.033762,-0.020611,0.011519,-0.0067569,0.0059854,0.0017353,0.026187,-0.0043282,0.021054,0.013102,0.00055371,0.0045937
"M544.89T11.54",-0.010605,-0.0023789,0.049811,-0.050028,0.022125,0.009657,-0.0086161,0.020752,0.031525,0.0083019,-0.05051,0.05898,-0.0089441,-0.043472,0.0077864,0.01257,0.046298,0.027252,-0.022459,0.00014332,0.0013328
"M549.19T881.43",-0.15174,-0.17614,0.01419,0.067894,0.11316,0.010565,0.058843,0.028103,0.011681,0.053666,-0.012465,0.032321,-0.07605,-0.029771,-0.0059605,0.037933,-0.0091712,-0.017359,-0.0040333,0.017381,-0.021911
"M564.89T12.55",-0.026962,-0.0145,0.013277,-0.013872,0.0017657,0.013642,0.016691,0.0052691,-0.04704,-0.021409,-0.0032306,0.019049,-0.02185,0.0058039,0.017592,-0.062742,-0.01052,-0.013477,-0.013525,-0.0013459,0.0011205
"M565.89T17.56",0.048959,-0.00035378,0.0042704,0.015982,0.04937,-0.010034,0.0044338,-0.047766,0.022304,-0.0097394,0.013494,-0.020222,-0.032798,-0.024305,-0.0083714,-0.0087076,-0.021465,-0.0078671,-0.0005551,-0.0051685,0.0066407
"M569.88T19.56",0.0066234,-0.056584,-0.016276,-0.0079009,-0.018784,0.037546,-0.022272,-0.0054008,-0.019119,0.010472,0.0064638,0.034114,0.060436,0.010045,0.010552,0.038264,-0.015186,-0.0082816,-0.0087958,-0.0058605,0.0049073
"M573.47T1437.42",-0.11371,-0.13493,0.025539,0.034746,0.006296,-0.0098306,0.03452,0.0031524,0.011972,0.0024682,-0.0063973,-0.0089955,-0.0093639,0.0066574,-0.025355,0.022559,-0.0070008,0.011285,0.0045131,0.00081484,0.001873
"M575.48T1420.61",-0.12035,-0.17111,0.026826,-0.017675,-0.022661,-0.0027159,0.05847,-0.052911,-0.013994,-0.032354,0.028927,0.006983,0.016944,0.013192,-0.11866,0.031402,-0.013794,0.03032,0.029104,0.01988,0.01045
"M575.48T1555.33",-0.095676,-0.12966,0.014702,0.027088,0.0076409,0.017721,0.01423,-0.02239,0.035621,-0.065115,-0.010367,-0.045527,0.013711,-0.016115,-0.050213,0.0059485,0.015146,0.074428,-0.0034117,0.0095727,0.0028958
"M579.89T13.55",0.023708,-0.022236,-0.018479,-0.028691,0.0030844,0.016893,-0.056508,-0.010136,-0.025227,0.019079,-0.027543,0.043185,0.020359,-0.018936,0.045771,0.017161,0.031475,-0.0043879,-0.016401,-0.0056062,-0.0027069
"M589.43T1437.43",-0.05197,-0.030895,0.013302,0.018354,0.0068701,0.0084561,-0.040293,0.045907,0.028238,-0.03773,0.017216,-0.068821,0.036215,-0.033854,0.029779,-0.035137,-0.0133,-0.020936,-0.033244,-0.0081119,-0.004502
"M592.89T17.56",0.055012,-0.026404,0.0042605,0.010786,0.010745,0.037849,0.003491,0.05111,0.012905,0.036701,-0.016499,0.0099832,0.000893,0.0074065,-0.0068462,0.0060076,0.0061545,-0.0046952,0.015631,0.0010015,-0.0014475
"M593.89T12.55",-0.025969,-0.0020054,0.011711,-0.039852,-0.0044481,0.013063,-0.0050313,0.013,-0.00036132,0.0082115,-0.00060785,0.041259,-0.021251,0.069525,0.025206,-0.031365,-0.034169,0.046637,0.012977,0.0046085,-0.00057917
"M603.37T16.56",0.038485,-0.016292,0.03108,-0.047642,0.0078897,-0.011481,0.036312,0.003382,-0.0058332,0.012416,0.013566,0.0070771,0.0064734,-0.089544,0.0096186,-0.063503,0.0075699,0.0063319,0.0043633,-0.0077584,-0.00089194
"M604.89T12.55",-0.017026,0.0049916,0.050182,-0.040364,-0.0040055,0.0099205,0.014211,-0.016286,0.027383,0.02148,-0.00011352,-0.011468,0.0039245,0.035833,-0.0021034,0.0032249,-0.0028212,-0.037665,0.033226,0.0080991,-0.0049116
"M612.87T18.56",0.048326,-0.029072,-0.0057208,0.0016505,-0.033266,0.012823,0.01196,-0.0063684,0.013148,0.0072944,-0.0036759,0.029679,-0.010072,-0.013022,-0.020733,-0.0065287,-0.00085879,0.034143,-0.012093,-0.0010238,0.0061783
"M612.88T11.54",-0.020768,-0.0043974,0.031194,-0.055603,-0.0031422,0.023069,-0.0046872,0.04981,0.032963,-0.028127,-0.066787,0.053352,-0.029535,-0.026457,0.04189,0.0031126,0.039436,0.035289,0.020111,0.0037341,-0.00017903
"M618.85T19.56",0.023163,-0.048279,-0.017896,-0.0097109,-0.021364,-0.0085764,-0.048222,0.00050897,0.056934,0.014528,-0.018068,-0.017287,-0.0093353,-0.0044261,-0.01772,0.037802,0.00046769,-0.0081118,-0.017575,-0.00068248,-0.0019918
"M624.87T18.56",0.0087699,-0.035762,-0.013037,-0.026007,0.00035318,0.00058148,-0.015485,-0.067005,-0.0066473,-0.022154,0.03622,0.038701,-0.0067189,0.052235,-0.004095,-0.0080912,0.013413,-0.010652,-0.043878,-0.00025539,-0.0042395
"M626.86T18.56",0.020629,-0.029457,0.010911,-0.0072435,0.018773,0.016607,0.012844,0.019063,-0.0010574,0.038004,0.014811,0.027671,0.0019534,-0.0062938,-0.036899,0.03988,0.0081891,0.0099799,0.016107,0.0028402,0.00024221
"M631.47T1471.08",-0.096092,-0.12973,0.011052,0.02526,0.03064,-0.0014534,0.063891,0.010882,0.021042,-0.0027699,0.0019313,0.01631,0.0047681,0.0087626,-0.0075162,-0.0078295,-0.018597,-0.0025271,0.017074,0.0091969,-0.0084415
"M631.86T17.56",0.0034903,-0.01674,-0.064162,-0.03165,0.025708,0.017974,-0.031202,0.015571,-0.049245,0.028685,-0.030992,-0.020775,0.026928,0.0023119,-0.039264,0.0010444,0.02169,-0.030071,-0.031017,-0.0052595,-0.015485
"M632.47T1471.09",-0.089686,-0.1317,0.016167,0.020925,0.023641,-0.0099643,0.068062,0.0047703,0.01397,-0.017727,-0.0088021,0.016086,-0.0028205,0.007606,-0.042559,0.0076872,-0.0098509,-0.0087641,0.0128,-0.0065791,-0.0013476
"M632.88T17.56",0.048501,-0.036402,-0.0057058,0.0040153,-0.049603,-0.033696,0.002529,-0.027203,0.01779,0.031327,-0.025113,-0.0077595,-0.018571,-0.0021296,-0.0010862,-0.028467,0.018254,0.0030201,-0.0016711,0.00021227,0.0033827
"M633.48T1454.22",-0.080415,-0.098144,0.018436,0.0046763,-0.0047767,0.0062417,0.027187,0.016533,0.018835,-0.038791,-0.011335,0.0028962,0.028281,-0.015235,-0.013408,-0.016687,0.0083795,-0.0039038,0.014508,0.00016693,-0.0018313
"M633.48T1420.61",-0.080122,-0.094418,0.020801,0.0067414,-0.0032142,-0.0024175,0.029078,0.020714,0.016855,-0.035702,-0.00063316,-0.0036605,0.03678,0.0063957,-0.021697,-0.00015304,0.0036886,0.0052964,0.019067,0.0068223,-0.013804
"M633.88T17.56",0.042046,0.001462,0.0064576,-0.039476,0.013029,-0.056967,0.052035,0.029193,0.056251,-0.035903,0.015378,-0.00066451,0.0093342,-0.0048757,-0.0054615,0.016426,0.035689,0.044261,-0.038122,-0.0015478,-0.0051931
"M634.48T1420.61",-0.083068,-0.091482,0.021072,0.012711,-0.0013048,-0.0042405,0.0085134,0.023778,0.030957,-0.047018,0.00051236,0.007171,0.016067,-0.00092447,-0.00093504,-0.0029595,-0.0088082,0.0020148,0.022563,0.0039036,-0.012286
"M637.36T17.55",0.057971,-0.014347,-0.029405,-0.030564,0.0082687,-0.022527,0.0073775,0.013259,0.014112,0.0055635,0.0065656,-0.011589,0.013351,0.012287,-0.02071,-0.007922,-0.044105,-0.0063542,0.020578,-0.0040212,0.000565
"M637.87T18.56",0.054829,-0.020401,-0.0088093,-0.022559,0.042059,-0.005348,-0.010327,-0.026141,0.039863,-0.036138,0.010213,-0.021729,-0.030509,0.011676,-0.014283,0.041302,0.0080925,-0.047184,0.031264,0.0028429,0.00055617
"M644.87T18.05",0.0173,-0.020477,-0.017398,-0.0048472,0.032594,-0.076651,-0.035917,-0.04945,-0.01043,0.036397,-0.0056082,-0.014419,0.013302,0.0091791,0.043813,-0.023364,0.021454,-0.0013413,0.032608,0.0079903,-0.012428
"M647.46T1437.41",-0.10808,-0.13005,0.023036,0.015551,0.029614,0.028954,0.048453,0.0084253,0.014569,-0.017632,-0.0055735,0.0061078,-0.00063933,0.010406,-0.0079134,-0.0042078,-0.012398,0.0091699,-0.010768,0.002634,-4.3126e-05
"M648.47T1437.41",-0.09661,-0.13251,0.011868,0.020876,0.041321,0.03042,0.036268,0.017687,0.03889,-0.040011,0.006031,-0.0072532,0.0028579,0.008721,0.010339,-0.0066298,-0.01404,0.011454,-0.0033436,0.021733,-0.01697
"M649.48T1420.61",-0.082068,-0.13214,0.002087,-0.041,-0.031182,-0.027881,0.11343,-0.072532,-0.0038726,-0.010465,-0.0034403,-0.0083523,0.013401,-0.016383,0.013383,0.02162,-0.0047752,-0.024313,-0.015742,0.0062378,-0.0094207
"M649.48T1386.28",-0.069454,-0.14272,-0.0070762,0.0023524,-0.058333,-0.087015,0.092164,-0.041404,0.019412,0.022076,-0.0094639,0.029747,-0.029963,-0.023652,-0.012734,0.059724,0.00039497,-0.0096034,0.00028952,0.01902,-0.0027995
"M650.48T1420.61",-0.068192,-0.12191,0.0061902,-0.034982,-0.032111,-0.036667,0.12162,-0.046195,0.019616,-0.012121,-0.010068,-0.013219,0.012627,-0.033549,-0.00061473,0.052013,0.018006,-0.023648,-0.015522,0.011984,0.0077735
"M650.48T1403.57",-0.072622,-0.1288,0.0038837,-0.038994,0.004378,-0.02826,0.12745,-0.061649,0.0015555,-0.0018775,-0.0075479,0.011374,0.00088471,-0.0035932,-0.0091353,0.027003,-0.0075365,-0.0012708,-0.010621,0.0080212,-0.0034226
"M653.86T17.74",0.019261,-0.01813,0.0046232,-0.014626,0.072567,0.02003,0.0080105,0.051076,0.010431,-0.056798,0.0084505,-0.015,0.027758,0.0072901,-0.034518,-0.015303,-0.013313,0.0048602,0.0077346,-0.0095004,0.0039978
"M660.87T12.55",0.0018359,0.010509,-0.018232,0.043155,0.02009,-0.071888,-0.012324,0.047445,0.059295,-0.044811,0.018527,0.014547,-0.016877,0.010458,0.0040513,0.01178,-0.015139,-0.0023977,0.00035981,-0.0028895,0.001163
