"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"BLANK_2",-5.2097,10.558,0.66244,0.013795,-0.19583,-0.88823,-2.771,-0.18066,-1.5134,1.7223,-0.72563,0.3446,-0.11794,-0.22191,3.414,-0.96186,0.37816,-0.87093,-0.82292,-1.1502e-14,6.529e-15
"QC.1_Dup",-4.3916,-1.0081,-7.2405,0.9673,-1.224,2.1783,-0.39538,-0.75545,-0.16084,0.01492,-0.076303,-0.2117,0.02259,0.096342,-0.18276,0.10285,-0.19548,-0.14342,0.11815,4.1858e-15,9.2819e-15
"QC.1",-4.3916,-1.0081,-7.2405,0.9673,-1.224,2.1783,-0.39538,-0.75545,-0.16084,0.01492,-0.076303,-0.2117,0.02259,0.096342,-0.18276,0.10285,-0.19548,-0.14342,0.11815,4.1858e-15,9.2819e-15
"QC.2",-1.8045,-2.9882,1.5183,-1.7841,1.1555,-0.67413,-0.81855,0.065711,0.85577,0.95862,-1.2356,-1.0075,0.72915,0.93886,0.35815,-0.11947,-0.28851,-3.6482,3.9284,1.174e-15,-2.0675e-15
"QC.3",-1.6426,-1.8002,0.61225,-1.3672,0.58273,-0.062484,0.060704,0.032786,0.41527,1.9669,-0.97359,1.4324,0.58198,-0.015221,1.7261,0.97517,1.4721,4.381,2.608,-4.9902e-15,7.0282e-16
"C15.1",-0.16873,-2.0767,1.701,-1.6144,-0.4938,1.3929,-1.7275,0.76711,-0.39759,2.1135,4.8126,0.51353,-1.2972,-3.2835,0.30144,1.5142,-2.378,-0.25528,0.054042,-2.7697e-15,2.3224e-16
"C15.2",-0.46242,-2.4156,0.91814,-1.4928,0.8856,0.10447,-0.36831,0.59339,-0.096351,0.66623,-1.0096,2.2222,-1.968,2.9709,-0.45171,-3.4245,-3.5463,0.86579,-0.74219,-3.652e-15,-1.3531e-16
"C15.3",1.1209,-4.7452,-0.15499,3.5158,2.7596,-3.2153,-0.19918,0.57608,-6.3586,-1.8753,0.97303,-0.34184,0.91501,-0.080953,0.90839,-0.53985,0.43584,0.068521,-0.050387,-3.0159e-15,-2.4303e-15
"C15.4",-2.157,0.56901,1.5092,2.1082,0.56556,-0.77835,0.21287,-0.85711,0.15455,3.6793,-1.2866,0.24483,4.3349,-1.6367,-3.4037,-0.80437,-0.48179,0.11855,-1.0775,-1.4062e-15,1.2106e-15
"D15.1",10.841,0.44544,-1.9396,5.8858,0.61632,-3.6468,-2.9389,1.5548,4.057,-0.13799,-0.29232,0.33511,-1.0228,-0.57453,0.32698,0.1604,-0.22173,0.077403,0.17312,4.0525e-15,-5.8174e-15
"D15.2",-1.859,-3.6686,1.5348,-0.76102,-0.045073,2.0543,0.83206,0.52494,1.2683,-2.2719,-1.7446,2.4406,-0.99475,-3.8643,0.60103,-2.4205,2.3604,-0.94907,-0.79242,-4.0224e-16,-1.5467e-15
"D15.3",9.2132,4.784,-1.2583,-1.5241,7.245,4.1116,2.9472,0.48764,-0.26654,0.0062909,0.23617,-0.51545,-0.059275,0.015442,-0.39283,0.27083,0.1492,-0.10717,0.061349,5.9497e-15,-8.1155e-15
"D15.4",3.0991,2.118,2.3541,-1.3446,-2.383,3.2772,-4.625,0.83629,0.11313,-4.3118,0.72367,-1.5602,2.6031,0.64393,-0.91638,-0.83488,-0.3203,1.1335,0.57466,7.1531e-15,3.1095e-16
"F15.1",9.056,0.3421,-0.79884,-2.2787,-6.0753,-0.54091,4.0293,4.348,-1.4515,1.4524,-0.71069,-0.88591,0.56493,0.15999,0.68673,-0.20484,0.15761,-0.36914,-0.3107,7.5675e-15,-2.4572e-15
"F15.2",0.16151,2.326,2.052,0.71403,-1.4558,0.5897,-1.5003,-0.2068,-2.6903,-0.27787,-2.7068,1.1749,-3.3907,0.21217,-3.2699,3.0696,0.57868,-0.21697,0.26916,-1.0541e-15,-1.8035e-15
"F15.3",7.2823,0.8419,-0.8475,-3.962,-1.6577,-3.369,1.0296,-7.3369,0.040345,-1.1141,0.66716,0.69167,0.1599,-0.29825,-0.021922,-0.10931,-0.056719,-0.094922,-0.11819,1.0431e-14,-2.0947e-16
"F15.4",-0.61263,-2.5308,0.7006,-1.4741,0.40357,-0.1361,-1.7428,0.37702,1.0292,2.0769,3.0049,-0.32244,-0.69626,3.1303,-1.012,-0.45942,4.065,-0.52493,-1.6134,-3.7954e-15,-1.2537e-15
"X15.1",-4.5255,-1.5379,1.19,-1.1354,1.03,-1.5228,0.61216,-0.50958,1.0539,0.0087046,-1.506,-6.046,-2.1411,-1.2152,0.034323,-0.41362,-0.43628,1.2158,-0.99975,-3.6172e-15,-2.0591e-15
"X15.2",-1.8283,-3.8777,1.4441,-0.82743,0.98162,0.49898,0.24752,0.13322,1.574,-1.2211,-1.6747,0.86155,1.9839,1.442,2.353,3.8257,-1.1247,-0.69271,-2.6298,1.2173e-15,-6.6527e-16
"X15.3",-9.2693,4.5041,-0.80622,-1.5798,0.87733,-4.4266,3.1767,2.8533,1.6814,-3.0683,1.9782,1.194,0.29583,0.14264,-1.6624,0.53753,-0.21731,0.20704,0.55664,-1.0291e-14,4.9205e-15
"X15.4",-2.4509,1.1685,4.0896,6.9732,-2.3482,2.8752,4.3343,-2.5484,0.85314,-0.40264,1.623,-0.3526,-0.5259,1.3415,0.78619,-0.2666,-0.13429,-0.051478,0.69563,6.9259e-16,-1.37e-15
