"",F.stat,p.value,-log10(p),FDR
M996.14T12.55,12.175,5.1048e-06,5.292,0.0050954
M854.18T12.55,11.498,8.9629e-06,5.0476,0.0050954
M922.81T11.54,7.894,0.00022885,3.6404,0.086735
M1125.78T12.55,6.6379,0.00078691,3.1041,0.15096
M1687.68T13.55,6.629,0.00079403,3.1002,0.15096
M936.81T11.55,6.6258,0.00079663,3.0987,0.15096
M1004.8T12.55,6.4252,0.00097576,3.0107,0.15849
M1334.74T12.55,6.0662,0.0014085,2.8512,0.18833
M953.15T13.55,6.0112,0.0014907,2.8266,0.18833
M534.88T17.56,5.4672,0.0026284,2.5803,0.25034
M1498.21T13.55,5.4401,0.0027045,2.5679,0.25034
M1510.46T13.05,5.4187,0.0027663,2.5581,0.25034
M1361.41T13.55,5.3417,0.0030006,2.5228,0.25034
M1600.69T13.55,5.2719,0.0032309,2.4907,0.25034
M1199.76T12.55,5.0685,0.0040128,2.3966,0.25034
M816.51T13.55,5.066,0.0040237,2.3954,0.25034
M800.83T18.56,5.0526,0.0040815,2.3892,0.25034
M1889.14T13.55,5.0364,0.0041533,2.3816,0.25034
M1785.65T13.55,5.0296,0.0041834,2.3785,0.25034
M1504.04T13.55,4.8285,0.0051932,2.2846,0.25682
M633.88T17.56,4.7988,0.005362,2.2707,0.25682
M1318.42T17.06,4.79,0.0054137,2.2665,0.25682
M1023.79T17.56,4.7662,0.0055543,2.2554,0.25682
M977.3T17.56,4.7394,0.0057182,2.2427,0.25682
M1092.78T17.56,4.716,0.0058646,2.2318,0.25682
M222.96T20.57,4.64,0.0063691,2.1959,0.25682
M1312.74T17.56,4.623,0.0064879,2.1879,0.25682
M989.8T17.56,4.6144,0.0065489,2.1838,0.25682
M938.31T16.56,4.5818,0.0067854,2.1684,0.25682
M927.48T16.56,4.5546,0.0069891,2.1556,0.25682
M309.13T18.56,4.5529,0.0070022,2.1548,0.25682
M1034.8T12.55,4.4675,0.0076868,2.1143,0.27256
M906.16T14.49,4.4412,0.0079108,2.1018,0.27256
M680.86T11.54,4.3531,0.0087132,2.0598,0.29112
M1207.09T13.54,4.3275,0.0089614,2.0476,0.29112
M380.92T18.56,4.2667,0.0095815,2.0186,0.29867
M1083.29T13.55,4.2537,0.0097194,2.0124,0.29867
M1028.47T13.54,4.1956,0.010363,1.9845,0.31007
M663.46T1386.95,4.1631,0.010742,1.9689,0.31317
M868.82T11.54,4.1196,0.011271,1.948,0.31854
M1345.24T13.55,4.1025,0.011487,1.9398,0.31854
M1077.44T17.56,4.0765,0.011823,1.9273,0.32007
M807.83T12.55,4.0023,0.012837,1.8915,0.32849
M1169.5T13.55,4.0013,0.012852,1.891,0.32849
M902.16T16.56,3.9909,0.013001,1.886,0.32849
M392.9T19.57,3.9653,0.013377,1.8736,0.33064
M759.85T17.56,3.9078,0.014263,1.8458,0.33681
M937.81T12.55,3.9048,0.014309,1.8444,0.33681
M1034.8T17.55,3.8796,0.014717,1.8322,0.33681
M733.85T17.56,3.8572,0.015091,1.8213,0.33681
M694.85T18.56,3.8562,0.015108,1.8208,0.33681
M865.33T17.56,3.8061,0.015979,1.7965,0.33708
M536.9T12.55,3.7998,0.016091,1.7934,0.33708
M1048.79T12.55,3.7714,0.016611,1.7796,0.33708
M1611.18T13.55,3.7697,0.016643,1.7788,0.33708
M711.85T17.56,3.7562,0.016896,1.7722,0.33708
M1363.73T17.55,3.742,0.017169,1.7653,0.33708
M834.82T18.56,3.6575,0.018877,1.7241,0.33708
M802.84T12.55,3.6293,0.019485,1.7103,0.33708
M1375.73T12.54,3.6272,0.019532,1.7093,0.33708
M1487.43T13.54,3.6255,0.019569,1.7084,0.33708
M943.31T17.56,3.6252,0.019576,1.7083,0.33708
M1307.75T12.55,3.6228,0.019629,1.7071,0.33708
M1069.79T17.56,3.6147,0.019809,1.7031,0.33708
M468.91T17.56,3.5707,0.020815,1.6816,0.33708
M1343.06T12.55,3.5483,0.021348,1.6706,0.33708
M1098.78T12.55,3.5336,0.021705,1.6634,0.33708
M888.32T17.56,3.5321,0.021741,1.6627,0.33708
M1137.11T17.55,3.5184,0.022082,1.656,0.33708
M1316.25T13.55,3.5178,0.022096,1.6557,0.33708
M1797.41T13.55,3.5097,0.022299,1.6517,0.33708
M1183.77T11.73,3.508,0.022342,1.6509,0.33708
M945.81T17.56,3.5007,0.022527,1.6473,0.33708
M177.03T19.56,3.4948,0.022678,1.6444,0.33708
M1267.74T17.48,3.4918,0.022754,1.6429,0.33708
M1034.29T16.62,3.4823,0.023,1.6383,0.33708
M1206.09T17.56,3.4768,0.023143,1.6356,0.33708
M1627.95T13.58,3.4702,0.023316,1.6323,0.33708
M1121.45T12.55,3.4663,0.023421,1.6304,0.33708
M1135.44T17.55,3.4365,0.024224,1.6158,0.34356
M1033.8T17.55,3.3867,0.02563,1.5913,0.34356
M1141.78T12.55,3.3749,0.025974,1.5855,0.34356
M1394.72T17.56,3.3625,0.026345,1.5793,0.34356
M903.48T13.45,3.3557,0.026548,1.576,0.34356
M882.81T18.56,3.3542,0.026594,1.5752,0.34356
M826.83T18.56,3.3486,0.026762,1.5725,0.34356
M1138.1T17.55,3.3388,0.027061,1.5676,0.34356
M1117.28T13.55,3.3324,0.027259,1.5645,0.34356
M1505.38T13.55,3.3314,0.027292,1.564,0.34356
M1036.13T12.55,3.3204,0.027633,1.5586,0.34356
M360.93T17.56,3.3186,0.02769,1.5577,0.34356
M818.27T830.41,3.3116,0.027911,1.5542,0.34356
M1170.09T14.07,3.3056,0.028101,1.5513,0.34356
M1146.77T17.56,3.2688,0.029306,1.533,0.35448
M1159.77T17.56,3.2214,0.030929,1.5096,0.36872
M1215.76T17.4,3.211,0.031299,1.5045,0.36872
M772.84T17.56,3.2066,0.031456,1.5023,0.36872
M1031.8T12.47,3.189,0.032093,1.4936,0.37234
M1507.7T16.55,3.1602,0.033166,1.4793,0.38091
M926.49T14.05,3.1381,0.034013,1.4684,0.3834
M1610.94T13.55,3.1301,0.034327,1.4644,0.3834
M1024.13T17.48,3.1284,0.034395,1.4635,0.3834
M1463.45T13.55,3.0933,0.0358,1.4461,0.39519
M1086.11T17.56,3.06,0.037192,1.4296,0.40532
M1031.79T17.56,3.0419,0.037969,1.4206,0.40532
M962.48T16.56,3.039,0.038098,1.4191,0.40532
M1185.52T13.55,3.0359,0.038232,1.4176,0.40532
M875.32T17.56,3.0298,0.0385,1.4145,0.40532
M1169.27T13.55,3.0214,0.038872,1.4104,0.40549
M1177.1T13.54,3.0118,0.039301,1.4056,0.40623
M603.37T16.56,3.003,0.039702,1.4012,0.40668
M925.81T17.56,2.985,0.04053,1.3922,0.41064
M1025.8T13.55,2.9575,0.041828,1.3785,0.41064
M1307.74T17.55,2.9532,0.042035,1.3764,0.41064
M979.8T18.56,2.9502,0.042182,1.3749,0.41064
M1813.65T13.55,2.9495,0.042213,1.3746,0.41064
M1058.13T12.55,2.9487,0.042255,1.3741,0.41064
M1045.29T17.55,2.9178,0.043779,1.3587,0.42184
M1662.18T13.6,2.9031,0.044528,1.3514,0.42545
M1220.5T13.6,2.8939,0.045002,1.3468,0.42639
M1092.79T12.55,2.8827,0.045581,1.3412,0.42786
M205.07T813.54,2.8661,0.046461,1.3329,0.42786
M1706.67T13.55,2.8651,0.046513,1.3324,0.42786
M337.06T22.56,2.8624,0.046662,1.331,0.42786
M1199.44T12.55,2.85,0.04733,1.3249,0.43052
M1594.19T13.55,2.8333,0.048251,1.3165,0.43232
M1345.41T12.6,2.8317,0.048339,1.3157,0.43232
M341.27T1369.82,2.8123,0.049428,1.306,0.43232
M1167.77T12.54,2.8103,0.049542,1.305,0.43232
M1021.33T830.41,2.8072,0.049721,1.3035,0.43232
M780.84T11.73,2.8057,0.04981,1.3027,0.43232
M979.31T813.63,2.7927,0.050557,1.2962,0.43376
M1074.28T13.55,2.7758,0.051556,1.2877,0.43376
M766.84T11.54,2.7692,0.051948,1.2844,0.43376
M1227.42T17.55,2.764,0.052261,1.2818,0.43376
M963.81T12.29,2.7575,0.052653,1.2786,0.43376
M1282.25T13.55,2.7569,0.052692,1.2783,0.43376
M496.91T17.56,2.7519,0.052996,1.2758,0.43376
M1468.4T13.55,2.7514,0.053028,1.2755,0.43376
M828.83T12.29,2.7279,0.054485,1.2637,0.43841
M1158.1T13.08,2.7229,0.054799,1.2612,0.43841
M1075.45T16.55,2.7191,0.055036,1.2593,0.43841
M1250.76T12.55,2.7175,0.055139,1.2585,0.43841
M673.87T17.56,2.7041,0.056003,1.2518,0.44178
M741.85T17.56,2.6903,0.0569,1.2449,0.44178
M949.48T13.55,2.6856,0.057209,1.2425,0.44178
M565.89T17.56,2.6837,0.057336,1.2416,0.44178
M1194.27T17.56,2.6729,0.058057,1.2361,0.44178
M1113.28T17.56,2.6622,0.058777,1.2308,0.44178
M902.82T11.55,2.6617,0.058815,1.2305,0.44178
