"","sample","condition","sodium_formate","M177.03T19.56","M186.96T7.54","M205.07T813.54","M217.03T22.06","M222.96T20.57","M224.13T58.72","M236.94T4.52"
"1","C9.1","First",4034768.1,18351.68,6980.777,60902.895,8187.21,12284.744,115012.738,17568.038
"2","C9.2","First",3834773.912,19419.402,12943.284,68939.3,6344.026,11860.869,106524.429,18066.211
"3","C9.3","First",3778849.129,18736.828,6991.086,101295.086,7381.325,12238.549,42744.997,17661.277
"4","C9.4","First",4038727.883,17435.998,7780.283,106125.148,6407.573,11159.429,36805.852,16621.965
"5","D9.1","First",3927944.588,22888.46,7705.939,80133.656,6108.27,13626.056,97208.856,17474.336
"6","D9.2","First",3923775.51,18936.422,7837.58,66632.343,8375.05,13328.885,37263.017,22005.82
"7","D9.3","First",3741009.216,16220.329,7176.182,56615.297,7249.684,10320.101,30496.971,16733.295
"8","D9.4","First",4053881.971,20071.162,6680.07,87114.227,7180.24,14330.147,49278.981,12027.19
"9","F9.1","First",3890744.446,17453.065,6693.797,66475.865,7657.757,11626.351,54958.225,17432.722
"10","F9.2","First",4045781.04,20635.722,7755.913,122827.71,8686.942,11929.151,71517.632,12315.775
"11","F9.3","First",3879945.02,17276.606,6798.739,86610.755,7767.483,12624.191,44685.571,17102.384
"12","F9.4","First",4104743.934,21246,6985.118,27912.524,6329.746,13926.501,261719.115,18218.258
"13","X9.1","First",3959808.028,18416.248,6397.864,95839.947,6571.656,13258.976,44585.037,16985.694
"14","X9.2","First",3945214.242,19171.878,6714.082,86850.81,5961.46,12533.75,32730.628,15488.206
"15","X9.3","First",3800062.662,18126.191,11312.587,75459.629,7888.136,11869.502,48232.16,17861.348
"16","X9.4","First",4006431.121,18009.275,7756.596,80562.371,7199.534,12425.164,138632.96,17320.241
"17","C12.1","Second",3963239.209,18693.0867,6168.768,15823.7332,6502.0529,14968.5218,30205.4491,14619.4184
"18","C12.3","Second",3909794.3,18842.358,7424.841,68169.686,6209.755,10093.382,359211.915,16107.064
"19","C12.4","Second",3819856.076,16833.267,6241.794,83305.415,6841.472,11404.852,43054.821,12608.698
"20","D12.1","Second",3998858.02,19830.886,8356.19,101210.698,7808.885,12164.359,117293.793,11488.362
"21","D12.2","Second",3805401.884,14999.893,7016.352,114615.269,7196.194,11155.084,37127.92,15007.591
"22","D12.3","Second",3801631.212,19630.716,5797.932,71937.983,6412.089,13221.546,48439.647,11145.336
"23","D12.4","Second",3974273.447,21219.123,10589.333,87233.458,7561.677,14380.86,31248.827,12263.632
"24","F12.1","Second",3999727.821,21036.46,7244.307,35810.573,6485.564,12787.769,30993.727,17562.352
"25","F12.2","Second",3766924.043,14964.132,8195.375,79589.74,5844.737,10721.126,367107.404,16328.183
"26","F12.3","Second",3340263.449,13540.051,8595.915,26603.582,6274.224,9508.339,46968.378,18634.527
"27","F12.4","Second",3555482.54,13510.572,10395.049,52211.587,6040.867,8372.283,48489.044,17086.231
"28","X12.1","Second",3798359.722,16686.742,6472.362,88803,6939.48,10437.218,66030.69,18472.845
"29","X12.2","Second",3837317.869,19172.993,8610.327,94432.203,8228.437,13260.344,287215.355,16164.7
"30","X12.3","Second",3790177.391,20143.453,6973.197,85283.483,7295.316,13229.427,59602.572,12559.566
"31","C15.1","Third",3934423.297,20090.693,7205.886,41579.759,7216.126,13399.117,90143.59,16384.355
"32","C15.2","Third",3867787.496,20789.589,6884.996,88893.127,8151.171,12524.8,30980.55,19463.917
"33","C15.3","Third",3442128.325,14800,7980,52600,8000,9650,52800,18300
"34","C15.4","Third",3960498.029,16088.496,6430.452,83945.605,8080.517,13463.153,30290.49,17849.774
"35","D15.1","Third",4037491.87,21258.1779,8025.5912,47539.7335,8300.8735,13751.7135,36664.6783,17291.2429
"36","D15.2","Third",3920796.465,19517.132,6899.205,42660.617,7404.329,16268.66,33204.752,11573.983
"37","D15.3","Third",4069492.77,19847.364,7808.635,24601.701,6401.476,13711.773,31309.828,17141.596
"38","D15.4","Third",3868513.993,17226.406,7649.083,13502.313,7670.698,14781.54,143478.286,18765.547
"39","F15.1","Third",3964439.746,22156.27,7007.753,33593.862,6849.446,13242.512,55700.271,18347.345
"40","F15.2","Third",4037001.94,20992.703,6899.47,40168.164,8377.72,14693.24,122041.735,18699.932
"41","F15.3","Third",4030308.581,18590.212,8001.491,38329.428,7200.23,12415.134,45008.825,15705.755
"42","F15.4","Third",3922005.864,17574.525,7251.251,91455.601,7854.807,15366.567,191431.166,17632.074
"43","X15.1","Third",3735044.78,16277.832,6917.147,69695.01,6345.012,10849.314,29906.092,17831.573
"44","X15.2","Third",3901010.182,19071.683,8078.855,56621.324,8580.785,11679.061,34205.585,17071.519
"45","X15.3","Third",3528207.642,12823.386,6085.126,75040.249,5751.202,8728.152,295159.68,17813.28
"46","X15.4","Third",4862691.729,20781.213,6407.413,40945.373,9111.158,15291.01,65877.04,15535.325
"47","BLANK_2","Other",3667732.211,13327.47,6758.931,42186.738,7018.118,8172.888,32103.776,17306.435
"48","QC.1_Dup","Other",4024050.372,14579.999,8246.635,63332.788,5711.091,8625.084,43386.797,16647.794
"49","QC.1","Other",4024050.372,14579.999,8246.635,63332.788,5711.091,8625.084,43386.797,16647.794
"50","QC.2","Other",3845070.71,17582.59,6932.437,79742.875,8481.368,13032.982,51273.011,17884.412
"51","QC.3","Other",4035455.455,19121.192,6727.683,86509.759,7675.806,13079.498,44633.211,20194.171
