T1,T2,T3
M996.14T12.55,M1889.14T13.55,M834.82T18.56
M922.81T11.54,M922.81T11.54,M1194.27T17.56
M1322.48T13.55,M1367.73T12.55,M1316.25T13.55
M1183.77T11.73,M996.14T12.55,M1092.78T17.56
M1199.75T17.56,M1627.95T13.58,M978.14T17.55
M694.85T18.56,M1004.8T12.55,M996.14T12.55
M1296.07T17.56,M1634.68T13.55,M1730.67T13.55
M1036.13T12.55,M831.83T17.56,M876.83T17.56
M1394.72T17.56,M236.94T4.52,M877.83T17.56
M1031.79T17.56,M1361.41T13.55,M1206.76T17.55
M1121.45T12.55,M1334.74T12.55,M1611.18T13.55
M1289.74T12.55,M1121.45T12.55,M1310.08T13.55
M990.29T17.56,M800.83T18.56,M694.85T18.56
M680.86T11.54,M1155.78T12.55,M953.15T13.55
M1343.06T12.55,M1394.72T17.56,M1638.68T13.55
M1889.14T13.55,M1199.76T12.55,M1057.79T17.56
M1206.44T13.04,M1228.76T12.55,M1181.76T17.56
M1199.76T12.55,M1033.8T17.55,M1596.37T13.55
M854.18T12.55,M1603.36T13.55,M752.84T18.57
M906.16T14.49,M1092.78T17.56,M989.8T17.56
M1265.76T12.55,M854.82T11.54,M1386.72T16.56
M1031.8T12.47,M1235.75T17.56,M990.29T17.56
M1137.11T17.55,M854.18T12.55,M1108.78T17.55
M1282.25T13.55,M1068.29T16.56,M1026.78T18.56
M1108.78T17.55,M1171.77T12.55,M1189.76T17.56
M917.15T16.56,M968.81T12.55,M468.91T17.56
M1041.47T12.55,M801.83T17.56,M1281.49T13.55
M953.15T13.55,M1158.1T13.08,M745.85T17.56
M1334.74T12.55,M1137.11T17.55,M957.8T18.56
M1520.03T13.55,M680.86T11.54,M854.18T12.55
M1141.78T12.55,M1592.69T13.55,M808.85T17.56
M1212.43T14.57,M989.8T17.56,M962.48T16.56
M1398.72T17.56,M1003.47T13.55,M1266.75T17.56
M903.48T13.45,M1422.39T13.55,M938.31T16.56
M802.84T12.55,M817.18T13.55,M1295.41T16.56
M1028.47T13.54,M1363.73T17.55,M1239.75T17.55
M1207.09T13.54,M910.15T17.55,M222.96T20.57
M1083.29T13.55,M536.9T12.55,M1170.77T16.68
M943.31T17.56,M1001.81T17.56,M922.32T11.54
M1090.11T16.95,M1064.79T12.55,M1206.44T13.04
M1146.77T17.56,M1468.4T13.55,M691.86T17.56
M896.82T11.73,M1401.05T13.55,M1070.29T12.55
M1045.29T17.55,M1322.74T13.55,M1068.79T17.55
M989.8T12.54,M1307.75T12.55,M878.83T17.55
M1024.13T17.48,M1814.39T13.55,M1048.79T12.55
M834.82T18.56,M842.82T11.54,M828.34T17.56
M392.9T19.57,M694.85T18.56,M963.81T17.56
M1361.41T13.55,M1189.76T17.56,M579.89T13.55
M1177.1T13.54,M392.9T19.57,M711.85T17.56
M702.37T13.55,M1175.76T17.47,M1068.29T16.56
M1442.72T13.1,M1440.47T13.55,M534.88T17.56
M1312.74T17.56,M1402.73T12.55,M925.81T17.56
M1068.29T16.56,M1206.09T17.56,M502.87T19.22
M938.31T16.56,M953.15T13.55,M1023.79T17.56
M1206.09T17.56,M1288.74T16.98,M612.87T18.56
M1458.71T13.55,M788.84T18.56,M1340.74T16.56
M1034.29T16.62,M848.83T17.56,M909.82T17.56
M1344.23T13.55,M1310.08T13.55,M1285.75T11.68
M1429.4T13.55,M1333.74T16.56,M1146.77T17.56
M1084.11T17.55,M1505.38T13.55,M1113.77T17.56
M1034.8T17.55,M1660.67T13.55,M653.86T17.74
M536.9T12.55,M1220.5T13.6,M1034.8T17.55
M1424.72T12.6,M1282.25T13.55,M480.89T18.57
M842.82T11.54,M1008.13T17.48,M1000.81T17.56
M989.8T17.56,M1504.04T13.55,M1034.29T16.62
M1510.46T13.05,M834.82T18.56,M1048.12T17.56
M780.84T11.73,M1206.76T17.55,M1312.74T17.56
M1446.44T13.6,M1343.06T12.55,M943.31T17.56
M1008.13T17.48,M1031.8T12.47,M910.8T18.56
M1814.39T13.55,M1069.79T17.56,M573.47T1437.42
M673.87T17.56,M949.48T13.55,M836.84T17.55
M1125.78T12.55,,M922.81T11.54
M360.93T17.56,,M956.3T17.56
M1087.79T12.55,,M1687.68T13.55
M1429.22T13.55,,M1048.79T17.56
M831.83T17.56,,M1199.76T12.55
M936.81T11.55,,M633.88T17.56
M1002.47T16.93,,M1046.78T18.56
M854.82T11.54,,M826.83T18.56
M956.3T17.56,,M1206.09T17.56
M1295.25T13.55,,M1166.44T14.63
M1048.79T12.55,,M788.84T18.56
M177.03T19.56,,M875.32T17.56
M1207.43T13.55,,M853.82T17.56
M1434.47T13.55,,M1240.27T13.49
M631.86T17.56,,M1220.5T13.6
M1463.45T13.55,,M1502.46T13.55
M1274.07T17.56,,M827.49T1369.97
M380.92T18.56,,M631.47T1471.08
M745.85T17.56,,M964.8T17.56
M1363.73T17.55,,M589.43T1437.43
M1136.78T16.56,,M1059.43T881.12
M1481.21T13.55,,M549.19T881.43
M733.85T17.56,,M1183.77T11.73
M1033.8T17.55,,M945.81T17.56
M1092.78T17.56,,M1510.46T13.05
M1159.77T17.56,,M977.3T17.56
M1837.64T13.55,,M1498.21T13.55
M1074.28T13.55,,M1013.8T17.56
M1610.96T13.55,,M1814.39T13.55
,,M858.82T17.95
,,M796.85T17.56
,,M1230.75T17.56
,,M1463.45T13.55
,,M888.82T18.56
,,M360.93T17.56
,,M1081.78T17.56
,,M1764.66T13.55
,,M665.47T1386.55
,,M1050.12T17.4
,,M1318.42T17.06
,,M647.46T1437.41
,,M1797.41T13.55
,,M1007.47T16.56
,,M1446.21T13.55
,,M1018.79T17.56
,,M1024.79T17.56
,,M687.86T17.56
,,M979.8T18.56
,,M1031.79T17.56
,,M666.48T1403.51
,,M924.81T18.55
,,M800.83T18.56
,,M1040.8T12.55
,,M1125.77T17.56
,,M1774.42T13.55
,,M1361.41T13.55
,,M760.35T17.56
,,M1036.13T12.55
,,M1813.65T13.55
,,M1021.33T830.41
,,M955.81T17.56
,,M1267.74T17.48
,,M1251.42T17.4
,,M516.89T18.56
,,M934.15T16.56
,,M1045.29T17.55
,,M322.92T21.56
,,M649.48T1420.61
,,M899.33T17.55
,,M648.47T1437.41
,,M799.25T813.63
,,M859.28T831.48
