T1,T2,T3
M1067.787T17.122,M367.151T397.982,M967.818T12.107
M1059.46T14.114,M830.837T11.111,M835.826T17.121
M1287.747T14.113,M1239.758T16.118,M771.505T1357.807
M1356.732T13.109,M1334.742T13.111,M1501.706T13.11
M882.812T18.125,M1030.792T17.119,M827.834T17.122
M633.474T1424.866,M1189.43T15.136,M631.468T1459.998
M1576.695T13.11,M883.492T15.092,M247.083T835.562
M990.789T18.143,M970.794T18.128,M1021.326T836.385
M354.284T1595.998,M774.824T18.125,M573.464T1458.338
M634.485T1424.862,M1053.787T16.896,M632.472T1474.795
M1154.769T17.115,M664.853T17.893,M647.463T1427.898
M1239.758T16.118,M1116.775T17.12,M931.815T16.119
M649.479T1424.057,M1279.087T13.111,M681.468T1391.964
M912.805T18.125,M1220.262T13.111,M591.475T1442.976
M1414.729T13.11,M996.798T17.124,M649.479T1424.057
M1187.772T13.11,M1058.286T17.121,M1023.307T13.116
M1610.691T13.111,M536.899T13.11,M650.482T1423.88
M1593.442T13.11,M848.827T17.121,M648.465T1441.075
M648.465T1441.075,M882.812T18.125,M890.804T18.126
M972.813T17.121,M1026.791T12.104,M1160.766T17.121
M767.839T17.122,M970.807T12.104,M1355.738T13.11
M1279.087T13.111,M768.855T17.124,M633.474T1424.866
M650.482T1423.88,M831.338T16.12,M575.48T1424.867
M1170.77T17.127,M1107.445T13.643,M1059.426T884.067
M573.464T1458.338,M1610.426T13.113,M1141.772T16.116
M1447.213T13.111,M908.151T15.062,M634.485T1424.862
M1087.458T13.111,M1671.991T13.111,M1342.731T13.115
M1222.764T12.168,M1472.714T13.108,M950.801T18.122
M575.48T1424.867,M1094.782T12.105,M856.823T18.124
M1252.751T12.611,M991.807T13.109,M1298.242T13.11
M1419.724T14.619,M1236.757T13.113,M1132.772T17.119
M1522.706T13.16,M1288.745T12.11,M367.151T397.982
M871.491T17.124,M1244.755T16.127,M516.891T17.488
M632.472T1474.795,M1786.658T13.109,M839.337T903.707
,,M831.338T16.12
,,M799.252T819.392
,,M671.358T17.117
,,M222.962T20.134
,,M817.264T834.906
,,M1505.382T13.111
,,M1120.777T16.117
