"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4"
"Label","con_9","con_9","con_9","con_9","dro_9","dro_9","dro_9","dro_9","foc_9","foc_9","foc_9","foc_9","xvm_9","xvm_9","xvm_9","xvm_9"
"M177.034T19.126","-0.124421939"," 0.146000393"," 0.083145652","-0.214685059"," 0.413161721"," 0.091936483","-0.299057231"," 0.014174222","-0.109782832"," 0.087011929","-0.216849726"," 0.187843277","-0.079578689","-0.031546246"," 0.060891758","-0.008243712"
"M222.962T20.134","-0.08253384","-0.02285008"," 0.21966461","-0.23984774"," 0.10913088"," 0.16780578","-0.21861058"," 0.12156184","-0.20200179","-0.08951613"," 0.19663058"," 0.28331034"," 0.25603460","-0.38103235"," 0.11205763","-0.22980376"
"M243.886T1577.62","-0.13506737"," 0.29140646"," 0.13305268"," 0.16974523","-0.01228756"," 0.13514727"," 0.15905164"," 0.02418825","-0.01905200","-0.16095173","-0.32406714","-0.13356663","-0.13381642"," 0.19732833","-0.16791765","-0.02319337"
"M247.083T835.562","-0.28471932","-0.12801268"," 0.43362860"," 0.11909193","-0.18785783","-0.02968141"," 0.09893755"," 0.21145763","-0.37296818"," 0.33414351"," 0.12941445","-1.10236883"," 0.31192079"," 0.30945796"," 0.13672645"," 0.02082939"
"M250.958T20.121"," 0.207773149"," 0.097125485"," 0.045508029"," 0.025768752","-0.087891452"," 0.270174050","-0.529689457","-0.337588060","-0.131600873","-0.070411790"," 0.090729809","-0.004862206"," 0.093121593"," 0.074293023"," 0.098382386"," 0.159167562"
"M274.939T20.136"," 0.05277723"," 0.38604590","-0.42452265","-0.14502294","-0.08093583","-0.01266636","-0.53297960"," 0.12614913"," 0.31374930"," 0.02121938","-0.09180403"," 0.20389412"," 0.17150181","-0.04964186","-0.13763496"," 0.19987136"
"M286.907T1578.052","-0.61042753"," 0.26286608","-0.16313202","-0.03712275"," 0.18292335","-0.55279259"," 0.05402612"," 0.25998757"," 0.16947739"," 0.21350817","-0.16808558"," 0.13736623"," 0.02973607","-0.01032494"," 0.05138856"," 0.18060585"
"M296.921T20.131","-0.035319619"," 0.233102435"," 0.340748750"," 0.131810775","-0.005876706","-0.136046677","-0.581190432"," 0.151156155","-0.041589345"," 0.203527585","-0.103026712"," 0.013854075","-0.135198420"," 0.168431123","-0.116458118","-0.087924870"
"M302.934T20.131","-0.03098771","-0.14749084","-0.10811818"," 0.06736545"," 0.24656303"," 0.16094923","-0.24973730","-0.28711542","-0.09616130"," 0.31407493"," 0.21391613","-0.15452931","-0.15257162"," 0.24245722"," 0.04474084","-0.06335515"
"M309.131T17.119"," 0.005144151"," 0.239863270"," 0.020707808"," 0.013319825"," 0.204307123"," 0.167509245","-0.212225478","-0.318852047","-0.174351316"," 0.243744099","-0.030813798","-0.066820292","-0.150726650"," 0.037851515","-0.138370145"," 0.159712690"
