"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"M177.034T19.126",-0.021392,-0.039397,-0.037782,-4.8099e-05,-0.008106,-0.047319,-0.010057,0.0045508,-0.0019317,0.022128,0.0056739,-0.027106,-0.024519,0.0383,0.059803,0.2378
"M222.962T20.134",-0.03335,-0.012672,-0.038105,-0.022448,0.022042,-0.0014293,0.0036689,0.031041,0.0069079,-0.018312,0.041801,0.020539,-0.017944,-0.079052,0.082419,0.27611
"M243.886T1577.62",0.014929,-0.017248,0.0094055,0.039183,0.013208,0.0050239,0.016643,0.0046078,0.057408,0.0415,-0.0024875,-0.064964,0.022807,0.028081,-0.015181,0.051274
"M247.083T835.562",0.090551,-0.039714,-0.019784,-0.10139,0.068744,0.0042181,0.010137,0.021136,0.032509,0.008664,0.011213,0.022127,0.041677,-0.027324,-0.04004,0.017608
"M250.958T20.121",-0.014124,-0.047804,-0.053822,0.0043126,-0.006138,0.053285,-0.0030828,-0.0045866,-0.037285,-0.050242,0.014291,-0.010425,-0.00065281,0.0111,-0.055673,-0.043526
"M274.939T20.136",-0.026465,-0.040897,-0.0024406,0.030072,-0.11431,-0.0055767,-0.017592,-0.004522,0.00037488,-0.012583,0.028131,0.04451,0.048627,0.015361,-0.013899,0.038802
"M286.907T1578.052",0.00091404,-0.022333,0.037299,0.0097157,-0.031453,-0.11698,0.037273,0.0069943,0.025831,0.038699,-0.057003,0.07302,0.044955,0.026552,0.044932,-0.55738
"M296.921T20.131",-0.01617,-0.075998,0.006759,-0.046046,-0.011943,0.028044,-0.00057735,0.021067,0.019444,0.048509,-0.02824,-0.0039023,0.0028741,0.040807,-0.0071919,-0.35381
"M302.934T20.131",0.0038393,-0.017073,-0.01999,-0.056713,0.0022595,-0.006095,0.02237,-0.04617,-0.030267,-0.045518,0.0096301,-0.027967,-0.041317,0.07222,-0.023055,0.46449
"M309.131T17.119",-0.0040491,-0.026754,-0.050521,-0.0022092,-0.00023521,0.010075,0.029143,-0.03689,-0.0074624,0.016817,0.011838,-0.01021,-0.0025063,0.087677,-0.012061,-0.11501
"M337.056T22.131",0.010385,-0.037292,-0.017019,0.035606,-0.03106,0.026712,-0.020827,0.046001,-0.018222,0.011567,-0.018492,-0.057559,-0.007821,0.0056292,0.057684,-0.21308
"M354.284T1595.998",-0.00047357,0.054495,0.00075439,-0.036188,0.010804,0.0071616,-0.005222,-0.057423,-0.014679,-0.053812,0.013638,-0.053996,0.013206,-0.01047,0.12697,-0.10457
"M364.909T21.126",-0.00068234,-0.073325,0.05671,-0.050177,-0.020325,0.10063,-0.038678,0.06814,-0.047166,-0.029447,0.055954,0.032494,0.00080131,-0.0090254,0.01387,0.15871
"M367.151T397.982",0.048579,0.054738,0.057641,-0.23183,-0.10415,-0.10964,-0.025947,-0.096259,-0.055943,0.038892,-0.082302,-0.1233,0.15774,0.050814,0.067121,0.019659
"M372.364T1640.641",0.022065,-0.041332,0.063926,-0.012149,-0.0014014,-0.0097511,0.045888,0.063384,0.049374,-0.035126,0.0072176,-0.018441,0.030461,0.065548,0.045127,-0.20062
"M380.918T17.845",-0.040636,-0.045373,-0.034504,0.011683,-0.031184,0.020758,-0.010807,-0.0032363,-0.032541,-0.0025279,0.036912,0.013239,-0.020865,-0.016423,0.0087297,-0.004531
"M382.315T1625.896",0.0058295,0.024944,0.070386,0.052632,0.019957,-0.0074384,-0.03901,-0.0024056,-0.062079,-0.013821,-0.014124,-0.027148,-0.0022885,0.068333,-0.034761,-0.014457
"M385.292T1611.168",0.030349,0.04526,0.082039,-0.0078955,0.067186,-0.035964,-0.0087436,0.018617,-0.014012,-0.053852,0.034658,0.02693,0.018524,0.029359,-0.0091218,-0.0068137
"M392.904T19.162",-0.021597,-0.062143,0.0031184,-0.0072927,-0.0037895,0.020382,0.00011761,0.049932,0.0037119,-0.02109,0.05174,-0.0066279,-0.033508,0.059855,-0.0061125,-0.0069095
"M408.915T17.478",-0.031936,-0.042047,-0.024636,0.026016,-0.04794,0.040537,0.0058421,-0.00083795,-0.020871,-0.0023267,-0.0050348,-0.021722,-0.015158,-0.0012127,0.021899,-0.012392
"M423.199T1618.85",0.030325,-0.055904,0.062454,0.10533,-0.069095,0.041435,0.097665,-0.081209,-0.08564,0.0089576,-0.073517,0.0080067,0.033761,-0.0022025,-0.0057856,-0.00060973
