"",Label,M354.284T1595.998,M573.464T1458.338,M575.48T1424.867,M632.472T1474.795,M633.474T1424.866,M634.485T1424.862,M648.465T1441.075,M649.479T1424.057,M650.482T1423.88,M767.839T17.122,M871.491T17.124,M882.812T18.125,M912.805T18.125,M972.813T17.121,M990.789T18.143,M1059.46T14.114,M1067.787T17.122,M1087.458T13.111,M1154.769T17.115,M1170.77T17.127,M1187.772T13.11,M1222.764T12.168,M1239.758T16.118,M1252.751T12.611,M1279.087T13.111,M1287.747T14.113,M1356.732T13.109,M1414.729T13.11,M1419.724T14.619,M1447.213T13.111,M1522.706T13.16,M1576.695T13.11,M1593.442T13.11,M1610.691T13.111
C9.1,con_9,85.6185464537603,34.7268270511012,33.5239698162578,24.8235902331041,128.534836487876,56.8253030452977,24.4277719455549,109.779398969671,35.6651910180414,3.89755188160628,2.91609448384407,4.80591461997531,3.8934621794001,10.3086762285049,4.62682254278753,8.47625344316567,6.37423920348731,4.28558979635038,4.13834044142463,8.02659860426675,18.8768695281397,2.86090048149236,2.83637738684412,3.87743771445006,4.96482462027991,7.02154852468473,4.82955612740172,7.84547691848758,2.98434599004587,2.68824718823369,2.49233902686997,3.95090315103859,3.77871655126846,4.1429885400353
C9.2,con_9,69.0056037389669,23.7143792794218,25.2011422883592,25.3846641898194,157.342139809571,63.2644003446532,18.6295728612436,132.399827382575,72.1704946239344,4.15199627549777,2.79110300779578,4.78288562008972,3.05024136192152,10.7662693935631,4.04728475684905,8.72821938609246,6.75959850433029,2.6840659283175,4.23581503701436,8.03807387537062,18.5405983850868,3.60840021277374,2.87788309122095,3.63007424151894,5.30121031030942,7.47987330106777,5.01287884009158,8.3790045351701,2.97573110224079,3.05897747016904,2.8568995855837,4.02426801530823,3.74359775294101,4.49837653949285
C9.3,con_9,73.6420977657931,42.9763823471239,43.1314822148328,31.6131218585096,165.325152625325,76.987037605544,29.9640070652845,122.32898541846,67.1969497409379,4.49198431070784,3.50022230273592,4.93620950803511,3.66035333187815,10.3165283050918,3.58319888880644,8.14226632227105,6.57931347647619,3.81799868358809,4.67770990494074,8.26751424401734,18.5816002711338,3.70288400577212,2.83677903881724,3.73152367788008,5.12777471090193,7.18869610102394,4.59221482721439,7.8651023063906,2.91230414983842,2.94736667694044,2.91921048536786,4.13331267452144,3.50545802380458,4.43012208969299
C9.4,con_9,84.0830028260659,60.5917046380022,50.4940849960205,51.5023636218573,215.657209951226,80.5985662887009,56.7575030159565,234.728369789503,103.443708539648,3.3695852739381,3.76272515510796,4.80407409513012,3.37346174208687,10.2138389104241,3.65901155712996,8.23741285963732,6.06567605188666,2.63938653675321,4.11761289241581,7.77850523978964,18.891985102825,2.88420644753798,2.87168740652686,3.11272196696298,5.25987504367845,7.66266950795704,4.79773497035081,8.03558024708841,2.70685827733445,2.59071898456992,2.85967297985448,3.97089986366878,3.64870633201806,4.50594110997203
D9.1,dro_9,105.901648732729,51.9817389032882,49.1380363637655,41.4518098084738,162.214887640365,64.4726009561518,44.1504741512408,195.177312923947,85.0228157546504,4.08638554857332,2.63990714932153,4.5992759305188,2.69999328208446,9.89747185303216,2.91581786438378,7.7878333858003,5.1831029037928,4.08172280458861,2.92835190067096,5.92269862234625,18.4285715794319,3.14973715204559,2.61040291437024,3.57378259430782,5.1716035053191,6.64706449265216,5.10535384365254,7.57127432267128,2.59300119230704,2.99214073332544,2.69798077915248,3.8193188992105,3.42766113379805,4.93274932115718
D9.2,dro_9,95.4959370241852,43.0201777777037,32.6452432545001,32.9828321396501,160.881375703372,61.4284031758993,36.4771615081516,120.939864370579,63.2220521708695,4.77405905415828,3.02068249567111,4.07834621507182,2.82756696241269,11.3583646379403,3.45204636847331,8.54321632686881,5.06085629756122,4.12526836939252,4.11055983169639,7.06783553985738,18.7679236012154,3.06836412259477,2.37224019984772,3.53235983166631,5.36523991914104,7.22926781303042,4.75123078588153,7.41423685576752,3.02005605820196,3.29154890922901,2.58899597444095,3.8655860819112,4.02055621168806,4.74367913061367
D9.3,dro_9,94.8104908384166,87.1672110844648,68.422469772392,61.8706631381899,248.312868096393,99.6315794694904,75.1601914791968,356.518073063202,134.537699572457,3.87042831599376,2.76698730271185,3.73720838222068,2.34085576762182,9.65623068916813,2.87919659591665,8.17964384293033,4.93541847505569,4.78810314697712,2.48881370304542,5.80604557377279,18.3114705269948,2.81223017441505,2.45112761571983,4.05488763169088,5.25378122992574,7.29082218866151,4.7248322523245,7.80257420247959,2.69087040923237,2.89871726421323,2.46726497238332,3.51902875397781,3.4775910052182,4.61485230406874
D9.4,dro_9,95.2234097493412,39.6721458963266,37.0803217941049,27.8047567261055,135.810729798872,56.075333131597,30.6342091083046,124.389513707428,57.1414485318275,4.11778688166449,2.56221963892989,4.22814431268996,2.35655676912652,9.34233538887608,2.89728144134959,7.57652275515646,5.01676396734936,4.5200719041852,3.43394926137084,6.25265638746442,17.2367748986938,2.70940325312199,2.46094757355233,3.71342311090685,5.0247516197358,6.84812907691831,4.7267333230408,7.57553333315831,2.59209002017587,3.40906422507189,2.68212076172457,3.71575371650109,3.45603179871169,4.82390018749759
F9.1,foc_9,76.3618122761692,47.8643281728404,47.3764068954736,32.432530008423,153.635244693221,73.3017665277932,36.1054183716491,125.83508883585,62.1984163593149,1.60294619360359,2.7542942356487,4.6633638502404,2.0762283702043,8.62191168440468,3.3582873872462,7.67855931291356,4.87913078421702,4.03907149855506,3.46838534046448,5.38734869146942,17.5766768928519,2.45056392994463,2.45062201651473,3.50547284441205,5.15418148848525,6.83359890864444,4.42644620818152,7.58798564381476,3.00964408290516,3.10640371469928,2.74737448022049,3.958105759383,3.26069064059007,4.02927774300805
F9.2,foc_9,76.5446812217994,32.577167102449,32.9327832333704,31.1126894301724,139.795380028772,54.2833721915905,25.2453602877135,102.437734494895,54.6306030442023,3.60663215723607,2.77642830616459,4.5783340266976,2.73725515308658,9.57240038872692,3.61072234398528,7.08962292235172,4.7683504888836,5.08121615993336,3.24663936830353,7.95105214097301,17.857870281581,3.06513671337982,3.19460145574265,3.64033986377078,5.00039666012177,7.28069653517384,3.09146982408124,7.67443633084009,3.03312188145506,3.39836038185596,2.91660173482844,4.00332688295954,3.30285397748564,4.669295696734
F9.3,foc_9,106.379298385007,16.6734816257783,2.4608322929277,12.6043175220045,59.1063094497148,25.8777818970229,13.2805407639513,39.2543698982621,18.4553112559311,2.47392938573135,2.55504599907965,5.02246266365908,2.43717087516874,7.79404085473356,2.82168766401747,7.00561267231565,6.08926695564361,4.73036496790359,3.26793110073503,5.78916373407786,18.661958514041,2.84615192820439,3.24880531425675,2.98575596826369,4.52907448673074,6.80196700313037,3.06859451322844,7.72320943867395,2.76831293861994,3.1797646452217,2.7615937712437,4.32275584152479,3.10798012287298,4.41791569510436
X9.1,xvm_9,76.1261260314815,93.2476770058208,80.2548370408021,65.9700203022064,274.053068564565,113.709171711392,77.647456347851,364.217707980262,151.408798800486,3.64744954752135,2.6281900350751,4.09831483881218,3.40967438434619,9.75057243355839,3.61848172908447,8.36860089319461,5.36227939583338,4.52337584886577,3.47561798518582,8.00564516659443,18.9424634905559,3.02738665996765,2.90732124350347,2.27661642591124,4.4980309333319,7.47744809612776,5.30490691757343,7.86888424379951,2.52978728493047,3.08240574131186,2.4237066373259,3.80557337462926,3.12767536012481,4.27468980321993
X9.2,xvm_9,76.6967988148107,50.6878559017429,45.798112324669,41.0669167912833,202.69142407704,87.8011719394984,45.3181069602354,146.627569129616,74.6433430319144,3.19989238242236,2.83410058722991,4.38299239009996,2.529100674376,10.3274153191096,3.129655639117,8.01188200719265,5.24625780259464,4.33872457869932,3.4901412585948,7.94475231948633,18.7125574104627,3.63315224998623,2.66436278367262,2.10555003871955,4.85478932832059,7.67130633307696,4.99545925546722,8.07209496026148,2.76641630353316,3.18604978816763,2.66023170257024,3.96435327478472,3.47295258496636,4.42675148388051
X9.3,xvm_9,78.1815518388418,53.3481981829488,50.3285511348234,43.1004098005582,197.298823121354,74.8909947843381,43.2614050404835,183.544711242448,74.4346867825413,4.86605344298925,2.62975874054153,4.3080810650064,2.91849134776189,10.2446842230519,3.07934843207067,8.49980983813577,6.02687482736041,5.03270595804717,3.94436443111474,6.0670520595747,20.1336772061892,3.58155646644966,2.64721503163465,3.70109186373201,4.88636337123643,7.68207963829624,5.26587369205861,8.1793064390263,2.35912267701442,3.30627258482823,2.59725322392592,3.87057012166712,3.58224329722908,4.41122699570895
X9.4,xvm_9,80.0948912656971,108.075203322583,115.773053371307,100.82281556838,343.221820984852,151.273318995367,86.7784370927165,331.917291683797,140.265206121835,3.14786941772061,2.85012063233721,4.69352309626291,2.46849570136414,10.5523885780539,3.7667885817124,8.661954979857,4.96658132862981,4.15393862951176,3.96439737020503,6.35738422320427,19.4072354301683,3.55069076950693,2.76091580409826,3.0091779031985,4.90383021862514,7.83092833807887,5.09405537837025,7.55080995687983,1.63827401539396,3.26419214633492,2.66259288574451,4.01501398980372,3.04546905500138,4.616386115577
