"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"C9.1",-104.51,2.5049,-5.346,-11.893,11.448,-0.75896,2.6307,1.2489,-0.10435,-1.8099,0.57542,0.29159,-0.31047,-0.10058,5.3707e-15
"C9.2",-66.728,-1.9054,31.18,4.23,0.31631,-7.1929,4.4734,-1.0527,0.6386,0.58481,-0.36187,0.23634,-0.34707,0.01206,3.9701e-15
"C9.3",-59.244,-23.626,8.5367,-5.3688,-6.3972,1.0159,2.9312,1.1509,-2.1244,-0.76935,-0.35286,-0.018949,0.93604,-0.0068791,3.8754e-15
"C9.4",69.506,10.153,6.2676,9.4044,1.9581,1.451,-4.334,-1.8763,1.0046,-2.323,-0.68253,0.49095,0.28216,0.31336,-2.0036e-16
"D9.1",0.54702,31.009,-14.597,3.7726,-6.6061,-6.7535,0.16305,2.7777,1.1549,-0.8067,0.0066374,-0.73425,0.12453,-0.51334,2.6368e-15
"D9.2",-67.669,-9.3729,-6.6892,13.576,-0.88329,3.6327,-0.14492,3.2215,-1.801,0.20526,-0.093859,0.92264,-0.57545,-0.24476,3.4764e-15
"D9.3",198.92,53.158,-1.8623,-0.6039,4.0162,2.4278,2.7633,-0.52079,0.28315,1.3823,0.31541,0.94295,0.54573,-0.17098,8.7812e-15
"D9.4",-81.715,9.3676,-8.7461,-1.0524,-2.8257,-1.7533,-0.028698,3.7934,0.61931,0.77939,0.4949,0.11168,0.021843,0.93994,1.3739e-15
"F9.1",-61.79,-14.381,-1.55,-12.779,-7.2128,4.2164,-2.0284,-0.37999,1.7703,0.52084,-1.0097,0.74025,-0.30352,-0.20561,-1.2906e-15
"F9.2",-98.89,-9.0417,6.6201,-1.7333,-0.83085,-3.3911,-7.3372,-2.3863,-0.55693,0.62711,1.574,0.28047,0.17718,-0.19863,3.5666e-15
"F9.3",-213.64,27.96,-15.839,2.5456,0.16546,1.4967,1.9415,-6.0829,-0.78235,0.44385,-0.49795,-0.63662,-0.087271,0.126,1.3496e-15
"X9.1",229.2,30.276,12.118,-5.6643,-4.8621,3.1751,-1.0532,-0.16243,-1.3396,-0.46189,0.31529,-0.90621,-0.66664,0.1311,8.5765e-15
"X9.2",-13.325,-37.296,4.6856,6.4464,0.87458,7.8841,2.895,0.068202,1.844,0.11622,1.0381,-0.88748,0.1363,-0.10817,2.269e-15
"X9.3",9.4631,-8.8048,3.5794,-0.85565,10.25,-0.24727,-4.2992,2.7319,-0.33606,1.3075,-1.2204,-0.97962,0.19219,-0.075254,1.6272e-15
"X9.4",259.88,-60.001,-18.358,-0.025129,0.58907,-5.2027,1.4273,-2.5312,-0.27022,0.20345,-0.10055,0.14625,-0.12554,0.10172,-1.5321e-14
