"","sample","condition","Sodium_Formate","M354.284T1595.998","M573.464T1458.338","M575.48T1424.867","M632.472T1474.795","M633.474T1424.866","M634.485T1424.862","M648.465T1441.075"
"1","C9.1","con_9",4034768.1,345450.98,140114.694,135261.444,100157.43,518608.258,229276.92,98560.395
"2","C9.2","con_9",3834773.912,264620.889,90939.283,96640.683,97344.448,603371.533,242604.672,71440.2
"3","C9.3","con_9",3778849.129,278282.377,162401.265,162987.364,119461.218,624738.809,290922.4,113229.462
"4","C9.4","con_9",4038727.883,339588.368,244713.407,203931.869,208004.032,870980.787,325515.677,229228.11
"5","D9.1","dro_9",3927944.588,415975.808,204181.39,193011.484,162820.412,637171.09,253244.804,173420.616
"6","D9.2","dro_9",3923775.51,374704.619,168801.52,128092.606,129417.229,631262.402,241031.264,143128.193
"7","D9.3","dro_9",3741009.216,354686.92,326093.34,255969.09,231458.721,928940.728,372722.657,281174.969
"8","D9.4","dro_9",4053881.971,386024.464,160826.197,150319.248,112717.202,550560.669,227322.782,124187.468
"9","F9.1","foc_9",3890744.446,297104.297,186227.869,184329.492,126186.686,597755.475,285198.441,140476.956
"10","F9.2","foc_9",4045781.04,309683.02,131800.085,133238.83,125875.129,565581.498,219618.638,102137.2
"11","F9.3","foc_9",3879945.02,412745.829,64692.192,9547.894,48904.059,229329.231,100404.371,51527.768
"12","F9.4","foc_9",4104743.934,342977.578,20756.547,5653.759,11880.826,248670.242,79132.803,19264.158
"13","X9.1","xvm_9",3959808.028,301444.845,369242.9,317793.748,261228.616,1085197.541,450266.491,307469.021
"14","X9.2","xvm_9",3945214.242,302585.303,199974.451,180683.365,162017.785,799661.093,346394.434,178789.641
"15","X9.3","xvm_9",3800062.662,297094.796,202726.496,191251.648,163784.258,749747.891,284590.473,164396.05
"16","X9.4","xvm_9",4006431.121,320894.665,432995.858,463836.764,403939.666,1375094.585,606066.133,347671.831
"17","BLANK_2_Dup1","bla_0",3667732.211,293349.517,20605.445,0,14085.932,189213.783,86014.864,23735.956
"18","BLANK_2_Dup2","bla_0",3667732.211,293349.517,20605.445,0,14085.932,189213.783,86014.864,23735.956
"19","BLANK_2_Dup3","bla_0",3667732.211,293349.517,20605.445,0,14085.932,189213.783,86014.864,23735.956
"20","BLANK_2","bla_0",3667732.211,293349.517,20605.445,0,14085.932,189213.783,86014.864,23735.956
"21","QC.1.Dup","qcs_0",4024050.372,307841.389,259700.468,252221.125,182312.62,862578.989,334435.465,270241.102
"22","QC.1","qcs_0",4024050.372,307841.389,259700.468,252221.125,182312.62,862578.989,334435.465,270241.102
"23","QC.2","qcs_0",3845070.71,306577.993,321061.515,224998.555,243774.772,977765.202,389255.557,224830.209
"24","QC.3","qcs_0",4035455.455,271068.599,261907.533,262074.165,199040.549,827106.209,310459.911,244654.32
