"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"Sodium_Formate","3667732.211","3667732.211","3667732.211","3667732.211","3963239.209","3909794.3","3819856.076","3934423.297","3867787.496","3442128.325","3960498.029","4034768.1","3834773.912","3778849.129","4038727.883","3998858.02","3805401.884","3801631.212","3974273.447","4037491.87","3920796.465","4069492.77","3868513.993","3927944.588","3923775.51","3741009.216","4053881.971","3999727.821","3766924.043","3339943.862","3555482.54","3964439.746","4037001.94","4030308.581","3922005.864","3890744.446","4045781.04","3879945.02","4104743.934","4024050.372","4024050.372","3845070.71","4035455.455","3797962.57","3837317.869","3790177.391","3735044.78","3901010.182","3528207.642","4862691.729","3959808.028","3945214.242","3800062.662","4006431.121"
"M177.034T19.126","14239.351","14239.351","14239.351","14239.351","19733.388","18842.358","17435.418","20605.579","21229.5","13628.686","16036.001","18877.457","20036.281","19243.819","18212.249","19261.612","14048.781","19630.716","21219.123","20357.753","20064.37","19847.364","17467.839","22888.46","20053.708","16298.454","20071.162","20099.011","15351.881","13540.051","13510.572","22156.27","20901.726","19094.36","18176.607","18312.747","20635.722","17480.776","21816.403","13759.445","13759.445","17881.863","18384.704","17237.83","19688.773","20785.611","16277.832","19810.504","10457.278","21643.036","18869.086","19171.878","19176.808","19655.489"
"M222.962T20.134","7831.761","7831.761","7831.761","7831.761","12466.884","9249.751","11404.852","13399.117","12111.611","9189.196","11129.267","11472.314","11222.485","12432.776","10643.512","11426.722","10415.266","11915.64","13468.581","11936.384","16268.66","12907.323","14781.54","12251.614","12590.331","9960.544","12720.554","12787.769","10192.548","8694.926","8372.283","12549.3653","13835.416","12415.134","14458.05","10442.638","11464.906","12624.191","13926.501","7984.255","7984.255","9227.6","11494.011","10437.218","10389.074","10387.779","10429.606","11679.061","7870.689","13717.592","13258.976","9711.829","11869.502","10609.734"
"M243.886T1577.62","350747.628","350747.628","350747.628","350747.628","348207.64","362407.327","426822.766","394495.495","351297.408","365270.46","379356.129","357526.751","401168.08","371685.82","402961.927","392822.82","375213.99","369978.88","357122.383","343382.598","308061.851","404819.29","341850.96","365099.806","386255.511","371706.724","382193.847","382597.133","351246.359","364874.987","289778.441","406719.72","397372.952","416056.737","335261.576","360691.084","354908.591","319421.816","363939.956","348972.836","348972.836","357483.587","409027.169","363639.994","372493.264","327806.166","332785.131","348513.029","359203.148","312984.538","351055.332","397880.832","332450.727","370817.542"
"M247.083T835.562","35107.675","35107.675","35107.675","35107.675","20959.7207","96769.172","129228.775","88914.734","109054.728","104339.306","140271.622","86975.38","94568.309","150929.22","123135.538","140679.468","130128.152","97445.94","123124.252","36564.467","73653.616","42899.044","21223.08","92014.853","105286.535","112101.917","133797.643","97011.508","95289.6","42090.599","68280.035","45613.125","50584.03","45073.635","116437.432","77751.155","148362.162","119347.449","43853.307","92799.441","92799.441","113814.467","125296.99","125796.241","148485.943","126203.926","95853.384","96320.423","94526.177","59994.781","142465.324","141640.472","117626.346","112268.86"
"M250.958T20.121","15604.536","15604.536","15604.536","15604.536","19394.263","15643.76","16992.949","19913.474","18165.919","14270.826","14726.217","18772.477","16948.164","16305.346","17267.648","17645.632","16898.944","18412.022","17858.315","17643.821","17028.416","16221.284","15473.887","15930.374","18792.942","12357.395","14640.689","16684.53","15322.136","11492.088","16142.27","16870.3479","19006.318","15421.513","20357.856","15462.37","16542.04","17096.937","17301.975","15137.713","15137.713","17537.489","17446.182","15263.654","17359.984","15188.996","14803.832","16124.137","13853.282","19907.419","17468.248","17252.326","16804.562","18224.51"
"M274.939T20.136","9732.618","9732.618","9732.618","9732.618","12809.1617","10988.335","14832.521","13782.897","13388.339","9629.467","13566.893","14495.815","16625.533","10372.835","12978.662","16832.346","12326.166","13783.226","14156.346","15337.876","13522.205","12846.424","14434.565","13087.144","13586.325","9659.748","15179.687","15080.606","11602.284","10905.183","10748.738","13877.508","13181.426","13927.349","12963.552","16194.385","14279.019","12848.239","16058.917","13448.222","13448.222","14317.995","15185.577","13195.341","15484.646","13213.13","11268.462","15316.706","12108.752","16798.533","15211.498","13378.691","12262.678","15638.776"
"M286.907T1578.052","152342.825","152342.825","152342.825","152342.825","135123.2684","150051.078","164082.472","164810.076","143587.444","119948.7","166503.427","101944.801","164398.276","125173.21","144386.787","144751.884","129195.258","128449.137","167315.04","171554.259","133501.451","134190.444","157759.935","160436.761","102660.73","141330.852","173488.927","141595.319","172420.748","129521.871","125607.207","136663.4933","157945.42","176294.08","154868.263","157628.941","168338.103","128137.13","163097.193","161784.277","161784.277","152175.73","159081.46","135714.192","189442.316","152644.696","138985.185","136951.584","135919.079","110035.671","147413.027","143350.52","143332.764","163413.106"
"M296.921T20.131","8426.706","8426.706","8426.706","8426.706","15488.0547","12980.802","16648.334","15537.222","16340.959","10170.344","16398.238","14797.623","16058.03","16687.951","16086.781","15260.381","14169.143","16407.544","14846.225","14959.515","16428.806","14065.346","17068.685","14616.876","13692.11","10477.663","16302.17","15760.177","12583.505","7479.864","8033.732","14457.2254","15173.384","14228.537","14144.288","14225.291","16695.938","13761.792","15424.381","11452.032","11452.032","15111.922","13388.262","13937.869","15268.074","12893.561","14650.635","14207.934","7028.29","18522.798","13823.637","16001.126","13389.334","14316.822"
"M302.934T20.131","12535.041","12535.041","12535.041","12535.041","22550.9698","16334.828","20949.914","23576.704","19884.885","11823.593","18608.256","19277.66","17416.092","17458.779","20140.666","22678.93","19376.058","20399.147","18764.051","21293.573","19016.88","20432.962","19257.344","21177.342","20380.986","16250.625","17325.511","21384.421","15510.661","12736.094","13754.076","19935.628","18682.021","21991.778","21575.916","18069.555","22463.188","20623.381","18585.164","17805.256","17805.256","20731.255","19458.2","18126.216","19904.24","19789.19","14013.916","21968.427","12566.19","22648.739","17944.219","21232.469","18764.753","18874.454"
"M309.131T17.119","15850.487","15850.487","15850.487","15850.487","27364.8309","18826.025","18763.17","19362.775","18043.091","17277.74","25544.912","17678.315","18429.122","16658.796","17752.729","18546.437","23201.784","17745.385","19629.968","14573.954","17894.538","26752.117","18345.08","18614.411","18327.144","15046.496","15634.419","18361.606","17095.007","24162.67","16117.188","27377.888","16578.653","14956.611","17821.367","15883.886","19472.915","16760.932","17482.384","27187.941","27187.941","17821.304","19142.878","19568.97","15099.017","25574.844","17694.727","18125.075","18254.6","21417.008","16316.936","17510.02","15735.064","18655.845"
"M337.056T22.131","6951.791","6951.791","6951.791","6951.791","11147.1394","8571.461","8894.604","11229.083","10302.949","9317.688","10695.992","11317.848","10593.281","11142.579","10672.999","11510.794","9138.304","9600.414","11077.635","11652.854","10743.725","10060.842","9992.231","11747.205","10937.204","8980.389","11216.588","10432.307","9617.172","9846.051","6356.627","8788.286","11868.023","12298.786","10076.138","11266.096","9381.392","9330.051","10324.882","8815.64","8815.64","10027.994","9885.533","9665.789","11319.944","9952.875","10003.046","12860.466","9027.506","6809.268","10507.428","10536.633","10118.264","11368.002"
"M354.284T1595.998","293349.517","293349.517","293349.517","293349.517","249677.1094","286994.51","398638.309","273143.052","297313.026","306342.241","250054.881","345450.98","264620.889","278282.377","339588.368","331685.953","288891.567","265700.48","410734.514","278626.434","334069.456","296034.09","275435.039","415975.808","374704.619","354686.92","386024.464","314732.096","273940.043","232294.135","279247.653","318547.2116","300500.005","285133.475","371655.46","297104.297","309683.02","412745.829","342977.578","307841.389","307841.389","306577.993","271068.599","316915.582","338344.21","360870.161","300546.333","331634.248","312938.861","315555.306","301444.845","302585.303","297094.796","320894.665"
"M364.909T21.126","4526.182","4526.182","4526.182","4526.182","8203.6416","6785.073","12076.118","9265.569","9081.413","4151.105","9053.819","12735.335","8039.043","12372.517","11716.789","9262.169","7967.832","8888.352","9350.107","9124.934","11133.624","9041.918","12307.232","9153.863","9426.828","5848.491","12228.806","8456.246","9229.027","3635.63","4205.708","9270.6335","9183.468","11134.424","13612.741","11651.055","10159.884","10906.99","10015.958","10609.264","10609.264","10886.561","12395.539","9637.251","13061.32","8154.77","8019.162","10705.468","6919.889","13476.1","14344.688","11809.408","7757.018","9544.665"
"M367.151T397.982","10528.091","10528.091","10528.091","10528.091","12049.2581","20223.106","14690.382","16278.311","9983.923","9385.526","8912.199","15757.944","12377.052","13498.736","18719.879","140700.308","184738.739","34684.447","167624.171","12077.454","178744.289","5802.907","11124.518","44277.586","25094.232","29068.104","159591","12776.618","27019.034","10714.798","18762.62","12922.3909","11266.696","11505.185","84650.306","34918.822","72280.988","76069.263","11050.034","113055.739","113055.739","122763.122","143189.111","14919.578","32347.825","20065.061","678706.553","478086.296","1679394.86","11394.817","6213.301","67026.118","23010.749","45473.613"
"M372.364T1640.641","167745.462","167745.462","167745.462","167745.462","316354.8058","232496.179","203606.823","161196.935","194280.008","184534.635","229769.552","169317.116","215886.166","214400.715","233510.822","192973.983","240473.541","186482.684","181319.167","454688.191","311076.495","178692.162","320269.373","232948.04","179534.842","186789.263","225833.921","247736.221","170243.564","241599.6","340410.068","213647.1328","191917.953","286215.62","164461.688","227555.34","191568.733","207238.568","190560.887","208986.386","208986.386","223256.756","177409.061","194247.938","185899.851","275316.947","213739.35","199505.662","244702.868","271892.486","234049.502","263085.866","166011.079","186972.44"
"M380.918T17.845","18015.531","18015.531","18015.531","18015.531","35861.8372","20834.316","22805.377","26104.664","24965.57","16534.936","12072.108","24340.258","22733.998","21668.496","21903.488","24402.99","19518.675","24519.582","25887.43","19613.757","24951.851","35186.553","25431.746","22549.446","24619.298","16559.069","22139.931","23347.199","21096.325","16617.667","20073.374","31562.404","23701.948","21867.631","25373.586","22159.686","23412.026","21439.169","27407.5","17212.27","17212.27","20569.524","25229.88","24300.684","23487.123","23927.568","18630.431","24070.016","16377.932","32327.55","23782.088","20397.206","21723.144","23249.54"
"M382.315T1625.896","145649.774","145649.774","145649.774","145649.774","105680.6058","140711.916","178044.712","146141.612","162758.267","167133.881","123550.4","176648.778","125938.236","138012.271","173767.693","149718.384","157976.845","138445.915","153247.218","219912.916","120069.313","156398.857","102816.2","159108.765","140081.166","170498.036","148668.983","167815.286","152830.782","121747.165","126178.918","141443.9096","157844.81","122812.46","227557.303","169276.492","148060.172","136392.215","181594.068","169416.076","169416.076","159608.593","146171.388","211503.046","182954.736","116272.2","161122.754","164342.784","156659.874","119210.777","152616.586","194350.75","139461.291","176772.879"
"M385.292T1611.168","271909.889","271909.889","271909.889","271909.889","244364.9327","261156.98","260233.695","239289.337","255437.714","211774.143","239769.438","227314.721","175825.063","214330.97","257650.354","242216.612","247339.282","243593.357","364815.233","227930.518","248023.967","240838.143","236727.627","236559.688","200103.688","317473.784","245756.226","213170.342","276431.645","210117.672","233272.838","390142.44","205799.586","210703.253","230984.206","233204.146","243226.107","255110.883","241196.141","302128.351","302128.351","304310.552","400615.2","297904.381","253020.052","254450.509","271673.11","286244.072","251251.265","212636.997","294305.305","309441.992","210011.149","231776.221"
"M392.904T19.162","7299.501","7299.501","7299.501","7299.501","10610.5461","8872.538","10946.929","10312.296","11974.157","7219","10012.469","10814.828","10718.428","10974.588","10477.381","11540.518","9608.645","11642.026","10447.952","10158.825","10291.657","9742.311","9912.622","11017.807","10593.405","7835.709","9853.853","11490.418","9449.818","5457.519","7867.425","10732.0088","9959.013","11658.033","9498.632","10489.295","10827.657","9798.776","11651.463","7471.834","7471.834","10798.395","8180.468","10080.15","9992.245","11579.355","8735.855","10337.78","5947.093","12575.112","11687.826","11733.053","9241.827","9561.101"
"M408.915T17.478","22466.905","22466.905","22466.905","22466.905","30310.2728","26577.494","28884.806","31812.122","29057.3","17525.341","26004.549","29449.744","28645.68","26530.275","28421.478","28394.93","24372.78","30589.494","30186.288","29803.264","33741.113","33508.224","29440.74","28218.402","29292.851","20813.114","27097.05","29337.512","24695.346","28360.006","23043.102","33815.142","29624.928","28849.421","30793.3","28556.765","26254.024","26140.186","31377.852","24516.451","24516.451","28132.144","32214.351","27885.406","30914.625","28238.462","24826.002","27830.865","18547.221","34314.105","26499.26","25313.714","25909.496","28565.44"
"M423.199T1618.85","415818.565","415818.565","415818.565","415818.565","484563.5836","945737.022","434600.58","416958.292","423840.58","402432.33","388482.464","397490.642","481609.318","400537.817","1119093.348","403453.925","420673.649","409577.79","398033.657","413388.018","441420","404678.124","352656.164","481371.921","482092.499","395558.128","438914.722","502654.237","464735.211","464009.602","534170.549","466856.79","377382.022","494722.857","943076.319","858965.68","440063.153","397446.147","477392.676","492705.544","492705.544","409172.432","378508.86","482478.302","439639.882","1132386.88","462435.977","505284.948","398866.647","439559.501","474766.805","439105.318","416816.417","1007803.669"
"M428.917T12.217","9297.523","9297.523","9297.523","9297.523","8583.2602","9297.53","13217.657","9243.3","9458.41","9180.538","9265.714","9142.151","8328.912","9003.138","6637.315","18862.121","6549.963","8942.97","9981.886","8842.501","10541.238","20525.693","9374.445","13386.256","9617.488","8186.004","8680.237","8890.358","8842.649","9468.575","8695.873","8261.3868","10377.683","18112.675","7804.264","9791.104","9518.545","9561.437","8866.816","8670.421","8670.421","10278.862","9999.91","9566.712","9047.06","7907.046","8916.247","9345.954","8519.174","11301.307","11287.892","9046.645","9259.855","9670.94"
"M465.262T1356.121","75437.594","75437.594","75437.594","75437.594","29343.7573","121472.168","157661.223","157236.803","68899.915","74709.977","179461.258","32289.157","42751.348","189064.099","197313.061","88091.513","104605.599","136375.293","138597.742","122796.783","62691.221","10970.695","22610.496","138739.794","134361.82","108517.486","70263.73","177233.962","148892.018","54250.833","90387.369","70615.6239","155557.923","103468.819","119590.567","124725.521","119294.028","186263.303","119093.083","93678.16","93678.16","57785.546","58963.21","200401.447","132591.64","72058.486","120171.207","141079.566","116383.341","60844.697","89991.774","196416.311","62011.69","71029.717"
