"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"M177.034T19.126",0.014279,0.043815,-0.047581,-0.044951,-0.036499,0.045188,-0.036221,-0.010757,-0.05886,0.0020036,-0.016753,0.042302,-0.0022864,0.40322
"M222.962T20.134",0.0097862,0.050192,-0.03204,0.018158,-0.022643,-0.0056109,-0.055888,-0.014549,-0.010189,0.060927,0.053945,-0.017637,0.007028,0.1058
"M243.886T1577.62",-0.0042698,-0.0059958,-0.015107,0.076552,0.0041004,0.071,0.0046701,-0.0086727,0.023064,0.02927,-0.0019028,-0.038397,0.021328,-0.15876
"M247.083T835.562",0.11246,-0.05702,0.00081778,0.039147,-0.072225,0.071933,0.021356,0.032294,0.004827,0.0043193,-0.031428,-0.0016589,0.028727,0.22912
"M250.958T20.121",0.017283,0.042115,-0.01188,-0.014108,0.001225,-0.056964,0.038032,-0.061333,0.0035055,0.0012249,0.019779,-0.0053974,0.033416,0.38612
"M274.939T20.136",0.025053,0.021178,-0.032462,0.033395,-0.020694,0.046331,0.022987,-0.011391,-0.0070099,0.086265,0.024946,0.059046,0.035522,0.20817
"M286.907T1578.052",0.011907,-0.013216,-0.0408,-0.0018491,-0.028998,0.04452,0.073661,0.061482,-0.044413,-0.010226,0.03108,-0.041721,-0.057109,-0.38094
"M296.921T20.131",0.045548,0.080757,-0.01718,0.033456,-0.010522,0.043719,-0.0071314,-0.038075,0.00094125,-0.00067705,0.0073444,-0.023438,-4.4386e-05,0.14421
"M302.934T20.131",0.022849,0.070393,0.0047588,0.010577,-0.019474,0.035002,0.0078736,-0.045939,0.0022449,0.056839,0.0022721,0.030816,0.027056,0.15205
"M309.131T17.119",-0.054326,0.018002,0.046937,-0.023813,-0.057093,0.023351,-0.047435,0.02157,0.052502,0.040948,-0.025966,-0.026532,0.0022114,0.44989
"M337.056T22.131",-0.013185,0.035363,-0.033279,0.051615,-0.064968,0.05475,-0.015513,0.032162,-0.0023987,0.022921,0.043339,0.062512,-0.038177,-0.016689
"M354.284T1595.998",0.040706,-0.0071652,-0.025747,-0.021705,-0.046145,0.021981,0.022115,0.060763,-0.033993,0.082836,-0.034714,-0.047367,0.036561,0.018577
"M364.909T21.126",0.06663,0.075798,-0.038371,0.02892,-0.017872,0.067126,0.060233,0.024691,0.015646,-3.0181e-05,0.030239,-0.02919,-0.028356,-0.31717
"M367.151T397.982",0.073913,-0.0072539,0.019312,0.16304,-0.25805,-0.18098,0.016551,-0.062146,0.019501,0.017852,-0.028516,0.021469,-0.011991,0.00072129
"M372.364T1640.641",-0.051451,-0.013558,0.070601,-0.089066,0.032532,-0.037277,0.014895,-0.012606,-0.020168,0.031044,-0.012588,0.011547,0.073334,-0.035306
"M380.918T17.845",-0.0079806,0.077692,-0.031053,-0.051743,0.006314,-0.031159,0.0034435,-0.0026009,0.015159,0.021209,0.0021982,0.030758,-0.0077928,-0.0061553
"M382.315T1625.896",0.043859,-0.021121,-0.019287,0.072613,0.043712,0.040948,0.01359,0.0844,0.040266,-0.013131,0.021107,-0.014465,0.058303,0.0030307
"M385.292T1611.168",0.016772,-0.0054705,-0.046701,-0.015116,-0.048514,-0.048277,-0.012856,0.083171,0.040429,-0.022518,-0.027382,-0.066455,-0.019159,0.010954
"M392.904T19.162",0.050739,0.056596,0.00099673,-0.037191,-0.0068295,0.016497,-0.010669,-0.046284,0.0072733,0.038157,0.0075672,0.015271,-0.016118,-0.012415
"M408.915T17.478",-0.019155,0.013726,-0.054632,-0.0013125,-0.02375,0.060446,-0.013955,-0.00011757,0.00018204,0.018284,0.0267,0.020634,0.045879,-0.009475
"M423.199T1618.85",-0.014511,-0.030037,0.058884,-0.14412,-0.01716,0.078914,-0.024431,0.02126,-0.056093,-0.065374,-0.10809,0.00095647,-0.043085,-0.0085182
"M428.917T12.217",0.0055149,-0.0188,-0.068452,0.062521,0.028159,0.018015,0.041214,-0.030421,0.0025473,0.12835,-0.11055,0.059396,-0.042151,0.0026976
"M465.262T1356.121",0.099886,-0.055857,-0.038117,0.053384,0.069551,0.046115,-0.055756,0.056936,0.005343,-0.049141,0.042381,-0.066575,0.038106,0.012978
"M468.418T1628.573",-0.030048,-0.011327,-0.038449,-0.023268,0.004588,-0.032143,-0.056053,-0.11301,0.098677,-0.026369,0.091881,0.046802,-0.0044599,-0.0042044
"M468.42T1635.273",-0.00054509,-0.0042716,0.0073714,-0.038178,0.031138,-0.0089764,-0.080505,-0.074546,0.095902,0.053803,0.022104,-0.062892,0.0038971,-0.019029
"M480.892T18.142",0.032832,0.10138,-0.015093,-0.018576,0.027669,-0.041318,0.0045594,-0.055114,0.0047078,0.0028312,0.010279,-0.0086272,-0.021002,-0.014569
"M496.906T15.036",-0.067717,0.0025686,-0.0014633,-0.024567,0.051389,-0.035061,0.052559,0.016377,0.0084932,0.059928,0.0098792,0.030544,0.046489,0.0029977
"M516.891T17.488",-0.00089918,0.072928,-0.075134,-0.086741,0.064316,-0.015924,-0.0054985,0.0072495,-0.042127,0.065799,-0.0040718,0.040188,-0.034129,-0.016501
