"","Label","Sodium_Formate","M367.151T397.982","M536.899T13.11","M664.853T17.893","M768.855T17.124","M774.824T18.125","M830.837T11.111","M831.338T16.12","M848.827T17.121","M882.812T18.125","M883.492T15.092","M908.151T15.062","M970.794T18.128","M970.807T12.104","M991.807T13.109","M996.798T17.124","M1030.792T17.119","M1053.787T16.896","M1058.286T17.121","M1094.782T12.105","M1107.445T13.643","M1116.775T17.12","M1189.43T15.136","M1220.262T13.111","M1236.757T13.113","M1239.758T16.118","M1244.755T16.127","M1279.087T13.111","M1334.742T13.111","M1472.714T13.108","M1610.426T13.113","M1671.991T13.111","M1786.658T13.109"
"BLANK_2_Dup1","bla_0","3667732.211","10528.091","13835.512","18401.714","34067.099","14678.758","19835.034","7479.989","19517.803","12842.962","11185.706","31784","8590.007","7978.659","20160.44","13211.689","16681.72","10123.16","9969.087","9555.659","12819.336","7578.607","15096.414","13617","22348.479","9627.181","11140.802","18282.013","13352.372","11129.118","12086.484","11114.027","8524.801"
"BLANK_2_Dup2","bla_0","3667732.211","10528.091","13835.512","18401.714","34067.099","14678.758","19835.034","7479.989","19517.803","12842.962","11185.706","31784","8590.007","7978.659","20160.44","13211.689","16681.72","10123.16","9969.087","9555.659","12819.336","7578.607","15096.414","13617","22348.479","9627.181","11140.802","18282.013","13352.372","11129.118","12086.484","11114.027","8524.801"
"BLANK_2_Dup3","bla_0","3667732.211","10528.091","13835.512","18401.714","34067.099","14678.758","19835.034","7479.989","19517.803","12842.962","11185.706","31784","8590.007","7978.659","20160.44","13211.689","16681.72","10123.16","9969.087","9555.659","12819.336","7578.607","15096.414","13617","22348.479","9627.181","11140.802","18282.013","13352.372","11129.118","12086.484","11114.027","8524.801"
"BLANK_2","bla_0","3667732.211","10528.091","13835.512","18401.714","34067.099","14678.758","19835.034","7479.989","19517.803","12842.962","11185.706","31784","8590.007","7978.659","20160.44","13211.689","16681.72","10123.16","9969.087","9555.659","12819.336","7578.607","15096.414","13617","22348.479","9627.181","11140.802","18282.013","13352.372","11129.118","12086.484","11114.027","8524.801"
"C12.1","con_12","3963239.209","12049.2581","13252.7674","27371.6044","49087.5842","31431.6882","18088.7613","9272.6866","24516.497","25626.5112","11728.9173","34901.5222","12663.9572","7183.2467","19814.6504","17464.7471","21655.8266","11646.3353","10534.804","8133.047","13504.7301","21863.7373","17010.248","15022.5","27472.3068","10401.3203","15980.1653","20521.6664","15568.714","13879.4169","14299.4665","11894.496","11270.6376"
"C12.3","con_12","3909794.3","20223.106","13589.187","21466.828","42372.677","20178.354","17211.887","11099.367","22465.194","18834.312","11766.051","37467.128","11311.24","7557.125","22909.479","15164.009","19579.87","11023.068","11862.52","9170.449","12570.504","14645.806","15931.055","12631.821","21871.8","10125.668","13928.093","20300.72","14537.716","12287.665","15588.56","11379.26","10174.798"
"C12.4","con_12","3819856.076","14690.382","12631.782","24002.81","53006.002","23302.041","18940.343","10074.952","26112.394","17486.107","11631.384","37789.93","13152.632","8636.915","23248.614","17139.958","22709.965","12903.114","9845.818","7604.667","12242.589","13229.377","10170.42","13080.778","25475.837","11592.847","16336.016","21116.86","15514.551","12454.72","14067.171","12301.435","9390.922"
"D12.1","dro_12","3998858.02","140700.308","14891.006","23128.217","45062.06","22736.962","25895.454","10699.776","26599.356","19091.102","13768.811","37275.624","12930.676","10679.944","23363.063","20400.123","23054.958","13093.331","13386.958","9856.336","8455.29","9312.184","17514.886","11221.564","27436.543","11713.989","12978.82","21631.258","14707.731","11491.731","12834.388","10911.994","10478.581"
"D12.2","dro_12","3805401.884","184738.739","12794.027","22658.505","61651.362","21072.324","23307.078","10574.617","23984.106","16349.448","12208.689","34832.489","12012.883","7629.514","18748.13","16524.828","18599.156","11054.774","11035.665","7896.255","8173.739","7968.079","15755.705","11691.722","24316.64","10876.361","14505.928","18077.303","13196.108","10764.691","12046.489","11915.691","10745.077"
"D12.3","dro_12","3801631.212","34684.447","13906.062","24557.452","51736.746","22128.186","25559.366","10706.05","26450.399","19233.528","13410.949","39049.505","12649.216","9304.287","22897.238","17504.517","20330.459","13585.747","12970.29","11376.587","11885.55","12820.346","15835.186","13519.75","24675.575","11667.287","11789.262","19052.672","13655.696","11252.358","13655.696","12275.482","10955.451"
