"","Fold Change","log2(FC)"
"M367.151T397.982",8.3986,3.0701
"M1116.775T17.12",0.61586,-0.69931
"M1107.445T13.643",0.67097,-0.57569
"M830.837T11.111",1.4145,0.5003
"M1094.782T12.105",1.2418,0.31238
"M1472.714T13.108",0.82396,-0.27935
"M1058.286T17.121",1.1704,0.22698
"M1189.43T15.136",1.1482,0.19937
"M882.812T18.125",0.87975,-0.18484
"M774.824T18.125",0.8808,-0.18311
"M883.492T15.092",1.1321,0.17896
"M768.855T17.124",1.1305,0.17692
"M970.807T12.104",1.1295,0.17567
"M1244.755T16.127",0.90341,-0.14655
"M1220.262T13.111",0.90359,-0.14625
"M996.798T17.124",1.1001,0.13764
"M1610.426T13.113",0.91682,-0.12529
"M1334.742T13.111",0.91994,-0.12039
"M1239.758T16.118",1.0629,0.088046
"M848.827T17.121",1.0624,0.087303
"M1053.787T16.896",1.0603,0.084457
"M1786.658T13.109",1.0503,0.070799
"M1279.087T13.111",0.95315,-0.069224
"M831.338T16.12",1.0454,0.064094
"M1236.757T13.113",1.038,0.053836
"M970.794T18.128",1.0367,0.051957
"M1030.792T17.119",0.97868,-0.031095
"M908.151T15.062",1.0191,0.02726
"M991.807T13.109",1.0117,0.016737
"M664.853T17.893",0.99075,-0.013402
"M1671.991T13.111",1.0086,0.01231
"M536.899T13.11",1.0066,0.0095539
