"","Fold Change","log2(FC)"
"M1116.775T17.12",0.49731,-1.0078
"M774.824T18.125",0.71506,-0.48387
"M882.812T18.125",0.74059,-0.43325
"M536.899T13.11",1.3269,0.4081
"M970.807T12.104",1.3151,0.39515
"M1244.755T16.127",0.77917,-0.35999
"M830.837T11.111",1.2786,0.35458
"M1053.787T16.896",0.79043,-0.3393
"M1030.792T17.119",0.80692,-0.3095
"M664.853T17.893",0.80721,-0.30898
"M1239.758T16.118",0.81186,-0.30071
"M970.794T18.128",0.81406,-0.29679
"M1094.782T12.105",1.1872,0.24761
"M831.338T16.12",0.84268,-0.24694
"M768.855T17.124",0.84576,-0.24169
"M1786.658T13.109",0.85062,-0.23341
"M367.151T397.982",1.1726,0.22965
"M1236.757T13.113",0.86574,-0.20799
"M1279.087T13.111",0.87325,-0.19553
"M848.827T17.121",0.87598,-0.19103
"M1472.714T13.108",0.88661,-0.17362
"M1334.742T13.111",0.88748,-0.17221
"M883.492T15.092",1.1079,0.14784
"M1107.445T13.643",1.1014,0.13932
"M1189.43T15.136",1.1,0.13756
"M1220.262T13.111",1.0987,0.13582
"M996.798T17.124",0.91752,-0.12418
"M1671.991T13.111",0.93361,-0.099115
"M1610.426T13.113",0.93642,-0.09478
"M991.807T13.109",1.0646,0.090266
"M908.151T15.062",0.94489,-0.081783
"M1058.286T17.121",0.95357,-0.068595
