Xvm_v_Con_t2,Dro_v_Con_t2,Foc_v_Con_t2,Xvm_v_Con_t1,Dro_v_Con_t1,Foc_v_Con_t1,Xvm_v_Con_t3,Dro_v_Con_t3,Foc_v_Con_t3
M1094.782T12.105,M830.837T11.111,M883.492T15.092,M1094.782T12.105,M830.837T11.111,M883.492T15.092,M1094.782T12.105,M830.837T11.111,M883.492T15.092
M991.807T13.109,M883.492T15.092,M1279.087T13.111,M991.807T13.109,M883.492T15.092,M1279.087T13.111,M991.807T13.109,M883.492T15.092,M1279.087T13.111
M830.837T11.111,M367.151T397.982,M830.837T11.111,M830.837T11.111,M367.151T397.982,M830.837T11.111,M830.837T11.111,M367.151T397.982,M830.837T11.111
,,M1116.775T17.12,,,M1116.775T17.12,,,M1116.775T17.12
,,M1244.755T16.127,,,M1244.755T16.127,,,M1244.755T16.127
,,M1030.792T17.119,,,M1030.792T17.119,,,M1030.792T17.119
,,M1334.742T13.111,,,M1334.742T13.111,,,M1334.742T13.111
,,M1239.758T16.118,,,M1239.758T16.118,,,M1239.758T16.118
,,M1472.714T13.108,,,M1472.714T13.108,,,M1472.714T13.108
,,,,,,,,
,,M970.807T12.104,,,M970.807T12.104,,,M970.807T12.104
