"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M367.151T397.982,12.044,0.0011726,2.9309,0.030522,dro_12-con_12; foc_12-dro_12; xvm_12-dro_12
M830.837T11.111,10.759,0.0017954,2.7458,0.030522,dro_12-con_12; foc_12-con_12; xvm_12-con_12
M1239.758T16.118,8.1865,0.0047818,2.3204,0.032419,foc_12-con_12; foc_12-dro_12; xvm_12-foc_12
M1334.742T13.111,7.8606,0.0054938,2.2601,0.032419,dro_12-con_12; foc_12-con_12
M1030.792T17.119,7.8196,0.0055922,2.2524,0.032419,foc_12-con_12; foc_12-dro_12
M1189.43T15.136,7.7671,0.0057211,2.2425,0.032419,xvm_12-dro_12; xvm_12-foc_12
M883.492T15.092,6.4936,0.01029,1.9876,0.043309,dro_12-con_12; foc_12-con_12
M970.794T18.128,6.42,0.010668,1.9719,0.043309,foc_12-con_12; foc_12-dro_12
M774.824T18.125,6.0045,0.013144,1.8813,0.043309,foc_12-con_12
M1053.787T16.896,5.941,0.01358,1.8671,0.043309,foc_12-dro_12; xvm_12-foc_12
M664.853T17.893,5.8805,0.014012,1.8535,0.043309,foc_12-con_12; foc_12-dro_12; xvm_12-foc_12
M1116.775T17.12,5.6897,0.015486,1.8101,0.043876,foc_12-con_12
M1279.087T13.111,5.4029,0.018065,1.7432,0.044243,foc_12-con_12
M1220.262T13.111,5.1722,0.020519,1.6878,0.044243,foc_12-dro_12; xvm_12-dro_12
M996.798T17.124,5.1359,0.020941,1.679,0.044243,foc_12-dro_12; xvm_12-foc_12
M1058.286T17.121,4.8319,0.024908,1.6037,0.044243,foc_12-dro_12
M536.899T13.11,4.8113,0.025208,1.5985,0.044243,xvm_12-foc_12
M848.827T17.121,4.7253,0.02651,1.5766,0.044243,foc_12-dro_12
M882.812T18.125,4.639,0.027895,1.5545,0.044243,foc_12-con_12
M1026.791T12.104,4.4445,0.031347,1.5038,0.044243,xvm_12-foc_12
M970.807T12.104,4.435,0.031527,1.5013,0.044243,foc_12-con_12
M768.855T17.124,4.4279,0.031664,1.4994,0.044243,xvm_12-foc_12
M831.338T16.12,4.4216,0.031787,1.4978,0.044243,foc_12-dro_12; xvm_12-foc_12
M1107.445T13.643,4.4165,0.031884,1.4964,0.044243,foc_12-dro_12
M1610.426T13.113,4.3834,0.032536,1.4876,0.044243,xvm_12-dro_12
M908.151T15.062,4.2815,0.034638,1.4605,0.044243,xvm_12-dro_12
M1671.991T13.111,4.2586,0.035134,1.4543,0.044243,xvm_12-foc_12
M1472.714T13.108,4.0486,0.040085,1.397,0.04615,""
M1094.782T12.105,3.9854,0.041736,1.3795,0.04615,xvm_12-con_12
M991.807T13.109,3.9798,0.041886,1.3779,0.04615,""
M1236.757T13.113,3.9049,0.043958,1.357,0.04615,foc_12-dro_12
M1288.745T12.11,3.8854,0.044515,1.3515,0.04615,foc_12-dro_12
M1244.755T16.127,3.8759,0.044792,1.3488,0.04615,foc_12-con_12
M1786.658T13.109,3.8295,0.046165,1.3357,0.046165,foc_12-dro_12
