"",Label,M367.151T397.982,M536.899T13.11,M664.853T17.893,M768.855T17.124,M774.824T18.125,M830.837T11.111,M831.338T16.12,M848.827T17.121,M882.812T18.125,M883.492T15.092,M908.151T15.062,M970.794T18.128,M970.807T12.104,M991.807T13.109,M996.798T17.124,M1026.791T12.104,M1030.792T17.119,M1053.787T16.896,M1058.286T17.121,M1094.782T12.105,M1107.445T13.643,M1116.775T17.12,M1189.43T15.136,M1220.262T13.111,M1236.757T13.113,M1239.758T16.118,M1244.755T16.127,M1279.087T13.111,M1288.745T12.11,M1334.742T13.111,M1472.714T13.108,M1610.426T13.113,M1671.991T13.111,M1786.658T13.109
C12.1,con_12,-0.621646173074259,-0.112713404564141,0.321850710209373,-0.0300344925083135,0.640958923723411,-0.417223728653261,-0.143632725535874,0.0261679969200136,0.600453961968219,-0.257623532062359,0.0323502223058087,0.12123022725755,-0.416528744647195,-0.364773213656308,0.0169304655780675,-0.249662419215416,0.170223119547109,0.0171550315708485,-0.175745323338625,-0.360989599945171,0.241376450810624,0.808207754962947,0.229764046062022,0.12587888179527,0.269162277972487,-0.0173007151579779,0.255476266634175,0.099994038337986,-0.0799327436603583,0.229828602668543,0.306763365494327,-0.0263787595766133,-0.0448145838422398,0.209804111220459
C12.3,con_12,-0.267588413096489,-0.052557050394147,-0.108568009914041,-0.228406439613964,-0.0848609039795978,-0.478796649293985,0.198466597913371,-0.125692890671645,0.0934362571937961,-0.211914433400559,0.156157724763097,-0.061953173776431,-0.301998726406406,-0.0524405130538151,-0.234687780111942,-0.202223549738762,-0.00528208112941201,-0.0501167888767149,0.0754993546712605,-0.131437974530319,0.172658740862954,0.361821772514593,0.155323431445544,-0.181234697370951,-0.162383427401951,-0.040698328599242,0.0277925944351843,0.107026242104404,0.0509887775629763,0.0713883581416936,0.0935514906658627,0.199190656197385,-0.111797262996754,0.04434986526309
C12.4,con_12,-0.465076223682552,-0.130055913226098,0.144577498557324,0.138809146390817,0.197594014684906,-0.275954863023181,0.068313736931262,0.231765091214548,0.00560308920914732,-0.179796644426017,0.202819532628814,0.258957007310798,-0.0225795998040864,0.0222824850588858,0.0525567736413725,0.0528280807355714,0.340067088268433,0.243459039317531,-0.2342127775465,-0.413063974619981,0.16892172220266,0.271390081047265,-0.453962736022659,-0.069364999031137,0.191467656056908,0.238716284102536,0.363707879821353,0.267213398626177,0.00548279607414046,0.326051320656794,0.165991906573418,0.0198437559976766,0.108965916896496,-0.0617499915639253
D12.1,dro_12,1.01056449387132,0.0547966386518586,-0.0109764035446939,-0.170447470103417,0.078756507291296,0.179316503084147,0.0937436593949071,0.175547747110097,0.0779674692535024,0.155890667944474,0.115652608975946,0.143157671078304,0.274305506530861,-0.0581844811335424,0.305492302674012,-0.00248968898015541,0.27823204210038,0.192838465836235,0.262395646674864,-0.0461960435025473,-0.322635953127315,-0.18596361384106,0.258825974070942,-0.452039684880803,0.248530710489022,0.176334497780687,-0.143338036191451,0.21168922826092,-0.0799625130291488,0.0399637589246168,-0.0827061472006296,-0.290629524239223,-0.252380308635682,0.0572089897773981
D12.2,dro_12,1.2251759042313,-0.104288938457353,0.043559246839079,0.368915157254498,0.0340844029105955,0.0842869815412302,0.16065789401763,0.0646170072221099,-0.103613079776037,-0.037143567828466,0.0889869372777265,0.098851971880333,-0.236812640987225,-0.393676339878273,-0.0120012348167466,-0.100598049285971,-0.0542360189087862,-0.00150353809046037,-0.0103401380063263,-0.341938424097002,-0.304068184202567,-0.308348834930688,0.178234864473957,-0.277866639362365,0.105362252163272,0.132979600203428,0.152256051004256,-0.120221913161471,-0.273486691545708,-0.129776231713118,-0.113760129180453,-0.321709942685382,0.0477280478091304,0.196535914111144
D12.3,dro_12,0.110700171754472,0.0270009354970735,0.196409801291236,0.109906177596129,0.118352428146651,0.243295498999527,0.18426792951876,0.268072610794791,0.177876219390931,0.222117689256409,0.2578606143548,0.195826886260138,0.118621136195017,0.0017219796876478,0.103461905121131,0.262629928318503,0.126901339248016,0.334979096312602,0.298419239374675,0.287338670071762,0.139579418401452,0.240699324250281,0.186862599399174,0.00328391955017714,0.136851405002833,0.258423921366048,-0.22704490263697,0.0165848202659062,-0.0596505281541591,-0.0282002910404988,-0.0245526065625567,-0.0363907453568166,0.114792408356633,0.234553021885091
D12.4,dro_12,1.13141110713389,-0.362619722635339,0.202126948752228,0.238654791162861,0.0211297032476392,0.297070361146137,0.0592944152480397,0.182038474833679,-0.0334361228490527,0.14263788536425,0.171256700071325,0.266411607110564,-0.311637713310902,0.0155036904969805,0.138042494007754,0.00266839489302893,0.154712588114454,0.136451281111136,0.203501774357271,0.317114883328485,-0.80630613935453,-0.0349321460534488,0.19846543693528,-0.22993104759685,0.237852759599015,0.118373247962098,0.304251316919857,0.027585874405118,-0.140521419522344,-0.0032540907148035,-0.591025094079888,0.101952858267953,0.0892114567185352,0.143048743684229
F12.1,foc_12,-0.588711337250401,0.723181310323031,-0.0235926325885865,-0.0294198076993718,-0.248783095630761,0.0351806918165167,0.0996924962669754,-0.125343016103518,-0.0389211956971244,-0.0704774268177651,0.104824286780063,-0.013659682677641,0.30381184809445,-0.261764410798313,-0.112866838971287,0.126868037299489,-0.123190640291417,-0.113192950152911,-0.0230019030813246,-0.115575445356359,0.216589579986495,0.0172383958087298,0.262763561894425,-0.0208738876291636,-0.0255252373097972,-0.28419125599245,-0.316999615422617,-0.153575006341841,0.0940186827443974,-0.220619941010932,-0.198533396116784,0.0549578138952073,-0.341126478355831,-0.181709401241442
F12.2,foc_12,-0.0496716433431746,0.0156091787467833,-0.279481302095715,-0.115533841572936,-0.173553963220337,0.00854502546023747,-0.600878726413339,-0.0213882387045929,-0.30082161461942,0.174964190056484,0.140221361475381,-0.155720485967403,0.199031364807913,0.0770937662625048,-0.122336559773704,0.164781852882658,-0.186830588051101,-0.317583015236475,-0.080525492455708,0.0658574268121561,0.335489534051221,-0.194007849200659,0.163130592472389,0.144677594517754,-0.191006785401893,-0.0756538440434279,-0.111724423373721,-0.389875152534683,0.0846169553745559,-0.119508725546738,-0.0187856426749567,-0.122106820793623,-0.127409585843112,0.0622785958335334
F12.3,foc_12,-0.585859679665692,0.208121115314484,-0.477407627172154,-0.557758300109604,-0.409455736353836,0.0572895127139612,-0.387901841596676,-0.446383066201229,-0.449442526313398,0.0699302405818337,-0.155711666277019,-0.532104093384194,0.212855747680557,0.0585276057844809,-0.175001199592586,0.246430956274483,-0.437439556042189,-0.683188528829823,-0.481474032873544,-0.000664331433456268,0.271027554794218,-0.708559040234423,0.065124891362037,0.143940845818659,-0.269083492064878,-0.545220216880754,-0.349912514707445,-0.188818202984853,0.18773659055019,-0.139416844964876,0.0738351919127968,-0.147471101005034,0.0433813002182553,-0.23360403559971
F12.4,foc_12,-0.254235840144883,0.334215280993757,-0.34600307358961,-0.492927558116759,-0.331973967893617,0.0208483325854439,-0.210278403687095,-0.326239503542957,-0.290219832687842,0.0744933593380951,0.089065928078278,-0.417805599447495,0.277742508901754,0.098585396507758,-0.496709194248713,0.275492803514043,-0.300673354647299,-0.171321909110556,-0.235352660833885,0.0348297619958321,0.404513926273055,-0.438913926905022,0.0785076773649534,0.293937026296141,-0.252434858447919,-0.335514422832475,-0.182406082804382,-0.0289672385068732,0.467546066829591,-0.0557434715442388,-0.0512845262334379,-0.119266211094612,-0.249042654081203,-0.652598501224099
X12.1,xvm_12,-0.450931631096739,-0.172935506169081,0.159823576345978,0.311574407830481,0.0640742789910508,0.258670477468557,0.1865702906562,-0.0086992692644866,0.132860741445332,-0.107039187989138,0.10295695639359,0.0117816833449004,-0.0819763145239671,0.335634804557051,0.35752107737537,-0.443626174342133,0.0537517214007072,0.279760440647036,0.283207108550393,0.278231114432792,-0.538464796118522,0.242262552175893,-0.576890444864661,0.345219583614832,0.169281835092455,0.185514719975985,-0.109612230856182,0.090174084019365,0.064142922888835,-0.0103731157196522,0.145607924119576,0.353666641980963,0.336617564871204,0.130904450662399
X12.2,xvm_12,0.05797810108269,-0.340476390834401,0.162639585422463,0.0968311213205164,0.0202737939914499,-0.234807380058863,0.118750551729925,0.196104277615942,0.102855657646186,-0.113171426564674,-0.527361938761439,-0.0251354057591414,-0.00808919727448054,0.288226247371224,0.101973738933327,0.0265939683220295,0.0413356991303855,0.0841914530740012,0.112534572948668,0.312825836238152,-0.190260815481395,-0.0642483136477133,-0.474023612372921,0.0110612148113648,-0.314001422783295,-0.065418246649176,0.189136765967305,0.0285712935287476,0.0233237541477967,0.130643663891766,0.0523529720961357,0.21652910230925,0.283405212504792,0.0220585375168612
X12.3,xvm_12,-0.252108836719486,-0.0872775332464279,0.01504168148712,0.359837108169067,0.073403614091149,0.222279236213535,0.172934125555913,-0.0905672212227521,0.0254009758357626,0.137132186547433,-0.779079268066373,0.110161386769717,-0.00674517525628846,0.233262982793718,0.0776240501839413,-0.159694140677369,-0.057571358739283,0.0480719224275515,0.00509463155877983,0.113668100605657,0.211578960901652,-0.00664615594669433,-0.272126282220485,0.163311889467072,-0.144073672966255,0.253654758764719,0.14841693121064,0.0326185339810964,-0.344302650260765,-0.090982992028554,0.242544691186588,0.11781227610287,0.102468966379777,0.0289196996749735
