"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"M367.151T397.982",-0.43392,0.64439,0.092225,0.22853,0.0091796,-0.092465,0.0066141,-0.15014,0.04299,0.08557,0.21217,-0.15929,-0.17106,0.016252
"M536.899T13.11",0.2002,0.054553,0.16797,-0.34598,0.19059,0.0014693,-0.3294,0.095932,-0.043298,-0.11646,-0.064336,-0.053632,-0.16143,0.14726
"M664.853T17.893",-0.20225,-0.13251,0.025107,-0.071095,0.02261,0.0351,-0.0061785,-0.029273,-0.095829,-0.27185,-0.084443,-0.28008,-0.013777,0.0032604
"M768.855T17.124",-0.23962,-0.067317,-0.15006,0.0052943,0.27545,0.14516,-0.10911,0.25869,-0.41951,0.055351,-0.012467,-0.096187,-0.18831,0.059624
"M774.824T18.125",-0.18081,-0.1905,0.13992,0.078641,0.10914,0.023674,0.20147,0.021341,0.18763,-0.23782,0.14321,-0.14486,-0.055003,-0.16764
"M830.837T11.111",-0.047572,0.19277,-0.2177,-0.29139,0.20104,0.14098,0.080531,0.26523,0.025336,-0.20463,0.25909,0.11654,0.20091,-0.42241
"M831.338T16.12",-0.16534,-0.059822,-0.057334,-0.13773,0.061945,-0.1099,-0.55523,-0.1325,-0.04483,0.13222,0.066611,-0.17853,0.41469,-0.16818
"M848.827T17.121",-0.18786,-0.021582,0.020953,-0.073471,0.043034,-0.20134,0.19896,-0.070211,-0.12775,0.0069073,-0.28018,-0.1706,-0.1174,-0.46677
"M882.812T18.125",-0.15683,-0.21197,0.12813,-0.073794,0.039264,0.11136,-0.017801,-0.2258,0.23218,-0.19183,0.08394,-0.24227,-0.077035,0.34593
"M883.492T15.092",0.0072252,0.1449,-0.077431,-0.12125,0.17857,-0.0029419,0.24021,-0.067818,-0.0069638,-0.051863,0.11909,0.18862,0.15761,0.21495
"M908.151T15.062",-0.030686,0.066428,0.3275,-0.33108,-0.46385,-0.039876,0.21747,0.31888,-0.17696,0.35248,0.05949,-0.070246,0.090564,0.13126
"M970.794T18.128",-0.2203,-0.061189,0.06957,-0.0871,0.14303,-0.082867,0.0066395,0.028122,-0.19496,-0.084375,-0.13355,0.21161,0.021614,0.34929
"M970.807T12.104",0.14711,0.11414,-0.081787,-0.29637,0.20699,-0.31123,0.056638,0.030565,0.13651,-0.039965,-0.19887,-0.03735,-0.28737,-0.044608
"M991.807T13.109",0.023344,-0.033779,-0.37001,-0.050396,-0.10269,-0.16226,0.15382,-0.13529,0.053542,0.089507,0.07463,0.27271,-0.036812,-0.096937
"M996.798T17.124",-0.17616,-0.032185,-0.1262,-0.12249,0.07577,0.02345,0.073946,0.18274,0.36159,-0.048657,-0.31203,0.070262,-0.06013,0.096122
"M1026.791T12.104",0.11498,0.13582,0.046524,-0.089495,0.078632,-0.25171,0.24495,-0.13272,-0.25642,-0.2131,-0.22886,-0.22248,0.31733,0.069582
"M1030.792T17.119",-0.18601,-0.086976,0.083354,-0.078985,-0.031431,-0.2531,0.061153,-0.0043132,0.073405,-0.07786,-0.12954,0.17297,-0.027086,0.0363
"M1053.787T16.896",-0.22862,-0.095585,-0.033716,-0.24507,0.012691,-0.25683,-0.04489,-0.063857,-0.091594,0.026966,0.23561,-0.14517,-0.042687,0.076363
"M1058.286T17.121",-0.17477,0.032602,-0.093003,-0.28275,-0.014591,0.075833,-0.044309,-0.27767,0.061425,0.25912,0.02842,-0.021852,-0.21337,-0.036078
"M1094.782T12.105",-0.024921,0.076465,-0.34988,-0.22582,-0.10507,0.17144,0.20971,-0.39398,-0.025989,-0.11437,0.00059966,-0.030026,0.09143,0.19879
"M1107.445T13.643",0.29072,-0.15668,0.20679,0.036611,0.42109,-0.19501,0.20108,-0.20949,-0.19081,0.21915,0.14982,-0.025709,0.092497,-0.041009
"M1116.775T17.12",-0.18276,-0.38832,0.2238,-0.15294,-0.070346,0.17075,0.081218,-0.20865,-0.099452,0.039049,0.064669,0.14235,-0.09265,-0.28097
"M1189.43T15.136",0.036942,0.19711,0.41923,-0.10739,0.087806,0.33194,0.07698,-0.2679,0.03954,-0.103,0.066317,0.14304,0.1772,-0.071974
"M1220.262T13.111",0.12833,-0.13878,-0.18877,-0.058958,-0.011434,0.17,0.19743,0.12604,-0.11114,-0.12914,0.40746,-0.22801,-0.16139,0.058646
"M1236.757T13.113",-0.16266,-0.027596,0.15663,-0.16319,-0.039865,0.01135,0.070498,0.33216,0.13715,-0.20721,0.09119,0.11366,0.13766,0.019783
"M1239.758T16.118",-0.2205,-0.05923,-0.041558,-0.071921,0.19951,-0.15105,0.117,0.067806,-0.075244,0.27301,0.22462,0.22644,0.036039,0.15595
"M1244.755T16.127",-0.15431,-0.097756,0.018959,0.35405,-0.058736,-0.12626,0.029635,0.0093449,-0.29855,-0.24022,0.068147,0.2212,-0.089839,-0.0040953
"M1279.087T13.111",-0.093706,-0.093301,0.017635,-0.026372,-0.099515,-0.28968,-0.15442,-0.044706,0.22064,-0.11056,0.16237,0.1494,0.28659,-0.031238
