"","sample","condition","Sodium_Formate","M177.034T19.126","M222.962T20.134","M243.886T1577.62","M247.083T835.562","M250.958T20.121","M274.939T20.136","M286.907T1578.052"
"1","C9.1","First",4034768.1,18877.457,11472.314,357526.751,86975.38,18772.477,14495.815,101944.801
"2","C9.2","First",3834773.912,20036.281,11222.485,401168.08,94568.309,16948.164,16625.533,164398.276
"3","C9.3","First",3778849.129,19243.819,12432.776,371685.82,150929.22,16305.346,10372.835,125173.21
"4","C9.4","First",4038727.883,18212.249,10643.512,402961.927,123135.538,17267.648,12978.662,144386.787
"5","D9.1","First",3927944.588,22888.46,12251.614,365099.806,92014.853,15930.374,13087.144,160436.761
"6","D9.2","First",3923775.51,20053.708,12590.331,386255.511,105286.535,18792.942,13586.325,102660.73
"7","D9.3","First",3741009.216,16298.454,9960.544,371706.724,112101.917,12357.395,9659.748,141330.852
"8","D9.4","First",4053881.971,20071.162,12720.554,382193.847,133797.643,14640.689,15179.687,173488.927
"9","F9.1","First",3890744.446,18312.747,10442.638,360691.084,77751.155,15462.37,16194.385,157628.941
"10","F9.2","First",4045781.04,20635.722,11464.906,354908.591,148362.162,16542.04,14279.019,168338.103
"11","F9.3","First",3879945.02,17480.776,12624.191,319421.816,119347.449,17096.937,12848.239,128137.13
"12","F9.4","First",4104743.934,21816.403,13926.501,363939.956,43853.307,17301.975,16058.917,163097.193
"13","X9.1","First",3959808.028,18869.086,13258.976,351055.332,142465.324,17468.248,15211.498,147413.027
"14","X9.2","First",3945214.242,19171.878,9711.829,397880.832,141640.472,17252.326,13378.691,143350.52
"15","X9.3","First",3800062.662,19176.808,11869.502,332450.727,117626.346,16804.562,12262.678,143332.764
"16","X9.4","First",4006431.121,19655.489,10609.734,370817.542,112268.86,18224.51,15638.776,163413.106
"17","C12.1","Second",3963239.209,19733.388,12466.884,348207.64,20959.7207,19394.263,12809.1617,135123.2684
"18","C12.3","Second",3909794.3,18842.358,9249.751,362407.327,96769.172,15643.76,10988.335,150051.078
"19","C12.4","Second",3819856.076,17435.418,11404.852,426822.766,129228.775,16992.949,14832.521,164082.472
"20","D12.1","Second",3998858.02,19261.612,11426.722,392822.82,140679.468,17645.632,16832.346,144751.884
"21","D12.2","Second",3805401.884,14048.781,10415.266,375213.99,130128.152,16898.944,12326.166,129195.258
"22","D12.3","Second",3801631.212,19630.716,11915.64,369978.88,97445.94,18412.022,13783.226,128449.137
"23","D12.4","Second",3974273.447,21219.123,13468.581,357122.383,123124.252,17858.315,14156.346,167315.04
"24","F12.1","Second",3999727.821,20099.011,12787.769,382597.133,97011.508,16684.53,15080.606,141595.319
"25","F12.2","Second",3766924.043,15351.881,10192.548,351246.359,95289.6,15322.136,11602.284,172420.748
"26","F12.3","Second",3339943.862,13540.051,8694.926,364874.987,42090.599,11492.088,10905.183,129521.871
"27","F12.4","Second",3555482.54,13510.572,8372.283,289778.441,68280.035,16142.27,10748.738,125607.207
"28","X12.1","Second",3797962.57,17237.83,10437.218,363639.994,125796.241,15263.654,13195.341,135714.192
"29","X12.2","Second",3837317.869,19688.773,10389.074,372493.264,148485.943,17359.984,15484.646,189442.316
"30","X12.3","Second",3790177.391,20785.611,10387.779,327806.166,126203.926,15188.996,13213.13,152644.696
"31","C15.1","Third",3934423.297,20605.579,13399.117,394495.495,88914.734,19913.474,13782.897,164810.076
"32","C15.2","Third",3867787.496,21229.5,12111.611,351297.408,109054.728,18165.919,13388.339,143587.444
"33","C15.3","Third",3442128.325,13628.686,9189.196,365270.46,104339.306,14270.826,9629.467,119948.7
"34","C15.4","Third",3960498.029,16036.001,11129.267,379356.129,140271.622,14726.217,13566.893,166503.427
"35","D15.1","Third",4037491.87,20357.753,11936.384,343382.598,36564.467,17643.821,15337.876,171554.259
"36","D15.2","Third",3920796.465,20064.37,16268.66,308061.851,73653.616,17028.416,13522.205,133501.451
"37","D15.3","Third",4069492.77,19847.364,12907.323,404819.29,42899.044,16221.284,12846.424,134190.444
"38","D15.4","Third",3868513.993,17467.839,14781.54,341850.96,21223.08,15473.887,14434.565,157759.935
"39","F15.1","Third",3964439.746,22156.27,12549.3653,406719.72,45613.125,16870.3479,13877.508,136663.4933
"40","F15.2","Third",4037001.94,20901.726,13835.416,397372.952,50584.03,19006.318,13181.426,157945.42
"41","F15.3","Third",4030308.581,19094.36,12415.134,416056.737,45073.635,15421.513,13927.349,176294.08
"42","F15.4","Third",3922005.864,18176.607,14458.05,335261.576,116437.432,20357.856,12963.552,154868.263
"43","X15.1","Third",3735044.78,16277.832,10429.606,332785.131,95853.384,14803.832,11268.462,138985.185
"44","X15.2","Third",3901010.182,19810.504,11679.061,348513.029,96320.423,16124.137,15316.706,136951.584
"45","X15.3","Third",3528207.642,10457.278,7870.689,359203.148,94526.177,13853.282,12108.752,135919.079
"46","X15.4","Third",4862691.729,21643.036,13717.592,312984.538,59994.781,19907.419,16798.533,110035.671
"47","BLANK_2_Dup1","Test",3667732.211,14239.351,7831.761,350747.628,35107.675,15604.536,9732.618,152342.825
"48","BLANK_2_Dup2","Test",3667732.211,14239.351,7831.761,350747.628,35107.675,15604.536,9732.618,152342.825
"49","BLANK_2_Dup3","Test",3667732.211,14239.351,7831.761,350747.628,35107.675,15604.536,9732.618,152342.825
"50","BLANK_2","Test",3667732.211,14239.351,7831.761,350747.628,35107.675,15604.536,9732.618,152342.825
"51","QC.1.Dup","Test",4024050.372,13759.445,7984.255,348972.836,92799.441,15137.713,13448.222,161784.277
"52","QC.1","Test",4024050.372,13759.445,7984.255,348972.836,92799.441,15137.713,13448.222,161784.277
"53","QC.2","Test",3845070.71,17881.863,9227.6,357483.587,113814.467,17537.489,14317.995,152175.73
"54","QC.3","Test",4035455.455,18384.704,11494.011,409027.169,125296.99,17446.182,15185.577,159081.46
