"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M612.876T11.11,10.795,1.3977e-05,4.8546,0.0046325,Second-First; Test-First; Test-Second; Third-Test
M1026.791T12.104,10.53,1.7688e-05,4.7523,0.0046325,Test-First; Test-Second; Third-Test
M921.819T12.109,10.296,2.1817e-05,4.6612,0.0046325,Second-First; Test-First; Test-Second; Third-Test
M1584.692T12.108,9.5725,4.2194e-05,4.3747,0.0063677,Test-First; Test-Second; Third-Second; Third-Test
M1342.731T13.115,9.3895,4.9982e-05,4.3012,0.0063677,Test-First; Test-Second; Third-Second; Third-Test
M385.292T1611.168,8.4297,0.00012377,3.9074,0.010475,Test-First; Test-Second; Third-Test
M996.139T12.108,8.387,0.00012894,3.8896,0.010475,Test-Second; Third-Test
M1054.793T11.238,8.3193,0.00013763,3.8613,0.010475,Test-First; Test-Second; Third-Test
M1107.445T13.643,8.1699,0.00015903,3.7985,0.010475,Second-First; Test-Second; Third-Second
M990.8T11.598,8.0639,0.0001763,3.7538,0.010475,Test-First; Test-Second; Third-Test
M1064.789T12.169,8.0375,0.00018089,3.7426,0.010475,Test-First; Test-Second; Third-Test
M1311.443T14.616,7.7339,0.00024354,3.6134,0.012928,Test-First; Test-Second; Third-Test
M868.822T11.111,7.6457,0.00026571,3.5756,0.01302,Test-First; Test-Second; Third-Test
M1125.783T12.61,7.2621,0.00038922,3.4098,0.016605,Test-First; Test-Second; Third-Test
M1094.782T12.105,7.2575,0.000391,3.4078,0.016605,Test-First; Test-Second; Third-Test
M1012.807T12.109,6.901,0.00056025,3.2516,0.022305,Test-First; Test-Second; Third-Test
M978.802T11.597,6.8327,0.0006006,3.2214,0.022505,Test-First; Test-Second; Third-Test
M1025.801T13.111,6.6717,0.00070785,3.1501,0.02505,Test-First; Test-Second; Third-Test
M1158.097T16.12,6.3411,0.0009951,3.0021,0.033362,Test-Second
M1025.798T13.109,6.1927,0.0011611,2.9351,0.035631,Test-First; Test-Second; Third-Test
M802.846T12.108,6.1815,0.0011747,2.9301,0.035631,Test-First; Test-Second; Third-Test
M1092.287T12.108,6.0789,0.0013076,2.8835,0.036952,Second-First; Test-Second; Third-Second
M1222.764T12.168,6.0428,0.0013579,2.8671,0.036952,Second-First; Test-Second; Third-Second
M1040.795T17.122,6.019,0.0013922,2.8563,0.036952,Second-First; Test-Second
M809.85T12.106,5.8956,0.0015851,2.7999,0.040388,Second-First; Test-Second
M706.844T11.105,5.7948,0.001763,2.7537,0.043161,Test-First; Test-Second; Third-Test
M1464.714T13.136,5.7289,0.0018904,2.7234,0.043161,Second-First; Test-Second
M1288.745T12.11,5.7255,0.0018972,2.7219,0.043161,Test-First; Test-Second; Third-Test
M1336.742T13.121,5.6518,0.0020514,2.688,0.044224,Test-Second; Third-Test
M1027.805T12.107,5.6376,0.0020827,2.6814,0.044224,Test-First; Test-Second; Third-Test
M830.837T11.111,5.5204,0.0023598,2.6271,0.046445,Second-First; Test-Second
M1470.717T14.622,5.513,0.0023784,2.6237,0.046445,Second-First; Test-Second
M680.864T11.105,5.4727,0.0024832,2.605,0.046445,Test-First; Test-Second; Third-Test
M1350.741T12.108,5.4174,0.0026345,2.5793,0.046445,Test-First; Test-Second
M834.826T11.107,5.4163,0.0026376,2.5788,0.046445,Second-First; Test-Second
M1121.785T12.107,5.3559,0.0028144,2.5506,0.046445,Test-Second
M1188.441T13.111,5.3547,0.0028179,2.5501,0.046445,Second-First; Test-Second; Third-Second
M1324.415T13.11,5.3239,0.0029127,2.5357,0.046445,Second-First; Test-Second
M788.841T11.105,5.2886,0.0030256,2.5192,0.046445,Test-Second
M1522.706T13.16,5.2806,0.0030517,2.5155,0.046445,Second-First; Test-Second
M1166.77T12.111,5.2767,0.0030644,2.5136,0.046445,Test-First; Test-Second
M1130.109T15.006,5.2567,0.0031312,2.5043,0.046445,Test-Second
M967.818T12.107,5.2435,0.0031764,2.4981,0.046445,Test-Second; Third-Second
M1040.803T12.104,5.2342,0.0032081,2.4938,0.046445,Test-Second
M1252.751T12.611,5.1859,0.0033802,2.4711,0.046847,Test-First; Test-Second; Third-Test
M1712.667T13.11,5.1847,0.0033842,2.4705,0.046847,Second-First; Test-Second; Third-Second
M867.825T13.11,5.1281,0.003598,2.4439,0.046847,Test-First; Test-Second
M772.843T17.125,5.1248,0.0036109,2.4424,0.046847,Second-First
M1298.493T13.112,5.0732,0.0038189,2.4181,0.046847,Test-Second; Third-Test
M1708.671T13.112,5.0659,0.0038492,2.4146,0.046847,Second-First; Test-Second; Third-Second
M1141.769T17.122,5.0406,0.0039565,2.4027,0.046847,Test-Second; Third-Test
M1279.087T13.111,5.0404,0.003957,2.4026,0.046847,Test-Second
M1063.781T17.625,4.9818,0.0042174,2.375,0.046847,Test-Second
M902.806T18.126,4.9785,0.0042329,2.3734,0.046847,Test-Second; Third-Second
M1180.762T17.124,4.9536,0.0043488,2.3616,0.046847,Second-First; Third-Second
M1185.771T13.111,4.9416,0.0044063,2.3559,0.046847,Second-First; Test-Second
M994.136T13.111,4.9136,0.0045428,2.3427,0.046847,Test-Second; Third-Test
M1712.173T13.109,4.9039,0.0045915,2.338,0.046847,Second-First; Test-Second
M1020.806T13.613,4.8995,0.0046133,2.336,0.046847,Second-First; Test-Second
M1157.439T14.055,4.8956,0.004633,2.3341,0.046847,Second-First; Test-Second; Third-Second
M1671.676T13.11,4.8951,0.0046353,2.3339,0.046847,Second-First; Test-Second
M894.49T15.115,4.8635,0.0047984,2.3189,0.046847,Second-First; Test-Second; Third-Second
M1086.789T12.111,4.8539,0.0048489,2.3144,0.046847,Test-Second
M939.155T13.111,4.8461,0.0048903,2.3107,0.046847,Second-First; Test-Second; Third-Second
M839.337T903.707,4.8365,0.0049419,2.3061,0.046847,Test-First; Test-Second
M1644.684T13.112,4.8331,0.0049609,2.3044,0.046847,Second-First; Test-Second
M1236.261T13.111,4.8297,0.0049789,2.3029,0.046847,Second-First; Test-Second
M1163.774T15.006,4.8133,0.0050691,2.2951,0.046847,Second-First; Test-Second; Third-Second
M1458.718T12.108,4.7886,0.0052082,2.2833,0.046847,Test-Second
M1418.72T12.097,4.7829,0.0052408,2.2806,0.046847,Test-Second
M835.826T17.121,4.7788,0.0052643,2.2787,0.046847,Test-Second
M681.468T1391.964,4.7138,0.0056536,2.2477,0.046847,Second-First
M878.161T13.584,4.7127,0.0056604,2.2472,0.046847,Second-First; Test-Second
M247.083T835.562,4.6923,0.0057892,2.2374,0.046847,Test-First; Third-First
M1263.753T13.111,4.6894,0.0058076,2.236,0.046847,Second-First; Test-Second
M908.151T15.062,4.6848,0.0058368,2.2338,0.046847,Second-First; Third-Second
M1057.301T13.107,4.6585,0.0060085,2.2212,0.046847,Test-Second
M1576.691T13.111,4.6533,0.0060431,2.2187,0.046847,Second-First; Test-Second; Third-Second
M1140.278T13.107,4.6489,0.0060719,2.2167,0.046847,Test-Second
M1384.234T13.11,4.6388,0.0061403,2.2118,0.046847,Test-Second; Third-Second
M1198.096T13.114,4.6356,0.0061616,2.2103,0.046847,Second-First; Test-Second
M1461.717T12.108,4.6343,0.0061709,2.2097,0.046847,Second-First; Test-Second
M1337.74T13.11,4.6282,0.0062122,2.2068,0.046847,Second-First; Test-Second
M1052.468T13.111,4.6275,0.0062172,2.2064,0.046847,Second-First; Test-Second
M222.962T20.134,4.622,0.0062549,2.2038,0.046847,Third-Second; Third-Test
M875.812T18.123,4.6034,0.0063845,2.1949,0.046847,Second-First
M952.818T13.111,4.5971,0.0064293,2.1918,0.046847,Second-First; Test-Second
M1472.709T14.053,4.5911,0.0064717,2.189,0.046847,Test-Second
M1496.708T13.11,4.5801,0.0065504,2.1837,0.046883,Second-First; Test-Second; Third-Second
M1100.789T13.111,4.5655,0.0066574,2.1767,0.04712,Test-Second; Third-Test
M1372.988T13.614,4.5463,0.0067998,2.1675,0.047599,Second-First; Test-Second; Third-Second
M1485.212T13.109,4.5049,0.0071185,2.1476,0.049144,Second-First; Test-Second
M1576.695T13.11,4.4894,0.0072416,2.1402,0.049144,Second-First; Test-Second; Third-Second
M958.145T13.111,4.4879,0.0072536,2.1394,0.049144,Test-Second
M1171.438T13.111,4.4786,0.0073291,2.1349,0.049144,Test-Second
M1102.787T15.091,4.4606,0.0074762,2.1263,0.049598,Test-Second
M1064.785T17.122,4.4515,0.0075525,2.1219,0.049598,Second-First; Test-Second
M1128.278T13.111,4.4324,0.0077141,2.1127,0.049719,Second-First; Test-Second
M1116.11T13.109,4.4278,0.0077533,2.1105,0.049719,Test-Second
M1497.208T13.109,4.4181,0.007837,2.1058,0.049719,Test-Second; Third-Test
M1030.792T17.119,4.4128,0.0078833,2.1033,0.049719,Test-Second
M1200.766T12.171,4.3799,0.0081772,2.0874,0.051068,Test-Second; Third-Second
M996.798T17.124,4.3689,0.0082772,2.0821,0.05119,Second-First; Third-Second
M1386.725T14.12,4.3569,0.0083883,2.0763,0.05126,Test-Second
M1112.289T13.11,4.3504,0.0084495,2.0732,0.05126,Second-First; Test-Second
M1334.742T13.111,4.341,0.0085388,2.0686,0.051313,Test-Second
M1161.43T14.053,4.3186,0.008754,2.0578,0.052115,Test-First; Test-Second; Third-Test
M1355.738T13.11,4.2899,0.0090383,2.0439,0.053309,Second-First; Test-Second
M364.909T21.126,4.2776,0.0091636,2.0379,0.053552,Second-First
M1097.792T13.11,4.2289,0.0096746,2.0144,0.054392,Test-Second
M970.794T18.128,4.228,0.0096846,2.0139,0.054392,Second-First
M1323.744T13.111,4.2272,0.0096931,2.0135,0.054392,Second-First; Test-Second; Third-Second
M971.475T13.11,4.2206,0.0097652,2.0103,0.054392,Test-First; Test-Second; Third-Test
M1110.119T13.109,4.2031,0.0099586,2.0018,0.054392,Second-First; Test-Second
M663.461T1374.938,4.1846,0.010166,1.9929,0.054392,Second-First
M1253.753T13.111,4.1775,0.010248,1.9894,0.054392,Test-Second
M1053.787T16.896,4.1773,0.01025,1.9893,0.054392,Test-Second
M986.795T18.125,4.1755,0.010271,1.9884,0.054392,Test-Second
Sodium_Formate,4.1646,0.010396,1.9831,0.054392,Test-Second
M921.811T18.125,4.1595,0.010456,1.9806,0.054392,Second-First; Test-Second
M966.814T12.106,4.1571,0.010484,1.9795,0.054392,Second-First; Test-Second
M1230.753T15.001,4.1499,0.010569,1.976,0.054392,Test-Second
M1130.78T14.113,4.1498,0.01057,1.9759,0.054392,Third-Test
M1136.785T12.106,4.1483,0.010588,1.9752,0.054392,Test-Second; Third-Second
M1079.786T12.106,4.1342,0.010756,1.9684,0.054812,Test-Second
M1428.722T13.111,4.1125,0.011021,1.9578,0.055717,Second-First; Test-Second
M1021.326T836.385,4.1052,0.011112,1.9542,0.055737,Third-First
M817.264T834.906,4.0904,0.011298,1.947,0.056117,Third-First
M1045.788T16.62,4.0852,0.011364,1.9445,0.056117,Test-Second
M1193.759T17.122,4.0598,0.011692,1.9321,0.057113,Second-First
M1120.12T13.11,4.0558,0.011745,1.9301,0.057113,Second-First; Test-Second
M817.26T833.71,4.0317,0.012068,1.9184,0.057713,Third-First
M1236.508T13.11,4.0297,0.012095,1.9174,0.057713,Second-First; Test-Second
M1126.276T16.125,4.0263,0.012141,1.9158,0.057713,Second-First
M1077.04T13.112,4.0141,0.012309,1.9098,0.058079,Second-First
M1141.778T12.108,3.992,0.012618,1.899,0.059103,Test-Second
M1338.07T13.111,3.9693,0.012945,1.8879,0.060189,Second-First; Test-Second
M1087.458T13.111,3.9622,0.013049,1.8844,0.060233,Second-First; Test-Second
M832.832T12.107,3.9356,0.013447,1.8714,0.061624,Test-Second
M1496.712T13.111,3.9219,0.013655,1.8647,0.061844,Second-First; Test-Second; Third-Second
M1419.724T14.619,3.9106,0.013831,1.8591,0.061844,Test-Second
M1220.262T13.111,3.9067,0.013892,1.8572,0.061844,Test-Second
M920.829T13.111,3.9022,0.013964,1.855,0.061844,Test-Second
