"","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","con_15","con_15","con_15","con_15","dro_15","dro_15","dro_15","dro_15","foc_15","foc_15","foc_15","foc_15","xvm_15","xvm_15","xvm_15","xvm_15"
"M177.034T19.126"," 0.19632795"," 0.27444624","-0.26945343","-0.23218633"," 0.13311698"," 0.15778337"," 0.07768942","-0.05063597"," 0.30449839"," 0.17723092"," 0.02939326","-0.00727142","-0.10966254"," 0.14500438","-0.75166706","-0.07461416"
"M222.962T20.134"," 0.15330330"," 0.01094979","-0.25961108","-0.17266506","-0.08658568"," 0.48826868"," 0.03264730"," 0.34846816"," 0.02930494"," 0.16399537","-0.01687677"," 0.28765428","-0.18338252","-0.06522737","-0.56415549","-0.16608784"
"M243.886T1577.62"," 0.16370019","-0.01894831"," 0.26842993"," 0.07922559","-0.14034528","-0.28665161"," 0.14907063","-0.06963950"," 0.20602515"," 0.12958648"," 0.21751111","-0.13095135","-0.05443403","-0.04944204"," 0.19187460","-0.65501154"
"M247.083T835.562"," 0.23573793"," 0.43310669"," 0.49768285"," 0.63653249","-0.58000402"," 0.07085623","-0.44452171","-1.02712884","-0.36646776","-0.29037377","-0.39178087"," 0.47912173"," 0.34915856"," 0.31471203"," 0.38754055","-0.30417209"
"M250.958T20.121"," 0.3652777215"," 0.2075309069","-0.0556431613","-0.2853352190"," 0.0554067849"," 0.0423821971","-0.1386046946","-0.1312675627","-0.0006491788"," 0.2126040040","-0.2248655946"," 0.4185115784","-0.1505876312","-0.0620687082","-0.1704075073","-0.0822839351"
"M274.939T20.136"," 0.06377456"," 0.03650701","-0.44891825"," 0.01271308"," 0.24848997"," 0.02815734","-0.17354794"," 0.20758321"," 0.06204381","-0.09659766"," 0.03265497","-0.06871601","-0.27680183"," 0.32372540"," 0.01698875"," 0.03194359"
"M286.907T1578.052"," 0.21130484"," 0.01055216","-0.09465063"," 0.21731683"," 0.23498679","-0.13314396","-0.18646377"," 0.16671289","-0.11263187"," 0.09779913"," 0.28325115"," 0.11313289"," 0.01445185","-0.08232009"," 0.07207086","-0.81236906"
"M296.921T20.131"," 0.127994735"," 0.231023789","-0.314665816"," 0.200217821"," 0.030714736"," 0.218433623","-0.075381942"," 0.297224020"," 0.006461098"," 0.052561239","-0.043015018","-0.010510732"," 0.117693981"," 0.004531117","-0.916245318"," 0.072962668"
"M302.934T20.131"," 0.36540514"," 0.11448803","-0.54592853","-0.03296897"," 0.15625531"," 0.01910285"," 0.07576370"," 0.06166519"," 0.07824134","-0.05782244"," 0.21200772"," 0.22535255","-0.40134994"," 0.26366752","-0.48662437","-0.04725509"
"M309.131T17.119"," 0.02462852","-0.05739358"," 0.05488929"," 0.43924710","-0.45053255","-0.09093260"," 0.46841334","-0.03223757"," 0.54394824","-0.25278683","-0.40807410","-0.09768625","-0.03374608","-0.06355492"," 0.10133321","-0.14551521"
"M337.056T22.131"," 0.13762044"," 0.03300424"," 0.05738152"," 0.05385580"," 0.15457953"," 0.07588394","-0.08013309","-0.01371251","-0.24552492"," 0.18250619"," 0.23908212","-0.02185585"," 0.04116533"," 0.35623729","-0.02804332","-0.94204670"
"M354.284T1595.998","-0.190047417"," 0.003590098"," 0.282076427","-0.370472746","-0.201420060"," 0.199279797","-0.101232690","-0.142052183"," 0.087801725","-0.057534814","-0.154154381"," 0.401353724"," 0.090531219"," 0.194989782"," 0.275623048","-0.318331529"
"M364.909T21.126","-0.01968027","-0.02372989","-0.92496245","-0.05988716","-0.07534803"," 0.23345041","-0.09838947"," 0.38717029","-0.02922172","-0.06653457"," 0.19628403"," 0.50496955","-0.14475744"," 0.18724883","-0.26712591"," 0.20051381"
"M367.151T397.982","-0.3366590","-0.5646820","-0.5382027","-0.6310151","-0.4934281"," 0.8231345","-0.8515146","-0.5124885","-0.4519196","-0.5269556","-0.5160294"," 0.4617317"," 1.4914668"," 1.3010962"," 1.9568985","-0.6114330"
"M372.364T1640.641","-0.444531555","-0.188237422","-0.106314285","-0.006994396"," 0.827315427"," 0.386759916","-0.357382891"," 0.440278956","-0.099755834","-0.257484957"," 0.247337617","-0.415334386","-0.024239053","-0.165609594"," 0.217592173","-0.053399717"
"M380.918T17.845"," 0.17497696"," 0.13837030","-0.25439629","-0.85911855","-0.23947686"," 0.11954246"," 0.52701694"," 0.16271666"," 0.41727729"," 0.01238895","-0.09249391"," 0.14141540","-0.20434016"," 0.07843263","-0.29991845"," 0.17760664"
"M382.315T1625.896","-0.03377824"," 0.13284082"," 0.32396446","-0.26684738"," 0.47740468","-0.29155883"," 0.01173108","-0.48078640","-0.08755859"," 0.03472500","-0.29818083"," 0.56178930"," 0.16598962"," 0.13435704"," 0.20455620","-0.58864794"
"M385.292T1611.168","-0.03369959"," 0.09369472","-0.01588436","-0.04081427","-0.14888609"," 0.02710294","-0.07591712","-0.02421980"," 0.71043639","-0.30663390","-0.26765595","-0.08343307"," 0.24297981"," 0.25654015"," 0.21023512","-0.54384497"
"M392.904T19.162"," 0.09071624"," 0.38841965","-0.30792416"," 0.02614732"," 0.01766777"," 0.09333770","-0.07130435"," 0.05024497"," 0.14845895","-0.01763466"," 0.26698269","-0.05059048","-0.11293743"," 0.11037941","-0.69863911"," 0.06667550"
"M408.915T17.478"," 0.201509306"," 0.076652256","-0.584241379","-0.152155072"," 0.046765008"," 0.307412805"," 0.232410032"," 0.098604293"," 0.292330430"," 0.036775227","-0.005469303"," 0.151582131","-0.131378301","-0.011138059","-0.529926351","-0.029733023"
"M423.199T1618.85","-0.092351738","-0.046330521"," 0.042763061","-0.198753607","-0.139756944","-0.009149076","-0.179912830","-0.299530947"," 0.052697049","-0.264955978"," 0.109784281"," 1.034792124"," 0.121606432"," 0.183703837","-0.003460322","-0.311144821"
"M428.917T12.217","-0.12532778","-0.07269515"," 0.04123587","-0.13082056","-0.21748254"," 0.05174526"," 0.87780617","-0.08464931","-0.28276046","-0.00713426"," 0.72630355","-0.34336783","-0.10434582","-0.09962878","-0.08935958","-0.13951878"
"M465.262T1356.121"," 0.48859964","-0.12299737"," 0.02653156"," 0.58366844"," 0.28190106","-0.20477842","-1.55224536","-0.96652128","-0.12306203"," 0.46099294"," 0.15361983"," 0.28384148"," 0.32447772"," 0.41298404"," 0.34335643","-0.39036868"
"M468.418T1628.573","-0.16759329","-0.31229776","-0.14545104"," 0.39092866","-0.02599270","-0.05730945","-0.28239960"," 0.13936317"," 0.04211526","-0.07043636","-0.28600116","-0.10644631"," 0.93040126","-0.01903500"," 0.12587350","-0.15571919"
"M468.42T1635.273","-0.04181713","-0.20034010"," 0.16396750","-0.04132334","-0.18771820"," 0.11848542","-0.24678933"," 0.09654283","-0.14191994"," 0.42860553","-0.06268376","-0.61835062"," 0.64931355"," 0.05781349"," 0.11420584","-0.08799173"
"M480.892T18.142"," 0.099919602","-0.023839989","-0.608293858"," 0.030753735"," 0.485680509"," 0.107528408","-0.280399607"," 0.327139668"," 0.149984756","-0.057722600"," 0.628754662"," 0.054353795","-0.140551481"," 0.008267802","-0.522720415","-0.258854986"
"M496.906T15.036","-0.1054067","-0.0394794"," 0.4250321","-0.1920680"," 0.4803931","-0.1430050"," 0.4192676","-0.3812715"," 0.4552203","-0.1688292"," 0.4464769","-0.1468321","-0.2649301","-0.1235073","-0.2106327","-0.4504280"
"M516.891T17.488"," 0.02509839"," 0.13297280","-0.36417647","-0.17762183"," 0.45246851"," 0.06124941"," 0.56758820"," 0.04317691"," 0.41958267","-0.11063381"," 0.28942976","-0.08469396","-0.16277614"," 0.02212028","-0.42927061","-0.68451410"
"M516.892T11.105","-0.20483282","-0.20711762"," 0.16465484","-0.04174158","-0.06220219","-0.05920311"," 0.01944584","-0.11235860","-0.45244167"," 0.24116618","-0.39526483"," 0.10280269","-0.03115652"," 0.17474660"," 0.04894691"," 0.81455588"
"M534.88T16.971","-0.156968405","-0.097520513","-0.364029688"," 0.015315049"," 0.440098499","-0.193815828"," 0.487282834","-0.634074596"," 0.589368265"," 0.009768917"," 0.473418324"," 0.056426057","-0.117969144","-0.048189933","-0.271139797","-0.187970040"
"M536.899T13.11","-0.07971171"," 0.04122980"," 0.44560714","-0.24550146"," 0.43018701","-0.36118545"," 0.52281929","-0.09874070"," 0.51837010","-0.39921616","-0.22186721","-0.12642736","-0.01585903"," 0.04202074","-0.04381303","-0.40791195"
"M544.888T18.116"," 0.121920644"," 0.034970213","-0.469108772","-0.136860779"," 0.162189653"," 0.118480536"," 0.223442143"," 0.059253632"," 0.655130014"," 0.132812615","-0.146808953"," 0.057635987","-0.328113279"," 0.055880973","-0.543738214"," 0.002913587"
"M573.464T1458.338"," 0.2389453"," 0.3158850"," 0.5650682"," 0.4200617","-1.0390097"," 0.6236883","-1.6467317","-0.6651448","-0.9482572","-0.1319022","-0.8464272"," 0.3399354"," 0.8718963"," 0.8061315"," 0.6011472"," 0.4947137"
"M575.48T1424.867"," 0.45074422"," 0.38625617"," 0.60045956"," 0.53580796","-2.14427958"," 0.60418084","-2.14781481","-0.36284369","-1.02484328"," 0.03987246","-0.25073653"," 0.50121721"," 0.82312185"," 0.65614895"," 0.78577654"," 0.54693213"
"M591.475T1442.976"," 0.1216533"," 0.2938079"," 0.5189357"," 0.1944702","-0.9151263"," 0.7266209","-1.1665454","-0.2440760","-0.9427832","-0.4081674","-1.0031691"," 0.1725754"," 0.9257919"," 0.7628246"," 0.5791924"," 0.3839951"
"M602.869T15.948","-0.047946427"," 0.032481075","-0.358291492","-0.110776267"," 0.446591143","-0.071949116"," 0.420388044","-0.198393110"," 0.464267272"," 0.029272963","-0.185737131","-0.051453394","-0.056938238"," 0.005678972"," 0.355545694","-0.672739990"
"M612.874T18.123"," 0.038364938"," 0.084147363","-0.384763440","-0.310875768"," 0.470507950"," 0.313708067"," 0.090296593"," 0.024951820"," 0.565361463","-0.008905875","-0.122292362"," 0.057164969","-0.218996193"," 0.011837950","-0.454593527","-0.155913945"
"M612.876T11.11"," 0.037838177"," 0.145161206","-0.135399855","-0.358446712"," 0.006661452"," 0.718285718","-0.024634347"," 0.028026460","-0.151963842"," 0.327564105","-0.489646564","-0.205757378","-0.029887040"," 0.258950165"," 0.163706928","-0.290458473"
"M626.856T18.124"," 0.249061202"," 0.194301505","-0.268723969"," 0.167267319"," 0.094942361","-0.002536031","-0.075658301","-0.179993293"," 0.207015999","-0.031819912","-0.187021397"," 0.215077593","-0.032665280"," 0.096129492","-0.297499689","-0.147877597"
"M626.858T11.105","-0.20053450","-0.05776221"," 0.08108591"," 0.24134459"," 0.25008386","-0.20297399","-0.30453062","-0.08280545"," 0.27088985","-0.01420850","-0.64122500"," 0.30290121"," 0.02509820"," 0.20523828"," 0.05375167"," 0.07364667"
"M631.468T1459.998"," 0.1830526"," 0.5029566"," 0.5708519"," 0.2936988","-1.0507510"," 0.7286265","-1.1106124","-0.8596867","-0.9236064","-0.2855651","-0.8562539"," 0.2491002"," 0.5928105"," 0.7377499"," 0.6791185"," 0.5485100"
"M632.472T1474.795"," 0.07339515"," 0.42245787"," 0.48823346"," 0.30649583","-0.95784301"," 0.73659448","-1.01178941","-0.74445828","-0.98844673","-0.28175049","-0.75154095"," 0.24506926"," 0.60280477"," 0.73006854"," 0.63557617"," 0.49513334"
"M633.474T1424.866"," 0.03341334"," 0.25054732"," 0.40728444"," 0.26392663","-0.88611837"," 0.56504284","-1.11847617","-0.19924609","-0.54770676","-0.26341852","-0.71250699"," 0.16303336"," 0.52098108"," 0.52630973"," 0.63004432"," 0.36688985"
"M633.482T1643.428","-0.17541339","-0.08433927"," 0.16949562","-0.10244362","-0.84466290"," 1.12367204","-0.81946704"," 0.09044906","-0.10924464","-0.47418176","-0.79629082","-0.02272272"," 1.07067645"," 0.48008957"," 0.32138543"," 0.17299797"
"M634.485T1424.862"," 0.1655771"," 0.3201357"," 0.3857246"," 0.1743592","-0.6420104"," 0.5917625","-1.2198358","-0.1687296","-0.7077699","-0.2558631","-0.7624756"," 0.1484518"," 0.4116837"," 0.5906987"," 0.5889212"," 0.3793699"
"M636.377T13.112"," 0.16623969"," 0.19311246","-0.33190860"," 0.18955984","-0.22302374"," 0.13713947","-0.10795861","-0.12178693"," 0.24290384","-0.13540912","-0.22956013"," 0.25181528","-0.13525624"," 0.18844988","-0.01861566","-0.06570144"
"M637.868T17.018"," 0.024229215"," 0.231915039","-0.229533019","-0.005335885","-0.068001958","-0.581381470"," 0.455543787","-0.328748991"," 0.267726923"," 0.108978651"," 0.256248915"," 0.170205696"," 0.044420673"," 0.178819070","-0.062247964","-0.462838680"
"M647.463T1427.898"," 0.2384287"," 0.3350261"," 0.4241376"," 0.3985049","-1.1591816"," 0.8752789","-1.1161264","-0.5995168","-1.0836170","-0.3875140","-0.9914948"," 0.2414564"," 0.7647494"," 0.8478276"," 0.6968241"," 0.5152168"
