"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"M177.034T19.126",0.032735,0.066108,0.022882,-0.0017408,-0.044136,0.027169,-0.0065231,0.030717,0.061249,0.0073323,0.012368,-0.011192,-0.027678,0.014518,-0.013847,-0.0048224
"M222.962T20.134",0.019054,0.068214,0.02332,-0.019072,0.002669,0.037802,0.048728,0.025101,-0.010064,-0.057383,0.050425,0.00020821,-0.025108,-0.013231,0.02405,-0.57076
"M243.886T1577.62",0.014101,-0.0154,-0.079948,-0.0066394,0.043143,0.015587,-0.032745,0.039157,0.011421,0.0017421,0.0048552,-0.0051571,0.010782,0.048731,-0.021229,0.19772
"M247.083T835.562",-0.095354,-0.0031277,-0.071993,-0.030066,-0.075611,0.024512,-0.10408,0.075837,-0.036563,-0.0023682,-0.024697,0.0076758,-0.013224,0.01454,0.014265,0.053018
"M250.958T20.121",-0.0016017,0.034683,-0.0061067,0.012477,-0.027696,0.017914,0.019749,0.064957,-0.0052302,0.0034866,0.0081459,-0.076676,-0.052873,-0.050196,0.0046837,-0.030023
"M274.939T20.136",0.011665,0.025766,0.016799,0.02652,-0.022167,-0.012655,0.044574,-0.020654,-0.029679,-0.0010941,-0.062174,-0.017102,0.017406,0.072597,-0.012111,-0.12997
"M286.907T1578.052",0.013964,0.008011,-0.077088,0.038472,0.0029959,0.059712,0.027704,0.031016,-0.05081,-0.026236,-0.0028,0.018717,0.054028,0.023558,-0.03906,0.044009
"M296.921T20.131",0.016725,0.064887,0.061396,-0.0013602,-0.034086,0.046046,0.007774,0.038692,0.013972,-0.0077809,0.039954,0.067793,0.038959,0.0020813,-0.042384,-0.068297
"M302.934T20.131",0.032436,0.059039,0.026497,0.0040797,-0.042367,0.03547,-0.00023579,0.013042,-0.04966,-0.013114,-0.028119,-0.061826,0.0023943,0.059164,-0.012003,0.2566
"M309.131T17.119",0.0047957,-0.010604,-0.013422,-0.089727,0.015186,-0.085922,-0.049893,0.067453,-0.0089572,-0.029943,-0.0033384,0.040743,0.02484,0.049918,-0.013391,-0.2197
"M337.056T22.131",0.0029895,0.019389,-0.089368,0.0054162,-0.013681,0.088069,0.03452,0.0043974,0.012168,-0.0039904,0.007245,0.0048287,0.042299,0.077094,0.0011071,-0.2024
"M354.284T1595.998",-0.022931,0.02047,-0.061109,-0.016732,0.0026613,-0.028086,0.012376,-0.012689,0.0054526,0.013457,0.026223,-0.023254,-0.040906,-0.031026,0.097371,0.43604
"M364.909T21.126",0.015622,0.079218,0.052219,0.005705,-0.0096344,0.0064333,0.034423,-0.037801,-0.085483,-0.05768,-0.056101,-0.034265,0.057,-0.028548,0.043605,-0.037122
"M367.151T397.982",-0.14331,0.042013,-0.17048,-0.031162,-0.048109,-0.12703,0.11036,-0.23549,0.02599,-0.073507,-0.084283,-0.11518,0.16671,-0.060832,0.064233,-0.24792
"M372.364T1640.641",0.017151,-0.027749,-0.0018325,0.076844,-0.021054,-0.010674,0.10492,-0.10687,-0.01967,-0.028201,0.0015604,0.11482,-0.015516,0.024918,-0.02823,0.35907
"M380.918T17.845",0.035531,0.061936,0.024252,-0.067117,0.024388,-0.04352,0.0091857,-0.015405,0.038053,0.037218,0.015215,-0.10149,-0.075428,-0.045143,0.012196,0.0057221
"M382.315T1625.896",-0.0062507,-0.017491,-0.095202,0.0090233,-0.084109,0.010016,0.015355,0.040948,-0.0039276,0.071646,0.015601,-0.055561,-0.0095304,-0.06769,0.074584,-0.0053773
"M385.292T1611.168",-0.001191,0.035807,-0.075781,-0.021771,-0.010511,-0.09968,-0.0082339,0.01393,0.031191,0.0070922,-0.0060957,0.039582,0.022259,0.047391,-0.018825,0.0073405
"M392.904T19.162",0.02346,0.063305,0.039223,0.014142,-0.026616,0.041106,-0.031872,0.0083161,0.011237,0.013512,-0.013291,0.036317,-0.013193,0.028088,-0.029283,0.0031157
"M408.915T17.478",0.035185,0.065156,0.029732,-0.028854,-0.033838,0.0016052,0.013109,0.011671,0.0045981,-0.053854,-0.0038539,-0.022365,-0.0064845,-0.013209,-0.018401,0.0032008
"M423.199T1618.85",-0.015572,0.046222,-0.057786,0.0090992,-0.042947,-0.0060955,-0.042255,-0.0027663,-0.088195,0.0012986,0.039339,-0.055024,0.005088,-0.071102,0.13807,-0.0076998
"M428.917T12.217",0.036016,-0.026124,-0.008153,-0.082759,0.051131,0.08604,-0.056868,-0.089361,0.011481,-0.0096607,0.0033832,-0.0039409,-0.020365,0.01542,-0.0099722,-0.010546
"M465.262T1356.121",-0.070245,0.0023809,-0.079128,0.19422,-0.089715,0.048812,-0.049249,0.068827,0.033211,-0.079043,-0.053022,-0.064732,0.080812,0.061949,-0.0092532,0.019155
"M468.418T1628.573",-0.027049,-0.007044,-0.020529,0.011298,-0.014176,-0.047157,0.013056,-0.0079899,0.030854,-0.032519,0.033656,0.079935,0.17086,-0.053763,-0.049332,0.020531
"M468.42T1635.273",-0.026828,-0.013899,-0.012005,0.013603,0.049296,0.014625,0.028202,-0.026247,0.13729,-0.014728,0.030141,0.036162,0.076562,-0.0067231,-0.065802,0.0095734
"M480.892T18.142",0.04733,0.05874,0.0063662,0.077746,-0.029257,0.04684,0.020345,-0.037351,-0.04636,-0.046491,-0.004495,0.027927,0.039973,0.035593,-0.034881,-0.016485
"M496.906T15.036",0.053486,-0.027751,-0.06255,0.0062838,-0.036029,0.0058267,-0.059201,-0.018032,0.027889,0.025594,0.051487,0.014346,-0.082145,0.047126,0.023384,-0.018459
"M516.891T17.488",0.070237,0.035512,-0.049353,-0.035774,-0.047707,0.019744,0.0072914,-0.012309,0.0094483,-0.0062526,-0.0025396,0.019831,-0.0049954,0.032733,-0.025831,-8.1834e-05
"M516.892T11.105",-0.032407,-0.040787,0.083161,-0.010558,-0.007317,-0.00037032,0.0183,-0.0046332,0.026979,0.033094,-0.00069939,-0.057584,0.0037371,-0.035123,0.089007,0.00019656
"M534.88T16.971",0.061371,-0.0049456,-0.027662,0.0037152,-0.075627,-0.006668,-0.090347,-0.022737,0.032565,-0.043883,-0.042326,-0.023871,0.0027402,-0.0041508,0.038062,7.5156e-05
"M536.899T13.11",0.038347,-0.028395,-0.061372,-0.038824,-0.044009,-0.067517,-0.013146,0.015003,0.01877,0.10113,0.057812,0.014415,-0.032441,0.031036,-0.002482,-0.024924
"M544.888T18.116",0.048315,0.053792,0.029878,-0.01257,-0.036572,-0.040356,0.0072008,0.046066,0.03628,-0.035426,-0.012965,-0.023884,-0.018706,0.025757,0.013943,0.0043781
"M573.464T1458.338",-0.19629,0.037632,0.0080973,0.039503,-0.035488,0.0043507,-0.01204,0.018704,0.025489,0.0024356,0.0018507,0.0018461,0.019463,0.009255,0.008375,0.00915
"M575.48T1424.867",-0.23006,0.084183,0.01031,0.070395,0.11844,0.038599,-0.082829,0.027752,-0.029456,-0.048472,-0.012815,-0.0059613,0.025713,0.012716,0.00077474,-0.015801
"M591.475T1442.976",-0.17326,0.036024,0.0079559,-0.024249,-0.026813,-0.020706,0.042802,-0.018621,0.012546,0.036895,0.033107,0.032135,0.021955,0.0010267,-0.02028,0.024214
"M602.869T15.948",0.038613,-0.0099307,-0.083669,-0.03293,-0.048788,-0.047116,0.035528,0.0123,0.024061,-0.024139,-0.072454,-0.017493,0.0094362,-0.0016608,-0.012524,-0.00023048
"M612.874T18.123",0.045476,0.051822,0.0033741,0.0066807,-0.06627,-0.03604,0.039663,0.0096993,0.03559,-0.028581,0.0055629,-0.00097353,-0.050193,0.004401,0.0033381,0.0013295
"M612.876T11.11",-0.019567,0.02999,-0.020425,-0.045956,-0.014504,0.011716,0.11348,-0.0057286,0.090522,-0.039999,-0.026816,-0.012788,-0.057855,0.014241,-0.0029622,0.029149
"M626.856T18.124",0.0059797,0.03695,-0.0023744,0.0010274,-0.060547,-0.0031036,-0.013802,0.058587,-0.010268,-0.014033,-0.017013,-0.010014,0.01259,0.011008,-0.01962,0.0058919
"M626.858T11.105",-0.016093,-0.0089267,0.0011866,0.027437,-0.06102,-0.074945,0.024498,0.070587,-0.0016241,0.027236,-0.0071184,0.014758,0.038506,0.0039339,0.081102,0.0045927
"M631.468T1459.998",-0.18018,0.022421,0.0099084,-0.026278,-0.045941,0.0019692,-0.028244,0.0014815,0.02098,0.011936,-0.030297,-0.0087488,-0.058092,0.011965,0.0083937,-0.010285
"M632.472T1474.795",-0.16954,0.019639,0.011098,-0.029212,-0.044183,0.014843,-0.015737,-0.017977,0.011954,0.0067602,-0.028075,0.003795,-0.036688,0.0087519,0.020688,0.0041126
