sample,condition,Sodium_Formate,M222.962T20.134,M247.083T835.562,M367.151T397.982,M516.891T17.488,M573.464T1458.338,M575.48T1424.867,M591.475T1442.976,M631.468T1459.998,M632.472T1474.795,M633.474T1424.866,M634.485T1424.862,M647.463T1427.898,M648.465T1441.075,M649.479T1424.057,M650.482T1423.88,M671.358T17.117,M681.468T1391.964,M771.505T1357.807,M799.252T819.392,M817.264T834.906,M827.834T17.122,M831.338T16.12,M835.826T17.121,M839.337T903.707,M856.823T18.124,M890.804T18.126,M931.815T16.119,M950.801T18.122,M967.818T12.107,M1021.326T836.385,M1023.307T13.116,M1059.426T884.067,M1120.777T16.117,M1132.772T17.119,M1141.772T16.116,M1160.766T17.121,M1298.242T13.11,M1342.731T13.115,M1355.738T13.11,M1501.706T13.11,M1505.382T13.111
C15.1,con_15,3934423.297,13399.117,88914.734,16278.311,22460.8,177365.447,182909.125,163814.633,268902.477,109593.962,560379.462,270583.07,376687.804,158775.216,699111.549,331023.352,12762.862,238592.183,1618005.261,81810.959,106987.657,16000.309,7675.32,19335.276,40445.239,31576.597,17064.78,22390.61,19072.05,10968.261,73572.981,16655.956,49615.807,30186.303,14624.835,10166.386,16515.464,14885.67,13134.874,24796.076,17953.081,17191.723
C15.2,con_15,3867787.496,12111.611,109054.728,9983.923,23990.776,200069.187,155703.021,211967.347,448006.989,184953.296,728324.398,325095.986,438418.518,212069.417,758431.91,295607.988,10054.982,241823.581,1472819.041,104970.684,130919.165,27101.694,10593.703,22060.61,53638.33,32683.114,17380.256,23052.347,21412.087,11163.17,96283.758,18520.046,76648.333,28578.581,15273.061,15461.036,12658.861,19583.21,11111.552,26034.486,17595.027,18974.982
C15.3,con_15,3442128.325,9189.196,104339.306,9385.526,14565.531,277965.078,223525.625,270201.816,445937.965,182243.08,792904.838,315029.003,455928.481,247871.917,945858.883,361957.995,8383.836,350274.238,1349200.531,109706.22,139246.071,17584.92,6022.342,17846.28,67265.804,21874.464,11095.247,27950.483,11956.779,9131.445,125268.323,13137.178,151864.985,36886.024,14926.526,10657.854,8381.36,16229.755,12161.577,22705.964,13905.224,15153.476
C15.4,con_15,3960498.029,11129.267,140271.622,8912.199,19345.114,246798.067,222623.83,185223.836,324867.256,158263.826,758724.119,275499.022,501605.174,124875.922,695300.833,265232.498,8944.352,213508.068,2376410.34,133158.124,171176.652,19893.291,9426.837,21787.362,37751.904,27482.332,15827.868,18339.52,14240.345,10072.126,133362.875,16500.003,38995.266,46109.748,15979.146,9427.37,14450.828,17307.856,13431.432,27326.125,17345.544,16098.346
D15.1,dro_15,4037491.87,11936.384,36564.467,12077.454,32020.427,18535.284,0,32129.559,36074.581,22785.546,176274.33,97335.055,33597.351,26586.572,42663.644,38603.798,18862.089,109742.398,20585.303,49534.458,75936.672,43015.969,15702.127,20023.102,1156.765,46667.985,26355.214,35260.701,26731.822,10931.766,32988.089,16163.964,1671.973,46093.535,10834.076,11050.868,23444.745,14371.1,11849.222,25850.02,16872.669,17008.262
D15.2,dro_15,3920796.465,16268.66,73653.616,178744.289,23014.174,351597.174,256733.333,428745.364,658895.415,304919.333,1106293.644,468864.812,1142613.13,461283.623,1871024.408,837657.109,12369.045,865986.12,361145.356,65043.405,106265.928,28209.881,11622.075,18893.451,283192.557,31494.673,16946.991,24733.49,18911.419,9829.241,66288.255,15324.45,380673.873,27625.204,15035.93,11930.84,15665.451,15802.421,11425.007,26760.721,15821.423,17309.318
D15.3,dro_15,4069492.77,12907.323,42899.044,5802.907,35262.55,6304.365,0,21679.727,32942.645,21125.984,131781.558,46340.416,36510.37,22052.347,60672.204,42062.992,9907.629,99346.182,16264.654,66652.223,51314.957,42034.243,10593.902,24441.369,1032.129,47311.591,26256.358,35611.296,27010.552,10857.016,33947.93,15715.443,1467.176,49962.925,11292.278,12211.332,23331.677,11951.663,11722.751,26548.405,17531.194,17974.934
D15.4,dro_15,3868513.993,14781.54,21223.08,11124.518,22393.8,34647.357,29251.055,89845.906,47366.362,30378.21,408520.445,172387.089,85619.274,50588.551,95646.355,49256.994,12964.569,347426.422,34128.08,24990.185,26776.568,26963.947,11689.453,15654.6,0,33158.469,18538.817,24565.989,21413.387,9170.876,17005.569,18006.019,2146.923,28086.405,16559.418,14200.12,15060.909,13903.357,10965.324,25436.984,17802.076,17374.682
F15.1,foc_15,3964439.746,12549.3653,45613.125,12922.3909,30655.692,21405.3486,6838.8574,30185.8648,43684.7394,21337.9673,267454.1443,87754.3772,37647.4263,18972.9954,336259.3123,196053.2871,18380.978,63742.6807,31576.7458,52031.5774,50092.3452,29674.6206,15608.686,25079.012,947.1182,45024.67,16095.7275,36130.066,20024.256,7837.1012,41707.7671,17842.8874,0,25981.5916,15836.2651,15382.1357,12602.6904,14048.3342,14248.8049,27423.9165,20211.3967,19408.6509
F15.2,foc_15,4037001.94,13835.416,50584.03,11266.696,20761.518,93788.82,75003.485,72155.2,127396.813,64890.437,392546.135,160657.006,129423.998,43117.132,221552.019,112736.056,12153.225,116695.24,758411.654,57518.746,53158.366,28211.073,11203.654,21532.424,0,33335.565,16869.218,34552.224,15608.686,9581.007,45468.791,18006.862,10865.115,30534.269,19083.918,16164.051,15010.409,19321.507,14011.553,30665.964,18099.261,19092.844
