"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"M177.034T19.126","-0.304063199","-0.304063199","-0.304063199","-0.304063199"," 0.135557671"," 0.077909052","-0.018087624"," 0.224867581"," 0.307753777","-0.269342479","-0.229800797"," 0.025604603"," 0.220691869"," 0.175347515","-0.039513084"," 0.076994909","-0.392974765"," 0.199897746"," 0.258903171"," 0.157798566"," 0.183970461"," 0.098988030","-0.037169627"," 0.413425332"," 0.181689357","-0.100381091"," 0.125590407"," 0.151802101","-0.218293640","-0.227624801","-0.341969588"," 0.339640145"," 0.204604975"," 0.047744136"," 0.008841652"," 0.036165541"," 0.178136707","-0.041074722"," 0.250877915","-0.528453219","-0.528453219"," 0.014959854","-0.021428876","-0.028069118"," 0.188606938"," 0.306232613","-0.099798846"," 0.170411510","-0.780987714","-0.062611311"," 0.057955387"," 0.092606869"," 0.159293205"," 0.109417726"
"M222.962T20.134","-0.464181095","-0.464181095","-0.464181095","-0.464181095"," 0.166929909","-0.297202382"," 0.081910727"," 0.296296728"," 0.159546478","-0.100364676","-0.016840997"," 0.002348584"," 0.049300752"," 0.240080326","-0.121408846"," 0.010425619","-0.059779834"," 0.161077239"," 0.288303082"," 0.065850161"," 0.618077324"," 0.180389939"," 0.483779580"," 0.153126967"," 0.199284730","-0.104701642"," 0.162906051"," 0.193400519","-0.078437685","-0.141340965","-0.304820100"," 0.177179136"," 0.306567940"," 0.132815219"," 0.425359433","-0.091635587","-0.003144276"," 0.221960246"," 0.290148064","-0.583807434","-0.583807434","-0.273914293"," 0.005149188","-0.053161961","-0.077488045","-0.057554188","-0.027136600"," 0.086367773","-0.392921732","-0.010522665"," 0.268691277","-0.232479359"," 0.155429359","-0.113507276"
"M243.886T1577.62"," 0.052406978"," 0.052406978"," 0.052406978"," 0.052406978","-0.133771632","-0.016148778"," 0.394341780"," 0.156417837","-0.060814108"," 0.280977561"," 0.055948454","-0.115047339"," 0.249613784"," 0.114211656"," 0.145586021"," 0.111400875"," 0.119583471"," 0.090897086","-0.084348817","-0.205196893","-0.379205498"," 0.139018253","-0.121103383","-0.010063108"," 0.116002659"," 0.136442349"," 0.021125930"," 0.052984339","-0.003089622"," 0.344795880","-0.298764393"," 0.206756785"," 0.115844891"," 0.220417552","-0.194024277","-0.015847119","-0.137180045","-0.276653663","-0.113764114","-0.162398588","-0.162398588","-0.009529360"," 0.180183284"," 0.055056526"," 0.085250891","-0.168319588","-0.103018845","-0.097081652"," 0.189926913","-0.817312265","-0.113977694"," 0.169171253","-0.143136328","-0.019388244"
"M247.083T835.562","-0.736100710","-0.736100710","-0.736100710","-0.736100710","-1.277098217"," 0.130141812"," 0.415116147"," 0.047228361"," 0.248975560"," 0.314984289"," 0.456914175"," 0.004155668"," 0.126830233"," 0.566499224"," 0.320270894"," 0.450772301"," 0.424897060"," 0.162077809"," 0.334856772","-0.786610053","-0.121311084","-0.648122197","-1.243653920"," 0.079981693"," 0.203806816"," 0.304493466"," 0.392577424"," 0.111685862"," 0.150036449","-0.485323579","-0.101206731","-0.568336691","-0.490554625","-0.594211347"," 0.296011406","-0.064928150"," 0.488619455"," 0.328351658","-0.635925841"," 0.065682215"," 0.065682215"," 0.293300339"," 0.336877032"," 0.395809983"," 0.537616941"," 0.400631347"," 0.163165124"," 0.127954429"," 0.202398577","-0.504659055"," 0.471222867"," 0.469294895"," 0.334075703"," 0.243348132"
"M250.958T20.121"," 0.005967500"," 0.005967500"," 0.005967500"," 0.005967500"," 0.314880273","-0.129584615"," 0.104424062"," 0.389315255"," 0.224253495","-0.051124333","-0.291467541"," 0.203453694"," 0.089993195"," 0.037063382"," 0.016822211"," 0.086528089"," 0.100546924"," 0.292048520"," 0.126592366"," 0.065075159"," 0.051446602","-0.137932912","-0.130255546","-0.099728264"," 0.267440727","-0.552767172","-0.355776641","-0.037595128","-0.093263130","-0.462682316"," 0.149382580"," 0.006419799"," 0.229561838","-0.228193853"," 0.445017643","-0.144549331","-0.081804073"," 0.083434917","-0.014587607","-0.265768948","-0.265768948"," 0.159534113"," 0.041320036","-0.119821586"," 0.141531312","-0.126116281","-0.150471514","-0.057847842","-0.171210466","-0.079000478"," 0.085887509"," 0.066580239"," 0.091282052"," 0.153612535"
"M274.939T20.136","-0.45435166","-0.45435166","-0.45435166","-0.45435166","-0.08838614","-0.34774819"," 0.25219211"," 0.06113531"," 0.03893366","-0.35630688"," 0.01956029"," 0.10799140"," 0.45674982","-0.39150791","-0.09900589"," 0.40193447","-0.08429625"," 0.12490047"," 0.09204896"," 0.21153337"," 0.03213523","-0.13209624"," 0.17822647","-0.03193856"," 0.03950524","-0.50501278"," 0.18477410"," 0.19757989","-0.17775880","-0.06948339","-0.21236338"," 0.05972611","-0.06944216"," 0.03579727","-0.04674050"," 0.38109355"," 0.07496642","-0.04331214"," 0.26613279","-0.02628943","-0.02628943"," 0.17445883"," 0.19394916"," 0.04579604"," 0.32358128"," 0.05210456","-0.21616710"," 0.27279119"," 0.02304160"," 0.03521806"," 0.23223489"," 0.00081053","-0.09127433"," 0.26192306"
"M286.907T1578.052"," 0.1700143172"," 0.1700143172"," 0.1700143172"," 0.1700143172","-0.1798186693"," 0.0299123645"," 0.2295440029"," 0.1850215443","-0.0289667577","-0.1411055677"," 0.1914299082","-0.7107556181"," 0.2260446515","-0.2309323013","-0.0957595418","-0.0737058846","-0.1873005179","-0.1958065450"," 0.1938936292"," 0.2102648462","-0.1821367624","-0.2389719476"," 0.1374896513"," 0.1402884387","-0.6489293849"," 0.0020177310"," 0.2229568112","-0.1131580691"," 0.3420993758"," 0.0483485414","-0.1168400113","-0.1602723029"," 0.0640324090"," 0.2617112673"," 0.0803771174"," 0.1258646841"," 0.1730974039","-0.2362460860"," 0.0914183805"," 0.1122770478"," 0.1122770478"," 0.0844035106"," 0.0774102699","-0.0966092903"," 0.4761115292"," 0.1153340598","-0.0248099592","-0.1279620751"," 0.0366078649","-0.9061431586","-0.0240387031","-0.0670129783","-0.0008116346"," 0.1378024095"
"M296.921T20.131","-0.608746478","-0.608746478","-0.608746478","-0.608746478"," 0.172627223","-0.067180928"," 0.333101848"," 0.188024283"," 0.287345086","-0.238703901"," 0.257647895"," 0.079232075"," 0.274262362"," 0.352475389"," 0.200666113"," 0.137681123"," 0.101484680"," 0.318705739"," 0.106278334"," 0.094245614"," 0.275208068","-0.008032401"," 0.351162619"," 0.100624866"," 0.006044977","-0.317397785"," 0.214722060"," 0.184767057","-0.058146850","-0.646363299","-0.633274421"," 0.070864920"," 0.115305812"," 0.023169563"," 0.054503946"," 0.074676579"," 0.252773975"," 0.030036947"," 0.114960943","-0.293878990","-0.293878990"," 0.180989416","-0.068251177"," 0.080154463"," 0.199080658","-0.031393020"," 0.178094277"," 0.069004404","-0.818631179"," 0.134972946"," 0.006661313"," 0.227273677"," 0.020277830"," 0.041009775"
"M302.934T20.131","-0.5394518360","-0.5394518360","-0.5394518360","-0.5394518360"," 0.3232518504","-0.1995227823"," 0.2609819121"," 0.4108798495"," 0.1515796912","-0.5309011506","-0.0008037969"," 0.0275645102","-0.0582620628","-0.0292566215"," 0.1000199585"," 0.3176857861"," 0.1352302783"," 0.2239885658"," 0.0074301332"," 0.1947423985"," 0.0530077231"," 0.1115615946"," 0.0969920602"," 0.2320318871"," 0.1689616756","-0.1335861812","-0.1611224023"," 0.2178512119","-0.2241398032","-0.3540844113","-0.3297847209"," 0.1141220114","-0.0264876089"," 0.2523574730"," 0.2661481537","-0.0204481149"," 0.2817666468"," 0.2079814965","-0.0634472368","-0.1023979209","-0.1023979209"," 0.2320909827"," 0.0430518910"," 0.0256968937"," 0.1666110580"," 0.1777195500","-0.3814922429"," 0.3057432177","-0.4696156566","-0.0155672054","-0.0620050206"," 0.2290072118"," 0.0833527256"," 0.0037198064"
