"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54"
"M177.034T19.126",0.0075309,0.080345,-0.041668,-0.034189,-0.018225,-0.0018842,-0.0066199,-0.00093311,0.0034214,0.028057,0.018018,-0.017708,0.0019651,-0.014662,-0.045732,-0.035948,0.0138,-0.016445,-0.043471,-0.018365,-0.0032065,-0.017735,0.006829,0.00022949,0.0093982,-0.013623,-0.018887,0.0032304,0.045955,-0.019191,0.031641,-0.013177,-0.029715,-0.015196,0.004721,0.04942,-0.023633,0.071079,-0.011055,-0.012385,0.029949,0.034455,-0.0040384,0.046504,0.073984,0.016369,-0.027509,0.024778,-0.01346,-0.091597,-0.19487,-0.44769,0.21096,0.20431
"M222.962T20.134",0.010212,0.078725,-0.038058,-0.031467,0.018566,-0.010542,-0.052272,-0.0073466,0.048594,-0.009535,0.0080711,-0.062165,-0.011465,0.041638,0.0063313,0.01237,0.041786,0.037148,-0.05642,0.013599,-0.014097,0.0012334,-0.0010364,-0.057248,-0.0047213,0.040429,-0.0043737,0.0088064,0.049561,0.0021922,-0.035957,-0.061614,-0.024488,-0.000929,-0.01633,0.047572,0.024871,-0.031418,-0.060411,-0.014809,0.0021101,0.0476,-0.028545,0.036379,0.0094096,-0.019755,0.017974,-0.025501,0.05145,-0.67588,-0.52356,0.35504,0.0095506,-0.28977
"M243.886T1577.62",-0.0070215,-0.0040328,0.0015943,-0.057975,0.0035001,-0.0010201,0.060682,0.035153,-0.066936,-0.015601,-0.026103,-0.0008733,0.031288,0.015611,0.063891,0.024466,0.010836,-0.014563,-0.025293,0.047062,-0.025463,0.029873,0.038856,-0.022161,-0.03489,0.011001,0.059116,0.051662,0.0037076,0.0040568,0.0011591,0.031649,-0.027576,-0.010765,0.035583,-0.022673,0.0037245,0.073092,0.061863,0.013831,0.015691,-0.0069154,-0.0046245,0.029286,-0.01931,-0.016239,0.017636,-0.017645,-0.012353,-0.33348,0.5133,-0.37891,0.16904,-0.63529
"M247.083T835.562",0.12242,-0.014806,0.0010194,-0.059692,-0.1063,-0.057778,0.084326,0.10288,-0.031691,-0.0040962,-0.012522,0.013343,-0.0099125,-0.0071489,-0.020978,-0.022421,0.028871,0.0022428,-0.0018331,0.042207,0.0069909,-0.024014,0.0091736,-0.023446,-0.027995,0.031585,0.036454,0.03266,0.040037,0.0018818,0.01031,-0.023913,-0.023761,-0.0062139,-0.019406,-0.00043068,0.01728,-0.023066,0.013763,0.015761,0.010101,-0.031901,0.016812,-0.032746,-0.0069486,0.016,0.018049,0.012915,-0.03434,-0.018349,-0.030057,-0.028301,0.043226,0.041471
"M250.958T20.121",0.0062365,0.036073,-0.014418,-0.02254,-0.0037514,0.019731,-0.012711,-0.0178,0.011953,0.042168,0.02069,-0.019295,0.051107,-0.0217,-0.023395,0.0067599,-0.0040123,-0.056592,0.05285,0.00064846,-0.048742,-0.023788,-0.0048635,-0.016162,0.010093,-0.023235,0.015056,0.012358,0.018491,-0.01436,-0.086849,0.072939,0.0009924,0.0088385,0.022183,-0.030637,0.047555,-0.014346,-0.099878,0.0013206,-0.039498,-0.0062995,-0.014615,-0.088748,-0.047088,0.012944,-0.0089199,-0.0036131,-0.0049703,0.062891,-0.031145,0.015717,0.062273,-0.062427
"M274.939T20.136",0.022735,0.052256,0.0093943,0.0098624,-0.011065,-0.0078185,0.00021878,-0.020574,0.05043,0.0074154,0.026977,-0.023021,-0.034354,0.035954,0.009086,0.0047524,-0.0060195,-0.09889,-0.0023073,-0.017749,-0.036706,0.043853,0.023495,0.033845,-0.037579,0.028414,0.057078,0.087018,0.019375,0.0021876,0.07247,-0.050143,0.070417,-0.022296,0.01761,-0.0061522,-0.0095367,0.0031584,0.056125,0.015609,-0.023776,0.023525,0.017501,-0.003293,0.0011746,0.013106,0.036194,-0.032378,-0.049695,-0.0047858,0.0015364,0.011697,0.043794,0.023112
"M286.907T1578.052",-0.0071364,-0.0076042,0.033099,-0.042972,-0.028392,0.02611,0.060723,-0.0034861,-0.013499,0.0046424,0.0082311,0.0031634,0.089403,0.016334,0.10349,-0.03111,0.013928,-0.022862,0.044319,-0.025394,-0.029445,-0.0043092,0.0080076,0.044662,0.01197,0.058494,0.024473,-0.037421,-0.014834,0.038781,0.098948,-0.10365,0.058789,0.073884,-0.00039117,0.04797,-0.011366,0.06341,-4.5077e-05,-0.017455,0.023535,0.024707,0.042608,0.087247,-0.023131,-0.02009,-0.033367,-0.01136,-0.022323,-0.10742,0.075917,0.027744,-0.00031337,0.12392
"M296.921T20.131",0.03546,0.096585,-0.038609,0.023969,-0.036862,-0.01464,-0.023485,0.003535,0.010857,0.0016739,-0.0089603,-0.029801,0.014843,0.031058,0.0032687,0.022354,0.037585,-0.0068021,-0.058584,0.020439,-0.0036287,-0.020843,0.033817,0.017018,0.011804,0.044162,-0.0071775,-0.014919,-0.026809,0.010789,-0.0051641,-0.010714,-0.017218,0.030912,-0.0016891,-0.024494,0.0090524,0.031781,0.030314,0.040646,-0.025493,0.0035216,0.020196,0.053248,0.0063916,0.0019879,-0.04238,0.0044232,-0.019468,0.10519,-0.050094,0.01942,0.064723,-0.081722
"M302.934T20.131",0.024831,0.082612,-0.0034517,0.019996,-0.0075335,-0.03449,-0.010092,-0.0038945,0.009831,0.0045168,0.022861,0.013028,0.017038,0.021214,-0.026835,-0.028141,0.028702,0.011723,0.010412,0.059579,-0.025471,0.029879,0.048709,0.0086053,0.016086,-0.033256,0.055932,0.026597,0.019912,-0.022057,-0.009993,-0.04514,0.010848,-0.011582,0.0079255,-0.016676,0.0090544,0.048288,-6.3584e-05,-0.075799,-0.068724,0.010988,0.02025,-0.010526,0.011722,-0.0039127,0.0047968,0.035107,-0.043782,-0.037075,0.094114,0.076595,-0.061917,0.039538
"M309.131T17.119",-0.0067417,-0.0074398,0.060532,0.061349,0.087153,-0.0014739,0.039272,0.070191,-0.062499,0.05839,-0.0019466,-0.023694,-0.040901,-0.013955,-0.040585,-0.0041838,0.029602,-0.026778,-0.038415,0.095998,-0.0085886,0.0027721,0.024641,-0.047187,0.01339,0.058266,0.02724,-0.0015938,0.056036,-0.018654,-0.014459,-0.081918,-0.017905,-0.033023,-0.0023592,-0.06172,0.028713,0.001926,0.042084,0.013823,-0.038531,-0.02678,0.0034245,0.010706,-0.00020918,-0.021848,-0.087825,0.020973,-0.011697,-0.1446,0.07943,-0.024375,-0.057367,0.15903
