"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54"
"BLANK_2_Dup1",-6.2688,-3.5157,-0.88175,-0.23599,-0.71979,1.2282,-0.2082,0.12906,-0.38139,0.77903,-0.1001,0.82718,0.49512,-0.41195,0.36981,-0.27726,-0.16448,0.069104,0.44021,-0.31491,-0.23633,-0.20984,0.14484,0.15028,0.24193,0.060432,-0.053886,-0.12073,-0.053234,-0.067834,-0.14664,0.33328,0.092225,0.13953,0.18731,-0.14322,-0.32733,-0.13177,-0.19152,0.035395,0.2436,0.13334,-0.26593,-0.10997,-0.11793,0.10368,0.14661,-0.014289,0.11105,-1.8106e-16,-1.6332e-15,-2.6637e-15,2.0591e-15,1.8848e-15
"BLANK_2_Dup2",-6.2688,-3.5157,-0.88175,-0.23599,-0.71979,1.2282,-0.2082,0.12906,-0.38139,0.77903,-0.1001,0.82718,0.49512,-0.41195,0.36981,-0.27726,-0.16448,0.069104,0.44021,-0.31491,-0.23633,-0.20984,0.14484,0.15028,0.24193,0.060432,-0.053886,-0.12073,-0.053234,-0.067834,-0.14664,0.33328,0.092225,0.13953,0.18731,-0.14322,-0.32733,-0.13177,-0.19152,0.035395,0.2436,0.13334,-0.26593,-0.10997,-0.11793,0.10368,0.14661,-0.014289,0.11105,-1.8106e-16,-1.6332e-15,-2.6637e-15,2.0591e-15,1.8848e-15
"BLANK_2_Dup3",-6.2688,-3.5157,-0.88175,-0.23599,-0.71979,1.2282,-0.2082,0.12906,-0.38139,0.77903,-0.1001,0.82718,0.49512,-0.41195,0.36981,-0.27726,-0.16448,0.069104,0.44021,-0.31491,-0.23633,-0.20984,0.14484,0.15028,0.24193,0.060432,-0.053886,-0.12073,-0.053234,-0.067834,-0.14664,0.33328,0.092225,0.13953,0.18731,-0.14322,-0.32733,-0.13177,-0.19152,0.035395,0.2436,0.13334,-0.26593,-0.10997,-0.11793,0.10368,0.14661,-0.014289,0.11105,-1.8106e-16,-1.6332e-15,-2.6637e-15,2.0591e-15,1.8848e-15
"BLANK_2",-6.2688,-3.5157,-0.88175,-0.23599,-0.71979,1.2282,-0.2082,0.12906,-0.38139,0.77903,-0.1001,0.82718,0.49512,-0.41195,0.36981,-0.27726,-0.16448,0.069104,0.44021,-0.31491,-0.23633,-0.20984,0.14484,0.15028,0.24193,0.060432,-0.053886,-0.12073,-0.053234,-0.067834,-0.14664,0.33328,0.092225,0.13953,0.18731,-0.14322,-0.32733,-0.13177,-0.19152,0.035395,0.2436,0.13334,-0.26593,-0.10997,-0.11793,0.10368,0.14661,-0.014289,0.11105,-1.8106e-16,-1.6332e-15,-2.6637e-15,2.0591e-15,1.8848e-15
"C12.1",-5.1928,4.0336,-0.025556,3.1274,3.9477,0.98717,0.92393,0.14295,0.57673,-0.54943,2.5584,-0.24869,2.8066,-1.4492,-1.2677,1.1363,0.32232,0.31517,-0.15662,1.179,-0.27899,-0.15285,0.039062,0.042468,0.54357,-0.43353,-0.27615,0.5813,-0.06462,0.54062,0.037823,0.12914,-0.33759,0.23777,-0.033656,-0.55079,-0.25165,-0.3782,-0.27174,0.15136,0.13266,-0.37021,0.16879,0.15825,-0.023937,-0.029287,-0.2284,0.031014,-0.0784,3.6971e-16,3.3138e-15,1.7785e-15,-1.4138e-15,-6.0629e-16
"C12.3",0.92801,-0.98742,-0.77008,0.10029,0.0058758,0.24878,0.5681,0.020769,-1.093,-0.162,0.13767,-0.49644,0.48509,0.79497,-0.073167,-0.25148,-0.036877,-0.17108,0.91726,-0.42903,0.87808,0.55148,-0.40114,0.47738,0.65033,-0.12666,-1.0626,-0.74905,0.26921,-0.49635,0.65957,0.9281,-1.1048,-1.4642,-1.4265,-0.25112,0.79089,0.4883,0.54249,-0.38825,1.3482,0.04785,1.4657,0.04136,-0.44199,0.56241,-1.1194,0.91222,0.63301,1.9023e-15,5.6617e-16,-1.0546e-15,2.8428e-16,-1.3869e-15
"C12.4",2.903,1.4071,0.00533,-0.77437,-0.16458,0.87307,0.40459,0.65028,-0.60367,-0.12862,-1.2467,-0.4388,0.62396,-0.023386,-0.49082,0.56736,0.24065,0.0053009,0.4528,0.74322,-1.3742,-0.70684,0.8928,0.064776,0.14329,-0.011189,0.87415,0.73125,-1.1035,-0.46,1.2772,0.56901,0.65107,0.48578,-0.53531,-0.99774,0.96227,0.3765,0.87004,-0.18682,-0.50147,1.314,-0.22862,0.43291,-0.61567,-1.0306,0.54346,-0.14363,1.5195,4.9619e-16,-3.5128e-17,-5.3982e-16,-1.0244e-15,5.4362e-16
"C15.1",0.70392,1.1424,0.19218,-0.40352,-0.72064,0.4068,-0.46408,0.085895,-0.37451,0.05865,-0.45234,-1.4956,0.68315,0.10412,-0.087803,0.79016,-0.52938,-0.1712,0.2626,0.36039,-1.5165,0.65448,0.77087,-0.67327,0.40829,-0.20301,0.89597,0.092074,0.66195,-0.058892,-0.9279,-0.03505,0.47609,0.36827,0.40653,1.2528,0.18533,0.76745,-0.6401,-1.4151,-0.63807,-0.26921,-0.64406,0.89159,-0.89414,1.6663,-0.82769,1.0317,-0.0032386,1.7995e-16,1.6629e-16,1.1428e-15,-4.6073e-16,-1.2182e-15
"C15.2",1.3686,2.0392,0.071826,-1.5136,0.062533,0.80704,-1.3579,0.32398,-0.79263,0.78133,-0.70531,0.98375,0.66307,0.55934,-1.9153,-1.1801,1.0598,-0.57934,-0.39477,0.66637,1.4142,0.13567,0.02711,1.1479,-0.8013,-0.36408,-0.017915,0.19237,-0.64266,-0.64819,0.4758,-0.12111,0.085511,0.83189,1.3333,0.40793,1.9393,-0.58866,-0.81633,0.53366,0.76407,-0.58159,-0.13088,0.44968,-0.16243,0.7271,-0.40573,-0.66189,-0.085436,-2.9946e-16,-1.8856e-15,1.3019e-15,-2.1337e-16,-1.3696e-15
"C15.3",0.88192,-4.237,-0.6469,-1.5738,1.0579,-1.4619,0.18194,-0.30109,-0.54569,-1.592,-0.7599,-1.6565,-0.20292,-0.50647,-0.71135,0.83657,-0.24401,-0.62413,0.040419,-1.0535,0.3128,-0.98406,0.66325,-0.90493,0.44799,0.2769,0.93145,0.57575,-0.19517,0.43365,-1.6503,-0.4419,-0.65406,0.97651,-0.34031,-1.0279,0.69292,0.47806,-0.093017,0.87619,1.6923,-0.41046,-0.32162,0.54349,0.40867,-0.31882,0.068063,0.19658,-0.38266,1.1072e-15,9.9747e-16,-8.3679e-16,3.9031e-18,1.2068e-15
