"",F.stat,p.value,-log10(p),FDR
M293.118T1042.937,4.4967,0.0002174,3.6627,0.3692
M279.139T1150.344,4.1626,0.00042824,3.3683,0.3692
M481.183T769.795,3.9312,0.00069322,3.1591,0.3692
M901.267T743.636,3.9145,0.00071809,3.1438,0.3692
M418.218T902.438,3.5952,0.0014198,2.8478,0.3692
M180.067T785.272,3.5794,0.0014692,2.8329,0.3692
M1096.565T894.076,3.4751,0.0018437,2.7343,0.3692
M453.17T879.981,3.3885,0.0022294,2.6518,0.3692
M433.039T456.919,3.2916,0.0027615,2.5589,0.3692
M407.045T415.442,3.2067,0.0033362,2.4767,0.3692
M1452.478T314.239,3.1769,0.003566,2.4478,0.3692
M642.242T817.768,3.1174,0.0040752,2.3898,0.3692
M632.783T316.499,3.1059,0.0041812,2.3787,0.3692
M375.07T470.729,3.0986,0.0042509,2.3715,0.3692
M885.489T1408.277,3.0783,0.0044498,2.3517,0.3692
M1296.442T316.362,3.0478,0.0047669,2.3218,0.3692
M481.1T876.627,3.034,0.0049173,2.3083,0.3692
M311.104T1075.82,3.0271,0.0049954,2.3014,0.3692
M440.855T1728.569,3.0171,0.0051093,2.2916,0.3692
M355.911T67.212,3.0104,0.0051873,2.2851,0.3692
M695.298T853.355,2.9827,0.0055232,2.2578,0.3692
M1461.92T936.679,2.9806,0.0055493,2.2558,0.3692
M407.173T414.983,2.9707,0.005676,2.246,0.3692
M809.13T1195.374,2.965,0.0057503,2.2403,0.3692
M1192.997T906.309,2.9559,0.0058701,2.2314,0.3692
M204.085T413.719,2.9528,0.0059116,2.2283,0.3692
M808.919T1196.341,2.9495,0.005956,2.225,0.3692
M277.129T811.716,2.9455,0.0060105,2.2211,0.3692
M1294.437T316.362,2.9332,0.006181,2.2089,0.3692
M305.082T1122.457,2.9317,0.0062023,2.2074,0.3692
M340.859T1719.351,2.9191,0.0063821,2.195,0.3692
M591.094T89.826,2.9112,0.006499,2.1872,0.3692
M365.052T459.24,2.8805,0.0069698,2.1568,0.3692
M387.034T831.689,2.8693,0.00715,2.1457,0.3692
M557.187T899.436,2.8553,0.0073829,2.1318,0.3692
M790.016T1120.766,2.8456,0.0075488,2.1221,0.3692
M184.986T90.923,2.835,0.0077349,2.1115,0.3692
M473.173T806.642,2.8278,0.0078631,2.1044,0.3692
M434.871T1737.903,2.767,0.0090395,2.0439,0.3692
M509.875T67.374,2.7656,0.0090698,2.0424,0.3692
