"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X34.F9.2.neg","X36.F9.3.neg","X46.F9.4.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg","X31.C15.3.neg","X47.C15.1.neg","X50.C15.2.neg","X04.D15.4.neg","X06.D15.2.neg","X35.D15.1.neg","X37.D15.3.neg","X17.F15.3.neg","X25.F15.1.neg","X30.F15.2.neg","X51.F15.4.neg","X08.X15.4.neg","X11.X15.3.neg","X29.X15.1.neg","X42.X15.2.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M375.07T470.729"," 0.38438790","-0.27766867"," 0.57986091"," 0.11685826"," 0.57241187"," 1.31520750"," 0.01457854"," 0.31773475"," 0.08830208","-1.10086451"," 0.94719009","-0.86354388"," 0.13128218"," 0.86520668"," 0.35520267"," 0.58181373","-1.45034240","-0.02812227"," 0.05702960"," 0.13147470"," 0.30318701","-0.23282553"," 0.16885766"," 0.24751527"," 0.45718390","-0.92543301","-0.08957675"," 0.85285210"," 1.58251110"," 0.93488036"," 0.85415727","-0.89257792"," 0.64922443"," 0.98794183","-0.53438097"," 0.55910414"," 0.09249122","-1.29059922"," 0.12970289","-1.27455809","-1.02818693","-1.15680396","-1.15784132","-0.35030917","-0.35161200"," 0.08353504","-0.25328156","-0.11813374","-0.98502376"
"M562.053T1195.871"," 0.34935103"," 0.01662305"," 0.34890530"," 0.22518158"," 0.46939257"," 1.34629424"," 0.25554624","-0.28070963","-0.10154712","-0.96531840"," 1.20402890","-0.55556645","-0.03855435"," 0.71738909"," 0.02451461"," 0.57727635","-1.21369579","-0.03162967","-0.20411908"," 0.07376751"," 0.28177767"," 0.06800647"," 0.23190599"," 0.23847099"," 0.23424482","-0.71240530","-0.15395416"," 0.45868187"," 0.75335712"," 0.23722328"," 0.57804930","-0.79397994"," 0.11592665"," 0.41005859"," 0.05065014"," 1.06808602"," 0.35389135","-0.97664152","-0.46825059","-0.96754409","-0.85148443","-0.89619170","-0.75104659"," 0.94295692","-0.24136001"," 0.28160785","-0.64251976","-0.13466674","-0.93198018"
"M943.502T1194.413"," 0.022953308","-0.093926347"," 0.305444276"," 0.365226271"," 0.417840477"," 1.753174606"," 0.120925497","-0.299545561","-0.028823804","-0.972092951"," 0.532052627","-0.559135979"," 0.217874300"," 0.604314663","-0.239225214"," 0.597585404","-1.222413153","-0.089964502","-0.006912453"," 0.019931544","-0.062334604"," 0.106800251"," 0.217938651"," 0.442055973"," 0.310119914","-0.717201597"," 0.016585020"," 0.531114804"," 0.525900570"," 0.345457464"," 0.435534042","-0.799414304"," 0.260636699"," 0.411925028","-0.100958769"," 1.062378243"," 0.233049628","-0.983504643","-0.471137153","-0.974336052","-0.857368586","-0.902425548","-0.756145138"," 1.163861354","-0.052120446"," 0.176333225"," 0.072718230","-0.142251305","-0.938493959"
"M1096.565T894.076"," 0.52537551"," 0.08086010"," 1.25868324","-0.15829410"," 0.87983558"," 1.92901254","-0.47354281","-0.30654652","-0.80195174","-1.11709780","-0.22059116","-0.80560511"," 0.35559500"," 1.14230695","-0.21346729"," 0.70304688","-0.44063367"," 0.71926095"," 0.30419152","-0.04109786"," 0.70043222"," 0.95087317"," 0.26282327"," 0.53292562"," 0.25275569","-0.92483374"," 0.23273966"," 0.04979278"," 2.07013225"," 0.82191139"," 0.01213870","-0.98684663","-0.42843790","-0.23272128","-0.06450451"," 0.92330312"," 0.42653408","-1.12570562"," 0.10811591","-1.11878977","-1.03056144","-1.06454782","-0.95420878","-1.14157524","-1.02252949"," 0.01337619"," 0.32012501"," 0.18969709","-1.09175415"
"M354.093T469.671"," 0.57262739"," 0.07300621"," 0.69853058"," 0.33771052"," 0.71164230"," 1.27558676"," 0.28410763"," 0.47912333"," 0.34455376","-1.80437767"," 0.97996483","-1.54895298"," 0.40624713"," 0.87034239"," 0.53613467"," 0.66922767","-1.24967302"," 0.30546934"," 0.29823588"," 0.33888745"," 0.46944261"," 0.08267597"," 0.38960592"," 0.46511641"," 0.59119397","-1.64672111"," 0.18881924"," 0.92191404"," 1.43481626"," 0.99122361"," 0.88739945","-1.69757187"," 0.76455438"," 1.01551427","-0.15549314"," 0.71481793"," 0.33847948","-1.81143604"," 0.34338680","-1.80576508","-1.73341805","-1.76128685","-1.67080875","-0.71860592","-0.04882260"," 0.32799128"," 0.08434063"," 0.24383894","-1.78359598"
"M437.041T470.729"," 0.23154389","-0.41536831"," 0.52956305","-0.06456614"," 0.44621715"," 1.44636259","-0.18123855"," 0.13016661","-0.10091393","-0.52926737"," 0.93895076"," 0.28893716","-0.16223410"," 0.77174935","-0.03433700"," 0.37214550","-0.31837785","-0.27254861","-0.25154462","-0.21999062"," 0.12521531","-0.45884665"," 0.01713578"," 0.02421356"," 0.20633889","-1.18822140","-0.31466631"," 0.84687822"," 1.60833636"," 0.97585288"," 0.80340533","-1.47591491"," 0.52690212"," 0.97766203","-0.79997259"," 0.22387799","-0.11060735","-0.81270805","-0.01790824","-0.66569850","-0.14532182","-0.23720562","-0.04983698","-0.77168912","-0.63854022","-0.13519148","-0.57854718","-0.34099111","-0.19919989"
"M444.996T106.721"," 0.19267936"," 0.13440135"," 0.34121110"," 0.28424562"," 0.22948464"," 1.47404607"," 0.17163537","-0.23081243","-0.03268307","-1.22521199"," 1.02409110","-0.74498450","-0.03404135"," 0.90711448"," 0.02055206"," 0.21549388","-1.11417280","-0.23724582","-0.25958797","-0.14676656","-0.15358616","-0.10563665"," 0.21757939"," 0.23608917"," 0.58956754","-0.37271005"," 0.02901405"," 0.46972842"," 1.13054093"," 0.50780526"," 0.42102582","-0.62053514"," 0.34636268"," 0.18388308","-0.09977166"," 0.99147427"," 0.83351454","-0.88909691"," 0.30004310","-0.46652827","-1.51310749","-1.03363704","-0.18734370"," 1.08905365","-0.32684852"," 0.05326704","-0.89708666","-0.49071274","-1.21179646"
"M808.155T1200.534"," 0.32721658"," 0.63357314"," 0.55527642"," 0.49979247"," 0.81956826"," 1.10379675"," 0.11270584","-0.65963041","-0.31633466","-1.40993638"," 1.07160074","-1.07970633"," 0.78828287"," 0.61595431"," 0.24476510"," 0.38795488","-1.61010951"," 0.29924955"," 0.27364694"," 0.04038781"," 0.27339092"," 0.54709715"," 0.22767731"," 0.55370579"," 0.25472507","-1.20610708","-0.12169749"," 0.34222571","-0.11564888"," 0.15261637"," 0.29559849","-1.27185028","-0.53276664"," 0.60898501"," 0.54533803"," 1.38968023"," 0.53573682","-1.41906197","-0.63706587","-1.41173013","-1.31819467","-0.43689406","-1.23724914"," 0.72075921"," 0.25969324"," 0.43515939"," 0.23957290","-0.08337440","-0.28837542"
"M631.151T795.429","-0.111966332","-0.119929628"," 0.068695416","-0.158604010"," 0.182877930"," 1.140118005","-0.012019447"," 0.001601903","-0.035087243","-1.290160992"," 0.641441025","-0.933694387","-0.148129100"," 0.492039205","-0.067468290"," 0.162661744","-0.516027447"," 0.035973405"," 0.084525558"," 0.171206486"," 0.361348648"," 0.061264150"," 0.286977654"," 0.089491331"," 0.689704767","-1.070137505"," 0.117811010"," 0.692773364"," 1.363788973"," 0.784632398"," 0.580762578","-1.141103948"," 0.451532122"," 0.931743865"," 0.161676377"," 1.093468413"," 0.528043202","-1.300011615"," 0.369783710","-1.292097247","-1.191130377","-1.230023766","-1.103753777"," 0.243007947","-0.157585383"," 0.501129392"," 0.520586528"," 0.329421578","-1.261158189"
