"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49"
"M375.07T470.729",-0.024027,-0.0032212,-0.0081511,0.0021068,0.030197,-0.0029392,-0.019525,-0.023853,-0.0073644,0.010849,-0.015392,0.013187,0.015637,0.023498,-0.0074534,-0.0086407,0.0013919,-0.0062818,0.00059084,0.0054345,-0.0025302,-0.011096,0.0045537,0.0012535,-0.0061833,-0.0042922,0.00057764,0.010386,-0.0056514,0.0018023,-0.011035,0.0091556,-0.0053779,0.0078239,0.0028037,0.0085088,0.021071,0.0064067,0.017645,-0.0023807,0.022874,0.005087,-0.010051,0.00074757,0.011361,-0.0082526,-0.01503,0.0022441,0.2451
"M562.053T1195.871",-0.019186,0.016401,0.01366,0.018123,0.013893,0.0042025,-0.0057017,-0.0072102,0.006114,0.012617,0.00015629,-0.00027899,0.012927,0.0079453,-0.0002978,-0.019353,0.00025533,0.00094345,-0.0026491,0.0067069,0.0013089,-0.0021546,-0.0067163,-0.0049089,-0.015285,-0.0033309,0.0035793,-0.010065,-0.014026,-0.0039291,-0.00022994,0.0035206,0.017545,-0.0025888,-0.005351,-0.002241,0.013377,0.0039675,0.0048572,-0.0057452,-0.0032716,0.019234,-0.0016724,0.0049418,0.0236,-0.0092282,-0.034048,-0.0014089,0.18988
"M943.502T1194.413",-0.019284,0.019041,0.011748,0.0080005,0.0044174,0.0054034,-0.0080049,-0.014216,0.012708,0.0018136,0.0088387,-0.013327,0.0083607,0.0042493,0.00090883,-0.012436,0.0052783,0.00094017,0.00085106,0.00153,-0.0095107,-0.0064989,0.0038766,-0.0080668,0.0061045,0.001637,0.023285,-0.012445,-0.011221,0.0046477,-0.0019166,-0.012133,-0.0030303,-0.018962,0.0042255,0.012214,-0.0044505,-0.0028576,-0.0069569,-0.0016829,0.0026412,0.010138,0.020299,-0.0080648,0.01173,-0.0071448,0.010197,0.0089672,0.20893
"M1096.565T894.076",-0.020374,-0.0055345,-0.0049645,-0.0034805,0.018182,-0.022313,-0.0734,0.0022177,-0.0086904,0.041836,0.021567,0.034375,0.014478,-0.035413,-0.032273,-0.063488,0.037977,-0.01017,-0.036518,-0.0027988,-0.0088749,-0.014377,0.024236,-0.022953,0.024776,-0.019443,0.033668,-0.0037561,0.033159,0.02503,-0.037609,0.0017584,0.032205,-0.015197,0.0057666,0.016592,-0.0054988,0.012333,0.0053211,0.0058095,-0.05585,-0.0063668,0.018714,0.0049474,0.012568,-0.0056227,0.0057102,0.0077657,0.30151
"M354.093T469.671",-0.03269,-0.021437,0.0081358,-0.012656,0.021084,-0.010757,-0.021038,-0.015648,0.00031215,0.01464,-0.0054667,0.033039,0.0041901,0.01288,-0.013552,-0.0066788,0.0031686,-0.0071418,-0.0037625,0.0044358,0.0042375,-0.0017092,0.00347,-0.010248,-0.0062638,0.00076247,-0.0020335,0.0050141,-0.01033,-0.00044934,-0.0052334,0.0045136,-0.0001267,0.0042412,0.0047381,0.0091535,0.014898,0.0033351,0.015216,-0.0049507,0.017023,-0.0011007,-0.0026885,0.00034516,0.0072993,-0.0053467,-0.0081051,-0.00049147,-0.080083
"M437.041T470.729",-0.014141,0.00508,-0.026808,0.013859,0.039909,-0.011317,-0.022739,-0.031705,0.0089828,0.012213,0.0083818,0.040288,-0.0010889,0.036533,0.017283,-0.016795,0.00018693,-0.02751,-0.034024,0.0019018,0.034813,-0.018964,0.0093315,-0.0038506,0.0067882,0.027232,-0.010041,-0.0028409,-0.011093,0.0084839,0.014967,0.020687,-0.0038254,0.01261,0.00029643,0.012467,0.016156,0.00947,0.021035,0.0033986,0.021615,0.0029367,0.0019973,-0.0040585,0.022165,-0.016713,-0.014546,-0.0011183,0.63069
"M444.996T106.721",-0.019438,0.020514,0.0075445,0.020651,0.010879,-2.5998e-05,-0.012788,0.0052213,0.00013755,0.022845,-0.0066826,0.015139,-0.0013172,0.027543,0.0051225,-0.010508,-0.026071,0.020684,0.0042986,-0.0022402,-0.03113,0.020942,-0.0064011,-0.04966,-0.011211,0.0044909,0.003194,0.011765,-0.0030437,-0.0088242,-0.023608,-0.003872,0.0045451,0.015356,-0.017359,-0.0056565,0.0038305,-0.0007487,0.0023807,0.011332,0.0005192,0.0096569,0.0086138,0.022028,0.0118,-6.3006e-05,0.00029125,-0.0074834,0.0288
"M808.155T1200.534",-0.021537,0.0062433,0.035801,0.0054294,-0.0090915,0.004889,-0.020197,-0.00485,0.012483,-0.0095435,-0.017332,-0.0091328,0.017133,-0.0086321,0.0101,-0.047208,0.0099144,-0.015251,-0.029294,-0.027909,0.025125,-0.034147,-0.016185,-0.0055979,-0.03183,-0.028525,0.01304,-0.015252,-0.012806,0.0076685,0.011444,-0.0067889,0.028598,-0.037894,0.00024343,0.018874,0.006599,0.0029618,-0.0080965,0.0034765,0.02125,-0.020075,-0.0028896,-0.0034365,0.0053917,0.010219,0.01215,-0.0035087,0.14538
"M631.151T795.429",-0.023473,-0.001139,-0.0021169,-0.00045553,0.0010987,-0.018195,-0.011098,-0.0048571,0.014568,0.0047605,0.0073347,0.015913,-0.00081588,0.0012627,-0.027915,0.011921,0.018694,0.005239,0.0037385,-0.033854,0.00083579,0.018785,0.0031609,-0.0026836,0.0018052,0.0057392,-7.1645e-05,-0.0037325,0.00046092,-0.018446,0.0044367,0.0069753,0.022519,0.0086551,0.0039916,0.0088998,-0.0016666,0.0062043,-0.0079047,0.00013803,0.0079124,-0.012196,0.00092952,0.00059027,0.010261,0.0042167,0.0040212,0.0014446,0.043553
"M757.441T1176.453",-0.024583,-0.0060235,0.017361,0.019208,0.020784,-0.0075634,-0.017129,-0.0074107,-0.025671,0.031303,-0.010473,0.01221,-0.013244,0.011328,0.010742,-0.0031412,0.014585,0.015437,-0.0048467,-0.0068609,-0.029684,-0.0096142,-0.0020446,0.0025096,-0.00070342,0.019058,0.0044059,0.001047,-0.0041013,0.0052566,-0.0012968,0.016693,-0.0091857,-0.002205,0.012418,-0.025292,0.00061163,-0.029508,0.010594,-0.0052455,0.016485,0.01222,-0.0070164,-0.011562,0.017746,-0.018422,-0.0046658,0.0051915,0.21375
