"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49"
"X16.C9.3.neg",-6.0484,-8.3035,6.1187,0.80742,4.9692,-4.5452,1.2655,-1.5119,0.98877,-1.884,0.91207,-0.90976,1.0238,1.024,0.95627,-3.1319,-0.27494,-0.50238,-1.5551,4.8204,-0.28963,-0.54671,-0.69506,-0.60064,-1.7557,-0.69434,1.5834,0.99771,0.8532,5.4289,-1.0779,-5.7159,3.7188,3.7868,1.1925,-6.8011,-1.3073,-0.11555,3.8082,1.6254,0.16751,-1.6208,-2.0604,-0.025561,2.8626,0.26756,-1.3589,0.77926,6.8105e-15
"X19.C9.2.neg",19.3,1.6118,24.34,-1.1966,-10.37,-17.64,-7.1403,-6.8344,-3.1198,3.607,-6.7027,2.7748,0.18605,4.4638,1.7342,0.77811,-0.45864,-0.49215,1.3402,0.21306,1.0806,0.21984,-0.15242,-0.42903,-1.0516,2.1973,1.5854,-0.19801,-3.6586,-0.29204,-2.1236,1.3725,1.4103,-0.3294,-0.63551,1.0618,0.79232,1.2213,0.8519,-1.0678,-0.96452,-0.025932,1.0067,-0.076735,-0.29038,-0.56937,-0.13268,0.31329,-1.3638e-14
"X21.C9.4.neg",-13.832,-10.949,1.9395,14.255,-4.6257,3.718,-4.9531,-1.4431,-0.28646,3.2904,0.96042,1.8538,2.0063,2.0857,-1.8526,-4.7014,-2.0836,0.49852,-2.2068,2.1773,-2.7932,-2.4928,6.1223,0.29868,0.80728,-1.4336,-2.1606,4.0566,0.014575,3.2828,3.5887,1.8172,-1.5444,-1.7035,4.0519,1.2256,2.4293,-3.0363,0.34741,2.4934,-3.3667,-0.31601,-0.17455,-1.7795,-2.0459,0.47975,0.13239,0.67774,5.9397e-15
"X45.C9.1.neg",-5.3897,3.8064,13.019,-3.083,2.2857,-0.60885,-5.2171,0.60357,-0.17244,2.3896,4.105,-0.37536,1.6316,2.4173,0.45985,2.193,-3.86,-1.5788,-0.096447,2.8306,1.3039,0.2705,-6.0414,-0.89586,-1.4041,-4.209,1.3378,-4.5313,4.0097,-1.493,3.7492,-0.9407,-9.1097,0.1679,0.71459,-1.5133,-0.27183,0.15301,0.96699,1.2935,1.3821,-0.94486,0.90122,-0.95805,-1.5942,-0.068269,0.19792,-0.12083,1.7764e-15
"X13.D9.4.neg",-15.009,-0.99002,2.1923,-3.7021,0.9353,2.9032,0.38518,-0.2789,3.4345,-2.7546,-0.042423,-0.042915,-0.07784,-0.89883,0.88206,-3.5025,0.78702,-0.4005,-2.1018,2.5499,0.77855,-0.40897,2.6551,-3.2494,-1.6127,-2.6011,0.95304,-0.36433,1.6276,3.3046,-2.0622,1.4246,-0.38781,-0.14208,0.55728,3.7353,1.8731,8.3702,-2.2825,1.2501,1.4805,-0.15763,-0.40117,1.2733,-1.0894,-4.6137,-2.7844,0.95953,1.029e-14
"X20.D9.1.neg",-43.811,23.22,-5.7776,-1.5721,4.9856,3.1137,-8.9052,-0.63048,-1.3486,-0.785,6.2415,1.2752,0.70082,0.43424,-0.82092,0.78141,1.2389,-1.5739,2.0129,1.1449,-0.7199,-3.4799,2.8388,-4.997,1.6601,0.81679,7.2908,-1.2588,-6.3063,0.423,2.16,-1.3361,1.2422,0.28498,-0.64388,2.5023,-2.1091,-1.0124,0.41365,-0.24204,-0.41898,-0.015811,-0.55987,0.012242,1.6085,-0.242,0.69982,-0.42191,1.7653e-14
"X49.D9.2.neg",-4.7288,-4.8324,9.4319,-0.54161,3.5922,1.9628,5.0244,0.86713,0.53445,3.8121,2.9206,-0.94719,-1.0047,0.88218,1.0074,1.4629,-2.3648,-1.1186,1.4073,3.304,1.6279,3.3285,2.1618,1.5916,-5.6694,5.2119,4.6452,3.1211,5.0167,-0.6291,3.1284,-3.4422,1.9378,-1.5623,-4.4208,4.1138,3.629,-1.6546,-1.1954,-1.1974,0.21294,1.0766,-1.2351,0.033741,0.40561,1.0361,-0.11511,0.40758,8.7708e-15
"X48.D9.3.neg",-2.5422,-14.953,0.6642,-3.3457,5.4583,0.030635,6.7122,-3.1622,-4.6042,3.7161,-0.84979,-0.37556,-0.93189,-0.29835,1.3293,1.1681,-2.1031,0.3482,1.521,-3.7362,-1.1702,0.54593,1.4551,0.55112,2.563,1.4521,4.9879,-0.11464,0.06193,3.1834,0.96415,5.0483,-1.8573,3.1002,2.5894,1.4009,-4.5408,-2.0942,1.5576,0.006681,2.6456,2.205,-0.23027,3.5556,-1.5188,0.71122,-2.9711,0.34137,-3.4417e-15
"X26.F9.1.neg",-7.9899,-8.5921,0.64036,-0.78491,4.3965,-3.6438,3.8769,0.30593,-2.223,-2.419,-0.43133,-0.749,-1.7731,0.16089,3.0721,2.036,-3.9764,-2.0593,1.369,3.7364,-0.58872,-1.9083,2.4226,-1.0544,0.61205,1.0965,-2.1911,3.0043,-3.7061,-7.512,0.34568,-5.4311,-0.50253,-1.818,5.029,-1.7468,-2.7401,0.7099,-4.975,-0.53726,0.053024,0.71661,0.6158,0.37574,-1.2927,-0.58902,-1.3533,-0.48441,2.387e-15
"X34.F9.2.neg",48.993,3.5334,-3.6691,0.29272,1.263,-0.70813,-1.8951,-0.5914,-3.5659,-5.5338,3.9397,2.817,9.8863,-2.0949,6.9946,0.10145,0.58143,0.87148,10.024,1.0719,1.7406,-1.5169,3.4914,1.8554,0.2111,2.685,-3.0983,-3.2435,3.6696,1.2578,-0.36569,1.7766,0.71215,0.52996,0.33401,-0.75928,0.5051,-0.11157,-0.55204,0.034608,-0.38693,-0.28543,0.14304,-0.15297,-0.33661,-0.073841,-0.0095742,-0.23489,-1.682e-14
