"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",-0.029557,0.0072407,-0.034179,0.0014602,0.015564,0.011984,-0.0083793,-0.012095
"M562.053T1195.871",-0.023866,0.0010062,-0.012063,0.016507,-0.018352,0.024793,-0.023594,0.0081616
"M943.502T1194.413",-0.023684,0.0069228,-0.006497,0.019364,-0.021879,0.0093776,-0.013485,0.0034753
"M1096.565T894.076",-0.025359,0.00033241,-0.03667,-0.010064,0.011812,0.027564,0.0050799,-0.029654
"M354.093T469.671",-0.041123,-0.0068665,-0.010177,-0.01411,0.021701,-4.4066e-05,0.010628,-0.021416
"M437.041T470.729",-0.01673,0.016214,-0.062142,0.0049152,0.019552,0.030362,-0.02121,-0.0071063
"M444.996T106.721",-0.023775,0.0086645,-0.01766,0.017614,-0.019645,0.034066,-0.022728,0.0084751
"M808.155T1200.534",-0.027516,-0.011989,0.028284,0.0085915,-0.024991,0.018781,-0.0011678,0.003486
"M631.151T795.429",-0.028417,0.016541,0.0031762,0.0077959,0.0081072,0.021927,0.0024804,-0.019895
"M757.441T1176.453",-0.031154,-0.0094741,-0.0023697,0.00031139,0.0046124,0.044986,-0.020823,-0.0089408
"M881.515T1351.787",-0.026598,0.011438,0.0052193,0.011657,-0.00018958,0.025173,-0.021921,-0.017633
"M967.577T1245.908",-0.034636,0.0023445,-0.0012077,-0.00065797,-0.0064513,0.0072278,6.9285e-05,-0.0034662
"M511.24T944.134",-0.037667,0.0045735,0.008327,0.0004573,0.0083027,0.0029138,0.0095302,-0.023828
"M557.187T899.436",-0.024091,-0.007334,-0.024953,0.034633,-0.00098407,0.0085668,0.0052763,-0.0068679
"M1029.931T1194.947",-0.033667,-0.0016427,0.00709,0.0035301,-0.0038147,0.0085433,-0.018342,-0.0071157
"M563.252T904.514",-0.032923,0.0071358,0.010595,0.00076902,-0.011125,0.0062753,0.0057374,-0.0013992
"M337.092T724.593",-0.037385,-0.0063606,-0.023295,-0.0092483,0.018634,-0.0070505,0.0023845,-0.011474
"M758.447T1173.243",-0.023306,0.0077867,-0.024128,0.0016194,-0.0057176,0.048676,-0.031145,0.0051477
"M852.114T1329.753",-0.031457,-0.00080667,0.010881,0.014648,-0.0032484,0.015307,-0.018295,-0.0062831
"M854.516T1290.85",-0.034591,0.0045848,-0.0029202,-0.0061398,0.010158,-0.010694,0.008123,-0.015856
"M1013.86T1346.532",-0.034135,0.011692,0.00069823,0.0011308,-0.0011727,0.0066861,-0.0054861,-0.0048972
"M852.067T1329.714",-0.033602,0.00041866,0.020601,0.01295,-0.0063241,0.015419,-0.013849,-0.0032418
"M627.643T1193.32",-0.037435,-0.0060349,0.014528,-0.00397,-0.013664,0.013332,-0.0086357,-0.0093927
"M941.508T1318.851",-0.033411,-0.00084559,0.0035601,-0.00011809,-0.010496,0.026369,-0.01254,-0.0097833
"M701.418T1268.098",-0.031239,-0.0070285,0.00043593,0.010585,-0.0055351,0.049358,-0.019087,-0.013423
"M1013.583T1248.821",-0.039864,-0.0019382,0.012565,-0.0037212,-0.0035813,0.004523,0.0035204,-0.012016
