"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M1285.466T316.098",2.801,2.9834,3.8753,3.7212,3.6697,3.6489,3.6365,3.6316
"M475.267T1205.634",2.5455,2.7777,2.6137,2.571,2.5389,2.5203,2.5119,2.5075
"M1134.823T908.781",2.5428,2.2589,2.5356,2.4191,2.3879,2.3968,2.3906,2.3892
"M1059.606T1053.565",2.5368,2.506,2.0802,2.0149,1.9887,1.996,1.9933,1.9975
"M337.092T724.593",2.3971,1.3219,1.2301,1.1614,1.1504,1.1446,1.141,1.1401
"M1028.637T1187.508",2.3637,1.355,1.0509,0.99502,0.99036,0.98307,0.98096,0.97929
"M354.093T469.671",2.3312,1.12,0.91492,0.8639,0.86815,0.86175,0.85884,0.85922
"M537.062T88.106",2.2553,1.5939,1.2436,1.6874,1.6743,1.6731,1.6721,1.6696
"M354.093T750.969",2.2467,0.98131,0.77326,0.75686,0.76169,0.77464,0.77232,0.77113
"M377.496T89.073",2.246,1.5992,1.2607,1.7168,1.701,1.7041,1.6984,1.6959
"M303.023T88.804",2.2255,1.565,1.3533,1.8807,1.8659,1.8621,1.8559,1.8527
"M1452.98T315.276",2.2214,2.0062,1.6067,1.6294,1.6232,1.613,1.6078,1.6212
"M559.111T412.291",2.2116,2.6649,2.1206,2.0045,1.9778,1.9637,1.9665,1.9643
"M349.072T1165.294",2.1943,1.7437,1.4532,1.4754,1.4585,1.4479,1.4487,1.4462
"M1075.647T1193.908",2.1774,1.192,1.0227,0.97078,0.96302,0.96104,0.95792,0.9596
"M611.066T88.832",2.1682,1.5142,1.1778,1.6669,1.6452,1.6424,1.637,1.6364
"M1134.728T916.618",2.1363,1.3241,1.7518,1.6553,1.6402,1.6344,1.6314,1.6288
"M1074.645T1193.891",2.1317,0.9564,1.0075,0.95143,0.93957,0.93286,0.92983,0.92874
"M491.126T414.484",2.1095,2.5359,2.0555,1.9428,1.9193,1.9088,1.9028,1.9001
"M851.519T1328.051",2.0844,0.88806,0.87398,0.82572,0.81427,0.81196,0.80976,0.80914
"M311.104T1075.82",2.0831,2.8636,2.3159,2.3947,2.3612,2.3463,2.3391,2.3358
"M559.975T1203.448",2.0748,1.3848,1.0891,1.037,1.0243,1.0355,1.0359,1.0343
"M377.476T89.245",2.0711,1.1091,0.86669,0.83618,0.82916,0.8246,0.83817,0.83737
"M883.503T1155.003",2.0603,1.0364,0.83179,0.79173,0.78134,0.77637,0.77517,0.77389
"M426.107T1196.658",2.0579,1.5836,1.4447,1.436,1.4164,1.4078,1.4089,1.4064
"M191.054T89.143",2.0575,1.5231,1.5591,1.77,1.7545,1.7456,1.7397,1.7421
"M381.071T774.821",2.0521,3.0562,2.3882,2.2557,2.2248,2.2093,2.2056,2.2049
"M453.101T88.055",2.0514,1.3353,1.0422,1.5831,1.5611,1.5539,1.5487,1.547
"M492.116T194.278",2.0359,1.2409,1.1967,1.1919,1.1798,1.1829,1.1818,1.1812
"M1076.649T1193.389",2.035,1.0603,0.95331,0.90095,0.90154,0.89648,0.89411,0.89314
"M305.084T1149.057",1.969,1.5246,1.3292,1.2761,1.2743,1.2724,1.2904,1.291
"M1095.607T1194.413",1.9624,0.95516,0.77766,0.73436,0.72741,0.72286,0.72286,0.72188
"M767.194T317.413",1.9585,0.87579,0.94906,0.95309,0.94217,0.94148,0.93887,0.93788
"M133.012T90.097",1.9577,0.82624,0.77149,0.77255,0.76177,0.75664,0.75412,0.75411
"M1142.614T1193.858",1.9507,0.95324,0.8135,0.76921,0.75925,0.76331,0.76103,0.76094
"M213.056T916.687",1.946,1.1879,1.0752,1.0348,1.0215,1.0141,1.0114,1.011
"M809.433T1339.33",1.9442,0.89539,0.7015,0.66281,0.65502,0.66248,0.66087,0.66001
"M306.171T797.884",1.938,0.95023,0.76167,0.72356,0.71401,0.70975,0.71234,0.71231
"M653.935T315.929",1.9331,0.95037,0.98955,0.93839,0.92525,0.91992,0.91685,0.91974
"M1454.998T316.362",1.9306,1.2856,0.997,1.2736,1.3041,1.2952,1.2909,1.3003
"M341.31T626.276",1.9265,0.9278,1.4273,1.4285,1.4127,1.4048,1.4012,1.3999
"M805.515T1328.497",1.924,0.86682,0.67697,0.65142,0.64232,0.64689,0.64522,0.64421
"M941.361T940.292",1.9175,0.94485,1.5422,1.4952,1.4809,1.4721,1.4708,1.4683
"M637.331T1596.612",1.9079,2.1833,1.7037,1.6148,1.5958,1.5892,1.5839,1.5825
"M969.317T316.321",1.8937,0.91613,1.0654,1.0305,1.0235,1.0209,1.0177,1.019
"M569.35T895.921",1.8891,0.81893,0.64002,0.71795,0.71206,0.70747,0.70599,0.70476
"M1014.585T1248.122",1.8879,0.7958,0.71065,0.67747,0.66798,0.66444,0.6623,0.66216
"M1096.628T1193.369",1.883,0.95641,0.87303,0.88703,0.87873,0.87662,0.87796,0.87649
"M653.913T316.046",1.8783,0.91017,1.0239,0.97059,0.95758,0.95361,0.95038,0.95221
"M753.358T959.856",1.8766,0.82673,0.6824,0.72034,0.71883,0.7314,0.7318,0.7308
"M569.273T895.199",1.8727,0.81544,0.63395,0.69733,0.6951,0.69062,0.68921,0.68814
"M633.494T312.856",1.8715,0.79536,0.67996,0.6614,0.65224,0.64944,0.64739,0.64826
"M942.387T966.176",1.8703,0.79232,0.99965,0.95804,0.95817,0.95992,0.96348,0.96349
"M1161.918T893.464",1.8702,1.6328,2.5048,2.3752,2.3484,2.337,2.3293,2.3253
"M1028.185T1194.382",1.8661,1.073,0.83726,0.79737,0.81398,0.82132,0.81855,0.8232
"M867.513T1306.189",1.8598,0.78398,0.86457,0.81635,0.80513,0.8007,0.79882,0.79774
"M695.289T1193.403",1.8587,0.78333,0.60971,0.6031,0.60349,0.60068,0.60302,0.60588
"M893.177T89.251",1.8572,1.362,1.1288,1.6116,1.5985,1.5879,1.5833,1.5806
"M1096.565T894.076",1.8535,1.1738,1.3806,1.304,1.2936,1.2887,1.2847,1.2844
"M591.094T89.826",1.8497,1.4669,1.8341,1.7815,1.7614,1.7628,1.7569,1.7547
"M194.944T88.504",1.8443,1.7373,1.4075,1.938,1.9278,1.9462,1.9399,1.9366
"M384.097T310.658",1.8435,0.86286,0.76189,0.73028,0.72017,0.71565,0.71379,0.71289
"M969.321T316.442",1.841,0.93194,1.1205,1.093,1.0875,1.0816,1.0784,1.08
"M505.249T1581.431",1.8393,2.0282,1.7667,1.6771,1.6716,1.6696,1.6642,1.6656
"M1095.152T896.897",1.8377,1.3288,1.2357,1.3151,1.3091,1.3095,1.3062,1.3044
"M559.895T1194.445",1.8365,0.77461,0.69732,0.66027,0.65496,0.6557,0.65348,0.65241
"M633.892T311.985",1.8365,0.8806,0.88809,0.84696,0.8397,0.83368,0.83144,0.84979
"M184.986T90.923",1.8305,0.78464,1.0316,1.066,1.0531,1.0572,1.0627,1.0625
"M919.515T1328.715",1.8217,0.76901,0.6409,0.61288,0.60738,0.60296,0.6031,0.60205
"M541.425T1223.783",1.8213,3.1675,2.4806,2.3465,2.3174,2.3012,2.2991,2.3018
"M901.267T743.636",1.8201,1.2958,1.294,1.3116,1.3349,1.3411,1.3369,1.338
"M527.103T89.251",1.8162,0.97856,0.78246,0.83062,0.83234,0.84379,0.84139,0.84
"M1219.316T833.268",1.8144,0.88587,0.8222,0.78326,0.77444,0.77722,0.78326,0.78619
"M425.103T1191.927",1.8132,1.3529,1.4235,1.3949,1.3779,1.368,1.3702,1.3681
