"","sample","condition","sodium_formate","M375.07T470.729","M562.053T1195.871","M943.502T1194.413","M1096.565T894.076","M354.093T469.671","M437.041T470.729","M444.996T106.721"
"1","X16.C9.3.neg","First-tp_Control",37106.31986,63114.134,10982.6635,10326.2914,20013.1855,42683.2003,12642.6803,21176.1054
"2","X19.C9.2.neg","First-tp_Control",43639.211,24045.7246,8068.8821,10307.5717,10295.9764,16162.4812,5875.515,22788.624
"3","X21.C9.4.neg","First-tp_Control",25870.119,61377.3149,7652.1681,10700.9439,54579.5147,39594.5156,13519.041,18512.535
"4","X45.C9.1.neg","First-tp_Control",34384.9696,37088.4552,8538.4261,15467.4465,5199.6191,23214.5676,7659.3813,22560.4365
"5","X13.D9.4.neg","First-tp_Drought",27087.456,63455.5976,9500.4405,13118.2844,28246.7125,42709.1777,12559.3147,16349.97
"6","X20.D9.1.neg","First-tp_Drought",5727.026305,47516.7016,6940.5996,18058.5432,42038.7333,32450.7784,11156.3056,23018.9391
"7","X49.D9.2.neg","First-tp_Drought",40636.144,36826.2951,10533.3898,12974.9388,3418.6826,24294.061,7656.2356,22458.87
"8","X48.D9.3.neg","First-tp_Drought",59326.395,90083.2517,7204.384,10501.2186,6809.154,55200.8784,17476.34,17760.7832
"9","X26.F9.1.neg","First-tp_Fusarium",32934.746,33838.4357,5152.5742,8523.1871,1504.2264,22583.3083,6963.4375,13333.7324
"10","X34.F9.2.neg","First-tp_Fusarium",6850.879244,929.4902,0,0,0,0,783.2885,450.8803
"11","X36.F9.3.neg","First-tp_Fusarium",9559.066946,42386.1871,9473.7142,5433.9543,1287.3454,27700.8837,8989.499,19358.844
"12","X46.F9.4.neg","First-tp_Fusarium",3838.1654,780,0,0,0,0,1420,525
"13","X14.X9.2.neg","First-tp_Xanthomonas",42465.827,46943.4044,7262.6054,15534.7826,16701.6716,33492.4648,8222.1977,17156.8818
"14","X23.X9.1.neg","First-tp_Xanthomonas",16454.016,63454.5958,8194.8011,10351.4941,27957.2778,37184.3951,12172.36,27883.262
"15","X27.X9.3.neg","First-tp_Xanthomonas",40000.41743,64738.7051,7479.0614,7705.6736,5458.8195,42356.9372,9305.3236,17562.3465
"16","X40.X9.4.neg","First-tp_Xanthomonas",24862.34941,59182.802,10157.0482,15494.3379,18660.9046,35605.1163,10365.0361,14690.4317
"17","X02.C12.2.neg","Second-tp_Control",36356.68429,53854.7379,9780.2119,8976.6274,27155.8049,33093.7363,10634.0974,12243.1075
"18","X18.C12.3.neg","Second-tp_Control",36475.958,21693.2307,7252.6544,11418.0713,43410.048,13809.0422,4613.9787,13214.1037
"19","X33.C12.4.neg","Second-tp_Control",38037.10154,44825.5197,9535.5545,13915.9295,12588.8818,28888.2772,9527.0293,22546.5238
"20","X12.D12.2.neg","Second-tp_Drought",24379.5029,32847.429,6168.7171,12214.864,13334.9727,21974.7847,6168.5989,14864.256
"21","X28.D12.3.neg","Second-tp_Drought",24067.49696,46337.6789,6053.4883,10020.8265,7817.684,28875.5319,7908.8229,25142.712
"22","X44.D12.1.neg","Second-tp_Drought",4791.109597,876.28796,0,0,0,0,212.75686,1155.50056
"23","X52.D12.4.neg","Second-tp_Drought",46229.05891,35087.243,6715.875,12750.6177,14467.4962,22265.5727,7192.0376,20560.4
"24","X05.F12.4.neg","Second-tp_Fusarium",15034.7638,56774.4485,5193.9151,8535.4349,3348.0444,38193.4389,12388.7509,13085.5417
"25","X22.F12.1.neg","Second-tp_Fusarium",5203.542746,68054.6405,2726.7986,2932.5879,49661.0025,42310.9145,12789.3672,12393.4074
"26","X38.F12.2.neg","Second-tp_Fusarium",13165.026,57164.8254,3325.2594,5760.0491,12326.2366,39137.3024,13053.9787,12142.5143
"27","X43.F12.3.neg","Second-tp_Fusarium",18752.09783,70969.4114,7669.1965,9309.7863,3893.3877,44049.5636,14517.2379,15153.854
"28","X09.X12.3.neg","Second-tp_Xanthomonas",5376.874366,1040,0,0,0,0,158,889
"29","X32.X12.2.neg","Second-tp_Xanthomonas",26380.92488,70434.6155,5613.1593,10247.3498,2413.6365,46899.3489,13733.4267,19026.8017
"30","X41.X12.1.neg","Second-tp_Xanthomonas",21733.08686,103290.8089,7009.0768,10438.2055,2861.5566,68268.343,21605.7946,12237.7046
"31","X15.C15.4.neg",NA,7990.931329,25658.3234,8043.1224,10557.9487,28189.4171,17109.8772,5341.3948,31760.7303
"32","X31.C15.3.neg","Third-tp_Control",46746.52457,16637.953,9069.4581,10933.1124,8416.1807,10310.6311,3624.0437,17086.796
"33","X47.C15.1.neg","Third-tp_Control",10849.89471,24847.7828,8872.5775,12979.6678,12266.993,17230.8551,3656.273,20907.88
"34","X50.C15.2.neg","Third-tp_Control",31844.35262,32952.3043,9485.9398,11899.9363,14290.8174,21536.835,6639.8742,48240.304
"35","X04.D15.4.neg","Third-tp_Drought",6961.449492,683.7704,0,0,0,0,529.9144,764.5218
"36","X06.D15.2.neg","Third-tp_Drought",16961.89286,18700,1580,2360,4210,11600,4040,11400
"37","X35.D15.1.neg","Third-tp_Drought",6872.473557,693.7202,0,0,0,0,646.0269,1436.7347
"38","X37.D15.3.neg","Third-tp_Drought",5832.336167,895.5258,0,0,0,0,1156.9973,247.5623
"39","X17.F15.3.neg","Third-tp_Fusarium",6212.932315,766.3622,0,0,0,0,1080.2269,547.4676
"40","X25.F15.1.neg","Third-tp_Fusarium",5060.170537,623.0682,0,0,0,0,1151.2534,1618.5958
"41","X30.F15.2.neg","Third-tp_Fusarium",7169.999163,3491.1656,4912.5101,9889.9197,0,440.8911,578.8851,16031.0709
"42","X51.F15.4.neg","Third-tp_Fusarium",34151.48286,16591.9568,4384.5243,8553.8608,1034.8719,9594.6,3337.9123,8832.544
"43","X08.X15.4.neg","Third-tp_Xanthomonas",29823.95486,30394.604,8020.9341,10292.4568,6206.4414,19696.2135,6003.0133,13763.46
"44","X11.X15.3.neg","Third-tp_Xanthomonas",25789.824,14812.9288,1877.6517,7696.0449,9495.4647,9800.429,2747.3094,2798.031
"45","X29.X15.1.neg","Third-tp_Xanthomonas",32798.43257,23712.2376,4896.4887,7239.1444,9474.6201,17896.6579,4913.3948,6608.7
"46","X42.X15.2.neg","Third-tp_Xanthomonas",6535.424467,1080,0,0,0,0,1200,439
"47","X53.Blank.neg","Other",9733.549522,728.3991,0,0,870.5654,179.4435,1506.2419,758.6653
"48","X10.QC1.neg","Other",40652.91743,34258.2139,7020.9668,9655.7324,31447.0489,25510.7259,6718.6296,12051.7333
"49","X24.QC.2.neg","Other",44568.976,43417.6251,6031.352,11894.094,15930.503,27513.0066,7591.2533,12770.526
"50","X39.QC3.neg","Other",42179.90343,46642.6188,8455.3897,11688.5558,7931.9341,28553.341,7517.1654,14352.4108
